business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Akruti Creations,Event Planners/Wedding Planners,Wedding planner,"Wedding planner, Service establishment, Event planner",755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",+91 83288 97737,N/A,4.9,97.0,"Akruti Creations, 755013, India",755013,20.6350116,86.138334,ChIJrw7ovycLHDoRHGqx2OtmWpY,https://www.google.com/maps/place/?q=place_id:ChIJrw7ovycLHDoRHGqx2OtmWpY,part_342,2026-09-20 20:18:11,4012
Bhumika Flower Event,Event Planners/Wedding Planners,Event planner,Event planner,755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",+91 63701 03730,N/A,5.0,1.0,"Boulanga - Aruha Rd, kanikapada, Odisha 755011",755013,20.821928099999997,86.49617099999999,ChIJOSBCEwDvGzoRVcnUqyXNRKA,https://www.google.com/maps/place/?q=place_id:ChIJOSBCEwDvGzoRVcnUqyXNRKA,part_342,2026-09-20 20:18:11,4013
Sun Shine Decoration & Catering ( WEDDING MANAGEMENT),Event Planners/Wedding Planners,Wedding planner,"Wedding planner, Wedding photographer, Wedding service",755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",+91 70111 87046,http://www.bikayi.com/fixiwish,,,"At-Barunabank Post, Dist, Tina, Odisha 755012",755013,20.7264739,86.47041209999999,ChIJ-U3PxgLpGzoRIKFcBTpcfNs,https://www.google.com/maps/place/?q=place_id:ChIJ-U3PxgLpGzoRIKFcBTpcfNs,part_342,2026-09-20 20:18:11,4014
Your dream events and wedding planners,Event Planners/Wedding Planners,Event management company,"Event management company, Service establishment",755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",+91 80886 86315,http://yourdreameventsandweddingplanner.mydurable.com/,5.0,4.0,"Your dream events and wedding planners, 755013, India",755013,14.8701575,75.119854,ChIJlTQZ-UwMlg0RubbeEJKMqPU,https://www.google.com/maps/place/?q=place_id:ChIJlTQZ-UwMlg0RubbeEJKMqPU,part_342,2026-09-20 20:18:11,4015
S&S weddings Mandap,Event Planners/Wedding Planners,Wedding venue,Wedding venue,755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",+91 82494 00482,N/A,5.0,2.0,"Main Road, Govindpur, Odisha 755061",755013,20.6814812,86.4984264,ChIJJ223FADpGzoRVKuC8pKi8zE,https://www.google.com/maps/place/?q=place_id:ChIJJ223FADpGzoRVKuC8pKi8zE,part_342,2026-09-20 20:18:11,4016
SG vision Event management Photography & Videography,Event Planners/Wedding Planners,Photography service,Photography service,755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",+91 91780 12788,N/A,5.0,2.0,"RC6F+M22 Rambag - Pritipur, Dihakula, Odisha 755014",755013,20.8117545,86.4226096,ChIJhYt4zOvvGzoRBoq0jVWGPPE,https://www.google.com/maps/place/?q=place_id:ChIJhYt4zOvvGzoRBoq0jVWGPPE,part_342,2026-09-20 20:18:11,4017
CELEBRATORS Events & Wedding Planner,Event Planners/Wedding Planners,Wedding planner,"Wedding planner, DJ service, Event management company, Event planner, Religious destination, Wedding venue",755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",+91 96682 08777,N/A,5.0,186.0,"Grand Rd, Near Indian bank, Puri, Odisha 752001",755013,19.8079091,85.8215851,ChIJXWyYY8HHGToRcebNKJU91qw,https://www.google.com/maps/place/?q=place_id:ChIJXWyYY8HHGToRcebNKJU91qw,part_342,2026-09-20 20:18:11,4018
JBS Art N Architect.#Entertainment.,Event Planners/Wedding Planners,Event planner,Event planner,755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",+91 70082 80535,N/A,4.2,57.0,"Tulsipur Rd, Masik Patna Colony, Kataka, Odisha 753008",Masik Patna Colony,20.484614,85.854308,ChIJLS7xURsSGToROKF_01yxRTU,https://www.google.com/maps/place/?q=place_id:ChIJLS7xURsSGToROKF_01yxRTU,part_342,2026-09-20 20:18:11,4019
The Durgapur Events & Wedding,Event Planners/Wedding Planners,Event management company,Event management company,755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",+91 96141 09137,https://www.facebook.com/sankiesinghdgp?mibextid=ZbWKwL,5.0,82.0,"near Durgamandir Road, Khudiram Nagar, Benachity, Durgapur, West Bengal 713213","Khudiram Nagar, Benachity",23.5670204,87.26886879999999,ChIJuSxsPXQT9zkRZOH9qAMyp3k,https://www.google.com/maps/place/?q=place_id:ChIJuSxsPXQT9zkRZOH9qAMyp3k,part_342,2026-09-20 20:18:11,4020
Dreamstrokes Wedding Planners,Event Planners/Wedding Planners,Wedding planner,"Wedding planner, Event management company",755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",N/A,https://www.dreamstrokes.com/,4.9,580.0,"Sy No. 29, 8, Yelahanka Rd, Kannuru, Karnataka 560077",Kannuru,13.0960263,77.6502644,ChIJX6sAFbJbozsRtMY5RINEnl0,https://www.google.com/maps/place/?q=place_id:ChIJX6sAFbJbozsRtMY5RINEnl0,part_342,2026-09-20 20:18:11,4021
EXOTIC Caterer & Event Planner,Event Planners/Wedding Planners,Wedding planner,"Wedding planner, Catering food and drink supplier, Event management company, Event planner, Caterer",755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",+91 75858 83367,http://www.exoticplanner.in/,5.0,34.0,"Raghunathpur, Madhupally, Nachan Road, A-Zone, Durgapur, West Bengal 713204",A-Zone,23.5844277,87.3020092,ChIJ308gweZv9zkRiIRhVxrAh7o,https://www.google.com/maps/place/?q=place_id:ChIJ308gweZv9zkRiIRhVxrAh7o,part_342,2026-09-20 20:18:11,4022
