business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
JAS AGROTECH PVT LTD,Fertilizer and Pesticide Dealer,Fertilizer Store,Fertilizer Store,755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",+91 88800 09080,https://www.facebook.com/profile.php?id=61570231273865,4.2,21.0,"ATAL BIHARI VAJPAYEE MAARG, opp. APMC Complex, Gacchinakatti Colony, Vijayapura, Karnataka 586101",Gacchinakatti Colony,16.837843,75.7226012,ChIJHzrjnINVxjsRPgO8IWZi6bY,https://www.google.com/maps/place/?q=place_id:ChIJHzrjnINVxjsRPgO8IWZi6bY,part_342,2026-09-20 20:18:24,6122
Lambodhar Mohanta,Fertilizer and Pesticide Dealer,Fertilizer Store,Fertilizer Store,755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",N/A,N/A,5.0,3.0,"2V8X+7JG, Jajpur, Kanjiapal, Odisha 755018",755013,21.0156933,85.8990785,ChIJubVt7xk1GToRva-gpRF7uhI,https://www.google.com/maps/place/?q=place_id:ChIJubVt7xk1GToRva-gpRF7uhI,part_342,2026-09-20 20:18:24,6123
Sri Rajarajeshwari fertilizers & pesticides,Fertilizer and Pesticide Dealer,Agrochemicals Supplier,"Agrochemicals Supplier, Agricultural Seed Store",755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",+91 70759 20264,N/A,5.0,3.0,"Husnabad-Jangaon Rd, Tarigoppula, Telangana 506224",755013,17.941826199999998,79.1759221,ChIJb-3oesm7zDsR5SpRkUr12Dg,https://www.google.com/maps/place/?q=place_id:ChIJb-3oesm7zDsR5SpRkUr12Dg,part_342,2026-09-20 20:18:24,6124
RAJENDRA KUMAR MOHANTA,Fertilizer and Pesticide Dealer,Fertilizer Store,Fertilizer Store,755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",N/A,N/A,3.5,2.0,"SANTARAPUR MATIGADHIA LEMBO SUKINDA, NIZIGADA, Odisha 755018",755013,21.012443899999997,85.907162,ChIJ1fBp1IM1GToRDbzrHbAq_w0,https://www.google.com/maps/place/?q=place_id:ChIJ1fBp1IM1GToRDbzrHbAq_w0,part_342,2026-09-20 20:18:24,6125
Jakir Fertilizer Agency,Fertilizer and Pesticide Dealer,Fertilizer Store,Fertilizer Store,755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",N/A,N/A,4.7,,"Tikota, Karnataka 586130",755013,16.8477677,75.5168243,ChIJzQOtfgDjxjsRW47WD3uzB6M,https://www.google.com/maps/place/?q=place_id:ChIJzQOtfgDjxjsRW47WD3uzB6M,part_342,2026-09-20 20:18:25,6126
SHREE BHOGESHWAR ENTERPRISES,Fertilizer and Pesticide Dealer,Agricultural Seed Store,"Agricultural Seed Store, Agricultural Product Wholesaler, Fertilizer Store, Pest control service",755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",+91 70907 90752,N/A,5.0,,"SHREE BHOGESHWAR ENTERPRISES, Talikot, Karnataka 586214",755013,16.4767911,76.3059902,ChIJc7wQZN3dxzsRoF2dHQ1yUak,https://www.google.com/maps/place/?q=place_id:ChIJc7wQZN3dxzsRoF2dHQ1yUak,part_342,2026-09-20 20:18:25,6127
Laford Agrotech Limited,Fertilizer and Pesticide Dealer,Manufacturer,"Manufacturer, Agricultural production, Chemical Manufacturer, Fertilizer Store",755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",+91 522 400 8076,http://lafordagrotech.com/,4.8,,"SPS HEIGHTS, B2/144, 2nd Floor, Sahara Estate Road, Sector F, Jankipuram, Lucknow, Uttar Pradesh 226021","Sector F, Jankipuram",26.911841,80.95006699999999,ChIJCYPeE7pXmTkRDYjePKzJxgE,https://www.google.com/maps/place/?q=place_id:ChIJCYPeE7pXmTkRDYjePKzJxgE,part_342,2026-09-20 20:18:25,6128
Kemicides Crop Protection Pvt. Ltd.,Fertilizer and Pesticide Dealer,Fertilizer Store,Fertilizer Store,755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",+91 87129 90455,N/A,4.4,,"583101, Agadi Mareppa Compound, Old Katte Gudda, Cowl Bazaar, Ballari, Karnataka 583101","Agadi Mareppa Compound, Old Katte Gudda, Cowl Bazaar",15.1402685,76.932931,ChIJS6aafkIRtzsRjx3f0CC4X6k,https://www.google.com/maps/place/?q=place_id:ChIJS6aafkIRtzsRjx3f0CC4X6k,part_342,2026-09-20 20:18:25,6129
Karipot Agro Traders (KAT),Fertilizer and Pesticide Dealer,Fertilizer Store,Fertilizer Store,755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",+91 94470 28708,https://karipotagrotraders.in/,4.8,,"Kanimangalam, Thrissur, Keralam 680027",Kanimangalam,10.481313,76.21496719999999,ChIJZe7WhYjxpzsRbXQfktKgOak,https://www.google.com/maps/place/?q=place_id:ChIJZe7WhYjxpzsRbXQfktKgOak,part_342,2026-09-20 20:18:25,6130
S S Crop Care,Fertilizer and Pesticide Dealer,Agricultural Seed Store,"Agricultural Seed Store, Agrochemicals Supplier, Supplier, Fertilizer Store",755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",+91 85533 55301,N/A,4.6,,"Indi Road, near Bus Stop, Vijayapura, Karnataka 586101",Gacchinakatti Colony,16.8349331,75.720188,ChIJO-XzeYFVxjsRl20USjLo7kE,https://www.google.com/maps/place/?q=place_id:ChIJO-XzeYFVxjsRl20USjLo7kE,part_342,2026-09-20 20:18:25,6131
Haryana Pesticides And Seeds Store,Fertilizer and Pesticide Dealer,Fertilizer Store,Fertilizer Store,755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",+91 96712 00143,N/A,5.0,,"Bus Stand, 07, Dhakwala, Haryana 135103",755013,30.334391,77.4283994,ChIJvXIdUd8dDzkRQaqLz5k-P-k,https://www.google.com/maps/place/?q=place_id:ChIJvXIdUd8dDzkRQaqLz5k-P-k,part_342,2026-09-20 20:18:25,6132
Agro Shopy,Fertilizer and Pesticide Dealer,Agrochemicals Supplier,Agrochemicals Supplier,755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",+91 98803 57334,https://agroshopy.com/,4.8,,"39A, Vajra Hanuman Nagar, Bagalkot Road Near Ibrahimpur Railway station, Vijayapura, Karnataka 586109",Ibrahimpur,16.8017355,75.718611,ChIJgT0sbFlVxjsRzGOMJrfB-NQ,https://www.google.com/maps/place/?q=place_id:ChIJgT0sbFlVxjsRzGOMJrfB-NQ,part_342,2026-09-20 20:18:25,6133
JAI DURGA PESTICIDES SEEDS AND FERTILIZERS,Fertilizer and Pesticide Dealer,Fertilizer Store,"Fertilizer Store, Agrochemicals Supplier, Agricultural Seed Store",755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",+91 94196 42145,N/A,4.3,,"Syed Garh, Bishnah, Jammu and Kashmir 181141",755013,32.546017299999995,74.8852136,ChIJgba-BPmfHjkRgy94tT-H2N8,https://www.google.com/maps/place/?q=place_id:ChIJgba-BPmfHjkRgy94tT-H2N8,part_342,2026-09-20 20:18:25,6134
Karshak Agri Biotech,Fertilizer and Pesticide Dealer,Fertilizer Store,Fertilizer Store,755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",+91 94495 66911,N/A,4.3,,"Kalla khani side, Near, Survey No 923/B P. No. 09 Ring Road, Adavi Shankarling Temple Rd, Vijayapura, Karnataka 586103","KC Nagar, Adarsh Nagar",16.8565108,75.7017,ChIJN8R-0DL_xjsR3Mz1KGh8zy8,https://www.google.com/maps/place/?q=place_id:ChIJN8R-0DL_xjsR3Mz1KGh8zy8,part_342,2026-09-20 20:18:25,6135
Ganpati Enterprises,Fertilizer and Pesticide Dealer,Pest control service,"Pest control service, Agricultural Product Wholesaler, Agricultural Seed Store, Sewage treatment plant, Wholesaler",755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",+91 181 415 8686,http://www.facebook.com/GEGanpatiEnterprises,4.7,,"Backside Hotel Dolphin, No. 8, Jail Link Rd, near Central Bank of India, Near Old Sabzi Mandi Chowk, Adarsh Nagar, Jalandhar, Punjab 144008","Near Old Sabzi Mandi Chowk, Adarsh Nagar",31.333752399999998,75.5691265,ChIJfdulkYtaGjkRP4XhlMOTw74,https://www.google.com/maps/place/?q=place_id:ChIJfdulkYtaGjkRP4XhlMOTw74,part_342,2026-09-20 20:18:25,6136
Anil Traders,Fertilizer and Pesticide Dealer,Fertilizer Store,Fertilizer Store,755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",+91 96633 09103,N/A,4.0,,"Mandewal, Karnataka 585310",755013,17.005357,76.540416,ChIJK25enF2DyDsR1cd47ez9oRs,https://www.google.com/maps/place/?q=place_id:ChIJK25enF2DyDsR1cd47ez9oRs,part_342,2026-09-20 20:18:25,6137
Indian Pesticides,Fertilizer and Pesticide Dealer,Fertilizer Store,"Fertilizer Store, Agricultural Seed Store",755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",+91 97807 62322,N/A,4.5,,"Shop No. 765, near Girls School, Ding, Haryana 125058",755013,29.464301,75.2616845,ChIJA3Fh98hdETkRS5KuOedUsik,https://www.google.com/maps/place/?q=place_id:ChIJA3Fh98hdETkRS5KuOedUsik,part_342,2026-09-20 20:18:25,6138
Gagan Pesticides,Fertilizer and Pesticide Dealer,Store,Store,755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",+91 98720 76960,http://www.gaganpesticides.com/,4.9,,"Factory Road, Bareta, Punjab 151501",755013,29.8616332,75.6938378,ChIJgwEsGcEJETkRNPwT_RSkd4s,https://www.google.com/maps/place/?q=place_id:ChIJgwEsGcEJETkRNPwT_RSkd4s,part_342,2026-09-20 20:18:25,6139
Farmers Agro Tech,Fertilizer and Pesticide Dealer,Agrochemicals Supplier,Agrochemicals Supplier,755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",N/A,N/A,4.9,,"Main, market, Kulgam, Jammu and Kashmir 192231",755013,33.6455845,75.01659459999999,ChIJ47CmDhMB4jgRO-__rhU33to,https://www.google.com/maps/place/?q=place_id:ChIJ47CmDhMB4jgRO-__rhU33to,part_342,2026-09-20 20:18:25,6140
Bharat Pesticides,Fertilizer and Pesticide Dealer,Fertilizer Store,Fertilizer Store,755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",+91 98147 71707,N/A,4.6,,"Grain market, Old, opp. HDFC BANK ltd, Nihal Singh Wala, Punjab 142055",Guru Gobind Colony,30.591160799999997,75.2815506,ChIJ3YbI7c-8EDkRw-z2CiqjfrI,https://www.google.com/maps/place/?q=place_id:ChIJ3YbI7c-8EDkRw-z2CiqjfrI,part_342,2026-09-20 20:18:25,6141
R.K.AGRO CENTRE,Fertilizer and Pesticide Dealer,Wholesaler,Wholesaler,755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",+91 88615 12481,N/A,4.7,,"Meghashree complex, Main road, Keralapura, Karnataka 573136",755013,12.584142499999999,76.1747723,ChIJT2iOHCtypTsR7gbOfNhemSU,https://www.google.com/maps/place/?q=place_id:ChIJT2iOHCtypTsR7gbOfNhemSU,part_342,2026-09-20 20:18:25,6142
Kama International Organic Pvt Ltd,Fertilizer and Pesticide Dealer,Fertilizer Store,"Fertilizer Store, Manufacturer, Organic farm, Organic shop, Wholesaler",755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",+91 63563 96396,https://kamaorganic.com/?utm_source=GMB&utm_medium=Organic&utm_campaign=GMBListing,4.9,,"A 609, The Landmark, near Urjanagar 1, Kudasan, Gandhinagar, Gujarat 382421",Kudasan,23.1762367,72.62897219999999,ChIJsxouYZArXDkRUZZSSHRXJ1M,https://www.google.com/maps/place/?q=place_id:ChIJsxouYZArXDkRUZZSSHRXJ1M,part_342,2026-09-20 20:18:25,6143
GILL KHAD PESTICIDES AND SEED STORE,Fertilizer and Pesticide Dealer,Farm equipment supplier,Farm equipment supplier,755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",+91 98768 20774,N/A,4.6,,Punjab 144212,755013,31.686569199999997,75.6480816,ChIJp1spkeioGzkRRvL8VftlfxM,https://www.google.com/maps/place/?q=place_id:ChIJp1spkeioGzkRRvL8VftlfxM,part_342,2026-09-20 20:18:25,6144
SHETTY ENTERPRISES,Fertilizer and Pesticide Dealer,Supplier,"Supplier, Store",755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",+91 63639 30803,N/A,4.4,,"S. S, Shetty Enterprises, Mahavir Road, Road, Vijayapura, Karnataka 586101",Sholapur,16.8328891,75.7152292,ChIJc44K9X9VxjsRSv17Hu1uaXk,https://www.google.com/maps/place/?q=place_id:ChIJc44K9X9VxjsRSv17Hu1uaXk,part_342,2026-09-20 20:18:26,6145
SHREE AGRO SUPPLIERS,Fertilizer and Pesticide Dealer,Agrochemicals Supplier,Agrochemicals Supplier,755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",+91 82178 86514,N/A,4.8,,"No.5, Pavamana Nagar, Kothnoor Main Rd, opp. SBI BK Circle branch, 8th Phase, Bengaluru, Karnataka 560076","Kothnur, Nayak Layout, 8th Phase, J. P. Nagar",12.871773099999999,77.5831218,ChIJD__tMI9rrjsRnC5lM0wYMZg,https://www.google.com/maps/place/?q=place_id:ChIJD__tMI9rrjsRnC5lM0wYMZg,part_342,2026-09-20 20:18:26,6146
"Pesticide,Fertilizer,Seed Wholesale",Fertilizer and Pesticide Dealer,Fertilizer Store,"Fertilizer Store, Pest control service, Agricultural Seed Store",755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",N/A,https://www.facebook.com/profile.php?id=61561032730530&mibextid=LQQJ4d,5.0,,"Shop No, 69B, New Grain Market, Sri Muktsar Sahib, Muktsar Rural, Punjab 152026",New Grain Market,30.4738582,74.50606069999999,ChIJIYOd7IppFzkRISjP7P029Tk,https://www.google.com/maps/place/?q=place_id:ChIJIYOd7IppFzkRISjP7P029Tk,part_342,2026-09-20 20:18:26,6147
Bapuji Fertilizers,Fertilizer and Pesticide Dealer,Fertilizer Store,Fertilizer Store,755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",+91 680 227 1390,N/A,3.9,,"8Q9G+X2W, Aska Rd, Narayana Nagar, Haridakhandi, Brahmapur, Odisha 760006","Narayana Nagar, Haridakhandi",19.3199836,84.7750823,ChIJU7GSuB1QPToRfXzRW3ElBog,https://www.google.com/maps/place/?q=place_id:ChIJU7GSuB1QPToRfXzRW3ElBog,part_342,2026-09-20 20:18:26,6148
Dagar pesticide fertilizer,Fertilizer and Pesticide Dealer,Agricultural service,Agricultural service,755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",+91 98292 10117,N/A,4.0,,"Pn 85 prtaph nagar ext, Delhi-Ajmer Bypass road, Rd Number 5, opposite Vki area, Murlipura, Jaipur, Rajasthan 302039","Yadav Nagar, Jamunapuri, Murlipura",26.982148499999997,75.75842469999999,ChIJn8pETVizbTkRk-xt_265f2k,https://www.google.com/maps/place/?q=place_id:ChIJn8pETVizbTkRk-xt_265f2k,part_342,2026-09-20 20:18:26,6149
INDIAN FERTILIZERS SEEDS AND PEDTICIDES,Fertilizer and Pesticide Dealer,Fertilizer Store,Fertilizer Store,755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",+91 94412 34635,N/A,4.0,,"Alampally Rd, B.T.S Colony, Vikarabad, Telangana 501101",B.T.S Colony,17.342225199999998,77.9049108,ChIJAYiwVFtfyTsRbPD-Nh1h7Hw,https://www.google.com/maps/place/?q=place_id:ChIJAYiwVFtfyTsRbPD-Nh1h7Hw,part_342,2026-09-20 20:18:26,6150
"𝐌𝐚𝐧𝐤𝐞𝐬𝐡𝐰𝐚𝐫𝐢 𝐀𝐠𝐫𝐨 𝐒𝐞𝐫𝐯𝐢𝐜𝐞𝐬 - 𝐎𝐑𝐆𝐀𝐍𝐈𝐂 𝐅𝐄𝐑𝐓𝐈𝐋𝐈𝐙𝐄𝐑 𝐈𝐍 𝐏𝐔𝐍𝐄,𝐆𝐀𝐑𝐃𝐄𝐍 𝐓𝐎𝐎𝐋𝐒 𝐈𝐍 𝐏𝐔𝐍𝐄",Fertilizer and Pesticide Dealer,Agricultural Seed Store,"Agricultural Seed Store, Agricultural Product Wholesaler, Agricultural service",755014,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Rambag S.O, Bamdevpur B.O, Barikul B.O",+91 81494 79618,https://www.mankeshwari.com/,4.3,573.0,"242\2B\5, Near Wakad chowk, Aundh, Road, Wakad, Hinjawadi, Maharashtra 411057","Shankar Kalat Nagar, Wakad",18.5922879,73.7645825,ChIJ38HZTN67wjsRUYURYDn8Aak,https://www.google.com/maps/place/?q=place_id:ChIJ38HZTN67wjsRUYURYDn8Aak,part_342,2026-09-20 20:19:08,8946
Sai Agencies,Fertilizer and Pesticide Dealer,Agricultural Seed Store,Agricultural Seed Store,755014,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Rambag S.O, Bamdevpur B.O, Barikul B.O",+91 98482 43407,N/A,4.7,,"hotel, 3-5-825, Hyderguda Road, Cafe Bahar Rd, beside Axis bank, Gun Foundry, Basheer Bagh, Hyderabad, Telangana 500029","Gun Foundry, Basheer Bagh",17.399995999999998,78.4783999,ChIJ5ftc596ZyzsR_v7EmlxKEAg,https://www.google.com/maps/place/?q=place_id:ChIJ5ftc596ZyzsR_v7EmlxKEAg,part_342,2026-09-20 20:19:10,8947
