business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Basudha properties & consultancy services,Real Estate Agents,Real Estate Builders & Construction Company,"Real Estate Builders & Construction Company, Travel agency",755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",N/A,N/A,5.0,1.0,"RG67+FR7, Manpur, Mangalpur, Odisha 755011",Manpur,20.811173099999998,86.5145507,ChIJWbMRfwDtGzoR-EpLEzwdD1c,https://www.google.com/maps/place/?q=place_id:ChIJWbMRfwDtGzoR-EpLEzwdD1c,part_342,2026-09-20 20:18:21,5475
Raja Homes,Real Estate Agents,Housing complex,Housing complex,755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",N/A,N/A,5.0,1.0,"RF88+66W, Depura, Dhanhata, Odisha 755006",755013,20.815593399999997,86.4655016,ChIJo4kPrHnvGzoRi__pFsgIu5Y,https://www.google.com/maps/place/?q=place_id:ChIJo4kPrHnvGzoRi__pFsgIu5Y,part_342,2026-09-20 20:18:21,5476
Sai Krupa Homes,Real Estate Agents,Apartment building,Apartment building,755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",N/A,N/A,5.0,3.0,"PHR4+RW7, Padhanpada Rd, Mahamadpur, Odisha 755016",755013,20.741555599999998,86.55683839999999,ChIJvT1gUT3rGzoRsl8fn_eCan0,https://www.google.com/maps/place/?q=place_id:ChIJvT1gUT3rGzoRsl8fn_eCan0,part_342,2026-09-20 20:18:21,5477
MYSPACE REALTY PVT. LTD.,Real Estate Agents,Real estate agency,"Real estate agency, Commercial real estate agency, Real Estate Builders & Construction Company, Real estate consultant, Real estate developer, Real estate rental agency",755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",+91 92381 23456,N/A,4.4,142.0,"143, Saheed Nagar Rd, near Bishnu Temple, Saheed Nagar, Bhubaneswar, Odisha 751007",Saheed Nagar,20.292409199999998,85.8491853,ChIJV0GsIc8JGToRTe8ES5Yl-Jg,https://www.google.com/maps/place/?q=place_id:ChIJV0GsIc8JGToRTe8ES5Yl-Jg,part_342,2026-09-20 20:18:21,5478
Lic agent home,Real Estate Agents,Housing complex,Housing complex,755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",N/A,N/A,,,"QF4P+GQM, Unnamed Road, Aunri, Karapada, Odisha 755013",755013,20.756331199999998,86.48691889999999,ChIJDUQ83ybpGzoRtXevnDXfPDQ,https://www.google.com/maps/place/?q=place_id:ChIJDUQ83ybpGzoRtXevnDXfPDQ,part_342,2026-09-20 20:18:21,5479
Land,Real Estate Agents,Real estate agency,Real estate agency,755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",N/A,N/A,,,"RFC9+6HV, Kuansa, Odisha 755006",755013,20.820615699999998,86.4689332,ChIJ58BmWADvGzoRMEdXKaHNnX4,https://www.google.com/maps/place/?q=place_id:ChIJ58BmWADvGzoRMEdXKaHNnX4,part_342,2026-09-20 20:18:21,5480
Texarkana Star Real Estate,Real Estate Agents,Real estate agency,Real estate agency,755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",N/A,https://texarkanastar.com/,4.9,32.0,"707 N Kings Hwy, Wake Village, TX 75501, United States",755013,33.4226094,-94.1260204,ChIJ0WPUJrJGNIYRKUmn4uvDgY4,https://www.google.com/maps/place/?q=place_id:ChIJ0WPUJrJGNIYRKUmn4uvDgY4,part_342,2026-09-20 20:18:22,5481
Capdeal Realty Care Pvt. Ltd.,Real Estate Agents,Real estate agent,Real estate agent,755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",+91 79 6945 1111,https://capdeal.io/,4.4,145.0,"Pal heights, Plot No : 108/3607, Jayadev Vihar, Bhubaneswar, Odisha 751013",Jayadev Vihar,20.2980314,85.82271829999999,ChIJg2wHV72nGToRqNk_q-1nJLI,https://www.google.com/maps/place/?q=place_id:ChIJg2wHV72nGToRqNk_q-1nJLI,part_342,2026-09-20 20:18:22,5482
PH Realty Team,Real Estate Agents,Real estate agency,"Real estate agency, Real estate agent, Real estate consultant",755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",N/A,http://www.phrealty.org/,5.0,73.0,"420 E New Boston Rd, Nash, TX 75569, United States",755013,33.4420327,-94.1235942,ChIJs20eKpdd90YR4HKVz43RIVY,https://www.google.com/maps/place/?q=place_id:ChIJs20eKpdd90YR4HKVz43RIVY,part_342,2026-09-20 20:18:22,5483
Odisha One - Property Management Service,Real Estate Agents,Real estate agency,"Real estate agency, Real estate consultant",755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",+91 94370 07071,https://odishaoneproperty.com/,4.6,125.0,"First Floor, Plot No.1013, Nilakantha Nagar, Nayapalli, Bhubaneswar, Odisha 751012","Nilakantha Nagar, Nayapalli",20.2870034,85.8116934,ChIJnb75ybinGToRvVcxHQWp4ZE,https://www.google.com/maps/place/?q=place_id:ChIJnb75ybinGToRvVcxHQWp4ZE,part_342,2026-09-20 20:18:22,5484
Odisha Land Dealer,Real Estate Agents,Real estate consultant,Real estate consultant,755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",+91 99370 88663,https://www.odishalanddealer.in/,4.9,31.0,"Plot no.- 407/542/708, Janmejaypur, Phulnakhara, Bhubaneswar, Odisha 754001",Janmejaypur,20.3622963,85.89351429999999,ChIJUR9T5N4LGToRotCSfLYl8II,https://www.google.com/maps/place/?q=place_id:ChIJUR9T5N4LGToRotCSfLYl8II,part_342,2026-09-20 20:18:22,5485
Realtor Hari,Real Estate Agents,Real estate agent,Real estate agent,755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",+91 95500 49947,http://realtorhari.in/,4.9,141.0,"D. NO:31-4 81, Ammavari veedhi, near DSP Hotel, opp. kamal Bag Works, Allipuram, Visakhapatnam, Andhra Pradesh 530004",Allipuram,17.7197749,83.29639019999999,ChIJVVVVVdxCOToRN1jxehTjWlI,https://www.google.com/maps/place/?q=place_id:ChIJVVVVVdxCOToRN1jxehTjWlI,part_342,2026-09-20 20:18:22,5486
Janaki traders,Real Estate Agents,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",N/A,N/A,,,"QC6V+Q4H indian gas godown, Buleipur, Naraharipur, Barapada, Odisha 755014",Buleipur,20.761938,86.4428555,ChIJmfLhHwDpGzoRJ0JT2nqwfso,https://www.google.com/maps/place/?q=place_id:ChIJmfLhHwDpGzoRJ0JT2nqwfso,part_342,2026-09-20 20:18:22,5487
Bestdeal Realty,Real Estate Agents,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",+91 90400 11888,http://www.bestdealrealty.in/,4.7,15.0,"First Floor, HANSPAL, PLOT NO-1504, near Hanuman Temple, Bhubaneswar, Odisha 751035",Hansapal,20.3173599,85.8816385,ChIJtcEVIqsLGToRiFt1Mf3hau0,https://www.google.com/maps/place/?q=place_id:ChIJtcEVIqsLGToRiFt1Mf3hau0,part_342,2026-09-20 20:18:23,5488
Vaastu Properties,Real Estate Agents,Real estate agency,Real estate agency,755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",N/A,N/A,,,"1st Floor, 1st Floor, Cuttack Rd, above Axis Atm, Phulnakhara, Odisha 754001",755013,20.3634205,85.891037,ChIJlxZGtHcLGToRfQfr0Rij-EA,https://www.google.com/maps/place/?q=place_id:ChIJlxZGtHcLGToRfQfr0Rij-EA,part_342,2026-09-20 20:18:23,5489
Mr Nayak homes,Real Estate Agents,Housing complex,Housing complex,755014,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Rambag S.O, Bamdevpur B.O, Barikul B.O",N/A,N/A,5.0,,"R9H8+3X7, Andola, Odisha 755062",755014,20.8277395,86.36736359999999,ChIJy2FR4eHlGzoRBN9-i9ysP0A,https://www.google.com/maps/place/?q=place_id:ChIJy2FR4eHlGzoRBN9-i9ysP0A,part_342,2026-09-20 20:19:05,8798
Mahalaxmi Property Dealer,Real Estate Agents,Real estate consultant,Real estate consultant,755014,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Rambag S.O, Bamdevpur B.O, Barikul B.O",N/A,N/A,3.7,,"46E, Jajpur, Mallikapur, Odisha 755007",755014,20.829911499999998,86.3464994,ChIJFyP46arlGzoRkrQT8k8skvQ,https://www.google.com/maps/place/?q=place_id:ChIJFyP46arlGzoRkrQT8k8skvQ,part_342,2026-09-20 20:19:05,8799
SHRI PALI REALTORS,Real Estate Agents,Real estate agent,"Real estate agent, Commercial real estate agency, Real Estate Builders & Construction Company, Home builder, Industrial real estate agency, Interior construction contractor, Property management company, Real estate appraiser, Real estate consultant, Service Apartment",755014,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Rambag S.O, Bamdevpur B.O, Barikul B.O",+91 62891 31455,https://shripali.in/,4.9,,"1st Floor, Room No:- 103, Diamond Arcade, 1/72, Jessore Rd, Ward Number 23, Satgachi, Kolkata, West Bengal 700055","Ward Number 23, Satgachi",22.613785699999998,88.4131597,ChIJt6McXPd1AjoR4ldwh9bxv10,https://www.google.com/maps/place/?q=place_id:ChIJt6McXPd1AjoR4ldwh9bxv10,part_342,2026-09-20 20:19:06,8800
Search Abode Pvt. Ltd. | Mansarovar,Real Estate Agents,Real estate consultant,"Real estate consultant, Estate appraiser, Industrial real estate agency, Property administration service, Property management company, Real estate appraiser",755014,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Rambag S.O, Bamdevpur B.O, Barikul B.O",+91 90019 12411,https://www.searchabode.com/,4.9,,"Plot no. D 7, Patrakar Colony Main Rd, opp. Mahima Florenza Internal Road, Sheer Sagar Patarkar Colony, Mansarovar, Jaipur, Jaipur Nagar Nigam Area, Rajasthan 302020","Sheer Sagar Patarkar Colony, Mansarovar",26.8391217,75.7391229,ChIJq6qqmr61bTkRlk3hmIjDnTk,https://www.google.com/maps/place/?q=place_id:ChIJq6qqmr61bTkRlk3hmIjDnTk,part_342,2026-09-20 20:19:06,8801
Shri Balaji Properties,Real Estate Agents,Real estate consultant,"Real estate consultant, Condominium complex, Condominium rental agency, Office space rental agency",755014,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Rambag S.O, Bamdevpur B.O, Barikul B.O",+91 73758 08046,https://www.shribalajiproperties.co.in/,4.9,,"Shop No 40, Meera Marg, Madhyam Marg, near HDFC Bank, Sector 9, Mansarovar, Jaipur, Rajasthan 302020","Ward Number 43, Sector 101, Sector 9, Mansarovar",26.850257199999998,75.7681501,ChIJvytOjM-1bTkRLE-FrJBxoyw,https://www.google.com/maps/place/?q=place_id:ChIJvytOjM-1bTkRLE-FrJBxoyw,part_342,2026-09-20 20:19:06,8802
Ap developer,Real Estate Agents,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,755015,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Sankhachilla S.O, Jabara B.O, Badabiruan B.O",N/A,https://www.apdeveloper.in/,5.0,,"Natapada, Byasanagar, Odisha 755019",Natapada,20.939891,86.13809309999999,ChIJkyk3n7ZRGToRC2YGMn1FSmo,https://www.google.com/maps/place/?q=place_id:ChIJkyk3n7ZRGToRC2YGMn1FSmo,part_342,2026-09-20 20:19:51,11523
SBR GENERAL SERVICE,Real Estate Agents,Real estate agency,Real estate agency,755015,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Sankhachilla S.O, Jabara B.O, Badabiruan B.O",N/A,N/A,5.0,,"SBR GENERAL SERVICE, Byasanagar, Odisha 755019",755015,20.947281099999998,86.1452774,ChIJiRYnWABRGToRw_L6Br8WClg,https://www.google.com/maps/place/?q=place_id:ChIJiRYnWABRGToRw_L6Br8WClg,part_342,2026-09-20 20:19:51,11524
M/S MAA TARINI ENTERPRISES,Real Estate Agents,Retail space rental agency,Retail space rental agency,755015,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Sankhachilla S.O, Jabara B.O, Badabiruan B.O",+91 99377 52526,N/A,5.0,,"Panikoili, Odisha 755043",755015,20.9121939,86.2285536,ChIJO55VvnFXGToRIdnQhrBGOuE,https://www.google.com/maps/place/?q=place_id:ChIJO55VvnFXGToRIdnQhrBGOuE,part_342,2026-09-20 20:19:51,11525
JK Consultancy & Services,Real Estate Agents,Real estate agency,Real estate agency,755015,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Sankhachilla S.O, Jabara B.O, Badabiruan B.O",+91 63723 84211,N/A,,,"Kabra Niwas P K Rice Mill, At, Gopabandhu Nagar, Odisha 755019",Gopabandhu Nagar,20.941783299999997,86.13614749999999,ChIJD-Ckr-BRGToRw_6q0O6qXHg,https://www.google.com/maps/place/?q=place_id:ChIJD-Ckr-BRGToRw_6q0O6qXHg,part_342,2026-09-20 20:19:51,11526
Nayak Bhawan,Real Estate Agents,Mobile home rental agency,Mobile home rental agency,755015,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Sankhachilla S.O, Jabara B.O, Badabiruan B.O",+91 76068 94875,N/A,5.0,,"Q4GX+7R2, Kumari, Dharmasala, Odisha 755050",755015,20.773802699999997,86.1485373,ChIJgSh7asxbGToR7hz4iKYxpIA,https://www.google.com/maps/place/?q=place_id:ChIJgSh7asxbGToR7hz4iKYxpIA,part_342,2026-09-20 20:19:51,11527
JK Consultancy & Services,Real Estate Agents,Real estate consultant,"Real estate consultant, Commercial real estate agency, Real Estate Builders & Construction Company, Industrial real estate agency, Property investment company, Property management company, Real estate agent, Real estate rental agency",755015,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Sankhachilla S.O, Jabara B.O, Badabiruan B.O",+91 70083 14878,N/A,,,"P K, Backside of Hotel, Rice mill Nahaka Road, At-Kabra Niwas, Panchali, Byasanagar, Odisha 755019",Panchali,20.9461859,86.136921,ChIJU98fZKJRGToRYFIJnnRV7Kw,https://www.google.com/maps/place/?q=place_id:ChIJU98fZKJRGToRYFIJnnRV7Kw,part_342,2026-09-20 20:19:51,11528
Bapun,Real Estate Agents,Real estate agency,Real estate agency,755015,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Sankhachilla S.O, Jabara B.O, Badabiruan B.O",N/A,N/A,,,"Q583+QMW, Jaraka, Dharmasala, Odisha 755050",755015,20.7669847,86.1541908,ChIJzybEPABbGToR8Pzz4QVv92Y,https://www.google.com/maps/place/?q=place_id:ChIJzybEPABbGToR8Pzz4QVv92Y,part_342,2026-09-20 20:19:51,11529
DEB INFRATECH,Real Estate Agents,Real estate agency,Real estate agency,755015,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Sankhachilla S.O, Jabara B.O, Badabiruan B.O",+91 96685 91513,N/A,,,"Plot No. 4079, Stadium Rd, Sapagadia, Byasanagar, Odisha 755020",Sapagadia,20.9463501,86.11777239999999,ChIJnbQaR4xRGToR4Pcr4dV4tB0,https://www.google.com/maps/place/?q=place_id:ChIJnbQaR4xRGToR4Pcr4dV4tB0,part_342,2026-09-20 20:19:51,11530
RAJRANI SOLUTIONS,Real Estate Agents,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,755015,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Sankhachilla S.O, Jabara B.O, Badabiruan B.O",+91 78739 82981,N/A,5.0,,"Kopanda Rd, Byasanagar, Kopanda, Odisha 755019",755015,20.931753699999998,86.13241459999999,ChIJrcl3GL5RGToRAoXa5QbUSYk,https://www.google.com/maps/place/?q=place_id:ChIJrcl3GL5RGToRAoXa5QbUSYk,part_342,2026-09-20 20:19:51,11531
RAMESH SAMAL HOUSE,Real Estate Agents,Home builder,Home builder,755015,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Sankhachilla S.O, Jabara B.O, Badabiruan B.O",N/A,N/A,4.4,,"Kantigadia, Panikoili, Odisha 755043",755015,20.913889599999997,86.2527595,ChIJIeLjytNXGToRLosOHcMmQUs,https://www.google.com/maps/place/?q=place_id:ChIJIeLjytNXGToRLosOHcMmQUs,part_342,2026-09-20 20:19:51,11532
