business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
SIS India - JAJPUR Branch Office,Security Guard Agency,Security service,Security service,755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",+91 92377 72225,http://sisindia.com/,3.8,94.0,"Plot No.82/1486, Jajpir Road, near Shiv Mandir, Biswajeet Memorials At, Kanheipur, JAJPUR, Byasanagar, Odisha 755019","Biswajeet Memorials At, Kanheipur",20.9607186,86.1243877,ChIJ7f__vyVSGToRnZ8_PswDT_Q,https://www.google.com/maps/place/?q=place_id:ChIJ7f__vyVSGToRnZ8_PswDT_Q,part_342,2026-09-20 20:18:21,5735
Force-5 security service,Security Guard Agency,Security guard service,Security guard service,755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",N/A,N/A,5.0,10.0,"6VW3+45W, Badagada Brit Colony, Pandav Nagar, Bhubaneswar, Odisha 751018","Badagada Brit Colony, Pandav Nagar",20.2453595,85.85294239999999,ChIJvevBPAChGToRaH0wil318Uc,https://www.google.com/maps/place/?q=place_id:ChIJvevBPAChGToRaH0wil318Uc,part_342,2026-09-20 20:18:21,5736
Metro Guards India Pvt Ltd,Security Guard Agency,Security guard service,Security guard service,755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",+91 63717 32189,https://metroguardsindia.com/,4.9,61.0,"Vani Vihar, Saheed Nagar, Bhubaneswar, Odisha 751007",Saheed Nagar,20.2957118,85.8426088,ChIJrXrgQCwJGToRtYf2NkAf-MI,https://www.google.com/maps/place/?q=place_id:ChIJrXrgQCwJGToRtYf2NkAf-MI,part_342,2026-09-20 20:18:21,5737
Singh Security Services,Security Guard Agency,Security guard service,Security guard service,755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",+91 94370 77815,https://www.singhsecurityservices.in/,4.9,67.0,"1st Floor, At-B/22, Ruchika Market, Baramunda Housing Board Colony, Baramunda, Bhubaneswar, Odisha 751003","Ruchika Market, Baramunda Housing Board Colony, Baramunda",20.2771962,85.794163,ChIJt67QmqunGToRcnXPhN7Fzv8,https://www.google.com/maps/place/?q=place_id:ChIJt67QmqunGToRcnXPhN7Fzv8,part_342,2026-09-20 20:18:21,5738
Dare Security Services,Security Guard Agency,Security service,Security service,755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",+91 93482 92961,N/A,5.0,1.0,"Plot No 1F/451, near SGBL HONDA Service, CDA Sec - 10, Kataka, Odisha 753014",CDA Sec - 10,20.483337199999998,85.82435149999999,ChIJfa6DytwRGToRqnDAe5p-1I0,https://www.google.com/maps/place/?q=place_id:ChIJfa6DytwRGToRqnDAe5p-1I0,part_342,2026-09-20 20:18:21,5739
Xolent Security Services Pvt. Ltd,Security Guard Agency,Employment agency,Employment agency,755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",+91 90408 28061,https://www.xolentsecurity.com/,4.8,58.0,"Plot No-223/1750, Dayanandnagar, Bomikhal, Rasulgarh, Bhubaneswar, Odisha 751010","Dayanandnagar, Bomikhal, Rasulgarh",20.2877032,85.8586661,ChIJJ0eT-AB_fyERHCyDMfRNDe8,https://www.google.com/maps/place/?q=place_id:ChIJJ0eT-AB_fyERHCyDMfRNDe8,part_342,2026-09-20 20:18:21,5740
Perfect Vision Security Services,Security Guard Agency,Security guard service,Security guard service,755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",+91 77890 60760,http://www.pvss.org.in/,5.0,203.0,"2nd Floor, Plot No. :-2111, near Sadguru Hospital, Jagatpur Industrial Estate, Jagatpur, Odisha 754021",Jagatpur Industrial Estate,20.495223199999998,85.93168759999999,ChIJ_____7sSGToRQJR84RLSjIE,https://www.google.com/maps/place/?q=place_id:ChIJ_____7sSGToRQJR84RLSjIE,part_342,2026-09-20 20:18:21,5741
A1 smart agency security expert,Security Guard Agency,Security guard service,Security guard service,755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",+91 79787 55042,N/A,4.8,159.0,"Plot no 295/3474,lane-6 Maghaswar colony, Tankapani Rd, Bhubaneswar, Odisha 751018",Pandav Nagar,20.2433686,85.8574143,ChIJRxHeRqWhGToRC-0JPuRALp4,https://www.google.com/maps/place/?q=place_id:ChIJRxHeRqWhGToRC-0JPuRALp4,part_342,2026-09-20 20:18:21,5742
GISS Security Services (P) Ltd.,Security Guard Agency,Security guard service,"Security guard service, Security service",755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",+91 80930 14313,http://gisssecurity.com/,4.5,135.0,"Plot no 125, Agriculture office, 125, Budheswari Colony, Laxmisagar, Bhubaneswar, Odisha 751006","Budheswari Colony, Laxmisagar",20.2685766,85.8464936,ChIJE1f3PMQJGToRUalzBpNToPI,https://www.google.com/maps/place/?q=place_id:ChIJE1f3PMQJGToRUalzBpNToPI,part_342,2026-09-20 20:18:21,5743
GISS Security Services (P) Ltd,Security Guard Agency,Security guard service,Security guard service,755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",+91 80930 14313,https://www.gisssecurity.com/,4.6,231.0,"At-1754, near R.I. Office, Gopalpur, Kataka, Odisha 753011",755013,20.4289174,85.8799153,ChIJVVVVFW0NGToRb3vppxlbsT8,https://www.google.com/maps/place/?q=place_id:ChIJVVVVFW0NGToRb3vppxlbsT8,part_342,2026-09-20 20:18:21,5744
