business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Seo Company,SEO Agencies,Internet marketing service,"Internet marketing service, Marketing agency",755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",+91 96800 83673,http://www.solutiontechno.com/,3.0,,"93, Jan Path, Bhomiya Nagar, Brij Mandal Colony, Jhotwara, Jaipur, Jaipur Nagar Nigam Area, Rajasthan 302012","Bhomiya Nagar, Brij Mandal Colony, Jhotwara",26.9414604,75.73625919999999,ChIJcxEyCD6zbTkRVoB301xvu_o,https://www.google.com/maps/place/?q=place_id:ChIJcxEyCD6zbTkRVoB301xvu_o,part_342,2026-09-20 20:18:27,6359
3AGE Creation,SEO Agencies,Internet marketing service,"Internet marketing service, Software company, Web hosting company, Website designer",755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",+91 94380 15846,https://www.3agecreation.com/,4.9,,"1st Floor, Plot No - 410, near Aakhandalamani Temple, Saheed Nagar, Bhubaneswar, Odisha 751007",Saheed Nagar,20.289557,85.8529712,ChIJ3aqqqnMKGToRPWDD4tmby6A,https://www.google.com/maps/place/?q=place_id:ChIJ3aqqqnMKGToRPWDD4tmby6A,part_342,2026-09-20 20:18:27,6360
Sociodigit,SEO Agencies,Internet marketing service,"Internet marketing service, Software company",755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",+91 70083 81630,https://sociodigit.in/,3.8,,"Plot No: HP4, Phase-II, BRIT Colony, Laxmisagar, Bhubaneswar, Odisha 751006","Phase-II, BRIT Colony, Laxmisagar",20.2697574,85.8568727,ChIJs1vuqROnGToRFLkz6xuZu30,https://www.google.com/maps/place/?q=place_id:ChIJs1vuqROnGToRFLkz6xuZu30,part_342,2026-09-20 20:18:27,6361
Digitalparm - SEO Company,SEO Agencies,Marketing agency,"Marketing agency, Advertising agency, Service establishment, Internet marketing service, Website designer",755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",+91 98061 40692,https://digitalparm.in/,4.9,,"Digitalparm - SEO Company, 755013, India",755013,26.2141558,78.1908989,ChIJbZNRdzn7UgkRHCLjeN4BmYU,https://www.google.com/maps/place/?q=place_id:ChIJbZNRdzn7UgkRHCLjeN4BmYU,part_342,2026-09-20 20:18:29,6362
SEO Reseller in India | White Label SEO Reseller Agency in India,SEO Agencies,Marketing agency,Marketing agency,755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",+91 99585 90794,https://www.seoresellerinindia.com/?utm_source=google&utm_medium=gbp&utm_campaign=business_profile,5.0,,"15/722, GF, Sector 15, Vasundhara, Ghaziabad, Uttar Pradesh 201012","Sector 15, Vasundhara",28.6529156,77.3610956,ChIJb9K6qbX7DDkRoUf0KDPqXf8,https://www.google.com/maps/place/?q=place_id:ChIJb9K6qbX7DDkRoUf0KDPqXf8,part_342,2026-09-20 20:18:29,6363
O9 Market,SEO Agencies,Website designer,"Website designer, Advertising agency, Business development service, Internet marketing service, Marketing agency, Marketing consultant, Software company",755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",+91 94378 88279,https://o9market.com/,4.5,,"Bangali Para, Power House Road, Chandrapur, Udit Nagar, Rourkela, Odisha 769001","Chandrapur, Udit Nagar",22.2245481,84.84871489999999,ChIJzUD0HjcZIDoRGKqUQwjbv9M,https://www.google.com/maps/place/?q=place_id:ChIJzUD0HjcZIDoRGKqUQwjbv9M,part_342,2026-09-20 20:18:29,6364
KRTECH SOLUTION,SEO Agencies,Website designer,"Website designer, Advertising agency, Computer service, Design agency, Graphic designer, Internet marketing service, Marketing agency, Marketing consultant, Software company, Web hosting company",755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O",+91 70083 29640,https://krtechsolution.com/,4.8,,"Lane No 2, Tulasi Nagar, Gandhi Nagar, Brahmapur, Odisha 760001","Tulasi Nagar, Gandhi Nagar",19.3076859,84.79150609999999,ChIJ5dgd8dhRPToRHPeu9Vg5DTw,https://www.google.com/maps/place/?q=place_id:ChIJ5dgd8dhRPToRHPeu9Vg5DTw,part_342,2026-09-20 20:18:29,6365
S2H Digital - Website Design and Digital Marketing company In Thane,SEO Agencies,Marketing agency,"Marketing agency, Advertising agency, E-commerce service, Graphic designer, Website designer, Video editing service, Video production service, Web hosting company",755014,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Rambag S.O, Bamdevpur B.O, Barikul B.O",+91 97681 14582,https://s2hdigital.com/,4.9,,"Solus Business Center, 312, Ghodbunder Rd, Hiranandani Estate, Thane West, Thane, Maharashtra 400607","Hiranandani Estate, Thane West",19.262879299999998,72.9845323,ChIJByZ5bha75zsRIB90STY4fNg,https://www.google.com/maps/place/?q=place_id:ChIJByZ5bha75zsRIB90STY4fNg,part_342,2026-09-20 20:19:12,9022
SEO Villas Private Limited,SEO Agencies,Internet marketing service,"Internet marketing service, Advertising agency, Business development service, Computer support and services, Graphic designer, Marketing agency, Marketing consultant, Website designer",755014,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Rambag S.O, Bamdevpur B.O, Barikul B.O",+91 90888 85050,https://seovillas.com/,4.9,,"7/30, Purbapally, Panchbati, Sodepur, Kolkata, Panihati, West Bengal 700110","Purbapally, Panchbati, Sodepur",22.6999365,88.39029839999999,ChIJjQK8c2-b-DkRP4cVbse1Wbw,https://www.google.com/maps/place/?q=place_id:ChIJjQK8c2-b-DkRP4cVbse1Wbw,part_342,2026-09-20 20:19:12,9023
Digital Ambarek - Digital Marketing services in Jajpur,SEO Agencies,Internet marketing service,"Internet marketing service, Marketing agency",755015,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Sankhachilla S.O, Jabara B.O, Badabiruan B.O",N/A,N/A,,,"Bypass road, Kanheipur, Byasanagar, Alia, Odisha 755043",Kanheipur,20.9244769,86.1947268,ChIJuzrxajlXGToRhXL2N85YhJM,https://www.google.com/maps/place/?q=place_id:ChIJuzrxajlXGToRhXL2N85YhJM,part_342,2026-09-20 20:19:56,11823
