business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
DADDY MILK PARLOUR,Dairy and Milk Parlour,Dessert shop,Dessert shop,755017,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Sujanpur S.O (Jajapur), Bainsiria B.O, Bhurunga B.O",+91 63035 01484,N/A,5.0,,"Vempalli, Andhra Pradesh 516329",755017,14.3632043,78.4550838,ChIJv_MvK129szsR0R14-8Mdlzw,https://www.google.com/maps/place/?q=place_id:ChIJv_MvK129szsR0R14-8Mdlzw,part_342,2026-09-20 20:20:45
Milk Parlour,Dairy and Milk Parlour,Dessert shop,Dessert shop,755017,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Sujanpur S.O (Jajapur), Bainsiria B.O, Bhurunga B.O",N/A,N/A,4.0,,"Pipariya, Madhya Pradesh 482010",755017,23.2429126,79.97084319999999,ChIJn3T9y3uvgTkRO7IXNWRhxzc,https://www.google.com/maps/place/?q=place_id:ChIJn3T9y3uvgTkRO7IXNWRhxzc,part_342,2026-09-20 20:20:45
Milk Dairy,Dairy and Milk Parlour,Ice cream shop,Ice cream shop,755017,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Sujanpur S.O (Jajapur), Bainsiria B.O, Bhurunga B.O",N/A,N/A,5.0,,"Q6JJ+53F, Adas, Maharashtra 431517",755017,18.780614,76.230232,ChIJ6xX0dgBFxTsRJ7Y5I1gKyVk,https://www.google.com/maps/place/?q=place_id:ChIJ6xX0dgBFxTsRJ7Y5I1gKyVk,part_342,2026-09-20 20:20:45
INANIYAN MILK,Dairy and Milk Parlour,Dairy farm,Dairy farm,755017,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Sujanpur S.O (Jajapur), Bainsiria B.O, Bhurunga B.O",+91 98750 54326,N/A,4.3,,"4RCF+5QW, Indana, Rajasthan 341026",755017,27.120482799999998,73.8244584,ChIJr8zg5DuNajkRBWyzq_kYWYE,https://www.google.com/maps/place/?q=place_id:ChIJr8zg5DuNajkRBWyzq_kYWYE,part_342,2026-09-20 20:20:45
Sudha Dairy,Dairy and Milk Parlour,Dairy store,"Dairy store, Milk delivery service",755017,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Sujanpur S.O (Jajapur), Bainsiria B.O, Bhurunga B.O",+91 76544 01352,http://www.sudha.coop/,4.1,,"Akharaghat Rd, Akharghat, Muzaffarpur, Bihar 842001",Akharghat,26.1346033,85.3895903,ChIJ8ZM-wYwQ7TkRM9GGMdnijfA,https://www.google.com/maps/place/?q=place_id:ChIJ8ZM-wYwQ7TkRM9GGMdnijfA,part_342,2026-09-20 20:20:45
Star Dairy Farm,Dairy and Milk Parlour,Dairy farm,Dairy farm,755017,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Sujanpur S.O (Jajapur), Bainsiria B.O, Bhurunga B.O",N/A,N/A,4.3,,"5PR6+J9F, Shastri Nagar, Basni Kuriya, Rajasthan 341001",Shastri Nagar,27.1915507,73.7109373,ChIJf80Dw-KRajkRvTRB_kGp9Ic,https://www.google.com/maps/place/?q=place_id:ChIJf80Dw-KRajkRvTRB_kGp9Ic,part_342,2026-09-20 20:20:45
Puremilk Hormones Free Organic A2 Cow Milk,Dairy and Milk Parlour,Dairy,Dairy,755017,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Sujanpur S.O (Jajapur), Bainsiria B.O, Bhurunga B.O",+91 98319 58979,http://puremilk.co.in/,3.9,,"Organic cow Milk, Hormones free milk cow farms Dhaniakhali Hooghly Kolkata Office - 6 Waterloo Street 1st Floor Room no 101, Kolkata, West Bengal 700069","Chowringhee North, Bow Barracks",22.5677418,88.349576,ChIJoWKCV6Z3AjoRlu-eaz2IUeg,https://www.google.com/maps/place/?q=place_id:ChIJoWKCV6Z3AjoRlu-eaz2IUeg,part_342,2026-09-20 20:20:45
Dugh Sahkari Mahila Samiti Dairy,Dairy and Milk Parlour,Dairy farm,Dairy farm,755017,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Sujanpur S.O (Jajapur), Bainsiria B.O, Bhurunga B.O",N/A,N/A,4.2,,"bilandarpur, Khejroli, Rajasthan 303803",755017,27.3312784,75.71711429999999,ChIJASj404MCbTkRBOWNibhs408,https://www.google.com/maps/place/?q=place_id:ChIJASj404MCbTkRBOWNibhs408,part_342,2026-09-20 20:20:45
Kanaka dairy farm,Dairy and Milk Parlour,Dairy farm,Dairy farm,755017,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Sujanpur S.O (Jajapur), Bainsiria B.O, Bhurunga B.O",N/A,N/A,5.0,,"CXVG+CX, Vaddinahalli, Karnataka 577556",755017,14.443895099999999,75.9776708,ChIJSVqVAAAlujsRpKUtPHosrgM,https://www.google.com/maps/place/?q=place_id:ChIJSVqVAAAlujsRpKUtPHosrgM,part_342,2026-09-20 20:20:45
Mayank yadav makhiniya,Dairy and Milk Parlour,Milk delivery service,Milk delivery service,755017,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Sujanpur S.O (Jajapur), Bainsiria B.O, Bhurunga B.O",N/A,N/A,5.0,,"HW2M+WJW, Karanpura, Sadisopur, Bihar 801111",755017,25.5523651,84.934091,ChIJA2JBHwBVjTkRimcxZuYx1n0,https://www.google.com/maps/place/?q=place_id:ChIJA2JBHwBVjTkRimcxZuYx1n0,part_342,2026-09-20 20:20:45
Mother dairy bagru,Dairy and Milk Parlour,Milk delivery service,Milk delivery service,755017,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Sujanpur S.O (Jajapur), Bainsiria B.O, Bhurunga B.O",N/A,N/A,3.9,,"RH38+7C7, Bagru, Rajasthan 303007",755017,26.803158399999997,75.5660425,ChIJk89qBABJbDkRn3HnY3aTEPg,https://www.google.com/maps/place/?q=place_id:ChIJk89qBABJbDkRn3HnY3aTEPg,part_342,2026-09-20 20:20:45
Yadav ji dudh dairy,Dairy and Milk Parlour,Milk delivery service,"Milk delivery service, Farm",755017,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Sujanpur S.O (Jajapur), Bainsiria B.O, Bhurunga B.O",+91 83295 14401,N/A,4.5,,"Haider Ali Ground Rd, Sidharth Nagar, Nagpur, Maharashtra 440026",Sidharth Nagar,21.182187799999998,79.1208498,ChIJLU7ZOwDH1DsRWgyvgmWQ0xo,https://www.google.com/maps/place/?q=place_id:ChIJLU7ZOwDH1DsRWgyvgmWQ0xo,part_342,2026-09-20 20:20:45
