business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Ds EVENT,Event Planners/Wedding Planners,Party planner,Party planner,755018,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Sukinda S.O, Amploba B.O, Atta B.O",+91 82601 26528,N/A,,,"Bhuban, Odisha 759017",755018,20.9131403,85.8378972,ChIJ_wsy9r4xGToRSaOcZfheUHI,https://www.google.com/maps/place/?q=place_id:ChIJ_wsy9r4xGToRSaOcZfheUHI,part_342,2026-09-20 20:21:53
S Events,Event Planners/Wedding Planners,Event planner,Event planner,755018,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Sukinda S.O, Amploba B.O, Atta B.O",+91 98530 00607,N/A,,,"3rd floor, santibidya bhawan, Laxmi Bazar, near State Bank, bhuban,pin-759017, Bhuban, Odisha 759017",755018,20.8848931,85.82779599999999,ChIJdQepsH8xGToRe7EhLPsra38,https://www.google.com/maps/place/?q=place_id:ChIJdQepsH8xGToRe7EhLPsra38,part_342,2026-09-20 20:21:53
SAHOO EVENT,Event Planners/Wedding Planners,Event management company,Event management company,755018,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Sukinda S.O, Amploba B.O, Atta B.O",N/A,N/A,,,"Bankual, Jiral, Odisha 759023",755018,20.8586588,85.6700216,ChIJIV9HI9gpGToR_2s__sQEPaM,https://www.google.com/maps/place/?q=place_id:ChIJIV9HI9gpGToR_2s__sQEPaM,part_342,2026-09-20 20:21:53
Shreerasthu Wedding Planners,Event Planners/Wedding Planners,Wedding planner,"Wedding planner, Event management company, Event planner",755018,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Sukinda S.O, Amploba B.O, Atta B.O",+91 84988 82088,https://shreerasthuwp.com/,4.9,,"5th floor, Sridevi Enclave, Opp: Harsha Lab, 3rd Ln, Opp. HDFC Bank, Dwaraka Nagar, Visakhapatnam, Andhra Pradesh 530016","Opp. HDFC Bank, Dwaraka Nagar",17.7273013,83.30619449999999,ChIJDWz-6q5uOToRX5kbs8PgLx0,https://www.google.com/maps/place/?q=place_id:ChIJDWz-6q5uOToRX5kbs8PgLx0,part_342,2026-09-20 20:21:53
DIVAS - WEDDING & EVENT PLANNER,Event Planners/Wedding Planners,Wedding planner,"Wedding planner, Boutique, Entertainment agency, Event planner, Party planner, Event management company, Wedding service, Wedding venue",755018,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Sukinda S.O, Amploba B.O, Atta B.O",+91 97400 61799,https://www.instagram.com/divaseventplanner_/,4.8,,"D.NO - 1-1, 71/27 Bhatrakumeru, 2nd Cross Rd, Padavinangady, SBI Colony, Konchady, Mangaluru, Karnataka 575008","Padavinangady, SBI Colony, Konchady",12.9124505,74.87130499999999,ChIJ2fIqEsFRozsR9Rk6xtJjMPI,https://www.google.com/maps/place/?q=place_id:ChIJ2fIqEsFRozsR9Rk6xtJjMPI,part_342,2026-09-20 20:21:53
Laxmi Tent house and Sound,Event Planners/Wedding Planners,Event planner,Event planner,755018,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Sukinda S.O, Amploba B.O, Atta B.O",+91 93376 25385,N/A,4.8,,"Khatakhura, Dhobania, Odisha 759039",755018,20.9423909,85.6116737,ChIJ2098Eu4rGToR5jVWtNIAva0,https://www.google.com/maps/place/?q=place_id:ChIJ2098Eu4rGToR5jVWtNIAva0,part_342,2026-09-20 20:21:53
"Sairam Decoretion, Haripur, sukinda,",Event Planners/Wedding Planners,Wedding planner,Wedding planner,755018,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Sukinda S.O, Amploba B.O, Atta B.O",+91 97778 85452,http://www.sairamdecoration.com/,,,"SUKINDA, Haripur, Jamulanda, Odisha 755018",755018,20.8887082,85.9295532,ChIJjTjwGBg3GToR3qVqceGa7D0,https://www.google.com/maps/place/?q=place_id:ChIJjTjwGBg3GToR3qVqceGa7D0,part_342,2026-09-20 20:21:53
Exotic Planner,Event Planners/Wedding Planners,Wedding planner,"Wedding planner, Caterer, Service establishment, Event management company, Event planner",755018,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Sukinda S.O, Amploba B.O, Atta B.O",+91 70013 87757,http://www.exoticplanner.in/,5.0,,"Exotic Planner, 755018, India",755018,23.531103599999998,87.300174,ChIJu2jPlUJXNKQRsZCNGmMf3CY,https://www.google.com/maps/place/?q=place_id:ChIJu2jPlUJXNKQRsZCNGmMf3CY,part_342,2026-09-20 20:21:54
DR Events,Event Planners/Wedding Planners,Wedding planner,"Wedding planner, Event planner, Party planner, Event management company",755018,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Sukinda S.O, Amploba B.O, Atta B.O",+91 88493 90296,https://dreventsindia.in/,5.0,,"SIDDHI VINAYAK TOWER, C-1201, near Kataria Automobiles Road, Makarba, Ahmedabad, Gujarat 380051",Makarba,22.994204399999997,72.4992766,ChIJIzwMNQWFXjkRECb5q2kHJew,https://www.google.com/maps/place/?q=place_id:ChIJIzwMNQWFXjkRECb5q2kHJew,part_342,2026-09-20 20:21:54
RKI Events & Wedding Planners,Event Planners/Wedding Planners,Wedding planner,"Wedding planner, Event planner",755018,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Sukinda S.O, Amploba B.O, Atta B.O",+91 87909 66225,http://www.rkievents.com/,4.8,,"Silpa Pioneer Layout, Plot No. 82, Phase 2, Gachibowli, Hyderabad, Telangana 500081","Phase 2, Gachibowli",17.4437943,78.37207939999999,ChIJo9OZ3qSRyzsRqrs-JLLWAik,https://www.google.com/maps/place/?q=place_id:ChIJo9OZ3qSRyzsRqrs-JLLWAik,part_342,2026-09-20 20:21:54
