business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Shree Jagannath Wellness Centre,Yoga Center,Wellness center,Wellness center,755018,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Sukinda S.O, Amploba B.O, Atta B.O",+91 72050 87378,N/A,4.5,,"Gramya Bank, near by Jiral, Jiral, Odisha 759023",755018,20.8607312,85.6739288,ChIJzQsEOKEpGToRfYMwye0Phpw,https://www.google.com/maps/place/?q=place_id:ChIJzQsEOKEpGToRfYMwye0Phpw,part_342,2026-09-20 20:21:41
Brahma Kumaris Kaliapani,Yoga Center,Meditation center,Meditation center,755018,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Sukinda S.O, Amploba B.O, Atta B.O",+91 99380 90546,http://brahmakumaris.com/,5.0,,"KHATA NO: 53/28 NEAR IMFA COLONY, TAMKA, ROAD, Kaliapani, Odisha 755028",OMC Ore Mines,21.0400574,85.7653322,ChIJc1P8eVgtGToRSPcvVVNi4q4,https://www.google.com/maps/place/?q=place_id:ChIJc1P8eVgtGToRSPcvVVNi4q4,part_342,2026-09-20 20:21:41
Yoga Education Training & Research Centre (YETRC),Yoga Center,Yoga instructor,"Yoga instructor, Ashram",755018,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Sukinda S.O, Amploba B.O, Atta B.O",+91 77000 04326,N/A,5.0,6.0,"Sakuntalapur, Chandikhol, Odisha 754296",755018,20.636067699999998,86.12264689999999,ChIJ_ZUQ4rpnGToREV5ISDj0F68,https://www.google.com/maps/place/?q=place_id:ChIJ_ZUQ4rpnGToREV5ISDj0F68,part_342,2026-09-20 20:21:41
Namami Yoga Academy,Yoga Center,Yoga studio,Yoga studio,755018,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Sukinda S.O, Amploba B.O, Atta B.O",+91 70089 79717,http://namamiyoga.in/,5.0,,"2nd Floor, Unit-7, Plot No. 401, Surya Nagar Rd, Unit 7, Surya Nagar, Bhubaneswar, Odisha 751003","Unit 7, Surya Nagar",20.267221799999998,85.8179767,ChIJJeq7RRunGToRiASe_6Yo0N8,https://www.google.com/maps/place/?q=place_id:ChIJJeq7RRunGToRiASe_6Yo0N8,part_342,2026-09-20 20:21:41
Swadhyay Yoga Therapy & Wellness Centre,Yoga Center,Yoga studio,Yoga studio,755018,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Sukinda S.O, Amploba B.O, Atta B.O",+91 98775 24714,N/A,5.0,,"near war gym, Pathankot, Punjab 145001",755018,32.2612155,75.6558289,ChIJe8MSgLZ_HDkRc6yGZOm20ig,https://www.google.com/maps/place/?q=place_id:ChIJe8MSgLZ_HDkRc6yGZOm20ig,part_342,2026-09-20 20:21:41
The Soulful Yoga & Wellness Retreat Bundi,Yoga Center,Yoga instructor,Yoga instructor,755018,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Sukinda S.O, Amploba B.O, Atta B.O",N/A,N/A,5.0,48.0,"Haveli Katkoun, Balchand Para, Bundi, Rajasthan 323001",Balchand Para,25.4476177,75.634413,ChIJJ2f7SBsJbzkRFPRe-6gC7Zg,https://www.google.com/maps/place/?q=place_id:ChIJJ2f7SBsJbzkRFPRe-6gC7Zg,part_342,2026-09-20 20:21:42
YOGA LIFE STUDIO,Yoga Center,Yoga studio,Yoga studio,755018,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Sukinda S.O, Amploba B.O, Atta B.O",N/A,N/A,4.9,114.0,"Oppo Aujla Electrical, no -7, street, Circular Road, Ashok Vihar, New Abadi, Kapurthala, Punjab 144601","Ashok Vihar, New Abadi",31.3682861,75.3867076,ChIJB5eAtjRJGjkRS8nuaghXNVY,https://www.google.com/maps/place/?q=place_id:ChIJB5eAtjRJGjkRS8nuaghXNVY,part_342,2026-09-20 20:21:42
Haldia Yoga Therapy and Education Centre,Yoga Center,Yoga studio,Yoga studio,755018,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Sukinda S.O, Amploba B.O, Atta B.O",+91 89001 61877,N/A,5.0,,"44C6+M27, Sutahata, West Bengal 721635",755018,22.1215825,88.1099067,ChIJGT1pAAD3AjoRzp60EmYL8U0,https://www.google.com/maps/place/?q=place_id:ChIJGT1pAAD3AjoRzp60EmYL8U0,part_342,2026-09-20 20:21:43
MATANGINI YOGA CENTRE,Yoga Center,Yoga instructor,Yoga instructor,755018,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Sukinda S.O, Amploba B.O, Atta B.O",+91 98328 14313,https://matanginiyogacentre.com/,5.0,,"X6H4+888, Sitarampur, West Bengal 743374",755018,21.9782619,88.2057726,ChIJi7k5aABXAjoR7DEjiPGvWdU,https://www.google.com/maps/place/?q=place_id:ChIJi7k5aABXAjoR7DEjiPGvWdU,part_342,2026-09-20 20:21:43
Aarogyam Yoga & Wellness Studio,Yoga Center,Yoga studio,Yoga studio,755018,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Sukinda S.O, Amploba B.O, Atta B.O",N/A,https://aarogyamyoga.com/,5.0,,"Bilpar Rd, near New Oxford School, Padmanagar, Kanakpur, Silchar, Uttar Krishnapur Pt II, Assam 788001","Padmanagar, Kanakpur",24.8174332,92.8040948,ChIJEbnLOUNKTjcR1juwqybZHcQ,https://www.google.com/maps/place/?q=place_id:ChIJEbnLOUNKTjcR1juwqybZHcQ,part_342,2026-09-20 20:21:43
