business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
JANA SEBA KENDRA CYBER WORLD CSC JAJPUR ROAD,Internet Cafe,Internet shop,Internet shop,755019,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Jajpur Road RS S.O, Andhari B.O, Aswasthapal B.O",+91 91148 75442,https://www.facebook.com/profile.php?id=100069796675206,4.1,,"Infront of, College, Byasanagar, Odisha 755019",755019,20.9582655,86.1162848,ChIJO9Ei7MFTGToRp4jgV4LTWbc,https://www.google.com/maps/place/?q=place_id:ChIJO9Ei7MFTGToRp4jgV4LTWbc,part_342,2026-09-20 20:22:45
INTERNET CAFE,Internet Cafe,Internet cafe,Internet cafe,755019,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Jajpur Road RS S.O, Andhari B.O, Aswasthapal B.O",N/A,https://www.ic.rtspl.in/,5.0,,"Barapada, Sainkul, Odisha 758043",Barapada,21.1192754,86.11612009999999,ChIJ2TG3zW6tHjoRy7nYsxvKIis,https://www.google.com/maps/place/?q=place_id:ChIJ2TG3zW6tHjoRy7nYsxvKIis,part_342,2026-09-20 20:22:45
Simplex zone,Internet Cafe,Internet cafe,"Internet cafe, Store",755019,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Jajpur Road RS S.O, Andhari B.O, Aswasthapal B.O",N/A,N/A,4.3,,"X458+5M6, Byasanagar, Odisha 755019",755019,20.957902,86.1166418,ChIJXeQb-pFTGToR9A6vAQDf2VQ,https://www.google.com/maps/place/?q=place_id:ChIJXeQb-pFTGToR9A6vAQDf2VQ,part_342,2026-09-20 20:22:45
MAA HINGULA COMMUNICATION (CSC),Internet Cafe,Internet cafe,Internet cafe,755019,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Jajpur Road RS S.O, Andhari B.O, Aswasthapal B.O",N/A,N/A,5.0,,"3448+297, Andhari, Odisha 755019",755019,21.05493,86.11602049999999,ChIJ5-_rSACtHjoRrKdXESW2Ar0,https://www.google.com/maps/place/?q=place_id:ChIJ5-_rSACtHjoRrKdXESW2Ar0,part_342,2026-09-20 20:22:45
Sahoo JanaSeva Kendra Internet Point,Internet Cafe,Internet cafe,Internet cafe,755019,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Jajpur Road RS S.O, Andhari B.O, Aswasthapal B.O",+91 80183 28195,N/A,5.0,,"Nh 20, Chhak, Badapadana, Odisha 758043",Chhak,21.0772414,86.1104763,ChIJ6Rv4FzytHjoRMzSuNLavO6A,https://www.google.com/maps/place/?q=place_id:ChIJ6Rv4FzytHjoRMzSuNLavO6A,part_342,2026-09-20 20:22:45
TPS CYBER CAFE,Internet Cafe,Internet cafe,Internet cafe,755019,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Jajpur Road RS S.O, Andhari B.O, Aswasthapal B.O",N/A,N/A,4.0,,"X399+426, SH 20, Khurunti, Odisha 755026",755019,20.9677673,86.0675339,ChIJoc5XFgBNGToR5WT-h76rOE8,https://www.google.com/maps/place/?q=place_id:ChIJoc5XFgBNGToR5WT-h76rOE8,part_342,2026-09-20 20:22:45
Swati Communication,Internet Cafe,Internet cafe,Internet cafe,755019,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Jajpur Road RS S.O, Andhari B.O, Aswasthapal B.O",+91 98614 05580,N/A,4.0,,"AT-SAHU MARKET,PO/PS, Byasanagar, Odisha 755019",New Market,20.9415527,86.1326271,ChIJK8kcs_1RGToRBqewuwUsKgo,https://www.google.com/maps/place/?q=place_id:ChIJK8kcs_1RGToRBqewuwUsKgo,part_342,2026-09-20 20:22:45
RJ DIGITAL CENTER,Internet Cafe,Internet cafe,Internet cafe,755019,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Jajpur Road RS S.O, Andhari B.O, Aswasthapal B.O",N/A,N/A,5.0,,"3XVM+3H3, Fuljhar-Chitri Road, Tomka Forest Block, Odisha 755019",755019,21.0925893,85.9839878,ChIJ4bMkEQC1HjoRcoq2_mc4K9s,https://www.google.com/maps/place/?q=place_id:ChIJ4bMkEQC1HjoRcoq2_mc4K9s,part_342,2026-09-20 20:22:45
Sree bookstore ( ଜନସେବା କେନ୍ଦ୍ର ),Internet Cafe,Internet cafe,Internet cafe,755019,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Jajpur Road RS S.O, Andhari B.O, Aswasthapal B.O",N/A,N/A,5.0,,"24JF+JWG, Manjuri, Odisha 755019",755019,21.031542599999998,86.12486249999999,ChIJ7WOdEgBTGToRfdPT5cXPnJU,https://www.google.com/maps/place/?q=place_id:ChIJ7WOdEgBTGToRfdPT5cXPnJU,part_342,2026-09-20 20:22:45
"MO SEVA KENDRA,TAHARPUR GP",Internet Cafe,Internet cafe,Internet cafe,755019,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Jajpur Road RS S.O, Andhari B.O, Aswasthapal B.O",N/A,N/A,5.0,,"Mulasaragada, Odisha 755019",755019,20.973876999999998,86.1484756,ChIJjdiDYQBTGToRweWgqSQGTDs,https://www.google.com/maps/place/?q=place_id:ChIJjdiDYQBTGToRweWgqSQGTDs,part_342,2026-09-20 20:22:45
