business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"Nilamani Biswal house,Jajpur, Odisha",Property Developers,Housing society,Housing society,755027,Odisha circle,Bhubaneswar HQ Region,Cuttack North Division,"Baniapal B.O, Bodua B.O, Brahamanigaon B.O",N/A,N/A,5.0,2.0,"Q9JG+HM8, Sasanda, Jajpur, Jainmara, Odisha 755027",Sasanda,20.7814245,86.37669869999999,ChIJ5awTMJnlGzoRZtBATFXtqJs,https://www.google.com/maps/place/?q=place_id:ChIJ5awTMJnlGzoRZtBATFXtqJs,part_342,2026-09-20 20:28:10
Property of AUROBINDO CHOUDHURY,Property Developers,Housing development,Housing development,755027,Odisha circle,Bhubaneswar HQ Region,Cuttack North Division,"Baniapal B.O, Bodua B.O, Brahamanigaon B.O",N/A,N/A,,,"Q9Q7+9H9, Baruna, Odisha 755027",755027,20.7884116,86.3639767,ChIJm6kSOQDlGzoR5n_AT46hH7s,https://www.google.com/maps/place/?q=place_id:ChIJm6kSOQDlGzoR5n_AT46hH7s,part_342,2026-09-20 20:28:10
Home,Property Developers,Housing society,Housing society,755027,Odisha circle,Bhubaneswar HQ Region,Cuttack North Division,"Baniapal B.O, Bodua B.O, Brahamanigaon B.O",N/A,N/A,5.0,2.0,"Q97W+WF8, Arei, Odisha 755027",755027,20.764825,86.396265,ChIJcYUncQDnGzoRHBVJiTntEUk,https://www.google.com/maps/place/?q=place_id:ChIJcYUncQDnGzoRHBVJiTntEUk,part_342,2026-09-20 20:28:10
JENA HOUSE,Property Developers,Housing development,Housing development,755027,Odisha circle,Bhubaneswar HQ Region,Cuttack North Division,"Baniapal B.O, Bodua B.O, Brahamanigaon B.O",N/A,N/A,4.5,2.0,"PCR4+94M, Unnamed Road, Raghunathapur, Binjharpur, Odisha 755027",755027,20.7409695,86.40529029999999,ChIJ_T1oV9_nGzoR9vymoGtE7SQ,https://www.google.com/maps/place/?q=place_id:ChIJ_T1oV9_nGzoR9vymoGtE7SQ,part_342,2026-09-20 20:28:10
"Pradhan Sahi, Jagannathpur,jajpur",Property Developers,Housing society,Housing society,755027,Odisha circle,Bhubaneswar HQ Region,Cuttack North Division,"Baniapal B.O, Bodua B.O, Brahamanigaon B.O",N/A,N/A,5.0,1.0,"Q9VW+XJ, Rahasoi, Odisha 755062",755027,20.794997799999997,86.3959481,ChIJR6cCPgDlGzoR53Z4qADV34A,https://www.google.com/maps/place/?q=place_id:ChIJR6cCPgDlGzoR53Z4qADV34A,part_342,2026-09-20 20:28:10
Puja,Property Developers,Housing development,Housing development,755027,Odisha circle,Bhubaneswar HQ Region,Cuttack North Division,"Baniapal B.O, Bodua B.O, Brahamanigaon B.O",N/A,N/A,3.0,1.0,"Q9C3+WMM, Arei, Aradapada, Odisha 755062",755027,20.772344699999998,86.3541755,ChIJQTKsrKrlGzoRkKYOucoCI4k,https://www.google.com/maps/place/?q=place_id:ChIJQTKsrKrlGzoRkKYOucoCI4k,part_342,2026-09-20 20:28:10
Bunu House,Property Developers,Housing society,Housing society,755027,Odisha circle,Bhubaneswar HQ Region,Cuttack North Division,"Baniapal B.O, Bodua B.O, Brahamanigaon B.O",N/A,N/A,5.0,2.0,"Q9JF+795, Sasanda, Arei, Odisha 755027",Sasanda,20.780746999999998,86.373359,ChIJg_hXDADlGzoRRVYg6Ega-8U,https://www.google.com/maps/place/?q=place_id:ChIJg_hXDADlGzoRRVYg6Ega-8U,part_342,2026-09-20 20:28:10
Gopal Das,Property Developers,Housing complex,Housing complex,755027,Odisha circle,Bhubaneswar HQ Region,Cuttack North Division,"Baniapal B.O, Bodua B.O, Brahamanigaon B.O",N/A,N/A,4.9,8.0,"Q964+RG, Injanpur, Odisha 755027",755027,20.762507,86.35590289999999,ChIJaz_L9yTnGzoR-DXGKcDKdNw,https://www.google.com/maps/place/?q=place_id:ChIJaz_L9yTnGzoR-DXGKcDKdNw,part_342,2026-09-20 20:28:10
Shakti family House,Property Developers,Housing society,Housing society,755027,Odisha circle,Bhubaneswar HQ Region,Cuttack North Division,"Baniapal B.O, Bodua B.O, Brahamanigaon B.O",N/A,N/A,5.0,1.0,"QCV2+53H, Korei Praharajpur, Brundabanpur, Badasingha, Odisha 755062",Korei Praharajpur,20.792935,86.40024009999999,ChIJ8cP_j3TlGzoRbt2cCvPAZIc,https://www.google.com/maps/place/?q=place_id:ChIJ8cP_j3TlGzoRbt2cCvPAZIc,part_342,2026-09-20 20:28:10
Badapal Jajpur,Property Developers,Housing society,Housing society,755027,Odisha circle,Bhubaneswar HQ Region,Cuttack North Division,"Baniapal B.O, Bodua B.O, Brahamanigaon B.O",N/A,N/A,,,"Q928+JX9, Jajpur - Singhpur Rd, Kapasi, Badapal, Mainda, Odisha 755027",Kapasi,20.7515493,86.3674977,ChIJHS0W-ybnGzoRgH8Q4Y9Q0tM,https://www.google.com/maps/place/?q=place_id:ChIJHS0W-ybnGzoRgH8Q4Y9Q0tM,part_342,2026-09-20 20:28:10
