business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
MOHARANA TRAVELS,Tour and Travel Operator,Travel agency,Travel agency,755049,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Kantigadia S.O, Khadianga B.O, Krushnapur Sasan B.O",N/A,N/A,,,"J5W4+6XF, Basudevpur Road, Nuahat, Baratha, Jajpur, Odisha 754296",Nuahat,20.6455655,86.1574369,ChIJYTX25elnGToRW3QcCWh_BjI,https://www.google.com/maps/place/?q=place_id:ChIJYTX25elnGToRW3QcCWh_BjI,part_342,2026-09-20 20:31:33
Hatiasuni (buddhist site) kkaima(raja),Tour and Travel Operator,Visitor center,Visitor center,755049,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Kantigadia S.O, Khadianga B.O, Krushnapur Sasan B.O",N/A,N/A,5.0,,"Q54P+XWM, Kaima, Kaimabada, Odisha 755008",Kaima,20.7574686,86.1873083,ChIJJ-CcegBfGToRLtA0sKSSV2Y,https://www.google.com/maps/place/?q=place_id:ChIJJ-CcegBfGToRLtA0sKSSV2Y,part_342,2026-09-20 20:31:33
Achyuta Travel Mayapur & Tours,Tour and Travel Operator,Travel agency,Travel agency,755049,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Kantigadia S.O, Khadianga B.O, Krushnapur Sasan B.O",+91 78724 32727,https://travelmayapur.com/,5.0,,"Sree Gour Nitai Nivas, Gournagar, near Gupta Vrindavan, Bamanpukur, West Bengal 741313",755049,23.432116,88.3927278,ChIJl-D1nNod-TkRCLzHFZi06ik,https://www.google.com/maps/place/?q=place_id:ChIJl-D1nNod-TkRCLzHFZi06ik,part_342,2026-09-20 20:31:33
Travel Pilot Holiday - Tour & Travel Agency In Kolkata | Domestic & International,Tour and Travel Operator,Travel agency,"Travel agency, Sightseeing Tour Operator, Tour agency, Tour operator, Tourist information center, Railway Ticket Agent",755049,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Kantigadia S.O, Khadianga B.O, Krushnapur Sasan B.O",+91 86975 38798,https://travelpilot.in/,5.0,,"AG-104, F13, 1st Floor, Sourav Abason (New Market Baishakhi, Salt Lake - Kestopur Brg, Kolkata, West Bengal 700091","AG Block, Sector 2, Bidhannagar",22.5967844,88.42387889999999,ChIJxxQ-Ash1AjoR_LRjvYsJCQQ,https://www.google.com/maps/place/?q=place_id:ChIJxxQ-Ash1AjoR_LRjvYsJCQQ,part_342,2026-09-20 20:31:33
Adventure Holidays,Tour and Travel Operator,Travel agency,"Travel agency, Sightseeing Tour Operator, Tour agency, Tour operator",755049,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Kantigadia S.O, Khadianga B.O, Krushnapur Sasan B.O",+91 97752 71991,http://www.adventureholiday.in/,4.8,,"Sepco Twp, Durgapur, West Bengal 713205",Sepco Township,23.5495083,87.316925,ChIJUaRN6oFx9zkRQdCmxe3k6HA,https://www.google.com/maps/place/?q=place_id:ChIJUaRN6oFx9zkRQdCmxe3k6HA,part_342,2026-09-20 20:31:33
Gauranga Travels,Tour and Travel Operator,Travel agency,Travel agency,755049,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Kantigadia S.O, Khadianga B.O, Krushnapur Sasan B.O",+91 95934 79990,http://www.gaurangatravels.in/,4.1,,"C9GQ+8G4, Mayapuyr, Nadia, West Bengal, Mayapur, West Bengal 741313",755049,23.4257706,88.3888163,ChIJa5ANsTMc-TkRrkChsENW82M,https://www.google.com/maps/place/?q=place_id:ChIJa5ANsTMc-TkRrkChsENW82M,part_342,2026-09-20 20:31:33
Puja Travels India (Travel Club),Tour and Travel Operator,Travel agency,Travel agency,755049,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Kantigadia S.O, Khadianga B.O, Krushnapur Sasan B.O",+91 90078 98555,http://www.pujatravelsindia.com/,4.8,,"Arup, bhadra Sarani, Masterpara, Subuddhipur, Baruipur, West Bengal 700144","Masterpara, Subuddhipur",22.3672289,88.4320453,ChIJeeoq81FsAjoRc3Wf93gqZpM,https://www.google.com/maps/place/?q=place_id:ChIJeeoq81FsAjoRc3Wf93gqZpM,part_342,2026-09-20 20:31:33
Mayapur Travels,Tour and Travel Operator,Travel agency,Travel agency,755049,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Kantigadia S.O, Khadianga B.O, Krushnapur Sasan B.O",+91 76791 77229,http://www.mayapurtravels.com/,4.9,,"ISKCON, CAMPUS, Mayapur, West Bengal 741313",755049,23.4258196,88.3889398,ChIJ9xUKlvwd-TkRsTJG995tPCk,https://www.google.com/maps/place/?q=place_id:ChIJ9xUKlvwd-TkRsTJG995tPCk,part_342,2026-09-20 20:31:33
Soumya CSC Center,Tour and Travel Operator,Railway Ticket Agent,Railway Ticket Agent,755049,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Kantigadia S.O, Khadianga B.O, Krushnapur Sasan B.O",N/A,N/A,3.0,,"J5W5+M5G, Kaudkol, Odisha 754296",755049,20.646729399999998,86.15795469999999,ChIJccu6r3JnGToRGYPY38oRAd4,https://www.google.com/maps/place/?q=place_id:ChIJccu6r3JnGToRGYPY38oRAd4,part_342,2026-09-20 20:31:33
Fidato Tours & Travels- Domestic and International Travel Agency in Kolkata,Tour and Travel Operator,Travel agency,"Travel agency, Bus ticket agency, Car leasing service, Hotel, Sightseeing Tour Operator, Tour agency, Tour operator, Visa Agent",755049,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Kantigadia S.O, Khadianga B.O, Krushnapur Sasan B.O",+91 89812 25755,http://www.fidatotoursandtravels.com/,5.0,43.0,"91/1B, Tollygunge Rd, Tollygunge, Kolkata, West Bengal 700033",Tollygunge,22.5069447,88.34241039999999,ChIJ-YbPKwBxAjoR6xgXqS5D3rc,https://www.google.com/maps/place/?q=place_id:ChIJ-YbPKwBxAjoR6xgXqS5D3rc,part_342,2026-09-20 20:31:35
