business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Apollo Pharmacy Baniamal Kendrapara,24 Hour Pharmacy,Pharmacy,Pharmacy,755061,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Govindpur Kutchery S.O, Aragal B.O, Dadhibamanpur B.O",+91 90780 40554,https://www.apollopharmacy.in/,4.6,11.0,"Ground Floor, Plot No.106, Kendrapara Bypass Rd, opp. Hotel Golden Palace, Baniamal, Kendrapara, Odisha 754211",Baniamal,20.5092195,86.4087914,ChIJH-ly0-bbGzoRFoMsHWO2v2w,https://www.google.com/maps/place/?q=place_id:ChIJH-ly0-bbGzoRFoMsHWO2v2w,part_342,2026-09-20 20:33:39
Jay Shree Ram MEDICINE STORE,24 Hour Pharmacy,Pharmacy,Pharmacy,755061,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Govindpur Kutchery S.O, Aragal B.O, Dadhibamanpur B.O",+91 98613 15057,N/A,5.0,2.0,"Tinmuhani, Kendrapara, Odisha 754211",Tinmuhani,20.515616599999998,86.4005871,ChIJZyE7NsLaGzoREWem0VXEbY0,https://www.google.com/maps/place/?q=place_id:ChIJZyE7NsLaGzoREWem0VXEbY0,part_342,2026-09-20 20:33:39
Pupul Medicine Store,24 Hour Pharmacy,Pharmacy,Pharmacy,755061,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Govindpur Kutchery S.O, Aragal B.O, Dadhibamanpur B.O",N/A,N/A,4.7,9.0,"Trinath bazar, Cuttack - Chandabali Rd, Gulnagar, Kendrapara, Odisha 754250",755061,20.516429499999997,86.4052177,ChIJ629VRMTaGzoRmziloTgAlls,https://www.google.com/maps/place/?q=place_id:ChIJ629VRMTaGzoRmziloTgAlls,part_342,2026-09-20 20:33:39
Jagannatha medicine store,24 Hour Pharmacy,Pharmacy,Pharmacy,755061,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Govindpur Kutchery S.O, Aragal B.O, Dadhibamanpur B.O",N/A,N/A,5.0,1.0,"PMMW+873, Rajkanika, Gokarneswar, Odisha 754220",755061,20.7332695,86.6956838,ChIJs-CNWQCXGzoRYFpi4-jiOY8,https://www.google.com/maps/place/?q=place_id:ChIJs-CNWQCXGzoRYFpi4-jiOY8,part_342,2026-09-20 20:33:39
Anuja Medicine Store,24 Hour Pharmacy,Pharmacy,Pharmacy,755061,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Govindpur Kutchery S.O, Aragal B.O, Dadhibamanpur B.O",+91 79783 84795,N/A,3.3,3.0,"Badapal Dia, Athabatia, Odisha 754213",755061,20.3983304,86.4874385,ChIJV5H4yaXOGzoRUFGK1PL1lCo,https://www.google.com/maps/place/?q=place_id:ChIJV5H4yaXOGzoRUFGK1PL1lCo,part_342,2026-09-20 20:33:39
Kalyani Medicines,24 Hour Pharmacy,Pharmacy,Pharmacy,755061,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Govindpur Kutchery S.O, Aragal B.O, Dadhibamanpur B.O",+91 94374 03925,N/A,5.0,3.0,"G98X+9G7, in front of kendrapara, main gate, Kendrapara, Odisha 754211",main gate,20.5159201,86.39881059999999,ChIJc51-dMLaGzoRi1Uxmy74jDw,https://www.google.com/maps/place/?q=place_id:ChIJc51-dMLaGzoRi1Uxmy74jDw,part_342,2026-09-20 20:33:39
Kendrapara Medicare,24 Hour Pharmacy,Pharmacy,Pharmacy,755061,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Govindpur Kutchery S.O, Aragal B.O, Dadhibamanpur B.O",+91 98531 94606,N/A,5.0,1.0,"SAMGUDIA, SRI BALADEVJEW, Kendrapara, Nembara, Odisha 754212",755061,20.4747461,86.50976089999999,ChIJ4ZlAnQHJGzoRRD_wlM2ntg0,https://www.google.com/maps/place/?q=place_id:ChIJ4ZlAnQHJGzoRRD_wlM2ntg0,part_342,2026-09-20 20:33:39
CHINMAYA MEDICINES,24 Hour Pharmacy,Pharmacy,"Pharmacy, Local medical services",755061,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Govindpur Kutchery S.O, Aragal B.O, Dadhibamanpur B.O",+91 79927 04260,N/A,4.3,10.0,"HHC9+GRH, College Rd, Pokhariapara, Pattamundai, Odisha 754215",755061,20.571279999999998,86.5696042,ChIJ-3UvNrnHGzoRHx4phkcsieg,https://www.google.com/maps/place/?q=place_id:ChIJ-3UvNrnHGzoRHx4phkcsieg,part_342,2026-09-20 20:33:40
Apollo Pharmacy,24 Hour Pharmacy,Pharmacy,"Pharmacy, Drug store, Medical equipment supplier, Sports nutrition store, Surgical supply store, Vitamin & supplements store",755061,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Govindpur Kutchery S.O, Aragal B.O, Dadhibamanpur B.O",+91 76828 16647,https://www.apollopharmacy.in/?utm_source=gmb&utm_medium=organic&utm_campaign=sulekhapromanage-apollo-pharmacy,4.3,33.0,"Plot No. 200/351, Mining Rd, Kashipur, Keonjhar, Odisha 758001",Kashipur,21.6359224,85.61737889999999,ChIJH_G1W8ECHzoRNsy_4yu06zo,https://www.google.com/maps/place/?q=place_id:ChIJH_G1W8ECHzoRNsy_4yu06zo,part_342,2026-09-20 20:33:40
SAI MEDICINE HOUSE,24 Hour Pharmacy,Pharmacy,Pharmacy,755061,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Govindpur Kutchery S.O, Aragal B.O, Dadhibamanpur B.O",N/A,N/A,4.4,7.0,"BHRAMARADIA PATANA, Udayanagar, Gualsingh, Odisha 754250",755061,20.5185513,86.3953736,ChIJBQtLjejaGzoRUg6HMB0m6ZM,https://www.google.com/maps/place/?q=place_id:ChIJBQtLjejaGzoRUg6HMB0m6ZM,part_342,2026-09-20 20:33:40
Shifa Medicine Store,24 Hour Pharmacy,Pharmacy,Pharmacy,755061,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Govindpur Kutchery S.O, Aragal B.O, Dadhibamanpur B.O",+91 70082 38311,N/A,3.3,,"GC2F+JCW, Balagandi Bazar, Kendrapara, Odisha 754211",Balagandi Bazar,20.5016198,86.4235683,ChIJUQ0mHEzFGzoRbl2HEPlHlDQ,https://www.google.com/maps/place/?q=place_id:ChIJUQ0mHEzFGzoRbl2HEPlHlDQ,part_342,2026-09-20 20:33:41
