business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"GYM X, KENDRAPARA",Gym and Fitness Center,Gym,"Gym, Dietitian, Fitness center, Health consultant, Nutritionist, Sports nutrition store",755061,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Govindpur Kutchery S.O, Aragal B.O, Dadhibamanpur B.O",N/A,http://www.gymxfitness.com/,4.8,,"Top floor of, DCB Bank - GualSingh, Gualsingh, Kendrapara, Odisha 754250",755061,20.515844299999998,86.3865538,ChIJZYJ_3NHbGzoRr3RAJ581NPU,https://www.google.com/maps/place/?q=place_id:ChIJZYJ_3NHbGzoRr3RAJ581NPU,part_342,2026-09-20 20:33:43
THE FITNESS ZONE GYM,Gym and Fitness Center,Gym,Gym,755061,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Govindpur Kutchery S.O, Aragal B.O, Dadhibamanpur B.O",N/A,N/A,4.6,,"Bilikana Main Road Bilikana, Aul, Odisha 754215",755061,20.602746699999997,86.5951006,ChIJa-gXbjW_GzoRphAqtBmttHg,https://www.google.com/maps/place/?q=place_id:ChIJa-gXbjW_GzoRphAqtBmttHg,part_342,2026-09-20 20:33:43
Kobra gym,Gym and Fitness Center,Gym,Gym,755061,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Govindpur Kutchery S.O, Aragal B.O, Dadhibamanpur B.O",+91 89260 09497,https://www.instagram.com/kobra__gym?igsh=MXN1cnBhaDdtb3N3eQ==,5.0,,"Dargha bypass road, Kendrapara, Odisha 754211",755061,20.5065399,86.41774769999999,ChIJsQoZI2LbGzoR3IntOEhZsuk,https://www.google.com/maps/place/?q=place_id:ChIJsQoZI2LbGzoR3IntOEhZsuk,part_342,2026-09-20 20:33:43
THE SQUAT GYM,Gym and Fitness Center,Gym,Gym,755061,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Govindpur Kutchery S.O, Aragal B.O, Dadhibamanpur B.O",+91 82496 24075,N/A,4.6,,"VIP Rd, Garapur, Kendrapara, Odisha 754211",755061,20.5160503,86.4218945,ChIJky3Eeq3FGzoR5Z9uj2Ej2DI,https://www.google.com/maps/place/?q=place_id:ChIJky3Eeq3FGzoR5Z9uj2Ej2DI,part_342,2026-09-20 20:33:43
VISION HEALTH CLUB,Gym and Fitness Center,Gym,Gym,755061,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Govindpur Kutchery S.O, Aragal B.O, Dadhibamanpur B.O",+91 97771 40447,N/A,5.0,,"CHAKA, Nahulia, Rajkanika, Odisha 754220",CHAKA,20.7216149,86.7242672,ChIJ7U-sQ-eXGzoRofV2FgnXf8E,https://www.google.com/maps/place/?q=place_id:ChIJ7U-sQ-eXGzoRofV2FgnXf8E,part_342,2026-09-20 20:33:43
JAGUAR GYM,Gym and Fitness Center,Gym,Gym,755061,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Govindpur Kutchery S.O, Aragal B.O, Dadhibamanpur B.O",N/A,N/A,4.5,,"Mahipal Rd, Kendrapara, Odisha 754211",755061,20.5104637,86.40697589999999,ChIJU9N9AdzbGzoRxKrIF7Vtvdo,https://www.google.com/maps/place/?q=place_id:ChIJU9N9AdzbGzoRxKrIF7Vtvdo,part_342,2026-09-20 20:33:43
"Fitness addiction gym ,sanamangala, kendrapara",Gym and Fitness Center,Gym,Gym,755061,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Govindpur Kutchery S.O, Aragal B.O, Dadhibamanpur B.O",+91 63717 86186,N/A,5.0,,"Sanamangala Mandir, Plot No.142, Shasanipara, Kendrapara, Odisha 754211",Shasanipara,20.4961605,86.4272866,ChIJS5YXYFfFGzoRAuotrPwvlIk,https://www.google.com/maps/place/?q=place_id:ChIJS5YXYFfFGzoRAuotrPwvlIk,part_342,2026-09-20 20:33:43
WORKOUT WORLD,Gym and Fitness Center,Gym,Gym,755061,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Govindpur Kutchery S.O, Aragal B.O, Dadhibamanpur B.O",+91 70089 93269,N/A,5.0,,"LAXMIBILASH BUILDING, NEAR SBI ATM ,LAW COLLEGE, SQUARE, Odisha 754250",755061,20.51588,86.3863769,ChIJARUa2nPbGzoRZLFCSovrUbs,https://www.google.com/maps/place/?q=place_id:ChIJARUa2nPbGzoRZLFCSovrUbs,part_342,2026-09-20 20:33:43
Fitness Zone,Gym and Fitness Center,Fitness center,Fitness center,755061,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Govindpur Kutchery S.O, Aragal B.O, Dadhibamanpur B.O",+91 99375 97298,N/A,4.8,,"Marshaghai, Odisha 754213",755061,20.4244856,86.4783489,ChIJV-yQ8bbPGzoRDJnUVRTCKMs,https://www.google.com/maps/place/?q=place_id:ChIJV-yQ8bbPGzoRDJnUVRTCKMs,part_342,2026-09-20 20:33:43
Max Power Gym,Gym and Fitness Center,Gym,Gym,755061,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Govindpur Kutchery S.O, Aragal B.O, Dadhibamanpur B.O",+91 78949 72763,http://www.maxpowergymkendrapara.com/,5.0,,"Gramya Bank building, infront of The Palace Odisha, At, Po, Garapur, Kapaleswar, Odisha 754211",755061,20.505075599999998,86.41958029999999,ChIJEaZz08nFGzoRbbrdEJCPkh8,https://www.google.com/maps/place/?q=place_id:ChIJEaZz08nFGzoRbbrdEJCPkh8,part_342,2026-09-20 20:33:43
