business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Subham Kalyan Mandap,Marriage Hall / Kalyana Mandapam,Banquet hall,Banquet hall,755061,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Govindpur Kutchery S.O, Aragal B.O, Dadhibamanpur B.O",+91 98101 22313,N/A,4.7,,"bazaar, near Maa mangala driving training school, Singiri Bazar, Singiri, Odisha 754215",Singiri Bazar,20.6197174,86.614661,ChIJw8Bp-fO_GzoR1oAnED_JHEc,https://www.google.com/maps/place/?q=place_id:ChIJw8Bp-fO_GzoR1oAnED_JHEc,part_342,2026-09-20 20:33:55
Ashutosh Kalyan Mandap,Marriage Hall / Kalyana Mandapam,Banquet hall,Banquet hall,755061,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Govindpur Kutchery S.O, Aragal B.O, Dadhibamanpur B.O",+91 94373 14945,N/A,4.5,,"Kailashi Road, Beltal, Pattamundai, Odisha 754215",Beltal,20.582745,86.5470442,ChIJgd-fNRLBGzoRrFD0TjgeV6Y,https://www.google.com/maps/place/?q=place_id:ChIJgd-fNRLBGzoRrFD0TjgeV6Y,part_342,2026-09-20 20:33:55
Soubhagya Mandap,Marriage Hall / Kalyana Mandapam,Banquet hall,Banquet hall,755061,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Govindpur Kutchery S.O, Aragal B.O, Dadhibamanpur B.O",+91 94370 54854,N/A,4.2,,"Cuttack - Chandabali Rd, Kendrapara, Gulnagar, Odisha 754250",755061,20.5187857,86.41519129999999,ChIJIf0fls3aGzoRwqzjE3SsaPc,https://www.google.com/maps/place/?q=place_id:ChIJIf0fls3aGzoRwqzjE3SsaPc,part_342,2026-09-20 20:33:55
Nirmalya Palace,Marriage Hall / Kalyana Mandapam,Banquet hall,Banquet hall,755061,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Govindpur Kutchery S.O, Aragal B.O, Dadhibamanpur B.O",N/A,N/A,4.3,,"FCQC+RRR, near Railway over bridge, Gopa, Kendrapara, Odisha 754211",755061,20.4896195,86.4220204,ChIJpbrnXADFGzoRSwtoKxkfffU,https://www.google.com/maps/place/?q=place_id:ChIJpbrnXADFGzoRSwtoKxkfffU,part_342,2026-09-20 20:33:55
Maa Mangala Kalyan Mandap,Marriage Hall / Kalyana Mandapam,Wedding venue,Wedding venue,755061,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Govindpur Kutchery S.O, Aragal B.O, Dadhibamanpur B.O",N/A,N/A,4.0,,"near NAC office, Pattamundai, Odisha 754215",755061,20.5780754,86.5580808,ChIJWZhdyTXHGzoRWGsmiIwxGXk,https://www.google.com/maps/place/?q=place_id:ChIJWZhdyTXHGzoRWGsmiIwxGXk,part_342,2026-09-20 20:33:55
Subham Palace,Marriage Hall / Kalyana Mandapam,Banquet hall,Banquet hall,755061,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Govindpur Kutchery S.O, Aragal B.O, Dadhibamanpur B.O",+91 99381 45201,http://www.facebook.com/subhampalacemahala,4.1,,"Hurasahi - Chanpur Rd, Bandhasahi, Mahala, Odisha 754210",755061,20.445854,86.3350854,ChIJaZAdiQjXGzoRKSG6FLFe0e4,https://www.google.com/maps/place/?q=place_id:ChIJaZAdiQjXGzoRKSG6FLFe0e4,part_342,2026-09-20 20:33:55
BR Residency,Marriage Hall / Kalyana Mandapam,Wedding venue,"Wedding venue, Banquet hall, Event venue",755061,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Govindpur Kutchery S.O, Aragal B.O, Dadhibamanpur B.O",+91 99377 67905,https://brresidency.com/,4.1,,"Sarala Vihar Shyamsundarpur, Road, Kendrapara, Odisha 754223",755061,20.496702,86.3952539,ChIJ8TXBZJfaGzoRazp4kPmFiFg,https://www.google.com/maps/place/?q=place_id:ChIJ8TXBZJfaGzoRazp4kPmFiFg,part_342,2026-09-20 20:33:55
The Destination,Marriage Hall / Kalyana Mandapam,Wedding venue,"Wedding venue, Caterer, Event planner, Event venue",755061,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Govindpur Kutchery S.O, Aragal B.O, Dadhibamanpur B.O",+91 70083 10622,https://www.instagram.com/thedestinationkp?utm_source=qr&igsh=MW9zcTV6YjZkMzhpaA==,4.7,,"Ganamahal, Kendrapara, Odisha 754211",755061,20.5063666,86.41283109999999,ChIJ7Ufj9sjbGzoR5CeXCdMvMjM,https://www.google.com/maps/place/?q=place_id:ChIJ7Ufj9sjbGzoR5CeXCdMvMjM,part_342,2026-09-20 20:33:55
PRAGYA PALACE,Marriage Hall / Kalyana Mandapam,Banquet hall,Banquet hall,755061,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Govindpur Kutchery S.O, Aragal B.O, Dadhibamanpur B.O",N/A,N/A,4.3,,"HHRJ+WMW, Kendrapada - Cuttack Rd, Kasananta, Pattamundai, Odisha 754215",Kasananta,20.592372899999997,86.5816993,ChIJl4isEQi_GzoRsZ5K_dz9nkM,https://www.google.com/maps/place/?q=place_id:ChIJl4isEQi_GzoRsZ5K_dz9nkM,part_342,2026-09-20 20:33:55
Alfa mandap,Marriage Hall / Kalyana Mandapam,Marriage celebrant,Marriage celebrant,755061,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Govindpur Kutchery S.O, Aragal B.O, Dadhibamanpur B.O",+91 81448 55216,N/A,3.9,,"Angulai, Odisha 754212",755061,20.467486599999997,86.4656263,ChIJj4fhURLPGzoRp5kRsly2hqA,https://www.google.com/maps/place/?q=place_id:ChIJj4fhURLPGzoRp5kRsly2hqA,part_342,2026-09-20 20:33:55
