business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
SURYA NURSING HOME,Nursing Home and Maternity Hospital,Hospital,Hospital,755061,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Govindpur Kutchery S.O, Aragal B.O, Dadhibamanpur B.O",N/A,N/A,3.6,,"GC3G+6JG, Kendrapara, Odisha 754211",755061,20.5030881,86.4265985,ChIJubsuVQDFGzoRG1ytsMiDrK4,https://www.google.com/maps/place/?q=place_id:ChIJubsuVQDFGzoRG1ytsMiDrK4,part_342,2026-09-20 20:33:40
Durga nursing home,Nursing Home and Maternity Hospital,Hospital,Hospital,755061,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Govindpur Kutchery S.O, Aragal B.O, Dadhibamanpur B.O",N/A,N/A,2.9,,"FCXG+R7Q, Sujanpur Bila Sahi Road, Saanta pur, Kendrapara, Odisha 754211",Saanta pur,20.499628599999998,86.4254876,ChIJk_muU07FGzoRRREaQrDXAfk,https://www.google.com/maps/place/?q=place_id:ChIJk_muU07FGzoRRREaQrDXAfk,part_342,2026-09-20 20:33:40
Sri Ram Nursing Home,Nursing Home and Maternity Hospital,Hospital,Hospital,755061,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Govindpur Kutchery S.O, Aragal B.O, Dadhibamanpur B.O",N/A,N/A,4.0,,"3F2Q+JRV, SH 35, Samaraipur, Bhadrak, Odisha 756181",Samaraipur,21.0516112,86.4895532,ChIJI_JMKD33GzoRnmNouQ6HKGU,https://www.google.com/maps/place/?q=place_id:ChIJI_JMKD33GzoRnmNouQ6HKGU,part_342,2026-09-20 20:33:40
basanti durga nursinghome,Nursing Home and Maternity Hospital,Hospital,Hospital,755061,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Govindpur Kutchery S.O, Aragal B.O, Dadhibamanpur B.O",+91 94371 59218,https://basantidurganursinghome.netlify.app/,3.8,,"7MRP+RP2, near high way, Utareswar, Soro, Odisha 756045",Utareswar,21.292116099999998,86.6860651,ChIJo3NBYVpuHDoRyLpAm890voM,https://www.google.com/maps/place/?q=place_id:ChIJo3NBYVpuHDoRyLpAm890voM,part_342,2026-09-20 20:33:40
SAI SRADHA NURSING HOME,Nursing Home and Maternity Hospital,Nursing Home and Maternity Hospital,Nursing Home and Maternity Hospital,755061,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Govindpur Kutchery S.O, Aragal B.O, Dadhibamanpur B.O",N/A,N/A,4.3,,"753P+M4R, Jagatsinghpur - Paradip Rd, Jagatsinghpur, Odisha 754103",755061,20.2542392,86.1852713,ChIJDZPn_Y-BGToRZeERYFDRC9Q,https://www.google.com/maps/place/?q=place_id:ChIJDZPn_Y-BGToRZeERYFDRC9Q,part_342,2026-09-20 20:33:40
Durga Nursing Home & Research Center,Nursing Home and Maternity Hospital,Nursing home,"Nursing home, Blood testing service, Medical Center, Medical diagnostic imaging center, Hospital, Private hospital",755061,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Govindpur Kutchery S.O, Aragal B.O, Dadhibamanpur B.O",+91 97771 57307,http://pro.unogreencard.com/EOVRU1,4.2,475.0,"GW2J+333, Vivekanand Marg, Manikhamb, Balasore, Gopalgoan, Odisha 756001",Manikhamb,21.500464599999997,86.9304588,ChIJJ3PIb6b1HDoR7K13WSquwTA,https://www.google.com/maps/place/?q=place_id:ChIJJ3PIb6b1HDoR7K13WSquwTA,part_342,2026-09-20 20:33:41
Sudha Nursing Home,Nursing Home and Maternity Hospital,Nursing home,Nursing home,755061,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Govindpur Kutchery S.O, Aragal B.O, Dadhibamanpur B.O",+91 661 242 0766,N/A,4.7,251.0,"M-28, Basanti Nagar, Rourkela, Odisha 769012",Basanti Nagar,22.2290478,84.8385199,ChIJJzyoP0EZIDoRfulZUcEVkH4,https://www.google.com/maps/place/?q=place_id:ChIJJzyoP0EZIDoRfulZUcEVkH4,part_342,2026-09-20 20:33:41
Prachee Institute for Mother & Child Care,Nursing Home and Maternity Hospital,Nursing home,Nursing home,755061,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Govindpur Kutchery S.O, Aragal B.O, Dadhibamanpur B.O",N/A,N/A,3.5,429.0,"behind Jugal Kishore Park, CDA Sector 8, Kataka, Odisha 753014",CDA Sector 8,20.4766188,85.8315994,ChIJQ2j2i-QRGToRXMksspqqZJM,https://www.google.com/maps/place/?q=place_id:ChIJQ2j2i-QRGToRXMksspqqZJM,part_342,2026-09-20 20:33:42
Sanjukta Nursing Home,Nursing Home and Maternity Hospital,Hospital,Hospital,755061,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Govindpur Kutchery S.O, Aragal B.O, Dadhibamanpur B.O",N/A,N/A,3.9,61.0,"FRHR+H4F, CDA Sector VI, Abhinaba, Bidanasi, Kataka, Odisha 753014",Bidanasi,20.4789362,85.8402859,ChIJaRkUbPsRGToRpPjlZ4W25z4,https://www.google.com/maps/place/?q=place_id:ChIJaRkUbPsRGToRpPjlZ4W25z4,part_342,2026-09-20 20:33:42
Jeevandhara Nursing Home,Nursing Home and Maternity Hospital,Hospital,Hospital,755061,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Govindpur Kutchery S.O, Aragal B.O, Dadhibamanpur B.O",N/A,N/A,3.3,16.0,"FW47+75C, near Mangala Mandir, Mahanadi Vihar, Kataka, Odisha 753004",Mahanadi Vihar,20.4556368,85.91287319999999,ChIJ573fKwANGToRz4hVT2-0LXY,https://www.google.com/maps/place/?q=place_id:ChIJ573fKwANGToRz4hVT2-0LXY,part_342,2026-09-20 20:33:42
