business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
MAA Saraswati cloth store,Readymade Garments Shop,Dress store,Dress store,755061,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Govindpur Kutchery S.O, Aragal B.O, Dadhibamanpur B.O",+91 99715 62761,N/A,5.0,,"Chaudakulat, Odisha 754240",755061,20.6069067,86.4933202,ChIJPxboJqfDGzoRZYxLae3q8qg,https://www.google.com/maps/place/?q=place_id:ChIJPxboJqfDGzoRZYxLae3q8qg,part_342,2026-09-20 20:33:36
Biswambar Panda,Readymade Garments Shop,T-shirt store,T-shirt store,755061,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Govindpur Kutchery S.O, Aragal B.O, Dadhibamanpur B.O",+91 91638 61468,https://wa.me/c/919163861468,5.0,,"At arua post, Dist, Kendarapara, Kadalibana, Kendrapara, Odisha 754222",Kendarapara,20.5951667,86.5131309,ChIJCfqUWpXBGzoRb2QFIjpKngY,https://www.google.com/maps/place/?q=place_id:ChIJCfqUWpXBGzoRb2QFIjpKngY,part_342,2026-09-20 20:33:36
Ayra Desing,Readymade Garments Shop,Clothing store,Clothing store,755061,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Govindpur Kutchery S.O, Aragal B.O, Dadhibamanpur B.O",N/A,N/A,5.0,,"bus stand, Chandbali, Odisha 756133",755061,20.776707,86.7429834,ChIJ6_pdCwCZGzoRJlgcmYhUhhY,https://www.google.com/maps/place/?q=place_id:ChIJ6_pdCwCZGzoRJlgcmYhUhhY,part_342,2026-09-20 20:33:36
Jagannath Creation,Readymade Garments Shop,Clothing store,Clothing store,755061,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Govindpur Kutchery S.O, Aragal B.O, Dadhibamanpur B.O",+91 94386 18125,N/A,3.9,,"HHH6+P44, Pattamundai, Odisha 754215",755061,20.5792547,86.560332,ChIJuz1weErHGzoRFenU__Ovx3Y,https://www.google.com/maps/place/?q=place_id:ChIJuz1weErHGzoRFenU__Ovx3Y,part_342,2026-09-20 20:33:36
New Dadhibaman cloth store,Readymade Garments Shop,Clothing store,Clothing store,755061,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Govindpur Kutchery S.O, Aragal B.O, Dadhibamanpur B.O",N/A,N/A,5.0,,"PMP7+4QH, College Road, Olaver, Ganja, Olavar, Odisha 754227",Olaver,20.735324199999997,86.6644863,ChIJbx1_s-qXGzoR8g-7eOYoGVk,https://www.google.com/maps/place/?q=place_id:ChIJbx1_s-qXGzoR8g-7eOYoGVk,part_342,2026-09-20 20:33:36
DESIBOYZ,Readymade Garments Shop,Clothing store,Clothing store,755061,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Govindpur Kutchery S.O, Aragal B.O, Dadhibamanpur B.O",+91 90400 40076,N/A,4.7,,"Silipur, road, Marshaghai, Odisha 754213",755061,20.4282663,86.48494029999999,ChIJwS1arXPPGzoRP1u1LKxiRrM,https://www.google.com/maps/place/?q=place_id:ChIJwS1arXPPGzoRP1u1LKxiRrM,part_342,2026-09-20 20:33:36
Fashion point,Readymade Garments Shop,Clothing store,Clothing store,755061,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Govindpur Kutchery S.O, Aragal B.O, Dadhibamanpur B.O",+91 81148 09259,N/A,4.6,,"College Rd, Pattamundai, Odisha 754215",755061,20.5788922,86.56046239999999,ChIJoxG_VHvHGzoRepddqrOWTRY,https://www.google.com/maps/place/?q=place_id:ChIJoxG_VHvHGzoRepddqrOWTRY,part_342,2026-09-20 20:33:36
ORISSA DRESS HOUSE,Readymade Garments Shop,Clothing store,Clothing store,755061,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Govindpur Kutchery S.O, Aragal B.O, Dadhibamanpur B.O",+91 94373 64554,N/A,5.0,,"Kendrapara, Odisha 754211",755061,20.503502299999997,86.419086,ChIJH6FyTkvFGzoR4HDuQRJlmrE,https://www.google.com/maps/place/?q=place_id:ChIJH6FyTkvFGzoR4HDuQRJlmrE,part_342,2026-09-20 20:33:36
FASHION MAYUR,Readymade Garments Shop,Clothing store,Clothing store,755061,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Govindpur Kutchery S.O, Aragal B.O, Dadhibamanpur B.O",+91 89172 04052,N/A,,,"Badahat, Kendrapara, Odisha 754211",Badahat,20.5047761,86.41484,ChIJLSMwm5fbGzoRNQFTk7iN0qg,https://www.google.com/maps/place/?q=place_id:ChIJLSMwm5fbGzoRNQFTk7iN0qg,part_342,2026-09-20 20:33:36
Jay Hanuman Cloth Store,Readymade Garments Shop,Clothing store,Clothing store,755061,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Govindpur Kutchery S.O, Aragal B.O, Dadhibamanpur B.O",+91 63702 89221,N/A,5.0,,"PMP7+2P9, Main road ,Olaver, Rajkanika Rd, Chhadesh, Odisha 754227",755061,20.7350492,86.6643536,ChIJlzWs_pKXGzoR7k8jbWSmN88,https://www.google.com/maps/place/?q=place_id:ChIJlzWs_pKXGzoR7k8jbWSmN88,part_342,2026-09-20 20:33:37
