business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Mentor Bookstore,Bookstore and Stationery Shop,Stationery store,Stationery store,756001,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Balasore H.O, Azimabad S.O, Balasore Court S.O",N/A,N/A,5.0,,"Telengasahi Sovarampur, Balasore, Odisha 756001",Telengasahi Sovarampur,21.4958763,86.91779679999999,ChIJj6wDn6b1HDoRn-F7O9kqNyQ,https://www.google.com/maps/place/?q=place_id:ChIJj6wDn6b1HDoRn-F7O9kqNyQ,part_342,2026-09-20 20:35:31
Mahesh Book Store,Bookstore and Stationery Shop,Book store,Book store,756001,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Balasore H.O, Azimabad S.O, Balasore Court S.O",+91 82600 14370,N/A,3.8,,"Zilla School Rd, hostel, Manikhamb, Balasore, Gopalgoan, Odisha 756001","hostel, Manikhamb",21.4970262,86.9296129,ChIJYZYIOKL1HDoRJQFzS3lLl9U,https://www.google.com/maps/place/?q=place_id:ChIJYZYIOKL1HDoRJQFzS3lLl9U,part_342,2026-09-20 20:35:31
Sibani Book Store,Bookstore and Stationery Shop,Stationery store,"Stationery store, Office supply store, Book store",756001,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Balasore H.O, Azimabad S.O, Balasore Court S.O",+91 94372 95120,N/A,4.3,,"FWRH+VPF, FM College Rd, Azimabad, Manikhamb, Balasore, Gopalgoan, Odisha 756001","Azimabad, Manikhamb",21.4921953,86.92929579999999,ChIJaZWVqAn1HDoREgD3fLMDgPY,https://www.google.com/maps/place/?q=place_id:ChIJaZWVqAn1HDoREgD3fLMDgPY,part_342,2026-09-20 20:35:31
The New Race,Bookstore and Stationery Shop,Stationery store,"Stationery store, Educational supply store, Map store, Book store",756001,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Balasore H.O, Azimabad S.O, Balasore Court S.O",+91 99372 17995,N/A,4.1,,"Besides Jawa show room, white house clinic, Near, OT Rd, Manikhamb, Balasore, Gopalgoan, Odisha 756001",Manikhamb,21.4988761,86.92468819999999,ChIJ7yVso6H1HDoRyEqFwgl66bU,https://www.google.com/maps/place/?q=place_id:ChIJ7yVso6H1HDoRyEqFwgl66bU,part_342,2026-09-20 20:35:31
Jayanti Store,Bookstore and Stationery Shop,Stationery store,"Stationery store, Book store",756001,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Balasore H.O, Azimabad S.O, Balasore Court S.O",+91 70089 19009,N/A,4.7,,"Pradhan's Market Complex, Balia, Balasore, Odisha 756003",Balia,21.5059364,86.9122648,ChIJhT7CUoX1HDoR0rHYF5b7PcQ,https://www.google.com/maps/place/?q=place_id:ChIJhT7CUoX1HDoR0rHYF5b7PcQ,part_342,2026-09-20 20:35:31
Sanjay Old Book Store Balasore.,Bookstore and Stationery Shop,Used book store,Used book store,756001,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Balasore H.O, Azimabad S.O, Balasore Court S.O",+91 70081 51577,N/A,4.2,,"FWVR+8M7, RRpur, Manikhamb, Balasore, Gopalgoan, Odisha 756002","RRpur, Manikhamb",21.4932969,86.9416725,ChIJfWguPgD1HDoRfsEgGwiQkKY,https://www.google.com/maps/place/?q=place_id:ChIJfWguPgD1HDoRfsEgGwiQkKY,part_342,2026-09-20 20:35:31
Jhadeswar Book Mart,Bookstore and Stationery Shop,Book store,Book store,756001,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Balasore H.O, Azimabad S.O, Balasore Court S.O",+91 98531 69957,N/A,4.3,,"Ranipatna, Manikhamb, Balasore, Gopalgoan, Odisha 756001","Ranipatna, Manikhamb",21.5050608,86.92669269999999,ChIJK4a5Gz71HDoRd8P-8VtPaQM,https://www.google.com/maps/place/?q=place_id:ChIJK4a5Gz71HDoRd8P-8VtPaQM,part_342,2026-09-20 20:35:31
Krishna Books,Bookstore and Stationery Shop,Book store,"Book store, Store",756001,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Balasore H.O, Azimabad S.O, Balasore Court S.O",+91 97766 20830,N/A,3.8,,"OT Rd, Railway Colony, Balasore, Odisha 756001","Railway Colony, Balasore",21.5004974,86.9233744,ChIJ7Uhf9KH1HDoR4rPHTO7WK2k,https://www.google.com/maps/place/?q=place_id:ChIJ7Uhf9KH1HDoR4rPHTO7WK2k,part_342,2026-09-20 20:35:31
S.K. BOOK STORE,Bookstore and Stationery Shop,Stationery store,"Stationery store, Book store",756001,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Balasore H.O, Azimabad S.O, Balasore Court S.O",+91 94371 73564,N/A,4.6,,"Sambedana Enclave, Telenga Sahi Road, 2, Telengasahi, Railway Colony, Balasore, Odisha 756001",Railway Colony,21.4945919,86.918145,ChIJKXXMenX1HDoRb6_NL6jltew,https://www.google.com/maps/place/?q=place_id:ChIJKXXMenX1HDoRb6_NL6jltew,part_342,2026-09-20 20:35:31
orange stationery,Bookstore and Stationery Shop,Stationery wholesaler,"Stationery wholesaler, Office supply store, Office supply wholesaler, Pen store, School supply store, Wholesaler",756001,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Balasore H.O, Azimabad S.O, Balasore Court S.O",N/A,N/A,4.9,,"ITI Chhaka, near RTO Office, Balasore, Odisha 756001",Mallikashpur,21.4858781,86.9149333,ChIJAxEOsuX1HDoRJ7EB75GpDjo,https://www.google.com/maps/place/?q=place_id:ChIJAxEOsuX1HDoRJ7EB75GpDjo,part_342,2026-09-20 20:35:31
Ganesh pustak bhandar,Bookstore and Stationery Shop,Book store,Book store,756001,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Balasore H.O, Azimabad S.O, Balasore Court S.O",+91 97771 76611,N/A,4.6,,"GVCF+QMF, Remuna, Odisha 756019",756001,21.5219462,86.87417549999999,ChIJY7vqj6tfHDoR5YnDKyI5quY,https://www.google.com/maps/place/?q=place_id:ChIJY7vqj6tfHDoR5YnDKyI5quY,part_342,2026-09-20 20:35:31
Maheswaree Books Store,Bookstore and Stationery Shop,Book store,Book store,756001,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Balasore H.O, Azimabad S.O, Balasore Court S.O",+91 99373 01929,N/A,3.9,,"Nalamganj Mallikashpur Balasore اڑیسہ 756001 Republic, Odisha 756001",Mallikashpur,21.4899476,86.93642539999999,ChIJ3_ehvAb1HDoRt2n2HzOMASo,https://www.google.com/maps/place/?q=place_id:ChIJ3_ehvAb1HDoRt2n2HzOMASo,part_342,2026-09-20 20:35:31
Maa Manasha Books,Bookstore and Stationery Shop,Copy shop,"Copy shop, Student dormitory",756001,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Balasore H.O, Azimabad S.O, Balasore Court S.O",+91 94375 46141,N/A,3.7,,"FWRJ+Q36, FM College Rd, Azimabad, Manikhamb, Balasore, Gopalgoan, Odisha 756001","Azimabad, Manikhamb",21.4919086,86.9301356,ChIJS9Fqhwn1HDoRmsJdBRzlP2o,https://www.google.com/maps/place/?q=place_id:ChIJS9Fqhwn1HDoRmsJdBRzlP2o,part_342,2026-09-20 20:35:31
Parbati Book Store,Bookstore and Stationery Shop,Stationery store,"Stationery store, Book store",756001,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Balasore H.O, Azimabad S.O, Balasore Court S.O",+91 89088 74332,N/A,4.0,,"GV7R+VQ7, Ramuna Golai, Balasore, Odisha 756019","Kalidaspur, Balia",21.5146518,86.89192659999999,ChIJ-eQEhGhfHDoRPHXsYI9CiMM,https://www.google.com/maps/place/?q=place_id:ChIJ-eQEhGhfHDoRPHXsYI9CiMM,part_342,2026-09-20 20:35:31
Dash Brothers,Bookstore and Stationery Shop,Stationery store,"Stationery store, Book store, Books Wholesaler, Drawing lessons, Novelty store, Office supply store, Pen store, School supply store",756001,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Balasore H.O, Azimabad S.O, Balasore Court S.O",+91 93414 44333,https://dashbrothers.com/,5.0,,"near Old Suzuki Showroom, adjacent to Omm Motors, Nuasahi, Balia, Balasore, Baleshwar, Odisha 756003","Nuasahi, Balia",21.5077817,86.9086526,ChIJzZt0tqn1HDoRAqaTSlFG1bg,https://www.google.com/maps/place/?q=place_id:ChIJzZt0tqn1HDoRAqaTSlFG1bg,part_342,2026-09-20 20:35:31
TRIMURTI BOOK WORLD,Bookstore and Stationery Shop,Stationery store,"Stationery store, E-commerce service, Book store",756001,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Balasore H.O, Azimabad S.O, Balasore Court S.O",+91 94370 34735,https://www.trimurtionline.com/,4.2,,"in front of Hanuman Mandir, Belgodia, BADAPOKHRIADI, Bhanjpur, Baripada, Odisha 757001","Belgodia, BADAPOKHRIADI, Bhanjpur",21.9342197,86.7253252,ChIJh6b8GfKxHToROqrP9JtnKpk,https://www.google.com/maps/place/?q=place_id:ChIJh6b8GfKxHToROqrP9JtnKpk,part_342,2026-09-20 20:35:31
Ashish Book Store,Bookstore and Stationery Shop,Book store,Book store,756001,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Balasore H.O, Azimabad S.O, Balasore Court S.O",+91 94371 29072,N/A,4.8,,"Vivekanand Marg, Manikhamb, Balasore, Gopalgoan, Odisha 756001",Manikhamb,21.5029392,86.9253165,ChIJJxUzsKP1HDoRQP6eWApKMCM,https://www.google.com/maps/place/?q=place_id:ChIJJxUzsKP1HDoRQP6eWApKMCM,part_342,2026-09-20 20:35:31
Shree Jagannath Book Store,Bookstore and Stationery Shop,Stationery store,"Stationery store, Copy shop, Religious goods store, Book store",756001,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Balasore H.O, Azimabad S.O, Balasore Court S.O",+91 97766 36886,N/A,3.7,,"near SBI Branch, Sahadevkhuntha, Railway Colony, Balasore, Odisha 756001","Sahadevkhuntha, Railway Colony",21.5048358,86.9147357,ChIJHaSj9Zr1HDoRwAFGHjDtx7s,https://www.google.com/maps/place/?q=place_id:ChIJHaSj9Zr1HDoRwAFGHjDtx7s,part_342,2026-09-20 20:35:31
