business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Tanishq Jewellery - Balasore,Gold and Diamond Jewellery Showroom,Jewelry store,"Jewelry store, Jeweler, Jewelry designer, Jewelry manufacturer, Jewelry repair service",756001,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Balasore H.O, Azimabad S.O, Balasore Court S.O",+91 70777 29180,https://stores.tanishq.co.in/store-locator/jewellery-stores/odisha/balasore-vivekanandmarg/BAL,4.8,,"Bhaskarganj Muza, Plot No 454/965, OT Rd, opposite Moviex, nearby Gandhi Sriti Bhavan, Manikhamb, Balasore, Gopalgoan, Odisha 756001",Manikhamb,21.498932099999998,86.92392439999999,ChIJVaXP_hT1HDoRNO4AwUOQqrM,https://www.google.com/maps/place/?q=place_id:ChIJVaXP_hT1HDoRNO4AwUOQqrM,part_342,2026-09-20 20:35:07
Senco Gold & Diamonds- Balasore,Gold and Diamond Jewellery Showroom,Jewelry store,"Jewelry store, Jewelry manufacturer, Jewelry repair service",756001,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Balasore H.O, Azimabad S.O, Balasore Court S.O",+91 6782 262 629,https://showrooms.sencogoldanddiamonds.com/jewellery-stores/odisha/balasore/near-chidiapolo-fn069,4.5,,"Vivekananda Marg, near Chidiapolo, Manikhamb, Balasore, Gopalgoan, Odisha 756001",Manikhamb,21.4999413,86.93040289999999,ChIJbTpNMKb1HDoRbNppwXYOgPY,https://www.google.com/maps/place/?q=place_id:ChIJbTpNMKb1HDoRbNppwXYOgPY,part_342,2026-09-20 20:35:07
Chandi Bhandar,Gold and Diamond Jewellery Showroom,Jewelry store,Jewelry store,756001,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Balasore H.O, Azimabad S.O, Balasore Court S.O",+91 93485 95355,N/A,4.9,,"FWVC+X64, OT Rd, Railway Colony, Balasore, Odisha 756001",Railway Colony,21.494685999999998,86.9204306,ChIJ2XAyXP71HDoR2OO2B7CTLaw,https://www.google.com/maps/place/?q=place_id:ChIJ2XAyXP71HDoR2OO2B7CTLaw,part_342,2026-09-20 20:35:07
Khimji Jewels,Gold and Diamond Jewellery Showroom,Jewelry store,"Jewelry store, Jeweler",756001,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Balasore H.O, Azimabad S.O, Balasore Court S.O",+91 72059 09006,N/A,4.5,,"Vivekanand Marg, near CHIDIAPOLO, Manikhamb, Balasore, Gopalgoan, Odisha 756001",Manikhamb,21.4997346,86.9304693,ChIJj44kKqT1HDoR_hh07hCtwHU,https://www.google.com/maps/place/?q=place_id:ChIJj44kKqT1HDoR_hh07hCtwHU,part_342,2026-09-20 20:35:07
Sona Chandi Jewellers,Gold and Diamond Jewellery Showroom,Jewelry store,"Jewelry store, Jewelry designer, Jewelry repair service",756001,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Balasore H.O, Azimabad S.O, Balasore Court S.O",+91 6792 254 125,N/A,4.5,,"Vivekanand Marg, Manikhamb, Balasore, Gopalgoan, Odisha 756001",Manikhamb,21.5022894,86.92650619999999,ChIJ3_LKOab1HDoRHj96DnNWoqo,https://www.google.com/maps/place/?q=place_id:ChIJ3_LKOab1HDoRHj96DnNWoqo,part_342,2026-09-20 20:35:07
"Indriya - Aditya Birla Jewellery - OT Road, Balasore",Gold and Diamond Jewellery Showroom,Jewelry store,"Jewelry store, Jeweler",756001,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Balasore H.O, Azimabad S.O, Balasore Court S.O",+91 8071 500 059,https://www.indriya.com/jewellery-stores/balasore/ot-road-balasore/catalog?utm_source=store_locator&utm_medium=brand_website,5.0,,"369/1100, OT Rd, Bhashkarganj, Mouza, Sadar, Balasore, Odisha 756001","Bhashkarganj, Mouza",21.4992685,86.92391119999999,ChIJqxHoJcb1HDoR8Or7RyGjvi0,https://www.google.com/maps/place/?q=place_id:ChIJqxHoJcb1HDoR8Or7RyGjvi0,part_342,2026-09-20 20:35:07
J & T GEM AND JEWELLERY PRIVATE LIMITED,Gold and Diamond Jewellery Showroom,Jewelry store,Jewelry store,756001,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Balasore H.O, Azimabad S.O, Balasore Court S.O",+91 70777 75568,N/A,4.8,,"FWXC+FJ5, Railway Colony, Balasore, Odisha 756001",Railway Colony,21.498611999999998,86.9217058,ChIJzWDpJgD1HDoR8CRfshZ0eH0,https://www.google.com/maps/place/?q=place_id:ChIJzWDpJgD1HDoR8CRfshZ0eH0,part_342,2026-09-20 20:35:07
ACR Jewel Home,Gold and Diamond Jewellery Showroom,Jewelry store,"Jewelry store, Jewelry repair service",756001,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Balasore H.O, Azimabad S.O, Balasore Court S.O",+91 99375 00482,N/A,5.0,,"Lalbahadur Shastri Marg, Manikhamb, Gopalgoan, Odisha 756002",Manikhamb,21.4968047,86.9440766,ChIJNaAPE1X0HDoRhhBT4uVz2pg,https://www.google.com/maps/place/?q=place_id:ChIJNaAPE1X0HDoRhhBT4uVz2pg,part_342,2026-09-20 20:35:07
Maalaxmi Jewellers,Gold and Diamond Jewellery Showroom,Jewelry store,Jewelry store,756001,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Balasore H.O, Azimabad S.O, Balasore Court S.O",+91 94371 56382,http://maalaxmijewellers.com/,4.1,,"Near Chidiapolo, Vivekananda Marg, Balasore, Odisha 756001",Manikhamb,21.5006184,86.9296995,ChIJ17ICgab1HDoROQT-OcTpeOE,https://www.google.com/maps/place/?q=place_id:ChIJ17ICgab1HDoROQT-OcTpeOE,part_342,2026-09-20 20:35:07
SHREE GEETA JEWELLERY,Gold and Diamond Jewellery Showroom,Jewelry store,Jewelry store,756001,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Balasore H.O, Azimabad S.O, Balasore Court S.O",+91 93384 33233,N/A,4.9,,"Vivekananda Marg, opp. Titan Eye Plus, Manikhamb, Balasore, Gopalgoan, Odisha 756001",Manikhamb,21.5007412,86.92997799999999,ChIJuaYsT8_1HDoR60dbcsULSF8,https://www.google.com/maps/place/?q=place_id:ChIJuaYsT8_1HDoR60dbcsULSF8,part_342,2026-09-20 20:35:07
ASHOK Jewellery,Gold and Diamond Jewellery Showroom,Jewelry store,Jewelry store,756001,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Balasore H.O, Azimabad S.O, Balasore Court S.O",+91 73816 10019,N/A,4.7,,"GW4H+73M, jhadeswar Mandir Road, Ranipatna, Manikhamb, Balasore, Odisha 756001","Ranipatna, Manikhamb",21.505706099999998,86.92765659999999,ChIJu2gbpKT1HDoR5fbwFIRDCqA,https://www.google.com/maps/place/?q=place_id:ChIJu2gbpKT1HDoR5fbwFIRDCqA,part_342,2026-09-20 20:35:07
Manharlal Pala Jewellers,Gold and Diamond Jewellery Showroom,Jewelry store,Jewelry store,756001,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Balasore H.O, Azimabad S.O, Balasore Court S.O",+91 6782 262 424,http://www.mpalajewellers.com/,4.6,,"Vivekanand Marg, near Dist. HQ Hospital, Manikhamb, Balasore, Gopalgoan, Odisha 756001",Manikhamb,21.4947096,86.9342657,ChIJjYZWjwf1HDoRuEDTVScqOwg,https://www.google.com/maps/place/?q=place_id:ChIJjYZWjwf1HDoRuEDTVScqOwg,part_342,2026-09-20 20:35:07
Mia by Tanishq,Gold and Diamond Jewellery Showroom,Jewelry store,"Jewelry store, Jeweler, Jewelry designer, Jewelry engraver, Jewelry repair service, Gemstone Jeweler, Silversmith",756001,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Balasore H.O, Azimabad S.O, Balasore Court S.O",+91 96689 02804,https://www.miabytanishq.com/?utm_source=gmb&utm_medium=organic&utm_campaign=sulekhapromanage-mia_by_tanishq,5.0,,"15/1108, Vivekanand Marg, Manikhamb, Balasore, Gopalgoan, Odisha 756001",Manikhamb,21.4997515,86.9305406,ChIJyysq_Fr1HDoRpYLCuORrFpM,https://www.google.com/maps/place/?q=place_id:ChIJyysq_Fr1HDoRpYLCuORrFpM,part_342,2026-09-20 20:35:07
Epari Sadashiv Jewellery,Gold and Diamond Jewellery Showroom,Jewelry store,Jewelry store,756001,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Balasore H.O, Azimabad S.O, Balasore Court S.O",N/A,http://www.epari.co/,3.9,,"Station Square, Railway Colony, Balasore, Odisha 756001",Railway Colony,21.4967692,86.9221476,ChIJuViBiZ_1HDoRKcDxsOdq7OI,https://www.google.com/maps/place/?q=place_id:ChIJuViBiZ_1HDoRKcDxsOdq7OI,part_342,2026-09-20 20:35:07
"CaratLane Jewellery Balasore, Odisha",Gold and Diamond Jewellery Showroom,Jewelry store,"Jewelry store, Diamond Merchant, Jeweler",756001,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Balasore H.O, Azimabad S.O, Balasore Court S.O",+91 40 6944 3769,https://www.caratlane.com/stores/stores/bhaskar-ganj-balasore-417/catalog?utm_source=Google_GMB&utm_medium=GMB_Organic&utm_campaign=GMB,5.0,,"Unit-10, OT Rd Ground Floor & First Floor, Plot 369/1119/2770, near Fakir Mohan Golei, Manikhamb, Gopalgoan, Odisha 756001",Manikhamb,21.499989799999998,86.92416949999999,ChIJGTUaD8v1HDoR6HgjCYHQxwE,https://www.google.com/maps/place/?q=place_id:ChIJGTUaD8v1HDoR6HgjCYHQxwE,part_342,2026-09-20 20:35:07
Harish Jewellery,Gold and Diamond Jewellery Showroom,Jewelry store,Jewelry store,756001,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Balasore H.O, Azimabad S.O, Balasore Court S.O",+91 94396 17203,http://www.harishjewellery.in/,4.0,,"FM College Rd, Azimabad, Mallikashpur, Balasore, Gopalgoan, Odisha 756001","Azimabad, Mallikashpur",21.492449399999998,86.9283823,ChIJebxTmQn1HDoRrMN_ntHJLyg,https://www.google.com/maps/place/?q=place_id:ChIJebxTmQn1HDoRrMN_ntHJLyg,part_342,2026-09-20 20:35:07
Upendra Jewellery,Gold and Diamond Jewellery Showroom,Store,Store,756001,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Balasore H.O, Azimabad S.O, Balasore Court S.O",+91 6782 265 222,http://www.upendrajewellery.com/,4.3,,"FWXC+7VX, Station Rd, Railway Colony, Balasore, Odisha 756001","Railway Colony, Balasore",21.4982485,86.9222312,ChIJO6W1fZ_1HDoRlDf6G1ct6Rk,https://www.google.com/maps/place/?q=place_id:ChIJO6W1fZ_1HDoRlDf6G1ct6Rk,part_342,2026-09-20 20:35:07
Bhogilal & Co,Gold and Diamond Jewellery Showroom,Jewelry store,Jewelry store,756001,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Balasore H.O, Azimabad S.O, Balasore Court S.O",+91 6782 262 032,N/A,3.8,,"Motiganj Bazar, Motigang Rd, Manikhamb, Balasore, Gopalgoan, Odisha 756002",Manikhamb,21.492489799999998,86.94006519999999,ChIJFyY7VAD1HDoRRTtm3DbMvpo,https://www.google.com/maps/place/?q=place_id:ChIJFyY7VAD1HDoRRTtm3DbMvpo,part_342,2026-09-20 20:35:07
SJ Jewels,Gold and Diamond Jewellery Showroom,Jewelry store,Jewelry store,756001,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Balasore H.O, Azimabad S.O, Balasore Court S.O",+91 96920 23319,https://sjjewels.co.in/,4.9,,"Brit Market Complex, Station Square, Manikhamb, Balasore, Gopalgoan, Odisha 756001",Manikhamb,21.497209899999998,86.92275339999999,ChIJpZjPTQ71HDoR88QbTr07c2A,https://www.google.com/maps/place/?q=place_id:ChIJpZjPTQ71HDoR88QbTr07c2A,part_342,2026-09-20 20:35:07
