business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Jagannath variety store,Kirana Store,Indian grocery store,Indian grocery store,756003,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Motiganj S.O (Baleswar), Badasindhia B.O, Chasakhand B.O",+91 89840 49114,N/A,5.0,,"Balasore, Ghodapada, Odisha 756003",756003,21.4932963,86.9531918,ChIJWesSmUf1HDoRZxZD8AJvRm0,https://www.google.com/maps/place/?q=place_id:ChIJWesSmUf1HDoRZxZD8AJvRm0,part_342,2026-09-20 20:36:29
khipra grocery store /khedarpur,Kirana Store,General store,General store,756003,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Motiganj S.O (Baleswar), Badasindhia B.O, Chasakhand B.O",N/A,N/A,5.0,,"Khedarpur, Bedhapanchaarada, Odisha 756003",756003,21.5303678,86.9304286,ChIJvR2LSoD1HDoRVEM0LKibBIA,https://www.google.com/maps/place/?q=place_id:ChIJvR2LSoD1HDoRVEM0LKibBIA,part_342,2026-09-20 20:36:29
NANA VARIETY STORE,Kirana Store,Grocery store,Grocery store,756003,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Motiganj S.O (Baleswar), Badasindhia B.O, Chasakhand B.O",+91 99373 33098,N/A,4.5,,"Chandan Pond, Road, Kalidaspur, Balia, Bhimpura, Baleshwar, Odisha 756003","Kalidaspur, Balia",21.5158727,86.90558709999999,ChIJSw0a1of1HDoRili9Dz9CkrE,https://www.google.com/maps/place/?q=place_id:ChIJSw0a1of1HDoRili9Dz9CkrE,part_342,2026-09-20 20:36:29
Malati Ladies Corner,Kirana Store,General store,General store,756003,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Motiganj S.O (Baleswar), Badasindhia B.O, Chasakhand B.O",+91 95835 73928,N/A,4.2,,"GWXP+GQ3, Kasaba, Odisha 756003",756003,21.5487565,86.9369193,ChIJgcok_Xv2HDoRWOlHkf5j7L4,https://www.google.com/maps/place/?q=place_id:ChIJgcok_Xv2HDoRWOlHkf5j7L4,part_342,2026-09-20 20:36:29
Ratnakar Variety Store,Kirana Store,Grocery store,Grocery store,756003,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Motiganj S.O (Baleswar), Badasindhia B.O, Chasakhand B.O",N/A,N/A,4.1,,"GW84+H74, OT Rd, Kalidaspur, Balia, Balasore, Baleshwar, Odisha 756003","Kalidaspur, Balia",21.5163939,86.9057105,ChIJoRiqFov1HDoRFBExKsPkBGg,https://www.google.com/maps/place/?q=place_id:ChIJoRiqFov1HDoRFBExKsPkBGg,part_342,2026-09-20 20:36:29
Sahoo Grocery,Kirana Store,General store,General store,756003,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Motiganj S.O (Baleswar), Badasindhia B.O, Chasakhand B.O",+91 93480 23815,N/A,3.5,,"Durga Mandap, near Suraj Hotel, Kukudapada, Balia, Balasore, Baleshwar, Odisha 756056","Kukudapada, Balia",21.5069186,86.9096172,ChIJh9-OeY_1HDoR_UaML8QfcEc,https://www.google.com/maps/place/?q=place_id:ChIJh9-OeY_1HDoR_UaML8QfcEc,part_342,2026-09-20 20:36:29
Minati Grocery Store,Kirana Store,Indian grocery store,Indian grocery store,756003,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Motiganj S.O (Baleswar), Badasindhia B.O, Chasakhand B.O",N/A,N/A,5.0,,"Nuagan Rd, Sasanbad, Odisha 756019",756003,21.5375119,86.90115709999999,ChIJed_hp6pfHDoRwrkmYfzyrJg,https://www.google.com/maps/place/?q=place_id:ChIJed_hp6pfHDoRwrkmYfzyrJg,part_342,2026-09-20 20:36:29
Shree Jagannath Fish Center,Kirana Store,Grocery store,"Grocery store, General store",756003,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Motiganj S.O (Baleswar), Badasindhia B.O, Chasakhand B.O",+91 96923 65280,N/A,3.8,,"Shop No 23, Fuladi, Balasore, Kasaba, Odisha 756003",Fuladi,21.5481499,86.9342468,ChIJCwuCEZD3HDoRV3b5s-s4kUc,https://www.google.com/maps/place/?q=place_id:ChIJCwuCEZD3HDoRV3b5s-s4kUc,part_342,2026-09-20 20:36:29
Mahalaxmi Veriety Store,Kirana Store,Grocery store,Grocery store,756003,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Motiganj S.O (Baleswar), Badasindhia B.O, Chasakhand B.O",+91 89172 96486,N/A,5.0,,"12, Naharpatna, Odisha 756003",756003,21.553577399999998,86.92559349999999,ChIJy6qgW1_3HDoRJy254ZtcCMc,https://www.google.com/maps/place/?q=place_id:ChIJy6qgW1_3HDoRJy254ZtcCMc,part_342,2026-09-20 20:36:29
MAA AMBIKA GROCERY STORE,Kirana Store,Grocery store,Grocery store,756003,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Motiganj S.O (Baleswar), Badasindhia B.O, Chasakhand B.O",+91 83288 40794,N/A,,,"MAA AMBIKA GROCERY STORE, Salabani, Balia, Remuna, Saraswatipur, Odisha 756019","Salabani, Balia",21.5291156,86.8966816,ChIJzd_YunFfHDoRxJm13Z4FOPA,https://www.google.com/maps/place/?q=place_id:ChIJzd_YunFfHDoRxJm13Z4FOPA,part_342,2026-09-20 20:36:29
