business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Toshani Fashions,Boutiques,Boutique,Boutique,756020,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Mitrapur S.O, Begunia B.O, Bhounriabad B.O",+91 94031 21002,N/A,4.8,,"Ground floor, Mj complex, Sudpara, Balangir, Odisha 767001",Sudpara,20.7069704,83.4964361,ChIJezpPPQAPJDoRF5OqsS0dqcs,https://www.google.com/maps/place/?q=place_id:ChIJezpPPQAPJDoRF5OqsS0dqcs,part_342,2026-09-20 20:38:08
Mohapatra Clothing Store,Boutiques,Clothing store,Clothing store,756020,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Mitrapur S.O, Begunia B.O, Bhounriabad B.O",N/A,N/A,2.0,,"Kalyani Chhaka, nearby Bus Stop, Mitrapur, Chandipur, Odisha 756020",756020,21.5450059,86.7959352,ChIJqbrKRgBbHDoRdslXV0Ckmg4,https://www.google.com/maps/place/?q=place_id:ChIJqbrKRgBbHDoRdslXV0Ckmg4,part_342,2026-09-20 20:38:08
BISWAL TEDDY,Boutiques,Store,Store,756020,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Mitrapur S.O, Begunia B.O, Bhounriabad B.O",+91 76829 10855,https://www.instagram.com/jagabandhu143biswal?igsh=MW15cDFjajdmNGR3OA==,5.0,,"HQJJ+QGG, pundal road, Pundal, Singiri, Odisha 756020",Pundal,21.5820693,86.7813741,ChIJUWxRYgBbHDoR4_6iQfQa8Kk,https://www.google.com/maps/place/?q=place_id:ChIJUWxRYgBbHDoR4_6iQfQa8Kk,part_342,2026-09-20 20:38:08
SWEETY VARIETY STORE,Boutiques,Boutiques,Boutiques,756020,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Mitrapur S.O, Begunia B.O, Bhounriabad B.O",N/A,N/A,5.0,,"GRR5+V39, Remuna - Mitrapur Rd, Karanjia, Mitrapur, Odisha 756020",756020,21.5421704,86.8077375,ChIJ12J8bvZbHDoROGLUmCSxRBc,https://www.google.com/maps/place/?q=place_id:ChIJ12J8bvZbHDoROGLUmCSxRBc,part_342,2026-09-20 20:38:08
AB’s Vastram,Boutiques,Boutique,Boutique,756020,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Mitrapur S.O, Begunia B.O, Bhounriabad B.O",+91 98615 08159,N/A,5.0,,"near Post office, Kupari, Odisha 756059",756020,21.2730519,86.4165938,ChIJyYYnFjYbHDoRqOVQWVhCpDU,https://www.google.com/maps/place/?q=place_id:ChIJyYYnFjYbHDoRqOVQWVhCpDU,part_342,2026-09-20 20:38:08
Sinduraga ବ୍ଲୁଏ lake,Boutiques,Fruit and vegetable store,Fruit and vegetable store,756020,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Mitrapur S.O, Begunia B.O, Bhounriabad B.O",N/A,N/A,5.0,,"HQ2R+9G, Kuanrapurmahala, Odisha 756020",756020,21.5509533,86.7912683,ChIJ1TrzLABbHDoRotppSViDc1o,https://www.google.com/maps/place/?q=place_id:ChIJ1TrzLABbHDoRotppSViDc1o,part_342,2026-09-20 20:38:08
Sibaneeka Traders,Boutiques,Boutique,Boutique,756020,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Mitrapur S.O, Begunia B.O, Bhounriabad B.O",+91 79784 04525,N/A,5.0,,"Utareswar, Uttareswer, Soro, Odisha 756045","Utareswar, Uttareswer",21.293685999999997,86.6893467,ChIJDY-G4wVvHDoRgKOCZsVw64w,https://www.google.com/maps/place/?q=place_id:ChIJDY-G4wVvHDoRgKOCZsVw64w,part_342,2026-09-20 20:38:08
Rita Ladies Corner,Boutiques,General store,General store,756020,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Mitrapur S.O, Begunia B.O, Bhounriabad B.O",+91 95562 85363,N/A,5.0,,"03, Kansa, Mitrapur, Bhubaneswar, Odisha 756020",756020,21.5598897,86.79276999999999,ChIJgTinsHVbHDoRqnD3ZsXR-94,https://www.google.com/maps/place/?q=place_id:ChIJgTinsHVbHDoRqnD3ZsXR-94,part_342,2026-09-20 20:38:08
Roop Galaxy,Boutiques,Clothing store,Clothing store,756020,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Mitrapur S.O, Begunia B.O, Bhounriabad B.O",+91 70779 68256,N/A,4.0,,"Near Old Palace Road, Near Rajendra park, Odisha 767001",Rugudipada,20.7042833,83.4883469,ChIJy8xIX74OJDoRxwtn0rvLGFE,https://www.google.com/maps/place/?q=place_id:ChIJy8xIX74OJDoRxwtn0rvLGFE,part_342,2026-09-20 20:38:08
MAA AMBIKA FERTILIZER,Boutiques,Clothing store,Clothing store,756020,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Mitrapur S.O, Begunia B.O, Bhounriabad B.O",+91 98535 40774,N/A,5.0,,"Ambika House, College Road, Mitrapur, Karanjia, Odisha 756020",756020,21.543397799999997,86.8014321,ChIJJ19VG5JbHDoRb_Lh2R1EAqU,https://www.google.com/maps/place/?q=place_id:ChIJJ19VG5JbHDoRb_Lh2R1EAqU,part_342,2026-09-20 20:38:08
Fusion Flirt Boutique,Boutiques,Boutique,"Boutique, Designer Clothing Store, Tailor, Women's clothing store",756020,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Mitrapur S.O, Begunia B.O, Bhounriabad B.O",+91 90229 86474,https://www.fusionflirtboutique.in/,4.9,37.0,"West Port, 113, Pancard Club Rd, Baner Gaon, Baner, Pune, Maharashtra 411069","Baner Gaon, Baner",18.558049399999998,73.777433,ChIJCcf5HuG_wjsRjvIIPrbdthA,https://www.google.com/maps/place/?q=place_id:ChIJCcf5HuG_wjsRjvIIPrbdthA,part_342,2026-09-20 20:38:09
Saanvi by Supriya Manjunath,Boutiques,Boutique,"Boutique, Women's clothing store",756020,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Mitrapur S.O, Begunia B.O, Bhounriabad B.O",+91 73381 14466,N/A,4.7,299.0,"5, 4th Main, 4/A, 7th Cross Rd, Saraswathipuram, Mysuru, Karnataka 570009",Saraswathipuram,12.299244,76.6321372,ChIJ9RebiK96rzsRclIkBrCm7z4,https://www.google.com/maps/place/?q=place_id:ChIJ9RebiK96rzsRclIkBrCm7z4,part_342,2026-09-20 20:38:09
ViPha Designers,Boutiques,Boutique,"Boutique, Clothing alteration service, Fashion designer, Tailor, Women's clothing store",756020,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Mitrapur S.O, Begunia B.O, Bhounriabad B.O",+91 97435 25469,https://instagram.com/vipha_designers_nanjangud,5.0,36.0,"Thomas layout, Kempe Gowda Layout, KHB colony, Nanjanagudu, Karnataka 571301","Kempe Gowda Layout, KHB colony",12.1163852,76.6697011,ChIJwaPwTT5przsReXLoWuHyzXs,https://www.google.com/maps/place/?q=place_id:ChIJwaPwTT5przsReXLoWuHyzXs,part_342,2026-09-20 20:38:09
Sk Fashion,Boutiques,Men's clothing store,"Men's clothing store, Clothing Accessories Store",756020,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Mitrapur S.O, Begunia B.O, Bhounriabad B.O",+91 82495 45070,N/A,5.0,,"Sk Fashion, Nilagiri, Odisha 756040",756020,21.4622676,86.7705769,ChIJ1z4NotddHDoRR3Utmev7apY,https://www.google.com/maps/place/?q=place_id:ChIJ1z4NotddHDoRR3Utmev7apY,part_342,2026-09-20 20:38:10
Sai Mandir,Boutiques,Clothing store,Clothing store,756020,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Mitrapur S.O, Begunia B.O, Bhounriabad B.O",N/A,N/A,4.8,,"FQ78+4HR, Nilagiri, Odisha 756040",756020,21.4628713,86.7663948,ChIJG0P7HABdHDoR8Xh6QNZtxcU,https://www.google.com/maps/place/?q=place_id:ChIJG0P7HABdHDoR8Xh6QNZtxcU,part_342,2026-09-20 20:38:10
