business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Bharat homoeo clinic,Homeopathic Clinic,Medical clinic,Medical clinic,756020,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Mitrapur S.O, Begunia B.O, Bhounriabad B.O",N/A,N/A,5.0,,"JPJQ+FFQ, Jayapur-Damasahi Rd, Tikayatpur, Kadada, Odisha 757027",756020,21.6312426,86.7386344,ChIJH-7ENABFHDoRmRezsQ6qFAY,https://www.google.com/maps/place/?q=place_id:ChIJH-7ENABFHDoRmRezsQ6qFAY,part_342,2026-09-20 20:38:08
Sushila Homoeo Clinic,Homeopathic Clinic,Homeopath,Homeopath,756020,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Mitrapur S.O, Begunia B.O, Bhounriabad B.O",+91 95562 99397,https://sushilahomeo.com/,4.8,,"Old National Highway 6 VSS Nagar Chowk, Bandutikra, Bargarh, Odisha 768028",Bandutikra,21.3427944,83.6179018,ChIJ3aER5JlKIToRn4TuTMRyloE,https://www.google.com/maps/place/?q=place_id:ChIJ3aER5JlKIToRn4TuTMRyloE,part_342,2026-09-20 20:38:08
JAY DURGA HOMEO CLINC,Homeopathic Clinic,Doctor,Doctor,756020,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Mitrapur S.O, Begunia B.O, Bhounriabad B.O",+91 89173 10976,N/A,,,"32, Mitrapur, Odisha 756020",756020,21.5424805,86.8019104,ChIJUbE69gVbHDoR42XawiIF2M8,https://www.google.com/maps/place/?q=place_id:ChIJUbE69gVbHDoR42XawiIF2M8,part_342,2026-09-20 20:38:08
Tarini Homeo Store,Homeopathic Clinic,Homeopathic pharmacy,Homeopathic pharmacy,756020,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Mitrapur S.O, Begunia B.O, Bhounriabad B.O",+91 93384 55548,N/A,4.1,11.0,"3GC4+FHV, By Pass, Road, Bhadrak, Odisha 756100",Bankashi,21.0712345,86.5064082,ChIJ_UawPRsKHDoRnnCt1a2neoo,https://www.google.com/maps/place/?q=place_id:ChIJ_UawPRsKHDoRnnCt1a2neoo,part_342,2026-09-20 20:38:09
Keshab Homeo Drug House,Homeopathic Clinic,Medical clinic,Medical clinic,756020,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Mitrapur S.O, Begunia B.O, Bhounriabad B.O",N/A,N/A,4.5,2.0,"WPMF+H87, Belgodia, Deulasahi, Bhanjpur, Baripada, Odisha 757001","Belgodia, Deulasahi, Bhanjpur",21.933947,86.72327299999999,ChIJuaijJgCxHToRFyDq6Xg3cC0,https://www.google.com/maps/place/?q=place_id:ChIJuaijJgCxHToRFyDq6Xg3cC0,part_342,2026-09-20 20:38:09
Sanjeevini Homeopathy - Best Homeopathy in Bangalore - Best Homeopathy Doctor In Bangalore,Homeopathic Clinic,Homeopath,Homeopath,756020,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Mitrapur S.O, Begunia B.O, Bhounriabad B.O",+91 98869 15333,http://www.sanjeevinihomeopathy.com/,4.7,,"453, Between 6th & 7th Cross, Sampige Rd, opp. to R R Gold Palace, Sangeetha Apts, Malleshwaram, Bengaluru, Karnataka 560003","Sangeetha Apts, Malleshwaram",12.998061499999999,77.5715307,ChIJgxkau-kXrjsRLUQGkAs9rT8,https://www.google.com/maps/place/?q=place_id:ChIJgxkau-kXrjsRLUQGkAs9rT8,part_342,2026-09-20 20:38:10
Dr Jayasri’s Homeo Care Centre,Homeopathic Clinic,Homeopath,"Homeopath, Medical clinic",756020,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Mitrapur S.O, Begunia B.O, Bhounriabad B.O",+91 94446 05133,N/A,4.9,,"Somasundarapalya, Bengaluru, Karnataka 560102",Somasundarapalya,12.898645,77.6530458,ChIJ1SfLQtoVrjsRnc0BGzezyWc,https://www.google.com/maps/place/?q=place_id:ChIJ1SfLQtoVrjsRnc0BGzezyWc,part_342,2026-09-20 20:38:10
Holistic Homoeo Clinic,Homeopathic Clinic,Homeopath,"Homeopath, Homeopathic pharmacy, Psychiatrist",756020,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Mitrapur S.O, Begunia B.O, Bhounriabad B.O",+91 97399 85387,N/A,5.0,,"Vasanth Homoeo Pharma 17/18, G2, Kothnur Dinne Main Rd, near Corporation Bank, Nrupathunga Nagar, JP Nagar 7th Phase, Bengaluru, Karnataka 560076","Nrupathunga Nagar, Navodaya Nagar, JP Nagar 7th Phase, J. P. Nagar",12.8828411,77.5834052,ChIJFSvB0yprrjsRM-ZXYpsllQw,https://www.google.com/maps/place/?q=place_id:ChIJFSvB0yprrjsRM-ZXYpsllQw,part_342,2026-09-20 20:38:10
The Family Clinic and Homeopathic Store,Homeopathic Clinic,Homeopath,"Homeopath, Counselor, Dietitian, Homeopathic pharmacy, Special educator",756020,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Mitrapur S.O, Begunia B.O, Bhounriabad B.O",+91 85569 54192,https://familyclinickkp.com/,4.9,,"Faridkot Rd, near Red Light Chowk, Lajpat Nagar, Kot Kapura, Punjab 151204",Lajpat Nagar,30.5835378,74.8201266,ChIJews5tSBRFzkRIoCfuG3ccf0,https://www.google.com/maps/place/?q=place_id:ChIJews5tSBRFzkRIoCfuG3ccf0,part_342,2026-09-20 20:38:10
Purusottam Homeo Bikash Laboratory,Homeopathic Clinic,Manufacturer,Manufacturer,756020,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Mitrapur S.O, Begunia B.O, Bhounriabad B.O",+91 99333 01021,https://phblglobals.com/,3.7,16.0,"L/3, Saratpally, Midnapore, West Bengal 721101",Saratpally,22.4151514,87.30684269999999,ChIJ9TJm-1BbHToRPlvnb4rnQuU,https://www.google.com/maps/place/?q=place_id:ChIJ9TJm-1BbHToRPlvnb4rnQuU,part_342,2026-09-20 20:38:10
