business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Jungle Juice Center,Juice Center and Milkshake Bar,Juice shop,Juice shop,756022,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Darada S.O, Barada B.O, Chakrada B.O",N/A,N/A,5.0,24.0,"MJ24+CMF, Income Tax Office Ln, Dhenkanal, Odisha 759001",756022,20.6510686,85.60665999999999,ChIJ66geUiwfGToRQbQmNwTMaOk,https://www.google.com/maps/place/?q=place_id:ChIJ66geUiwfGToRQbQmNwTMaOk,part_342,2026-09-20 20:39:32
JUST CHILL JUICE BAR,Juice Center and Milkshake Bar,Juice shop,Juice shop,756022,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Darada S.O, Barada B.O, Chakrada B.O",N/A,N/A,5.0,1.0,"Kalamandal Pada, near Kuber Pan Masala, Balangir, Odisha 767001",756022,20.700979099999998,83.4855802,ChIJj7YBdQAPJDoR29OWgXpShYs,https://www.google.com/maps/place/?q=place_id:ChIJj7YBdQAPJDoR29OWgXpShYs,part_342,2026-09-20 20:39:32
Sweet Juice Center,Juice Center and Milkshake Bar,Juice shop,Juice shop,756022,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Darada S.O, Barada B.O, Chakrada B.O",+91 98617 28757,N/A,4.2,44.0,"Unnamed Road, Beguniyapada, Barida, Odisha 761031",756022,19.634279199999998,84.98862439999999,ChIJ0w04ufsGGDoRThvWCFCAuyM,https://www.google.com/maps/place/?q=place_id:ChIJ0w04ufsGGDoRThvWCFCAuyM,part_342,2026-09-20 20:39:32
Juice Bar,Juice Center and Milkshake Bar,Juice shop,Juice shop,756022,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Darada S.O, Barada B.O, Chakrada B.O",+91 70084 84612,N/A,4.8,12.0,"IGIT College Square, Road, sarang, Odisha 759146",756022,20.929987099999998,85.26322479999999,ChIJD_SkF0y3GDoR-Ce7hhlfA2U,https://www.google.com/maps/place/?q=place_id:ChIJD_SkF0y3GDoR-Ce7hhlfA2U,part_342,2026-09-20 20:39:32
Juice Centre,Juice Center and Milkshake Bar,Juice shop,Juice shop,756022,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Darada S.O, Barada B.O, Chakrada B.O",+91 77353 77194,N/A,3.0,2.0,"Nabin Chinda Complex, near 4 Square, Narla, Odisha 766100",756022,20.0554156,83.37699889999999,ChIJ_WDhFO2PJDoRXRkC1Aw1DZg,https://www.google.com/maps/place/?q=place_id:ChIJ_WDhFO2PJDoRXRkC1Aw1DZg,part_342,2026-09-20 20:39:32
Juice center,Juice Center and Milkshake Bar,Juice shop,Juice shop,756022,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Darada S.O, Barada B.O, Chakrada B.O",N/A,N/A,4.0,2.0,"Near, NH5 Over Bridge Phulnakhara, Bhubaneswar, Odisha 754001",756022,20.3619008,85.8917089,ChIJc23WEX4LGToR3NfruNeDlPk,https://www.google.com/maps/place/?q=place_id:ChIJc23WEX4LGToR3NfruNeDlPk,part_342,2026-09-20 20:39:32
Juice and Shakes shop,Juice Center and Milkshake Bar,Juice shop,Juice shop,756022,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Darada S.O, Barada B.O, Chakrada B.O",+91 97769 36189,N/A,4.3,10.0,"534, Saheed Nagar, Satya Nagar, Bhubaneswar, Odisha 751007",Satya Nagar,20.2819736,85.8438127,ChIJYcdnKfkJGToRYpR4hV5JBJo,https://www.google.com/maps/place/?q=place_id:ChIJYcdnKfkJGToRYpR4hV5JBJo,part_342,2026-09-20 20:39:32
Juice Center - Dry Fruit Lassi,Juice Center and Milkshake Bar,Juice shop,Juice shop,756022,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Darada S.O, Barada B.O, Chakrada B.O",N/A,N/A,4.5,8.0,"6C6C+Q9, Kadambariguda, Odisha 765017",756022,19.2107168,83.42122189999999,ChIJlaK5BgpFOzoRjSMU2RZ4LkQ,https://www.google.com/maps/place/?q=place_id:ChIJlaK5BgpFOzoRjSMU2RZ4LkQ,part_342,2026-09-20 20:39:32
The Juice Bar,Juice Center and Milkshake Bar,Juice shop,"Juice shop, Health consultant",756022,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Darada S.O, Barada B.O, Chakrada B.O",+91 70643 92397,N/A,4.5,61.0,"The Juice Bar, Gour pada chowk Infront of suruchi bazar, Odisha 768028",756022,21.3363594,83.6199278,ChIJqVWEOA1LIToReLQV4gfy960,https://www.google.com/maps/place/?q=place_id:ChIJqVWEOA1LIToReLQV4gfy960,part_342,2026-09-20 20:39:32
Jogesh juice centre,Juice Center and Milkshake Bar,Juice shop,Juice shop,756022,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Darada S.O, Barada B.O, Chakrada B.O",N/A,N/A,5.0,5.0,"P9W2+JMP, Kuchinda, Odisha 768222",756022,21.7465723,84.3517735,ChIJU2nuF6yrIToRzmZG4wp6pM4,https://www.google.com/maps/place/?q=place_id:ChIJU2nuF6yrIToRzmZG4wp6pM4,part_342,2026-09-20 20:39:32
Juice Plaza,Juice Center and Milkshake Bar,Juice shop,Juice shop,756022,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Darada S.O, Barada B.O, Chakrada B.O",N/A,N/A,3.8,4.0,"RR7M+QVG, Grand Rd, Balikuda Sahi, Badasankha, Puri, Odisha 752002","Balikuda Sahi, Badasankha",19.8144505,85.8346913,ChIJSydcicPHGToRlhS5IZB_cIs,https://www.google.com/maps/place/?q=place_id:ChIJSydcicPHGToRlhS5IZB_cIs,part_342,2026-09-20 20:39:32
Juicy Wala,Juice Center and Milkshake Bar,Juice shop,"Juice shop, Ice cream shop",756022,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Darada S.O, Barada B.O, Chakrada B.O",+91 84570 05647,N/A,4.8,,"Chowk, Square, Mishrapada, Angul, Odisha 759122","Square, Mishrapada",20.8278647,85.09500659999999,ChIJ95RrBwClGDoRnRXF4a4-9sA,https://www.google.com/maps/place/?q=place_id:ChIJ95RrBwClGDoRnRXF4a4-9sA,part_342,2026-09-20 20:39:33
Juice and coffee Bar,Juice Center and Milkshake Bar,Coffee shop,Coffee shop,756022,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Darada S.O, Barada B.O, Chakrada B.O",N/A,N/A,5.0,,"5744+796, SH 43, Balikuda, Odisha 754108",756022,20.1555757,86.2559624,ChIJN0CNAQCHGToRLe7fdbI1vUs,https://www.google.com/maps/place/?q=place_id:ChIJN0CNAQCHGToRLe7fdbI1vUs,part_342,2026-09-20 20:39:33
