business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"HANDSOME CLUB,CHAMARGAN",Exhibitions,Community center,Community center,756033,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Hatigarh S.O (Baleswar), Ashabandha B.O, Baradiha B.O",N/A,N/A,4.2,,"Chamargan, Odisha 756087",756033,21.827926899999998,87.1952496,ChIJVVVVhSbgHDoRilqUVJyjnPs,https://www.google.com/maps/place/?q=place_id:ChIJVVVVhSbgHDoRilqUVJyjnPs,part_342,2026-09-20 20:47:12
Netaji Stadium Gopal prasad,Exhibitions,Stadium,Stadium,756033,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Hatigarh S.O (Baleswar), Ashabandha B.O, Baradiha B.O",+91 82495 99137,N/A,3.6,,"Gopalprasad, Odisha 756033",756033,21.9188872,87.21961879999999,ChIJW3e1R0AfHToR-rMMqy0k144,https://www.google.com/maps/place/?q=place_id:ChIJW3e1R0AfHToR-rMMqy0k144,part_342,2026-09-20 20:47:12
Kalyankot community centre,Exhibitions,Community center,Community center,756033,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Hatigarh S.O (Baleswar), Ashabandha B.O, Baradiha B.O",N/A,N/A,5.0,,"V577+G8R, Bardiha, Odisha 756033",756033,21.863840399999997,87.1629552,ChIJzQMNSgAfHToRv0QDV70K1oE,https://www.google.com/maps/place/?q=place_id:ChIJzQMNSgAfHToRv0QDV70K1oE,part_342,2026-09-20 20:47:12
MT Season Event,Exhibitions,Event venue,Event venue,756033,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Hatigarh S.O (Baleswar), Ashabandha B.O, Baradiha B.O",+91 73811 48616,N/A,,,"LAKHANNATH MELAPADIA, LAKHANNATH, Jaleswar, Lakshmannath, Odisha 756032",LAKHANNATH,21.840362,87.2180314,ChIJ00nsOlofHToR6Iuw_BrSjSw,https://www.google.com/maps/place/?q=place_id:ChIJ00nsOlofHToR6Iuw_BrSjSw,part_342,2026-09-20 20:47:12
HARIBASS CHAKK,Exhibitions,Village hall,Village hall,756033,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Hatigarh S.O (Baleswar), Ashabandha B.O, Baradiha B.O",N/A,N/A,5.0,,"W6MQ+C4W, Makidia, Mankiria, Odisha 756033",756033,21.9336232,87.23782829999999,ChIJn9enhJ0jHToRTAz2BOFvKks,https://www.google.com/maps/place/?q=place_id:ChIJn9enhJ0jHToRTAz2BOFvKks,part_342,2026-09-20 20:47:12
KUMUCHIA,Exhibitions,Village hall,Village hall,756033,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Hatigarh S.O (Baleswar), Ashabandha B.O, Baradiha B.O",N/A,N/A,5.0,,"V5GH+7H3, Kumuchia, Bhadua, Odisha 756033",756033,21.8756467,87.1789333,ChIJb0icJQAfHToRxvB6j7K-HtE,https://www.google.com/maps/place/?q=place_id:ChIJb0icJQAfHToRxvB6j7K-HtE,part_342,2026-09-20 20:47:12
KENDUBANI,Exhibitions,Village hall,Village hall,756033,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Hatigarh S.O (Baleswar), Ashabandha B.O, Baradiha B.O",N/A,N/A,3.0,,"W46C+FWX, Begunia, Odisha 756033",756033,21.9138688,87.1223947,ChIJbVJtfAAdHToRUhR0XNNr9_M,https://www.google.com/maps/place/?q=place_id:ChIJbVJtfAAdHToRUhR0XNNr9_M,part_342,2026-09-20 20:47:12
Biswanath Soren,Exhibitions,Haunted house,Haunted house,756033,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Hatigarh S.O (Baleswar), Ashabandha B.O, Baradiha B.O",N/A,N/A,5.0,,"V5XR+WF, Raibania, Odisha 756033",756033,21.8988221,87.19154189999999,ChIJ8-tZcn0fHToR3nKDmrLPoic,https://www.google.com/maps/place/?q=place_id:ChIJ8-tZcn0fHToR3nKDmrLPoic,part_342,2026-09-20 20:47:12
MAA BASULI DIGITAL STUDIO,Exhibitions,Community center,Community center,756033,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Hatigarh S.O (Baleswar), Ashabandha B.O, Baradiha B.O",N/A,N/A,,,"V6JW+5M2, Praharajpur, Beherasahi, Odisha 756033",756033,21.8803977,87.2466554,ChIJFTfiWwAhHToRV_1mTcwOVK0,https://www.google.com/maps/place/?q=place_id:ChIJFTfiWwAhHToRV_1mTcwOVK0,part_342,2026-09-20 20:47:12
Lakshmannath Rajbhavan,Exhibitions,Heritage museum,Heritage museum,756033,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Hatigarh S.O (Baleswar), Ashabandha B.O, Baradiha B.O",N/A,N/A,4.4,46.0,"R6R9+FGH, Lakshmannath, Odisha 756087",756033,21.8411884,87.2188465,ChIJJxdwG_kfHToRdVkleH3ib_U,https://www.google.com/maps/place/?q=place_id:ChIJJxdwG_kfHToRdVkleH3ib_U,part_342,2026-09-20 20:47:13
