business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Jagannath Ajanta Traders Private Limited,Importers,Tea Manufacturer,"Tea Manufacturer, Beverage Store, Supplier, Food and beverage consultant, Food & Beverage Exporter, Food Processing Company, Manufacturer, Tea Exporter, Tea market place, Tea Wholesaler",756033,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Hatigarh S.O (Baleswar), Ashabandha B.O, Baradiha B.O",+91 63707 69479,http://lefto.in/,5.0,8.0,"Laxmannath Road, Gobarghatta, Jaleswar, Gabarghata, Odisha 756087",Gobarghatta,21.8433811,87.24580499999999,ChIJBQX8Qm4hHToRKwENpsL5Zdk,https://www.google.com/maps/place/?q=place_id:ChIJBQX8Qm4hHToRKwENpsL5Zdk,part_342,2026-09-20 20:47:11
JAYGURU SARA BHANDAR MAHUDUMA,Importers,Fertilizer Store,Fertilizer Store,756033,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Hatigarh S.O (Baleswar), Ashabandha B.O, Baradiha B.O",+91 93379 53665,N/A,5.0,3.0,"W437+J7Q, AT PO-MAHUDUMA, VIA-HATHIGARH, THANA, Raibania, Odisha 756033",THANA,21.90408,87.1132363,ChIJU5webAAdHToRovGsJbGvxUI,https://www.google.com/maps/place/?q=place_id:ChIJU5webAAdHToRovGsJbGvxUI,part_342,2026-09-20 20:47:11
Prtap agrochemical store,Importers,Agrochemicals Supplier,Agrochemicals Supplier,756033,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Hatigarh S.O (Baleswar), Ashabandha B.O, Baradiha B.O",N/A,N/A,,,"W6QF+JXQ, brahmapur, Brahmapur, Olmara, Odisha 756033",756033,21.938985,87.2250694,ChIJHXxENgAjHToRUEC48SS-M6k,https://www.google.com/maps/place/?q=place_id:ChIJHXxENgAjHToRUEC48SS-M6k,part_342,2026-09-20 20:47:11
Chengda,Importers,Fertilizer Store,Fertilizer Store,756033,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Hatigarh S.O (Baleswar), Ashabandha B.O, Baradiha B.O",N/A,N/A,,,"R5VR+2GH, Chengda, Odisha 756033",756033,21.8425659,87.1913543,ChIJxSJ2LgAfHToRgKz-ndH5Hco,https://www.google.com/maps/place/?q=place_id:ChIJxSJ2LgAfHToRgKz-ndH5Hco,part_342,2026-09-20 20:47:11
Maa Laxmi sarabhandar,Importers,Fertilizer Store,Fertilizer Store,756033,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Hatigarh S.O (Baleswar), Ashabandha B.O, Baradiha B.O",+91 96687 62902,N/A,,,"Shantipur road, chengda, Chamargan, Jaleswar, Odisha 756033",756033,21.827926899999998,87.1952496,ChIJAY6PNOPhHDoRLCfGfXk0EKg,https://www.google.com/maps/place/?q=place_id:ChIJAY6PNOPhHDoRLCfGfXk0EKg,part_342,2026-09-20 20:47:11
SRIMA SARA BHANDAR,Importers,Fertilizer Store,"Fertilizer Store, Farm equipment supplier, Pest control service",756033,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Hatigarh S.O (Baleswar), Ashabandha B.O, Baradiha B.O",N/A,N/A,5.0,3.0,"Hatigarh Main Road, Hatigarh, Kalika, Raibania, Odisha 756033",Hatigarh,21.8935928,87.1929468,ChIJqePAkrIfHToRYJFa5RnjLpU,https://www.google.com/maps/place/?q=place_id:ChIJqePAkrIfHToRYJFa5RnjLpU,part_342,2026-09-20 20:47:11
Shree jagannath Enterprises,Importers,Plastic Products Supplier,Plastic Products Supplier,756033,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Hatigarh S.O (Baleswar), Ashabandha B.O, Baradiha B.O",N/A,N/A,5.0,2.0,"R6VW+8HF, Gabarghata, Odisha 756087",756033,21.8433237,87.2463866,ChIJWd1zTwAhHToR-jDNUkS9tcc,https://www.google.com/maps/place/?q=place_id:ChIJWd1zTwAhHToR-jDNUkS9tcc,part_342,2026-09-20 20:47:11
Laxmi Bricks Industry,Importers,Metal industry suppliers,Metal industry suppliers,756033,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Hatigarh S.O (Baleswar), Ashabandha B.O, Baradiha B.O",N/A,N/A,5.0,1.0,"V7P4+GGQ, Malpara, Hasimpur, West Bengal 721426",756033,21.886326,87.256373,ChIJ5dNDclYhHToRze8t8okvv7Y,https://www.google.com/maps/place/?q=place_id:ChIJ5dNDclYhHToRze8t8okvv7Y,part_342,2026-09-20 20:47:11
SDEY Global Trade Private Limited,Importers,Import export company,Import export company,756033,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Hatigarh S.O (Baleswar), Ashabandha B.O, Baradiha B.O",+91 63603 02642,https://www.sdeyglobaltrade.com/,5.0,,"DEY Bhavan, Mogolmari, Nekurseni, Belda, West Bengal 721451",Mogolmari,21.995538999999997,87.3015908,ChIJTZYmJSkjHToR0BqNuI-rAh0,https://www.google.com/maps/place/?q=place_id:ChIJTZYmJSkjHToR0BqNuI-rAh0,part_342,2026-09-20 20:47:12
Hari Darshan agarbatti manufacturing industry,Importers,Incense supplier,Incense supplier,756033,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Hatigarh S.O (Baleswar), Ashabandha B.O, Baradiha B.O",N/A,N/A,5.0,,"Indian petroleum, Jaleswar, Sugo, Odisha 756084",756033,21.7917623,87.2865022,ChIJ79_VIVvfHDoRW32zsjpEeag,https://www.google.com/maps/place/?q=place_id:ChIJ79_VIVvfHDoRW32zsjpEeag,part_342,2026-09-20 20:47:12
