business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
JD INSTITUTE OF BASIC SCIENCE,NEET and JEE Coaching Center,Educational institution,"Educational institution, Education center",756041,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Sajanagarh S.O, Garadihi B.O, Gopalpur B.O",N/A,N/A,4.3,,"college square, Soro, Brahmansahi, Odisha 756045",756041,21.2844055,86.6712968,ChIJkX1eIQBvHDoRR38kB7yD6nE,https://www.google.com/maps/place/?q=place_id:ChIJkX1eIQBvHDoRR38kB7yD6nE,part_342,2026-09-20 20:52:25
"PINNACLE ACHIEVERS ACADEMY, SORO",NEET and JEE Coaching Center,Educational institution,Educational institution,756041,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Sajanagarh S.O, Garadihi B.O, Gopalpur B.O",+91 86588 16657,N/A,5.0,,"OD-SOR, LIN-29G-010, Soro, Odisha 756045",756041,21.2828145,86.67817939999999,ChIJ73SraQBvHDoRpJiBDYTlXFU,https://www.google.com/maps/place/?q=place_id:ChIJ73SraQBvHDoRpJiBDYTlXFU,part_342,2026-09-20 20:52:25
Mo Guru Vidyapeetha,NEET and JEE Coaching Center,Education center,Education center,756041,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Sajanagarh S.O, Garadihi B.O, Gopalpur B.O",+91 99380 83289,http://www.moguru.in/,5.0,,"Bright Science +3 Tutorial, Soro, Odisha 756045",756041,21.2855204,86.6727552,ChIJVXBMEqFvHDoRo_L79iStQ5g,https://www.google.com/maps/place/?q=place_id:ChIJVXBMEqFvHDoRo_L79iStQ5g,part_342,2026-09-20 20:52:25
VIDYASHARADA ACADEMY MOODABIDIRE,NEET and JEE Coaching Center,Coaching Center,Coaching Center,756041,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Sajanagarh S.O, Garadihi B.O, Gopalpur B.O",+91 81471 21649,http://www.vidyasharadaacademymoodabidire.com/,4.9,,"Basavajoyti science and commerce College, C/o, Bijapur - Jamkhandi Rd, Jamkhandi, Karnataka 587301",756041,16.5117485,75.2984084,ChIJWyOuuTM9xzsRUsWIlf-ZMP4,https://www.google.com/maps/place/?q=place_id:ChIJWyOuuTM9xzsRUsWIlf-ZMP4,part_342,2026-09-20 20:52:26
"Logic Institute: IIT-JEE, NEET, CET",NEET and JEE Coaching Center,Coaching Center,"Coaching Center, Education center, Educational institution, Preparatory school, Training center",756041,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Sajanagarh S.O, Garadihi B.O, Gopalpur B.O",+91 90219 67890,https://logicinstitute.in/,4.8,,"Old Employment Chowk, Railway lines, Solapur, Maharashtra 413001",Railway lines,17.6640065,75.90131099999999,ChIJTYmn6nfaxTsRPaDcGOHVvHs,https://www.google.com/maps/place/?q=place_id:ChIJTYmn6nfaxTsRPaDcGOHVvHs,part_342,2026-09-20 20:52:26
EMC2 NEET JEE Classes in Pune,NEET and JEE Coaching Center,Coaching Center,"Coaching Center, Career guidance service, Education center, Educational consultant, Educational institution, Learning center, Training center",756041,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Sajanagarh S.O, Garadihi B.O, Gopalpur B.O",+91 97635 92211,https://emc2edu.in/,4.7,,"Office no. 305, Infront of Silver Estate Society, Majestique Biznow ,Third Floor, 306, NIBM Rd, above Yamaha Showroom, Kondhwa, Pune, Maharashtra 411048",Kondhwa,18.480197999999998,73.89619019999999,ChIJb7FmQnnqwjsRMdmP7QyA6Jk,https://www.google.com/maps/place/?q=place_id:ChIJb7FmQnnqwjsRMdmP7QyA6Jk,part_342,2026-09-20 20:52:26
ARMS ACADEMY SW CENTRE JEE | NEET | FOUNDATION,NEET and JEE Coaching Center,Coaching Center,"Coaching Center, Education center, Educational institution, Training center",756041,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Sajanagarh S.O, Garadihi B.O, Gopalpur B.O",+91 77929 29277,https://armsacademy.org/,4.7,,"Pune - Satara Rd, Near Sai Baba Mandir, Swargate, Pune, Maharashtra 411037",Swargate,18.4934591,73.8582856,ChIJa5XsYhfAwjsRYo6DeyiuZV8,https://www.google.com/maps/place/?q=place_id:ChIJa5XsYhfAwjsRYo6DeyiuZV8,part_342,2026-09-20 20:52:26
Bakliwal Tutorials Head Office,NEET and JEE Coaching Center,Coaching Center,"Coaching Center, Education center, Educational institution",756041,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Sajanagarh S.O, Garadihi B.O, Gopalpur B.O",+91 88888 66184,http://www.btsolapur.com/,4.7,,"DRM office road, above Bank Of India, Old Employment Chowk, Solapur, Maharashtra 413001",Old Employment Chowk,17.6608819,75.9007103,ChIJyRvVHnbaxTsRNW6Q80wBvBQ,https://www.google.com/maps/place/?q=place_id:ChIJyRvVHnbaxTsRNW6Q80wBvBQ,part_342,2026-09-20 20:52:26
"L-1 Coaching | IIT-JEE & NEET Coaching Institute in Durgakund, Varanasi",NEET and JEE Coaching Center,Coaching Center,"Coaching Center, Education center, Educational institution, Learning center",756041,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Sajanagarh S.O, Garadihi B.O, Gopalpur B.O",+91 63886 40833,https://l1coaching.in/,3.9,,"B-36/43-46M, Brahmanand Colony, Durgakund, Tulsi Manas Mandir Colony, Naria, Varanasi, Uttar Pradesh 221005","Brahmanand Colony, Durgakund, Tulsi Manas Mandir Colony, Naria",25.2865114,82.9951432,ChIJb8F3qPUxjjkRd_wYyb8M9Nk,https://www.google.com/maps/place/?q=place_id:ChIJb8F3qPUxjjkRd_wYyb8M9Nk,part_342,2026-09-20 20:52:26
"Aakash Institute - Best NEET & IIT-JEE Coaching in Pune, Parvaz Complex",NEET and JEE Coaching Center,Coaching Center,"Coaching Center, Career guidance service, Distance Learning Center, Learning center, Tutoring service",756041,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Sajanagarh S.O, Garadihi B.O, Gopalpur B.O",+91 88000 13074,https://centers.aakash.ac.in/aakash-institute-best-neet-iit-jee-coaching-in-pune-parvaz-complex-coaching-center-parvaz-complex-ind-mh-pune-99257/Home?utm_source=locator&utm_medium=googleplaces,4.0,,"1st Floor, Parvaz Complex, No 2390B, Shankar Sheth Rd, opposite Dhobi Ghat, Pune, Maharashtra 411001",756041,18.5022941,73.8757607,ChIJFRI4TTTAwjsRYiItm9mYkx4,https://www.google.com/maps/place/?q=place_id:ChIJFRI4TTTAwjsRYiItm9mYkx4,part_342,2026-09-20 20:52:26
"ALLEN Career Institute - Shankar Seth Road Campus (H.O.), Pune | IIT JEE, NEET & Foundation Coaching",NEET and JEE Coaching Center,Coaching Center,"Coaching Center, Educational institution",756041,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Sajanagarh S.O, Garadihi B.O, Gopalpur B.O",+91 89513 95286,https://www.allen.ac.in/pune/?utm_source=GMB&utm_medium=Organic&utm_campaign=ALLEN_Career_Institute_Shankar_Seth_Road_Campus_HQ_Pune,4.4,,"Oswal Bhavan, Vardhman Building, 321/A, Shankar Sheth Rd, Mahatma Phule Peth, Katad Khana, Pune, Maharashtra 411042","Mahatma Phule Peth, Katad Khana",18.5019453,73.8698245,ChIJhYDzeizBwjsRl7mV9A5CvKg,https://www.google.com/maps/place/?q=place_id:ChIJhYDzeizBwjsRl7mV9A5CvKg,part_342,2026-09-20 20:52:26
