pincode,circle,region,division,offices
755013,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Pritipur S.O, Alakundanuagaon B.O, Aunri B.O, Biripatta B.O, Chasakhanda B.O, Chhatrapara B.O, Dolagram Damodarpur B.O, Kuanlo B.O, Uttarkulhat B.O"
755014,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Rambag S.O, Bamdevpur B.O, Barikul B.O, Katikata B.O, Kuanrapur B.O, Nehapara B.O, Udranga B.O, Uttangara B.O"
755015,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Sankhachilla S.O, Jabara B.O, Badabiruan B.O, Laxminagar B.O, Pahanga B.O, Sribantapur B.O"
755016,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Singhpur S.O (Jajapur), Abdalpur B.O, Bada Damodarpur B.O, Bangra B.O, Deulatara B.O, Haladidiha B.O, Hatasahi Kutchery B.O, Jari B.O, Kandiahat B.O, Namtara B.O, Olei Chandanpur B.O"
755017,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Sujanpur S.O (Jajapur), Bainsiria B.O, Bhurunga B.O, Chhatisdebil B.O, Erabanka B.O, Hasinpur B.O, Kujhalo B.O, M.D.Jemapur B.O, Udaypur B.O"
755018,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Sukinda S.O, Amploba B.O, Atta B.O, Damodarpur B.O, Haripur Jemadeipur B.O, Hatibari B.O, Kankadapal B.O, Kuhika B.O, Lembo B.O, Mangalpur B.O, Sansailo B.O"
755019,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Jajpur Road RS S.O, Andhari B.O, Aswasthapal B.O, Balibaruan B.O, Chitri Gobardhanpur B.O, Dala B.O, Dankarisahi B.O, Gobardhanpur B.O, Janha B.O, Kiajhar B.O, Nachhipura B.O, Naguan B.O, Odapada B.O, Pachhikote B.O, Patranga B.O, Rachhipur B.O, Ragadi B.O, Ranipada B.O, Taharpur B.O, Patuli B.O, Dolipur S.O, Sobra S.O"
755020,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,Ferro Chrome Project S.O
755022,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Korei S.O, Dhaneswar B.O, Kantar B.O, Purbakote B.O, Ramakrishnapur B.O, Tulati B.O"
755023,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Jenapur S.O, Antia B.O, Balarampur Talagada B.O, Batijoda B.O, Endal B.O, Garhmadhupur B.O, Kabatabandha B.O, Madhusudanpur B.O, Mahisara B.O, Marjitpur B.O, Purunabaulamal B.O, Rekhideipur B.O, Sarada Mukundapur B.O"
755024,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Haridaspur S.O, Aruha B.O, Neulpur B.O, Thannual B.O"
