business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
MAA ADILAXMI FLOUR MILL,Flour Mill,Food manufacturer,Food manufacturer,756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",+91 93370 69629,N/A,4.8,,"Chandralok Market Complex, near Durga Mandap Lane, Sector-1, HIG Colony, Niladri Vihar, Chandrasekharpur, Bhubaneswar, Odisha 751021","Sector-1, HIG Colony, Niladri Vihar, Chandrasekharpur",20.3276923,85.81219039999999,ChIJX1RO8cgJGToRudGjyhtfjOA,https://www.google.com/maps/place/?q=place_id:ChIJX1RO8cgJGToRudGjyhtfjOA,part_343,2026-09-20 20:17:45,265
R.K. Flour Mill & Crop Haller,Flour Mill,Flour mill,Flour mill,756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",N/A,N/A,,,"Ramadha, Kharasahapur, Bahanaga, Odisha 756045",756042,21.2521032,86.7937432,ChIJI0RoYN57HDoRL0l7iDe55OA,https://www.google.com/maps/place/?q=place_id:ChIJI0RoYN57HDoRL0l7iDe55OA,part_343,2026-09-20 20:17:45,266
Great Eastern udyog Pvt.ltd.,Flour Mill,Flour mill,Flour mill,756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",N/A,N/A,4.1,,"GXXM+FF7, Chennai - Kolkata Hwy, Kairapari, Odisha 754025",756042,20.5486613,85.9836636,ChIJaWEYMsttGToRuQVof7C9FhE,https://www.google.com/maps/place/?q=place_id:ChIJaWEYMsttGToRuQVof7C9FhE,part_343,2026-09-20 20:17:45,267
Rani Sati Rice Mill Private Limited,Flour Mill,Rice mill,Rice mill,756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",+91 94370 90018,N/A,3.3,,"At- Manakahani, Po- Kasabajaypur,, Via- Khantapara, Balasore, Odisha 756043",756042,21.399977,86.789389,ChIJDwAAAANnHDoRh73UO_U-vZ8,https://www.google.com/maps/place/?q=place_id:ChIJDwAAAANnHDoRh73UO_U-vZ8,part_343,2026-09-20 20:17:45,268
Subhalaxmi Industries,Flour Mill,Flour mill,Flour mill,756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",N/A,N/A,4.3,,"587H+M8F, Raja Sunakhala, Ramabila, Odisha 752065",756042,20.1641853,85.3283117,ChIJ50iByuldGDoRnhvrIdS46yM,https://www.google.com/maps/place/?q=place_id:ChIJ50iByuldGDoRnhvrIdS46yM,part_343,2026-09-20 20:17:45,269
Maa Mangla Flour Mills Pvt Ltd,Flour Mill,Flour mill,Flour mill,756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",N/A,N/A,4.2,,"6M8W+WWQ, Unnamed Road, Nilakanthapur, Alakar, Odisha 752054",756042,20.217330699999998,85.69734849999999,ChIJHfjYk76pGToRU33KuinSZdE,https://www.google.com/maps/place/?q=place_id:ChIJHfjYk76pGToRU33KuinSZdE,part_343,2026-09-20 20:17:45,270
Sri Jagannath Roller Flour Mills,Flour Mill,Flour mill,Flour mill,756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",+91 6755 296 060,N/A,3.9,,"Barunei Temple Rd, Jagannathpur, Khordha, Odisha 752057",Jagannathpur,20.1677975,85.6384406,ChIJSSE-zYisGToR_rSZLHQFqTQ,https://www.google.com/maps/place/?q=place_id:ChIJSSE-zYisGToR_rSZLHQFqTQ,part_343,2026-09-20 20:17:45,271
Pereira Mills,Flour Mill,Flour mill,Flour mill,756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",N/A,N/A,4.5,,"7XFC+2HM, near Bank of India, Aquem Alto, Margao, Goa 403601",Aquem Alto,15.2725867,73.971418,ChIJ6bAhUwCzvzsR1mH7fenh4Pg,https://www.google.com/maps/place/?q=place_id:ChIJ6bAhUwCzvzsR1mH7fenh4Pg,part_343,2026-09-20 20:17:45,272
Maa Mangla Flour Mills Pvt. Ltd,Flour Mill,Food products supplier,Food products supplier,756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",+91 674 652 4553,N/A,5.0,,"N2/106, N2, Block N2, IRC Village, Nayapalli, Bhubaneswar, Odisha 751015","N2, Block N2, IRC Village, Nayapalli",20.2935065,85.8057391,ChIJAQAAkDIIGToR_8gVU32Hc-Q,https://www.google.com/maps/place/?q=place_id:ChIJAQAAkDIIGToR_8gVU32Hc-Q,part_343,2026-09-20 20:17:45,273
Parvati Mills,Flour Mill,Flour mill,Flour mill,756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",+91 94225 78493,N/A,4.3,,"Shantinagar, Navelim, New Zariwaddo, Aquem Baixo, Goa 403707","Shantinagar, Navelim, New Zariwaddo",15.2608526,73.97815229999999,ChIJ7WCkuKGzvzsR6gy21mVCNLM,https://www.google.com/maps/place/?q=place_id:ChIJ7WCkuKGzvzsR6gy21mVCNLM,part_343,2026-09-20 20:17:45,274
