business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Citi UNIFORM,Uniform Manufacturer,Uniform store,Uniform store,756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",+91 94399 46915,N/A,4.7,,"HIG-1/96,Bhimatangi BDA chhak, Ekamra college road, Infront of Bda chhak post office Bhima Tangi Main Road, Ekamra College Rd, Bhubaneswar, Odisha 751002","Kapila Prasad, Bhimatangi Housing Colony",20.2352561,85.81883479999999,ChIJM5fee7oJGToRBlB5OH38em4,https://www.google.com/maps/place/?q=place_id:ChIJM5fee7oJGToRBlB5OH38em4,part_343,2026-09-20 20:17:52,1537
A-One Readymade Garments School Uniform,Uniform Manufacturer,Uniform store,"Uniform store, T-shirt store",756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",+91 98613 29097,N/A,3.3,,"Naya Bazar, Balasore, Gopalgoan, Odisha 756001",Naya Bazar,21.504649,86.9256399,ChIJtYayEaP1HDoRCOg4ekSBJdo,https://www.google.com/maps/place/?q=place_id:ChIJtYayEaP1HDoRCOg4ekSBJdo,part_343,2026-09-20 20:17:52,1538
Jatan Enterprises,Uniform Manufacturer,Uniform store,Uniform store,756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",+91 70772 98957,N/A,4.5,,"1st floor, Ram Mahavir mandir complex, S.S. Vihar Road, Phase II, Damana, Chandrasekharpur, Bhubaneswar, Odisha 751021","Phase II, Damana, Chandrasekharpur",20.3327775,85.8167454,ChIJ9UhcpIQJGToRlVxzvRicCv4,https://www.google.com/maps/place/?q=place_id:ChIJ9UhcpIQJGToRlVxzvRicCv4,part_343,2026-09-20 20:17:52,1539
New Unique Uniforms,Uniform Manufacturer,Police supply store,Police supply store,756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",+91 99384 19359,N/A,4.6,,"1st floor, Room No- 93, New Unique Uniforms, OMP Market Complex, OMP Square, Kataka, Odisha 753003",756042,20.457647899999998,85.9018325,ChIJ56VIxOsNGToRv9GqEZRapG4,https://www.google.com/maps/place/?q=place_id:ChIJ56VIxOsNGToRv9GqEZRapG4,part_343,2026-09-20 20:17:52,1540
V&S - Corporate Uniform & Customized Polo T-shirts Manufacturer,Uniform Manufacturer,Uniform store,"Uniform store, Custom t-shirt store, Men's clothing store, T-shirt store",756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",+91 96625 16579,https://vssurat.com/,4.8,,"Trade Center, 210, B-Wing, Bhatar Char Rasta, Bhatar, Surat, Gujarat 395007","Bhatar, Althan",21.1621307,72.8121717,ChIJ3aQEboxP4DsRD9ITRgEYB1Y,https://www.google.com/maps/place/?q=place_id:ChIJ3aQEboxP4DsRD9ITRgEYB1Y,part_343,2026-09-20 20:17:52,1541
School Days,Uniform Manufacturer,Uniform store,Uniform store,756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",+91 94374 61522,N/A,3.9,,"Sailashree Vihar, Chandrasekharpur, Bhubaneswar, Odisha 751021","Sailashree Vihar, Chandrasekharpur",20.332809899999997,85.8083218,ChIJ1TvJwgEJGToRVAObm-PsySM,https://www.google.com/maps/place/?q=place_id:ChIJ1TvJwgEJGToRVAObm-PsySM,part_343,2026-09-20 20:17:52,1542
Nupur,Uniform Manufacturer,Uniform store,"Uniform store, School supply store, Store",756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",+91 70082 48353,https://www.instagram.com/p/Cf3eTNAvh-R/?igshid=YmMyMTA2M2Y=,3.4,,"Bajrakabati Rd, near Telephone Bhawan, Siba Bazar, Kataka, Odisha 753001",Siba Bazar,20.4636677,85.88450449999999,ChIJ_3e2XgMNGToRZ4KIDZdmEOM,https://www.google.com/maps/place/?q=place_id:ChIJ_3e2XgMNGToRZ4KIDZdmEOM,part_343,2026-09-20 20:17:52,1543
Artistic Uniform and Cloth Store | School Uniform | College Uniform | NCC | SCOUT GUIDE | Convocation GOWN | NSS | JRC | SPC,Uniform Manufacturer,Uniform store,"Uniform store, Bag shop, Clothing store, Dress store, Shoe store",756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",+91 94380 11371,N/A,4.1,,"Shop No. 4711, near Sainik School Road, Laxmi Vihar, Vani Vihar, Bhubaneswar, Odisha 751005","Laxmi Vihar, Vani Vihar",20.3109687,85.8342383,ChIJO6ha4ZMJGToRPkrR5WCYhDw,https://www.google.com/maps/place/?q=place_id:ChIJO6ha4ZMJGToRPkrR5WCYhDw,part_343,2026-09-20 20:17:52,1544
Raya Apparels,Uniform Manufacturer,Clothing manufacturer,Clothing manufacturer,756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",+91 79 4271 8288,https://www.rayaapparels.in/,4.3,,"Above Bakes N Brown, Plot No. - B-113, Chandaka Industrial Estate, Patia, Bhubaneswar, Odisha 751024","Chandaka Industrial Estate, Patia",20.345831999999998,85.8089796,ChIJ329eGaoJGToRxxNKL9N8mto,https://www.google.com/maps/place/?q=place_id:ChIJ329eGaoJGToRxxNKL9N8mto,part_343,2026-09-20 20:17:52,1545
Ananya Uniforms,Uniform Manufacturer,Uniform store,Uniform store,756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",+91 97777 70269,N/A,3.0,,"Front of State Bank Of India, Khandagiri Temple Rd, Khandagiri, Bhubaneswar, Odisha 751030",Khandagiri,20.260172,85.7880847,ChIJybg-7dKnGToR9AwX15Bow0A,https://www.google.com/maps/place/?q=place_id:ChIJybg-7dKnGToR9AwX15Bow0A,part_343,2026-09-20 20:17:52,1546
OM MATCHING CENTRE,Uniform Manufacturer,Clothing store,"Clothing store, Clothing wholesaler",756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",N/A,N/A,3.0,,"Durga Market complex, in front of Kashinath Sweets, Soro, Odisha 756045",756042,21.2798739,86.6913383,ChIJcYF71qpvHDoRGdMr3dUaORw,https://www.google.com/maps/place/?q=place_id:ChIJcYF71qpvHDoRGdMr3dUaORw,part_343,2026-09-20 20:17:52,1547
G.S INTERNATIONAL,Uniform Manufacturer,Uniform store,Uniform store,756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",+91 98115 57708,http://www.globaluniforms.co.in/,3.5,,"Sector A4, A195, Industrial Area, Trans Delhi Signature City, Ghaziabad, Uttar Pradesh 201103","Industrial Area, Trans Delhi Signature City",28.78738,77.2580155,ChIJO4DfqxT_DDkRiBMrcsEttBM,https://www.google.com/maps/place/?q=place_id:ChIJO4DfqxT_DDkRiBMrcsEttBM,part_343,2026-09-20 20:17:52,1548
AMMAN LADIES TAILOR,Uniform Manufacturer,Tailor,"Tailor, Clothing store",756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",+91 90403 75596,N/A,3.0,,"Smitarani Das, Khantapada, Odisha 756043",756042,21.399680699999998,86.8074146,ChIJv2Y5JydnHDoR9H_e0VRS7EY,https://www.google.com/maps/place/?q=place_id:ChIJv2Y5JydnHDoR9H_e0VRS7EY,part_343,2026-09-20 20:17:52,1549
Woodbison,Uniform Manufacturer,Clothing supplier,Clothing supplier,756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",N/A,https://www.woodbison.in/,,,"Patanapada, Santaragadia, Odisha 756042",756042,21.3979131,86.7208886,ChIJ50PyRC9pHDoR8AeNjgdPMS4,https://www.google.com/maps/place/?q=place_id:ChIJ50PyRC9pHDoR8AeNjgdPMS4,part_343,2026-09-20 20:17:52,1550
Uniform Manufacturer (Sara Ambar),Uniform Manufacturer,Manufacturer,"Manufacturer, School supply store, Uniform store",756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",+91 98365 89600,https://www.indiamart.com/sara-ambar/,4.8,,"5, Prasanna Naskar Ln, Picnic Garden, Kasba, Kolkata, West Bengal 700039","Picnic Garden, Kasba",22.526380099999997,88.3808669,ChIJca21z213AjoRAbLtEvZdk0s,https://www.google.com/maps/place/?q=place_id:ChIJca21z213AjoRAbLtEvZdk0s,part_343,2026-09-20 20:17:54,1551
Smart Uniforms,Uniform Manufacturer,Uniform store,Uniform store,756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",+91 95388 31666,https://smartuniforms.in/,4.5,,"04 ,Papareddypalya Nagarabhavi 2nd Stage, BBMP Office. Road, Outer Ring Rd, behind Mahesh PU College, near Deepa Complex, Bengaluru, Karnataka 560072","Papareddipalya, Nagarbhavi",12.9684934,77.50493399999999,ChIJDVwk53k-rjsRwQ3bexthRRo,https://www.google.com/maps/place/?q=place_id:ChIJDVwk53k-rjsRwQ3bexthRRo,part_343,2026-09-20 20:17:54,1552
Samriddhi Creations,Uniform Manufacturer,Uniform store,"Uniform store, Clothing manufacturer, Dressmaker, Embroidery service",756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",+91 70675 72834,http://samriddhicreations.co.in/,5.0,,"Plot number 35/2, Sector 3, Geetanjali Nagar, Avanti Vihar Rd, opposite State Bank of India, Raipur, Chhattisgarh 492004","Gayatri Nagar, Shankar Nagar",21.2503378,81.6679376,ChIJIQxw1vrdKDoRhBKUfewfC_g,https://www.google.com/maps/place/?q=place_id:ChIJIQxw1vrdKDoRhBKUfewfC_g,part_343,2026-09-20 20:17:54,1553
Paridhan Uniform,Uniform Manufacturer,Clothing store,Clothing store,756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",N/A,N/A,3.9,,"Khemnichak Rd, behind rajdhani juice corner, near Bypass Road, East Lakshmi Nagar, Ramkrishan Nagar, Patna, Bihar 800027","East Lakshmi Nagar, Ramkrishan Nagar",25.5840142,85.1611307,ChIJ0RoYPZtY7TkRhpx1u3wvJPk,https://www.google.com/maps/place/?q=place_id:ChIJ0RoYPZtY7TkRhpx1u3wvJPk,part_343,2026-09-20 20:17:54,1554
Pradhan's Uniform Emporium,Uniform Manufacturer,Men's clothing store,Men's clothing store,756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",+91 99380 16762,N/A,5.0,,"G42, MAA Barabhuja Market Complex, Khandagiri, Bhubaneswar, Odisha 751030",Khandagiri,20.2582837,85.78828639999999,ChIJc2GnP5WnGToRAAAAMFtEWAc,https://www.google.com/maps/place/?q=place_id:ChIJc2GnP5WnGToRAAAAMFtEWAc,part_343,2026-09-20 20:17:54,1555
