business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
A.P. Caterers & Decorators,Caterer and Event Planner,Caterer,"Caterer, Service establishment, Wedding planner",756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",+91 97180 56103,N/A,4.9,110.0,"A.P. Caterers & Decorators, 756042, India",756042,21.0680074,82.7525294,ChIJ26AIXl3vDDkR0haaqEnhvwY,https://www.google.com/maps/place/?q=place_id:ChIJ26AIXl3vDDkR0haaqEnhvwY,part_343,2026-09-20 20:18:08
Royal caterers and decorators (event planner),Caterer and Event Planner,Wedding planner,"Wedding planner, Catering food and drink supplier, Caterer, Interior Decorator",756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",+91 95699 55546,https://royalcatererseventplanner.justdial.com/,5.0,269.0,"Officce adress moga, to, Kot Kapura - Moga Rd, near main bus stand, Singhan Wala, Punjab 142002",756042,30.768123,75.1236953,ChIJo00WKhkJGjkRJuis1Muw3v4,https://www.google.com/maps/place/?q=place_id:ChIJo00WKhkJGjkRJuis1Muw3v4,part_343,2026-09-20 20:18:08
Mohan Caterers And Event Planners,Caterer and Event Planner,Caterer,"Caterer, Entertainer, Event planner, Event venue, Security guard service, Wedding photographer",756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",+91 98887 00747,N/A,4.8,135.0,"1, Grand Trunk Rd, opp. JCT LTD, Model Town, Phagwara, Punjab 144401",Model Town,31.2069448,75.77262329999999,ChIJ5aFDbsP0GjkRQ7Vlvg5KIDo,https://www.google.com/maps/place/?q=place_id:ChIJ5aFDbsP0GjkRQ7Vlvg5KIDo,part_343,2026-09-20 20:18:08
Srivasasiri events & caterers,Caterer and Event Planner,Event planner,Event planner,756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",+91 88846 02460,https://www.facebook.com/share/14bCuPSoif/,4.8,34.0,"253, 9th Main Rd, Vajarahalli, Balaji Layout, Raghuvanahalli, Bangalore City Municipal Corporation Layout, Bengaluru, Karnataka 560109","Vajarahalli, Balaji Layout, Raghuvanahalli, Bangalore City Municipal Corporation Layout",12.874861,77.54038039999999,ChIJv4beh9Y_rjsRT_Apv0ev0eU,https://www.google.com/maps/place/?q=place_id:ChIJv4beh9Y_rjsRT_Apv0ev0eU,part_343,2026-09-20 20:18:08
BiGDAY EVENTS & CATERERS,Caterer and Event Planner,Event management company,Event management company,756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",+91 77361 11133,https://bigdayeventsindia.com/,5.0,150.0,"Puthenpeedika muttichur road, Muttichur, Thrissur, Padiyam, Keralam 680642",Muttichur,10.444618499999999,76.1147804,ChIJ9esZxi_zpzsRni_zNRsLb5A,https://www.google.com/maps/place/?q=place_id:ChIJ9esZxi_zpzsRni_zNRsLb5A,part_343,2026-09-20 20:18:08
Jain Annpurna Caterers & Event Organisers,Caterer and Event Planner,Event planner,"Event planner, Caterer, Service establishment",756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",+91 90348 96663,https://www.facebook.com/JainAnnpurnaCaterersAndEventOrganisers,5.0,24.0,"Jain Annpurna Caterers & Event Organisers, 756042, India",756042,30.4543486,77.462508,ChIJK6gL_6a3DzkR51fzYwW3a1A,https://www.google.com/maps/place/?q=place_id:ChIJK6gL_6a3DzkR51fzYwW3a1A,part_343,2026-09-20 20:18:08
Dream Party Organiser,Caterer and Event Planner,Caterer,"Caterer, Service establishment, Party planner, Wedding service",756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",+91 81780 81417,N/A,5.0,80.0,"Dream Party Organiser, 756042, India",756042,28.7332175,77.12019529999999,ChIJEboL2scBDTkRUbwWjZCiFHw,https://www.google.com/maps/place/?q=place_id:ChIJEboL2scBDTkRUbwWjZCiFHw,part_343,2026-09-20 20:18:08
Om Event Planner & Catering Services,Caterer and Event Planner,Event planner,"Event planner, Service establishment",756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",N/A,https://omeventplanner.in/,4.8,13.0,"Om Event Planner & Catering Services, 756042, India",756042,26.4243566,80.3275349,ChIJG27JHom5OKcRjCpiqVy-KNQ,https://www.google.com/maps/place/?q=place_id:ChIJG27JHom5OKcRjCpiqVy-KNQ,part_343,2026-09-20 20:18:08
Aditya Catering Services,Caterer and Event Planner,Caterer,Caterer,756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",+91 90406 56242,http://adityacatering.in/,4.9,158.0,"MIG - 10, Ashutosh Complex, Lane, 2, Bhimatangi Rd, Bhubaneswar, Odisha 751002",Bhimatangi Housing Colony,20.2349833,85.82192769999999,ChIJc4mbAx6nGToR2v_s89DUa6I,https://www.google.com/maps/place/?q=place_id:ChIJc4mbAx6nGToR2v_s89DUa6I,part_343,2026-09-20 20:18:08
Star events & catering services,Caterer and Event Planner,Wedding planner,"Wedding planner, Caterer, Service establishment, Restaurant supply store, Wedding service",756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",+91 97408 24403,N/A,1.0,1.0,"Star events & catering services, 756042, India",756042,15.0393203,74.0540956,ChIJ5____8NgvjsRdC6-ZYVuecI,https://www.google.com/maps/place/?q=place_id:ChIJ5____8NgvjsRdC6-ZYVuecI,part_343,2026-09-20 20:18:08
