business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Sneha Retail Arcade,Commercial Complex,Shopping mall,Shopping mall,756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",N/A,N/A,5.0,1.0,"Plot#42, Anantapur Road, Kamanpur, Soro, Odisha 756045",Kamanpur,21.280703799999998,86.6962946,ChIJMbXE_S5vHDoR2xPEZsPVg-k,https://www.google.com/maps/place/?q=place_id:ChIJMbXE_S5vHDoR2xPEZsPVg-k,part_343,2026-09-20 20:18:25
Ganesh Trading,Commercial Complex,Shopping mall,Shopping mall,756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",N/A,N/A,3.8,18.0,"7MJW+GHG, Talapadhi Rd, Soro, Odisha 756045",756042,21.281318,86.69644509999999,ChIJgynL4ktuHDoR28Gb8DvtOMs,https://www.google.com/maps/place/?q=place_id:ChIJgynL4ktuHDoR28Gb8DvtOMs,part_343,2026-09-20 20:18:25
COSMO BAZAAR SORO,Commercial Complex,Shopping mall,Shopping mall,756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",N/A,https://cosmobazaar.com/,4.4,32.0,"Uttareswar Chhak, Utareswar, Soro, Odisha 756045",Utareswar,21.2924909,86.6886401,ChIJB4SlkXxvHDoRbmAnJ_uAy7k,https://www.google.com/maps/place/?q=place_id:ChIJB4SlkXxvHDoRbmAnJ_uAy7k,part_343,2026-09-20 20:18:25
"Satyasai Communication, Biswal Market Complex",Commercial Complex,Shopping mall,Shopping mall,756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",N/A,N/A,4.7,6.0,"9P86+MXR, କାଂଡଗରଡି, ବାରାହାକୋଇଲି, ଛକ, Baulagadia, Odisha 756042",ବାରାହାକୋଇଲି,21.366732,86.712395,ChIJ5wT1N8NoHDoRyPxNvB04BTc,https://www.google.com/maps/place/?q=place_id:ChIJ5wT1N8NoHDoRyPxNvB04BTc,part_343,2026-09-20 20:18:25
BaulaGadia Stone Industry,Commercial Complex,Shopping mall,Shopping mall,756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",+91 96685 31759,N/A,4.2,21.0,"756042, Baulagadia, Odisha 756042",756042,21.3532437,86.7043194,ChIJ0UsiL9RoHDoRjfwdbYYYx7U,https://www.google.com/maps/place/?q=place_id:ChIJ0UsiL9RoHDoRjfwdbYYYx7U,part_343,2026-09-20 20:18:25
Krishna Complex,Commercial Complex,Shopping mall,Shopping mall,756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",N/A,N/A,4.0,1.0,"8QVM+7X6, Sathi, Odisha 756042",756042,21.3431557,86.7849045,ChIJE27A6WZlHDoRL1yUAq-9ZOg,https://www.google.com/maps/place/?q=place_id:ChIJE27A6WZlHDoRL1yUAq-9ZOg,part_343,2026-09-20 20:18:25
Sai Verity Store,Commercial Complex,Shopping mall,Shopping mall,756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",N/A,N/A,5.0,1.0,"Sai plaza, uttaresoro,soro, Odisha 756045",756042,21.295805299999998,86.6911319,ChIJofpWp4lvHDoRUy7Ad25XRtg,https://www.google.com/maps/place/?q=place_id:ChIJofpWp4lvHDoRUy7Ad25XRtg,part_343,2026-09-20 20:18:25
Hrushi Communication Gopalpur,Commercial Complex,Shopping mall,Shopping mall,756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",N/A,N/A,4.3,3.0,"8RCC+RQ4, Gopalpur, Odisha 756044",756042,21.3220205,86.8219654,ChIJ_Tz6iXVkHDoR1ZTustrBmEY,https://www.google.com/maps/place/?q=place_id:ChIJ_Tz6iXVkHDoR1ZTustrBmEY,part_343,2026-09-20 20:18:25
Kulu Lulu Verity Shop,Commercial Complex,Shopping mall,Shopping mall,756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",N/A,N/A,3.4,12.0,"9PMF+FRJ, Ghodadian, Odisha 756042",756042,21.383719199999998,86.72451939999999,ChIJr0lpeJJoHDoRQJrioTOQ42M,https://www.google.com/maps/place/?q=place_id:ChIJr0lpeJJoHDoRQJrioTOQ42M,part_343,2026-09-20 20:18:25
Bankipada Cat Shop,Commercial Complex,Shopping mall,Shopping mall,756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",N/A,N/A,4.0,2.0,"8PW6+67G, Bankipada, Tartua, Odisha 756042",756042,21.345558699999998,86.71069639999999,ChIJaQjX4IVvHDoRcK9YT2L3EWk,https://www.google.com/maps/place/?q=place_id:ChIJaQjX4IVvHDoRcK9YT2L3EWk,part_343,2026-09-20 20:18:25
