business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
GST SUVIDHA KENDRA,Tax and GST Consultant,Tax consultant,Tax consultant,756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",N/A,N/A,5.0,2.0,"Electric office, Soro, Odisha 756045",756042,21.2853763,86.6849544,ChIJz5QiBWxvHDoRH2NH4EX9H4g,https://www.google.com/maps/place/?q=place_id:ChIJz5QiBWxvHDoRH2NH4EX9H4g,part_343,2026-09-20 20:18:16
Tax & Accounting Solutions,Tax and GST Consultant,Tax consultant,Tax consultant,756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",+91 84345 73084,N/A,5.0,2.0,"Panchayat Bhawan, inside in Tirthya wellness nutrition centre, near Surya mandir petrol pump, Beda, Sasaram, Bihar 821115",Beda,24.9522065,83.9864887,ChIJYewFSUMrZUgRY1Gk5HApeIU,https://www.google.com/maps/place/?q=place_id:ChIJYewFSUMrZUgRY1Gk5HApeIU,part_343,2026-09-20 20:18:16
DisyTax,Tax and GST Consultant,Tax consultant,"Tax consultant, Accounting firm, Chartered accountant",756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",+91 70652 81345,https://disytax.com/,5.0,55.0,"S-671C, School Block, Block S1, Shakarpur Khas, New Delhi, Delhi, 110092","School Block, Block S1, Shakarpur Khas",28.6249354,77.2811676,ChIJk7w7XgDjDDkR_pOGHq8XBPY,https://www.google.com/maps/place/?q=place_id:ChIJk7w7XgDjDDkR_pOGHq8XBPY,part_343,2026-09-20 20:18:16
Goswami Accountings & GST,Tax and GST Consultant,Accountant,Accountant,756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",N/A,N/A,3.7,3.0,"at, po, near shivamandir, Soro, Balasore, Odisha 756045",756042,21.2847689,86.6845187,ChIJads6MnVvHDoR9APykH6_SEI,https://www.google.com/maps/place/?q=place_id:ChIJads6MnVvHDoR9APykH6_SEI,part_343,2026-09-20 20:18:16
RAY TAX CONSULTENCY,Tax and GST Consultant,Tax consultant,"Tax consultant, Consultant, Tax collector's office, Tax preparation",756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",+91 83380 39617,N/A,5.0,5.0,"Taharpur, Mugunipur, Odisha 756042",756042,21.3516047,86.7426263,ChIJ4X3IGE1nHDoRIIGjk7aM7iE,https://www.google.com/maps/place/?q=place_id:ChIJ4X3IGE1nHDoRIIGjk7aM7iE,part_343,2026-09-20 20:18:16
Jeeban&Co,Tax and GST Consultant,Tax consultant,"Tax consultant, Service establishment",756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",+91 78530 14918,https://www.jeebanco.in/,,,"Jeeban&Co, 756042, India",756042,20.862344999999998,86.35333659999999,ChIJ0TWwiXrmsGUREIOoFae3obA,https://www.google.com/maps/place/?q=place_id:ChIJ0TWwiXrmsGUREIOoFae3obA,part_343,2026-09-20 20:18:16
Income Tax and Gst Consultant,Tax and GST Consultant,Tax attorney,"Tax attorney, Service establishment",756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",+91 92520 65477,N/A,5.0,37.0,"Income Tax and Gst Consultant, 756042, India",756042,21.0680074,82.7525294,ChIJ1w3AnPT1FjkRTC6JQGwkDsc,https://www.google.com/maps/place/?q=place_id:ChIJ1w3AnPT1FjkRTC6JQGwkDsc,part_343,2026-09-20 20:18:16
Tax Consultant,Tax and GST Consultant,Tax attorney,"Tax attorney, Service establishment",756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",+91 94388 55664,N/A,,,"Tax Consultant, 756042, India",756042,21.0680074,82.7525294,ChIJg05LDQP1HDoRiUmbO0eMJTE,https://www.google.com/maps/place/?q=place_id:ChIJg05LDQP1HDoRiUmbO0eMJTE,part_343,2026-09-20 20:18:16
"GST Practitioner, Accounting and Taxation related services",Tax and GST Consultant,Tax consultant,"Tax consultant, Service establishment",756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",N/A,N/A,5.0,3.0,"GST Practitioner, Accounting and Taxation related services, 756042, India",756042,28.692404999999997,77.090042,ChIJsf_mqiYCDTkRqvv7Iv4eFgY,https://www.google.com/maps/place/?q=place_id:ChIJsf_mqiYCDTkRqvv7Iv4eFgY,part_343,2026-09-20 20:18:16
"Sk Tax Law Firm - GST Return, GST Registration, Company & Firm Registration Services in Delhi NCR",Tax and GST Consultant,Consultant,"Consultant, Service establishment",756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",N/A,http://www.sktaxlawfirm.com/,5.0,39.0,"Sk Tax Law Firm - GST Return, GST Registration, Company & Firm Registration Services in Delhi NCR, 756042, India",756042,21.0680074,82.7525294,ChIJpQJl8krxDDkRz98M-tyPaXs,https://www.google.com/maps/place/?q=place_id:ChIJpQJl8krxDDkRz98M-tyPaXs,part_343,2026-09-20 20:18:16
