business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
New chai park,Tea Stall / Chai Cafe,Coffee shop,Coffee shop,756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",N/A,N/A,4.8,46.0,"MFVM+9F9, Reserve Police Rd, Tulsi Nagar, Balangir, Khujenpali, Odisha 767001",Tulsi Nagar,20.6934206,83.48372169999999,ChIJf8tpCwAPJDoR_UXqPN2lKfc,https://www.google.com/maps/place/?q=place_id:ChIJf8tpCwAPJDoR_UXqPN2lKfc,part_343,2026-09-20 20:17:47
Tutu bhai,Tea Stall / Chai Cafe,Coffee shop,Coffee shop,756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",N/A,N/A,4.4,27.0,"CR45+FJ9, Basudevpur - Balasore Rd, Khantapada, Odisha 756043",756042,21.4061661,86.8091019,ChIJ9fAjDaJnHDoR1cw_YcXhE7Q,https://www.google.com/maps/place/?q=place_id:ChIJ9fAjDaJnHDoR1cw_YcXhE7Q,part_343,2026-09-20 20:17:47
Mausa Chai Dokan,Tea Stall / Chai Cafe,Coffee shop,Coffee shop,756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",N/A,N/A,5.0,2.0,"7MVQ+4F9, Unnamed Road, Utareswar, Soro, Odisha 756045",Utareswar,21.292787699999998,86.6887352,ChIJp9BpE2RvHDoRsdimQpbSh-s,https://www.google.com/maps/place/?q=place_id:ChIJp9BpE2RvHDoRsdimQpbSh-s,part_343,2026-09-20 20:17:47
GABBARCHAI,Tea Stall / Chai Cafe,Cafe,Cafe,756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",+91 97784 30303,N/A,4.2,462.0,"Plot.no:-324, near by bank of india, Mahanadi Vihar, Kataka, Odisha 753003",Mahanadi Vihar,20.4679456,85.9064614,ChIJoYXcN_UNGToRIL2D18q_Sco,https://www.google.com/maps/place/?q=place_id:ChIJoYXcN_UNGToRIL2D18q_Sco,part_343,2026-09-20 20:17:47
Mr Irani Chai,Tea Stall / Chai Cafe,Coffee shop,Coffee shop,756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",N/A,N/A,4.2,42.0,"838R+GJR, Saraswathipuram, Tumakur, Karnataka 572105",Saraswathipuram,13.316561799999999,77.0914567,ChIJ6WrHaAAvsDsRZkI0UBBeTyM,https://www.google.com/maps/place/?q=place_id:ChIJ6WrHaAAvsDsRZkI0UBBeTyM,part_343,2026-09-20 20:17:48
Chai Brew Cafe,Tea Stall / Chai Cafe,Coffee shop,Coffee shop,756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",N/A,N/A,5.0,4.0,"2C43+3WP, Preet Nagar, Mansa, Punjab 151505",Preet Nagar,30.005203299999998,75.4048267,ChIJpW3TFQAfETkRr9sZ0z-lskc,https://www.google.com/maps/place/?q=place_id:ChIJpW3TFQAfETkRr9sZ0z-lskc,part_343,2026-09-20 20:17:48
Lacchu Tea Stall,Tea Stall / Chai Cafe,Store,Store,756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",+91 73401 05620,N/A,4.9,16.0,"Alwar - Jaipur Rd, Alwar, Liwari, Rajasthan 301001",756042,27.5142773,76.5804347,ChIJx3yaTN2bcjkRpcXL5NWqc38,https://www.google.com/maps/place/?q=place_id:ChIJx3yaTN2bcjkRpcXL5NWqc38,part_343,2026-09-20 20:17:48
chai brew cafe,Tea Stall / Chai Cafe,Fast food restaurant,Fast food restaurant,756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",+91 99889 44020,N/A,4.6,28.0,"XCQ3+63M, Gaushala Rd, B.R. Ambedkar Nagar, Sadar, Mansa, Punjab 151505","B.R. Ambedkar Nagar, Sadar",29.988108399999998,75.4027772,ChIJdeZ9ZgAfETkRML0s516q5UM,https://www.google.com/maps/place/?q=place_id:ChIJdeZ9ZgAfETkRML0s516q5UM,part_343,2026-09-20 20:17:48
Sorrota Express Cafe,Tea Stall / Chai Cafe,Cafe,"Cafe, Coffee shop",756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",+91 95563 41715,N/A,4.3,40.0,"7MJC+6MP, Soro, Odisha 756045",756042,21.2805933,86.6717178,ChIJeyuf8W1uHDoR6VyoPlKI6Bo,https://www.google.com/maps/place/?q=place_id:ChIJeyuf8W1uHDoR6VyoPlKI6Bo,part_343,2026-09-20 20:17:48
Competitive Chaiwala,Tea Stall / Chai Cafe,Cafe,"Cafe, Coffee shop, Tea store",756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",+91 77353 38247,N/A,4.8,65.0,"Budha Park Ave, Lumbini Vihar, Niladri Vihar, Chandrasekharpur, Bhubaneswar, Odisha 751021","Lumbini Vihar, Niladri Vihar, Chandrasekharpur",20.3241586,85.8095261,ChIJiR0yyPAJGToRpkDHuq6w9R4,https://www.google.com/maps/place/?q=place_id:ChIJiR0yyPAJGToRpkDHuq6w9R4,part_343,2026-09-20 20:17:48
The Chai Cafe,Tea Stall / Chai Cafe,Coffee shop,"Coffee shop, Restaurant",756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",+91 76964 13616,N/A,4.1,28.0,"Shop.No.00, Jassal Market, Dhilwan Chowk, New Dashmesh Nagar, Rama Mandi, Jalandhar, Punjab 144005","New Dashmesh Nagar, Rama Mandi",31.320090399999998,75.63295289999999,ChIJNzl2H7NZGjkR1ZFyFLXTES4,https://www.google.com/maps/place/?q=place_id:ChIJNzl2H7NZGjkR1ZFyFLXTES4,part_343,2026-09-20 20:17:48
Baba Tea Stall,Tea Stall / Chai Cafe,Restaurant,Restaurant,756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",N/A,N/A,4.6,19.0,"52RF+H59, Belanganj Rd, Belanganj, Civil Lines, Agra, Uttar Pradesh 282003","Belanganj, Civil Lines",27.191401799999998,78.02297329999999,ChIJQ1ycEgtxdDkRUGDn3e0DJ6A,https://www.google.com/maps/place/?q=place_id:ChIJQ1ycEgtxdDkRUGDn3e0DJ6A,part_343,2026-09-20 20:17:48
Mumbai chai cafe,Tea Stall / Chai Cafe,Tea store,"Tea store, Cafe, Fast food restaurant",756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",+91 95718 19478,https://www.instagram.com/mumbaichaikota?igsh=NGJucHhsZ3VtcXU=,4.5,36.0,"S-20, Indra Vihar, Talwandi, Kota, Kota Municipal Area, Rajasthan 324005","Indra Vihar, Talwandi",25.139758,75.844268,ChIJZeWuFwCFbzkRHza-b3LIuOM,https://www.google.com/maps/place/?q=place_id:ChIJZeWuFwCFbzkRHza-b3LIuOM,part_343,2026-09-20 20:17:48
Cha Khatti,Tea Stall / Chai Cafe,Cafe,"Cafe, Coffee stand, Coffee store, Fast food restaurant, Sandwich shop, Soft drinks shop",756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",N/A,N/A,4.6,547.0,"751012 Bhoi sai ,NH side, Nayapalli, Bhubaneswar, Odisha 751012","Beherasahi, Nilakantha Nagar, Nayapalli",20.289881599999998,85.8165827,ChIJV8i1-PoJGToRBuqSyWMIFpw,https://www.google.com/maps/place/?q=place_id:ChIJV8i1-PoJGToRBuqSyWMIFpw,part_343,2026-09-20 20:17:48
Raju Ki Chai,Tea Stall / Chai Cafe,Cafe,"Cafe, Breakfast restaurant, Fast food restaurant, Indian restaurant, Takeout restaurant, Sandwich shop, Snack bar, Tea house, Tea store, Vegetarian restaurant",756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",+91 79776 02681,http://www.rajukichai.com/,4.3,3638.0,"Shop no. 4, Kamar building, Cawasji Patel St, next to Akbarallys Furniture, Kala Ghoda, Fort, Mumbai, Maharashtra 400001","Kala Ghoda, Fort",18.9328368,72.8333368,ChIJ6bJwotzR5zsRcXbkPJirUXo,https://www.google.com/maps/place/?q=place_id:ChIJ6bJwotzR5zsRcXbkPJirUXo,part_343,2026-09-20 20:17:48
CHAI BAR,Tea Stall / Chai Cafe,Coffee shop,Coffee shop,756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",N/A,N/A,4.0,51.0,"Chandaka Industrial Estate, near sodheswar temple, Patharagadia, Bhubaneswar, Odisha 751024",Patharagadia,20.3661234,85.7958542,ChIJ6fQ0GgAJGToRyvtGabaaQIw,https://www.google.com/maps/place/?q=place_id:ChIJ6fQ0GgAJGToRyvtGabaaQIw,part_343,2026-09-20 20:17:48
Ram Bhai Tea Shop,Tea Stall / Chai Cafe,Cafe,"Cafe, Coffee shop",756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",+91 99374 11561,N/A,4.5,1288.0,"Tathastu Complex, CRP - DAV Rd, CRPF Colony, Nilakantha Nagar, Nayapalli, Bhubaneswar, Odisha 751012","CRPF Colony, Nilakantha Nagar, Nayapalli",20.284312,85.80872839999999,ChIJz63Q3tQJGToR3Ithv9vy7q0,https://www.google.com/maps/place/?q=place_id:ChIJz63Q3tQJGToR3Ithv9vy7q0,part_343,2026-09-20 20:17:48
Tea stall,Tea Stall / Chai Cafe,Coffee shop,Coffee shop,756042,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Bahanaga S.O, Bidubazar B.O, Gandasthapur B.O",N/A,N/A,4.2,78.0,"MDR46, Rajasthan 332602",756042,27.3752419,75.4413812,ChIJrcIMKF3vbDkRU0iqkJx7BSg,https://www.google.com/maps/place/?q=place_id:ChIJrcIMKF3vbDkRU0iqkJx7BSg,part_343,2026-09-20 20:17:48
