business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Shree tyre puncher,Tyre Showroom and Puncture Shop,Repair service,Repair service,756046,Odisha circle,Bhubaneswar HQ Region,Balasore Division,"Balanga B.O, Barahapur B.O, Gud B.O",+91 75688 24688,N/A,4.9,,"Dhool kera se jodhdas roa pe bata factory ke pass, Bhilwara, Rajasthan 311802",756046,25.393329899999998,74.59716809999999,ChIJZWXiHrzDaDkRcdflG2fwmCw,https://www.google.com/maps/place/?q=place_id:ChIJZWXiHrzDaDkRcdflG2fwmCw,part_343,2026-09-20 20:20:53
A.M TYRES,Tyre Showroom and Puncture Shop,Tire shop,"Tire shop, Motorcycle parts store",756046,Odisha circle,Bhubaneswar HQ Region,Balasore Division,"Balanga B.O, Barahapur B.O, Gud B.O",N/A,N/A,5.0,,"Soro - Anantpur Rd, Anantapur, Pakhar, Odisha 756046",756046,21.240086899999998,86.7374353,ChIJo-05bdF7HDoRXNmKF0xEvck,https://www.google.com/maps/place/?q=place_id:ChIJo-05bdF7HDoRXNmKF0xEvck,part_343,2026-09-20 20:20:53
RK Tyres and services,Tyre Showroom and Puncture Shop,Tire shop,Tire shop,756046,Odisha circle,Bhubaneswar HQ Region,Balasore Division,"Balanga B.O, Barahapur B.O, Gud B.O",+91 91564 65140,N/A,5.0,161.0,"Shop No.1, Sakar Apartment, 91/1, Marunji road, Bhumkar Nagar, Wakad, Pimpri-Chinchwad, Maharashtra 411057","Bhumkar Nagar, Wakad",18.603132499999997,73.74657909999999,ChIJNQSSs5O7wjsRmvTbNK6FdoM,https://www.google.com/maps/place/?q=place_id:ChIJNQSSs5O7wjsRmvTbNK6FdoM,part_343,2026-09-20 20:20:53
Darshan Tyres,Tyre Showroom and Puncture Shop,Tire shop,"Tire shop, Used tire shop, Wheel alignment service, Wheel store",756046,Odisha circle,Bhubaneswar HQ Region,Balasore Division,"Balanga B.O, Barahapur B.O, Gud B.O",+91 99210 44443,N/A,4.6,440.0,"Shop No 3, Shrushti Complex, Pune - Nagar Rd, nearby Metro Station, Sankalp Nagri, Ramwadi, Wadgaon Sheri, Pune, Maharashtra 411014","Sankalp Nagri, Ramwadi, Wadgaon Sheri",18.557755,73.91024469999999,ChIJjY5SCD_BwjsR9OKnNFP6TtE,https://www.google.com/maps/place/?q=place_id:ChIJjY5SCD_BwjsR9OKnNFP6TtE,part_343,2026-09-20 20:20:53
Faizi Tyre,Tyre Showroom and Puncture Shop,Tire shop,Tire shop,756046,Odisha circle,Bhubaneswar HQ Region,Balasore Division,"Balanga B.O, Barahapur B.O, Gud B.O",+91 84202 59496,N/A,5.0,48.0,"38, Karaya Rd, Lower Range, Beck Bagan, Ballygunge, Kolkata, West Bengal 700017","Lower Range, Beck Bagan, Ballygunge",22.541376099999997,88.3625569,ChIJR1Qd4R93AjoRXU8HvbUiE9M,https://www.google.com/maps/place/?q=place_id:ChIJR1Qd4R93AjoRXU8HvbUiE9M,part_343,2026-09-20 20:20:54
खान टायर पंचर वर्कस,Tyre Showroom and Puncture Shop,Tire shop,Tire shop,756046,Odisha circle,Bhubaneswar HQ Region,Balasore Division,"Balanga B.O, Barahapur B.O, Gud B.O",N/A,N/A,4.0,2.0,"Khirod, Rajasthan 333042",756046,27.7455201,75.29790609999999,ChIJSSd3KVS2bDkRheqshz6zBXg,https://www.google.com/maps/place/?q=place_id:ChIJSSd3KVS2bDkRheqshz6zBXg,part_343,2026-09-20 20:20:54
अमान टायर रिपेयर्स,Tyre Showroom and Puncture Shop,Tire shop,Tire shop,756046,Odisha circle,Bhubaneswar HQ Region,Balasore Division,"Balanga B.O, Barahapur B.O, Gud B.O",N/A,N/A,5.0,1.0,"Hindoli, Rajasthan 323023",756046,25.578343399999998,75.49356879999999,ChIJ8wi8F24bbzkR9tODEzgcoDk,https://www.google.com/maps/place/?q=place_id:ChIJ8wi8F24bbzkR9tODEzgcoDk,part_343,2026-09-20 20:20:54
MRF Tyres T&S - Tirupati Tyre Zone,Tyre Showroom and Puncture Shop,Tire shop,Tire shop,756046,Odisha circle,Bhubaneswar HQ Region,Balasore Division,"Balanga B.O, Barahapur B.O, Gud B.O",+91 97485 60323,https://dealers.mrftyres.com/mrf-tyres-t-s-tirupati-tyre-zone-tyre-shop-ariadaha-kolkata-407551/Home,4.5,39.0,"Shop No 49, Barrackpore Trunk Rd, near Rahat Car Decor Accessories Shop, Nehaboot Nagar, Ariadaha, Kolkata, West Bengal 700057","Nehaboot Nagar, Ariadaha",22.6686882,88.376114,ChIJ3aa-_Nyd-DkRrCRfnLh-_6U,https://www.google.com/maps/place/?q=place_id:ChIJ3aa-_Nyd-DkRrCRfnLh-_6U,part_343,2026-09-20 20:20:54
TuffEnough Motors | Premium Car Workshop,Tyre Showroom and Puncture Shop,Garage,"Garage, Auto body shop, Auto bodywork mechanic, Auto painting, Auto repair shop, Auto spring shop, Car wash, Diesel engine repair service, Mechanic, Oil change service",756046,Odisha circle,Bhubaneswar HQ Region,Balasore Division,"Balanga B.O, Barahapur B.O, Gud B.O",+91 88899 95579,https://www.tuffenoughcare.in/,5.0,53.0,"102, LIG Link Rd, near Indian Oil Petrol Pump, Priyadarshini, Indore, Madhya Pradesh 452016",Priyadarshini,22.734633,75.9005435,ChIJwzN-tHH9YjkRkAReO1ZQ43E,https://www.google.com/maps/place/?q=place_id:ChIJwzN-tHH9YjkRkAReO1ZQ43E,part_343,2026-09-20 20:20:54
Kerala Tyres,Tyre Showroom and Puncture Shop,Auto repair shop,"Auto repair shop, Tire shop",756046,Odisha circle,Bhubaneswar HQ Region,Balasore Division,"Balanga B.O, Barahapur B.O, Gud B.O",N/A,N/A,4.5,16.0,"Shop 1, Bhilwara Rd, near H P Pump, Chanderiya, Chittorgarh, Putholi, Rajasthan 312021",Chanderiya,24.9489982,74.63568819999999,ChIJSW46-4ShaDkRYFkxD-XvZNs,https://www.google.com/maps/place/?q=place_id:ChIJSW46-4ShaDkRYFkxD-XvZNs,part_343,2026-09-20 20:20:54
Standard Tyre Service,Tyre Showroom and Puncture Shop,Used tire shop,Used tire shop,756046,Odisha circle,Bhubaneswar HQ Region,Balasore Division,"Balanga B.O, Barahapur B.O, Gud B.O",+91 98317 26974,N/A,4.3,19.0,"17/2/H/5, Smith Ln, Janbazar, Taltala, Kolkata, West Bengal 700016","Janbazar, Taltala",22.5595902,88.3584814,ChIJXWYINwF3AjoRL-tx1oFWggA,https://www.google.com/maps/place/?q=place_id:ChIJXWYINwF3AjoRL-tx1oFWggA,part_343,2026-09-20 20:20:54
KMC Tyre Solution,Tyre Showroom and Puncture Shop,Tire shop,Tire shop,756046,Odisha circle,Bhubaneswar HQ Region,Balasore Division,"Balanga B.O, Barahapur B.O, Gud B.O",+91 98277 10021,N/A,3.5,21.0,"7, near Angara Restaurant, Transport Nagar, Indore, Madhya Pradesh 452014",Transport Nagar,22.6947115,75.8606674,ChIJCQcuouT8YjkRiXgQ2amemKU,https://www.google.com/maps/place/?q=place_id:ChIJCQcuouT8YjkRiXgQ2amemKU,part_343,2026-09-20 20:20:54
