business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Highway dhaba,Dhaba and Highway Restaurant,Dhaba,Dhaba,756048,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Khaira S.O (Baleswar), Arjunpur B.O, Fatehpur B.O",N/A,N/A,4.7,3.0,"Shalkhar, Himachal Pradesh 172111",756048,32.001438,78.57232719999999,ChIJJwFM0TP9BjkRubgMwleIGkc,https://www.google.com/maps/place/?q=place_id:ChIJJwFM0TP9BjkRubgMwleIGkc,part_343,2026-09-20 20:22:09
A STAR Highway DHABA,Dhaba and Highway Restaurant,Dhaba,"Dhaba, Vegetarian restaurant",756048,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Khaira S.O (Baleswar), Arjunpur B.O, Fatehpur B.O",+91 94165 04534,N/A,4.1,829.0,"Sirsa - Fatehabad Rd, Ding, Haryana 125050",756048,29.523649499999998,75.2906272,ChIJncea2CtDETkRkgPOZpsnHUM,https://www.google.com/maps/place/?q=place_id:ChIJncea2CtDETkRkgPOZpsnHUM,part_343,2026-09-20 20:22:09
Haryana Punjab Rajasthan Dhaba,Dhaba and Highway Restaurant,Family restaurant,Family restaurant,756048,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Khaira S.O (Baleswar), Arjunpur B.O, Fatehpur B.O",N/A,N/A,4.2,87.0,"State Highway 31, Sirsodiya, Madhya Pradesh 451224",756048,22.3022974,75.5017477,ChIJm4SbOsRpYjkRz0K1DJgxO_I,https://www.google.com/maps/place/?q=place_id:ChIJm4SbOsRpYjkRz0K1DJgxO_I,part_343,2026-09-20 20:22:09
Bhure Da Dhaba ropar,Dhaba and Highway Restaurant,Dhaba,"Dhaba, Family restaurant, Hotel",756048,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Khaira S.O (Baleswar), Arjunpur B.O, Fatehpur B.O",+91 99513 87000,https://instagram.com/bhure_da_dhaba_ropar?igshid=NzZlODBkYWE4Ng==,4.2,2379.0,"3H8X+9PF, Rupnagar, Naggal, Punjab 140113",756048,31.0660453,76.59990169999999,ChIJL1oNgS1RBTkRnzWuqNUZfMM,https://www.google.com/maps/place/?q=place_id:ChIJL1oNgS1RBTkRnzWuqNUZfMM,part_343,2026-09-20 20:22:09
Highway Dhaba,Dhaba and Highway Restaurant,Vegetarian restaurant,Vegetarian restaurant,756048,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Khaira S.O (Baleswar), Arjunpur B.O, Fatehpur B.O",+91 78898 00340,N/A,4.7,35.0,"Agrikalan, Srinagar - Gulmarg Rd, near KC Marble, Srinagar, Jammu and Kashmir 193411",756048,34.0966552,74.6049701,ChIJDZjFvxCZ4TgRqrmmtXf7o04,https://www.google.com/maps/place/?q=place_id:ChIJDZjFvxCZ4TgRqrmmtXf7o04,part_343,2026-09-20 20:22:09
Honey Dhaba,Dhaba and Highway Restaurant,Restaurant,"Restaurant, Inn",756048,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Khaira S.O (Baleswar), Arjunpur B.O, Fatehpur B.O",+91 92174 00078,https://www.facebook.com/honey.dhaba.71,4.1,2005.0,"National Highway 7, Sangrur Road, Patiala, Bhawanigarh, Punjab 148026",756048,30.2634007,76.0803904,ChIJBeHgDN5JEDkRTOtdgtBEJYo,https://www.google.com/maps/place/?q=place_id:ChIJBeHgDN5JEDkRTOtdgtBEJYo,part_343,2026-09-20 20:22:09
Govind Dhaba,Dhaba and Highway Restaurant,Dhaba,Dhaba,756048,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Khaira S.O (Baleswar), Arjunpur B.O, Fatehpur B.O",+91 99376 27690,N/A,4.2,392.0,"VXC8+65C, Junagarh Station Rd, Chancharabhadi, Krushnapur, Odisha 766014",756048,19.8705621,82.9654006,ChIJkaUuphDhJDoRv8x6XJyRNzw,https://www.google.com/maps/place/?q=place_id:ChIJkaUuphDhJDoRv8x6XJyRNzw,part_343,2026-09-20 20:22:09
Moter Dhaba,Dhaba and Highway Restaurant,Restaurant,Restaurant,756048,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Khaira S.O (Baleswar), Arjunpur B.O, Fatehpur B.O",+91 70777 88111,N/A,3.8,,"Moter, Odisha 766017",756048,19.716719599999998,82.79562519999999,ChIJ1YDkLIgjJToRNLDfaqidkV4,https://www.google.com/maps/place/?q=place_id:ChIJ1YDkLIgjJToRNLDfaqidkV4,part_343,2026-09-20 20:22:10
Singh Dhaabaa,Dhaba and Highway Restaurant,Punjabi restaurant,"Punjabi restaurant, Dhaba",756048,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Khaira S.O (Baleswar), Arjunpur B.O, Fatehpur B.O",N/A,N/A,3.5,,"NH-201, Kundamal Chowk NR: Charbahal Rice Mandi, Charbahal, Odisha 766023",756048,19.756539999999998,82.81705099999999,ChIJy3IfwNQjJToRAlq3Ew9hJAs,https://www.google.com/maps/place/?q=place_id:ChIJy3IfwNQjJToRAlq3Ew9hJAs,part_343,2026-09-20 20:22:10
Mathura Dhaba,Dhaba and Highway Restaurant,Dhaba,Dhaba,756048,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Khaira S.O (Baleswar), Arjunpur B.O, Fatehpur B.O",N/A,N/A,3.8,,Odisha 766023,756048,19.8269126,82.8846575,ChIJy4TVu5QfJToR2C4NMqSWscw,https://www.google.com/maps/place/?q=place_id:ChIJy4TVu5QfJToR2C4NMqSWscw,part_343,2026-09-20 20:22:10
