business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Cafe on,Cafe and Coffee Shop,Coffee shop,Coffee shop,756055,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Chakabarahapur S.O, Ghasua B.O, Santhapada B.O",+91 90797 54569,N/A,4.3,,"4PGQ+953, Basudebpur, Odisha 756125",756055,21.1259118,86.73798049999999,ChIJG_uWHNV3HDoRN1IIp3pay6k,https://www.google.com/maps/place/?q=place_id:ChIJG_uWHNV3HDoRN1IIp3pay6k,part_343,2026-09-20 20:24:19
Biks Brews & Cafe,Cafe and Coffee Shop,Coffee shop,"Coffee shop, Breakfast restaurant, Cafe, Coffee store, Family restaurant, Lunch restaurant, Takeout restaurant, Restaurant, Snack bar, Tea house",756055,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Chakabarahapur S.O, Ghasua B.O, Santhapada B.O",+91 82498 60039,https://biks-brews-6a29ba631fdce2726155163b.grexa.site/,4.8,861.0,"Patharagadia, Bhubaneswar, Odisha 751024",Patharagadia,20.3661043,85.79422269999999,ChIJKZKYPwAJGToRiIvn4FgWrCg,https://www.google.com/maps/place/?q=place_id:ChIJKZKYPwAJGToRiIvn4FgWrCg,part_343,2026-09-20 20:24:20
Brew Baithak Cafe & Restro.,Cafe and Coffee Shop,Cafe,Cafe,756055,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Chakabarahapur S.O, Ghasua B.O, Santhapada B.O",+91 70089 54611,N/A,4.9,15.0,"Patharagadia, Bhubaneswar, Odisha 751024",Patharagadia,20.3645848,85.7900074,ChIJjbh3mPMJGToR3w71-5e8QGk,https://www.google.com/maps/place/?q=place_id:ChIJjbh3mPMJGToR3w71-5e8QGk,part_343,2026-09-20 20:24:20
The Carpet Cafe,Cafe and Coffee Shop,Restaurant,"Restaurant, Coffee shop",756055,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Chakabarahapur S.O, Ghasua B.O, Santhapada B.O",+91 89088 88029,https://www.instagram.com/thecarpetcafe,4.8,239.0,"Chandaka industrial estate, near sidheswar temple, Patia, Patharagadia, Bhubaneswar, Odisha 751024","Patia, Patharagadia",20.366594199999998,85.79655129999999,ChIJD4tjoYQJGToRCK1BQTIu2PY,https://www.google.com/maps/place/?q=place_id:ChIJD4tjoYQJGToRCK1BQTIu2PY,part_343,2026-09-20 20:24:20
The Monarch's Mug,Cafe and Coffee Shop,Cafe,Cafe,756055,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Chakabarahapur S.O, Ghasua B.O, Santhapada B.O",+91 91243 02086,N/A,4.0,125.0,"near Chandaka Industrial Estate, near Sidheswar Temple, Patia, Patharagadia, Bhubaneswar, Odisha 751024","Patia, Patharagadia",20.3665411,85.7967542,ChIJ-f-cNt8JGToRsYibawFJ3uY,https://www.google.com/maps/place/?q=place_id:ChIJ-f-cNt8JGToRsYibawFJ3uY,part_343,2026-09-20 20:24:20
Dehradun cafe,Cafe and Coffee Shop,Coffee shop,Coffee shop,756055,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Chakabarahapur S.O, Ghasua B.O, Santhapada B.O",+91 87639 32708,N/A,4.7,,"8QXX+2MG, Bhubaneswar, Odisha 751024",756055,20.3475608,85.7992027,ChIJ1yDDHwAJGToRf-VP2MNWdXc,https://www.google.com/maps/place/?q=place_id:ChIJ1yDDHwAJGToRf-VP2MNWdXc,part_343,2026-09-20 20:24:20
Hill View Cafe And Restro,Cafe and Coffee Shop,Cafe,"Cafe, Banquet hall, Restaurant",756055,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Chakabarahapur S.O, Ghasua B.O, Santhapada B.O",+91 78490 77791,https://sites.google.com/view/hillviewcafeandrestro/home,4.0,,"Cafe And Restro, Hill view, Patharagadia Rd, Patia, Bhubaneswar, Odisha 751024",Patia,20.3588256,85.8052885,ChIJc6E2StEJGToRl4o1rQxmsvo,https://www.google.com/maps/place/?q=place_id:ChIJc6E2StEJGToRl4o1rQxmsvo,part_343,2026-09-20 20:24:20
The Circulo Cafe and Bakery,Cafe and Coffee Shop,Cafe,"Cafe, Art cafe, Event venue, Pizza restaurant, Pizza takeaway",756055,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Chakabarahapur S.O, Ghasua B.O, Santhapada B.O",+91 70640 72181,https://www.instagram.com/circulo_cafe_and_bakery_bbsr?igsh=MXRpcXl4eDZzY2VwYg%3D%3D&utm_source=qr,4.8,,"Plot no. 3766, Lewis Rd, near Ravi Talkies Square, above Ornate Flowers, BJB Nagar, Bhubaneswar, Odisha 751002",BJB Nagar,20.2452749,85.84139479999999,ChIJ1dqXGT2nGToRKt5wunmSb14,https://www.google.com/maps/place/?q=place_id:ChIJ1dqXGT2nGToRKt5wunmSb14,part_343,2026-09-20 20:24:20
Sankalp coffee,Cafe and Coffee Shop,Coffee machine supplier,Coffee machine supplier,756055,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Chakabarahapur S.O, Ghasua B.O, Santhapada B.O",+91 96680 66060,https://www.sankalpcoffee.com/,5.0,,"N6/3, 751015, opposite Health village hospital, Block N6, IRC Village, Nayapalli, Bhubaneswar, Odisha 751015","Block N6, IRC Village, Nayapalli",20.293968,85.8202445,ChIJOTo-qdAJGToRmNjJXEFwA80,https://www.google.com/maps/place/?q=place_id:ChIJOTo-qdAJGToRmNjJXEFwA80,part_343,2026-09-20 20:24:21
Haridas Champsi: Coffee Beans Roasters & Tea Dealers,Cafe and Coffee Shop,Coffee shop,Coffee shop,756055,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Chakabarahapur S.O, Ghasua B.O, Santhapada B.O",+91 98607 46667,N/A,4.9,,"Azad Maidan, Opposite Azad Maidan, Ozari, Panaji, Goa 403001","Opposite Azad Maidan, Ozari",15.500006299999999,73.8268137,ChIJjRCFJonAvzsRPW8btA61tC8,https://www.google.com/maps/place/?q=place_id:ChIJjRCFJonAvzsRPW8btA61tC8,part_343,2026-09-20 20:24:21
