business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
RTR Construction & Consultancy pvt.ltd,Civil Contractor and Builder,Real Estate Builders & Construction Company,"Real Estate Builders & Construction Company, Building firm",756086,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Jaleswar Railway Station S.O, Bartana B.O, Chalanti B.O",+91 94388 56200,N/A,5.0,1.0,"Ground floor, AXIS BANK BUILDING, near POLICE STATION, near shreekhetra cloth store, Jaleswar, BALASORE, Odisha 756032",756086,21.801776099999998,87.223916,ChIJwQGQHk7fHDoR2WCCoJ5kKjY,https://www.google.com/maps/place/?q=place_id:ChIJwQGQHk7fHDoR2WCCoJ5kKjY,part_343,2026-09-20 20:32:31
Aj construction,Civil Contractor and Builder,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,756086,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Jaleswar Railway Station S.O, Bartana B.O, Chalanti B.O",+91 98273 66506,N/A,,,"Jaleswar, Odisha 756032",756086,21.8038778,87.2269985,ChIJxX7VKrXfHDoR2yvgusCy8WU,https://www.google.com/maps/place/?q=place_id:ChIJxX7VKrXfHDoR2yvgusCy8WU,part_343,2026-09-20 20:32:31
Bbconstruction,Civil Contractor and Builder,Home builder,Home builder,756086,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Jaleswar Railway Station S.O, Bartana B.O, Chalanti B.O",N/A,N/A,,,"Jaleswar, Odisha 756032",756086,21.8032948,87.2252855,ChIJy7vrsgTfHDoRfJF22miRhvk,https://www.google.com/maps/place/?q=place_id:ChIJy7vrsgTfHDoRfJF22miRhvk,part_343,2026-09-20 20:32:31
Manas samal house,Civil Contractor and Builder,Home builder,Home builder,756086,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Jaleswar Railway Station S.O, Bartana B.O, Chalanti B.O",N/A,N/A,5.0,1.0,"8, Jaleswar, Odisha 756086",756086,21.7948238,87.25402539999999,ChIJE9QdWgDfHDoRK6szokRxPhM,https://www.google.com/maps/place/?q=place_id:ChIJE9QdWgDfHDoRK6szokRxPhM,part_343,2026-09-20 20:32:31
KOUSHIK BEHERA HOUSE,Civil Contractor and Builder,Home builder,Home builder,756086,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Jaleswar Railway Station S.O, Bartana B.O, Chalanti B.O",N/A,N/A,,,"Q7W3+74P, Nahanjara, Bartana, Odisha 756086",756086,21.7953761,87.2531174,ChIJ40dvHQDfHDoRNvczsKEQoN4,https://www.google.com/maps/place/?q=place_id:ChIJ40dvHQDfHDoRNvczsKEQoN4,part_343,2026-09-20 20:32:31
JD Construction,Civil Contractor and Builder,Contractor,Contractor,756086,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Jaleswar Railway Station S.O, Bartana B.O, Chalanti B.O",+91 94371 88693,N/A,4.5,4.0,"MILL COLONY, Station Bazar, Jaleswar, Odisha 756032","MILL COLONY, Station Bazar",21.8004251,87.22016959999999,ChIJ5zoWRCjhHDoRNJTHjmp5uWI,https://www.google.com/maps/place/?q=place_id:ChIJ5zoWRCjhHDoRNJTHjmp5uWI,part_343,2026-09-20 20:32:31
Jer,Civil Contractor and Builder,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,756086,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Jaleswar Railway Station S.O, Bartana B.O, Chalanti B.O",N/A,N/A,5.0,1.0,"Q6XF+XX3, Jaleswar, Odisha 756032",756086,21.7998907,87.2249144,ChIJc89fJADfHDoRyi0SF0BUvBU,https://www.google.com/maps/place/?q=place_id:ChIJc89fJADfHDoRyi0SF0BUvBU,part_343,2026-09-20 20:32:31
MANAS SAMAL HOUSE,Civil Contractor and Builder,Home builder,Home builder,756086,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Jaleswar Railway Station S.O, Bartana B.O, Chalanti B.O",N/A,N/A,5.0,1.0,"8, Jaleswar, Odisha 756086",756086,21.7948229,87.25401579999999,ChIJ69XnfQDfHDoRPYyx5oQOoyw,https://www.google.com/maps/place/?q=place_id:ChIJ69XnfQDfHDoRPYyx5oQOoyw,part_343,2026-09-20 20:32:31
Sushanta Group,Civil Contractor and Builder,Home builder,Home builder,756086,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Jaleswar Railway Station S.O, Bartana B.O, Chalanti B.O",N/A,N/A,,,"Q6FW+29V, Aruha, Odisha 756086",756086,21.7726109,87.2459068,ChIJLcB9IADfHDoR6y9z9NpwsCc,https://www.google.com/maps/place/?q=place_id:ChIJLcB9IADfHDoR6y9z9NpwsCc,part_343,2026-09-20 20:32:31
Mr Chiranjibi mohapatra,Civil Contractor and Builder,Housing society,Housing society,756086,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Jaleswar Railway Station S.O, Bartana B.O, Chalanti B.O",N/A,N/A,3.6,5.0,"Salikotha, Odisha 756086",756086,21.769034599999998,87.2397886,ChIJCXGN0DjeHDoR4LMMvu4qLHs,https://www.google.com/maps/place/?q=place_id:ChIJCXGN0DjeHDoR4LMMvu4qLHs,part_343,2026-09-20 20:32:31
Home,Civil Contractor and Builder,Housing society,Housing society,756086,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Jaleswar Railway Station S.O, Bartana B.O, Chalanti B.O",N/A,N/A,5.0,1.0,"Q6CX+C2M, Aruha, Odisha 756086",756086,21.7710856,87.2475568,ChIJCc8WZM3fHDoRTxuprQTYoJ0,https://www.google.com/maps/place/?q=place_id:ChIJCc8WZM3fHDoRTxuprQTYoJ0,part_343,2026-09-20 20:32:31
Manik aluminium and steel,Civil Contractor and Builder,Manufacturer,"Manufacturer, Home builder",756086,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Jaleswar Railway Station S.O, Bartana B.O, Chalanti B.O",+91 89847 49925,N/A,5.0,1.0,"Garage bazar, infront of senco gold and diamond, Jaleswar, Odisha 756032",756086,21.8038778,87.2269985,ChIJOR0xFADhHDoRZUtbQJSD28Y,https://www.google.com/maps/place/?q=place_id:ChIJOR0xFADhHDoRZUtbQJSD28Y,part_343,2026-09-20 20:32:31
Santia Satyam House 🏠,Civil Contractor and Builder,Home builder,Home builder,756086,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Jaleswar Railway Station S.O, Bartana B.O, Chalanti B.O",N/A,N/A,,,"R63G+847, Jaleswar, Odisha 756032",756086,21.8032948,87.2252855,ChIJkcPSTQDfHDoR5ehg_OnUWPI,https://www.google.com/maps/place/?q=place_id:ChIJkcPSTQDfHDoR5ehg_OnUWPI,part_343,2026-09-20 20:32:31
DM Abode,Civil Contractor and Builder,Housing society,Housing society,756086,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Jaleswar Railway Station S.O, Bartana B.O, Chalanti B.O",N/A,N/A,4.5,6.0,"P6JF+324, Jampur, Kotsahi, Odisha 756086",756086,21.730137499999998,87.22257809999999,ChIJudDtJM_dHDoRynAuhPfhZUk,https://www.google.com/maps/place/?q=place_id:ChIJudDtJM_dHDoRynAuhPfhZUk,part_343,2026-09-20 20:32:31
ALI BROTHER' S FEBRICATION,Civil Contractor and Builder,Welder,Welder,756086,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Jaleswar Railway Station S.O, Bartana B.O, Chalanti B.O",+91 90904 42116,N/A,5.0,3.0,"NAYABAZAR, near by hospital road, Jaleswar, Odisha 756032",756086,21.807163,87.24381129999999,ChIJC-3hp7_fHDoRW9yBwXBFPAk,https://www.google.com/maps/place/?q=place_id:ChIJC-3hp7_fHDoRW9yBwXBFPAk,part_343,2026-09-20 20:32:31
