business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Bharati shoes center,Footwear and Shoe Store,Shoe store,Shoe store,756087,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Lakhananath S.O, Gop B.O, Lakhananath Road B.O",+91 94386 66267,N/A,,,"Gabarghata, Odisha 756087",756087,21.8443442,87.2454511,ChIJYQqRCQAhHToRadtKafZHTrs,https://www.google.com/maps/place/?q=place_id:ChIJYQqRCQAhHToRadtKafZHTrs,part_343,2026-09-20 20:33:00
Pradhan Shoe House,Footwear and Shoe Store,Shoe store,Shoe store,756087,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Lakhananath S.O, Gop B.O, Lakhananath Road B.O",+91 76080 35305,N/A,5.0,10.0,"Pradhan Shoe Haouse, Jagarijor, Kochila, Kantilo, Odisha 754224",Jagarijor,20.4643683,86.6871654,ChIJfzy16tCxGzoRO51mlGWKntI,https://www.google.com/maps/place/?q=place_id:ChIJfzy16tCxGzoRO51mlGWKntI,part_343,2026-09-20 20:33:00
Trends Footwear,Footwear and Shoe Store,Shoe store,Shoe store,756087,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Lakhananath S.O, Gop B.O, Lakhananath Road B.O",+91 93641 05397,https://stores.trends-footwear.com/trends-footwear-rrl-bhawanipatana-mahabir-pada-shoe-shop-mahabir-pada-bhawanipatna-477503/Home?utm_source=locator&utm_medium=googleplaces,4.9,1025.0,"Satyam Cinema, Hall Road, Mahavir Para Rd, Naktiguda, Bhawanipatna, Odisha 766001",Naktiguda,19.907967799999998,83.1634973,ChIJEfQS5-XpJDoR5wxQ8AWVHgw,https://www.google.com/maps/place/?q=place_id:ChIJEfQS5-XpJDoR5wxQ8AWVHgw,part_343,2026-09-20 20:33:00
Khadim's - Jatni,Footwear and Shoe Store,Shoe store,Shoe store,756087,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Lakhananath S.O, Gop B.O, Lakhananath Road B.O",+91 1800 274 0501,http://www.khadims.com/,3.5,44.0,"5M7X+WVC, HARIBHAINA CHOWK , INFRONT OF NEW BUS STAND,PIN CODE:, Khordha, Odisha 752050",756087,20.164841499999998,85.6995194,ChIJr5K-v-muGToRnQnclrfri-w,https://www.google.com/maps/place/?q=place_id:ChIJr5K-v-muGToRnQnclrfri-w,part_343,2026-09-20 20:33:00
Supreme Footwear,Footwear and Shoe Store,Shoe store,Shoe store,756087,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Lakhananath S.O, Gop B.O, Lakhananath Road B.O",+91 90781 71255,N/A,4.5,14.0,"Bazarpada, Bhawanipatna, Odisha 766001",Bazarpada,19.907649799999998,83.16759619999999,ChIJP6pMe5DrJDoRGmlZ2kfywFw,https://www.google.com/maps/place/?q=place_id:ChIJP6pMe5DrJDoRGmlZ2kfywFw,part_343,2026-09-20 20:33:00
SHOE BE DOO,Footwear and Shoe Store,Shoe store,Shoe store,756087,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Lakhananath S.O, Gop B.O, Lakhananath Road B.O",+91 97478 87799,N/A,4.1,,"kairali plaza, College Rd, opp. district collector bunglow, Tharekkad, Vinayaka colony, Palakkad, Keralam 678001","Tharekkad, Vinayaka colony",10.781760499999999,76.6537345,ChIJhYCOfAhuqDsRCEfZ8PB3ztc,https://www.google.com/maps/place/?q=place_id:ChIJhYCOfAhuqDsRCEfZ8PB3ztc,part_343,2026-09-20 20:33:01
Feet Fashion KOTTAKKAL,Footwear and Shoe Store,Shoe store,"Shoe store, Bag shop",756087,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Lakhananath S.O, Gop B.O, Lakhananath Road B.O",+91 89437 40025,http://feetfashion.in/,4.0,,"Main Rd, Changuvetty Kundu, Kottakkal, Keralam 676503",Changuvetty Kundu,10.999874499999999,75.9998818,ChIJjYkeUy21pzsRXN_1F_CdRAs,https://www.google.com/maps/place/?q=place_id:ChIJjYkeUy21pzsRXN_1F_CdRAs,part_343,2026-09-20 20:33:01
Trends Footwear,Footwear and Shoe Store,Shoe store,Shoe store,756087,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Lakhananath S.O, Gop B.O, Lakhananath Road B.O",+91 63607 59206,https://stores.trends-footwear.com/trends-footwear-rrl-footprint-bejai-road-mangalore-shoe-shop-bejai-mangaluru-477345/Home?utm_source=locator&utm_medium=googleplaces,4.9,,"No 89A, Church Road, near Auto Matrix Showroom, Bejai, Mangaluru, Karnataka 575004",Bejai,12.8855872,74.8432876,ChIJK2FzGC5bozsRKvwdRu8bN7M,https://www.google.com/maps/place/?q=place_id:ChIJK2FzGC5bozsRKvwdRu8bN7M,part_343,2026-09-20 20:33:01
The shoe shop,Footwear and Shoe Store,Shoe store,Shoe store,756087,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Lakhananath S.O, Gop B.O, Lakhananath Road B.O",+91 94437 53606,N/A,4.3,,"No 3,1st street bharthi nagar,kuniyamuthur,coimbatore_641008, Coimbatore, Tamil Nadu 641008",756087,10.9683637,76.9552322,ChIJywhu0ddbqDsRMNu0aYcBfPo,https://www.google.com/maps/place/?q=place_id:ChIJywhu0ddbqDsRMNu0aYcBfPo,part_343,2026-09-20 20:33:01
Trends Footwear,Footwear and Shoe Store,Shoe store,Shoe store,756087,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Lakhananath S.O, Gop B.O, Lakhananath Road B.O",+91 92373 94726,https://stores.trends-footwear.com/trends-footwear-rrl-similiguda-sunabeda-shoe-shop-semiliguda-koraput-484475/Home?utm_source=locator&utm_medium=googleplaces,4.8,,"P S, Similiguda- Sunbeda Koraput Reliance Retail Limited, Ground Floor 67/1072Kissam, Gharabari Mouza Semiliguda, 37, Tahasil Semiliguda, Semiliguda, Odisha 764036",756087,18.71399,82.848986,ChIJI6aBt4H_OjoRBIwCA-I1nrc,https://www.google.com/maps/place/?q=place_id:ChIJI6aBt4H_OjoRBIwCA-I1nrc,part_343,2026-09-20 20:33:01
Offer Store,Footwear and Shoe Store,Shoe store,Shoe store,756087,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Lakhananath S.O, Gop B.O, Lakhananath Road B.O",+91 3446 006 641,N/A,3.9,,"opposite bpcl, metro pillar number 525, Palarivattom, Kochi, Keralam 682025",Palarivattom,10.003598,76.3046607,ChIJeYW2C2ANCDsRK_PrZoyoDcc,https://www.google.com/maps/place/?q=place_id:ChIJeYW2C2ANCDsRK_PrZoyoDcc,part_343,2026-09-20 20:33:01
LADYBRAT,Footwear and Shoe Store,Shoe store,Shoe store,756087,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Lakhananath S.O, Gop B.O, Lakhananath Road B.O",N/A,N/A,5.0,,"valiyapalli building, near jalaja bakery, Subhash Nagar, Kalpetta, Keralam 673121",Subhash Nagar,11.6116098,76.0827292,ChIJ39aGkc5zpjsRxhP4yLtUB24,https://www.google.com/maps/place/?q=place_id:ChIJ39aGkc5zpjsRxhP4yLtUB24,part_343,2026-09-20 20:33:01
Sri Leather Wear,Footwear and Shoe Store,Shoe store,Shoe store,756087,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Lakhananath S.O, Gop B.O, Lakhananath Road B.O",+91 883 247 9105,N/A,4.0,,"79-7-7/1, Old Somalamma Temple Rd, Near RTC Complex, Gandhipuram, Rajamahendravaram, Andhra Pradesh 533103",Gandhipuram,17.0048103,81.7918327,ChIJef7W75KjNzoRWgvH13Sg020,https://www.google.com/maps/place/?q=place_id:ChIJef7W75KjNzoRWgvH13Sg020,part_343,2026-09-20 20:33:01
