business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Das Medicine Store,Medical Store / Pharmacy,Pharmacy,Pharmacy,756087,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Lakhananath S.O, Gop B.O, Lakhananath Road B.O",+91 93480 70850,N/A,5.0,,"Chafla Market, Tanuj Kumar Das Chafla, Odisha 756033",756087,21.8542064,87.1904565,ChIJ4z7C3q0fHToRre71jsmdB30,https://www.google.com/maps/place/?q=place_id:ChIJ4z7C3q0fHToRre71jsmdB30,part_343,2026-09-20 20:33:02
Maa Mangala medicine store,Medical Store / Pharmacy,Pharmacy,Pharmacy,756087,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Lakhananath S.O, Gop B.O, Lakhananath Road B.O",N/A,N/A,5.0,,"R65H+CGJ, Jaleswar, Odisha 756032",756087,21.8085918,87.2287527,ChIJ2ccIl93fHDoRwlBJ5fs-MB4,https://www.google.com/maps/place/?q=place_id:ChIJ2ccIl93fHDoRwlBJ5fs-MB4,part_343,2026-09-20 20:33:02
Medicine Store,Medical Store / Pharmacy,Pharmacy,Pharmacy,756087,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Lakhananath S.O, Gop B.O, Lakhananath Road B.O",+91 99330 40984,N/A,,,"Jaleswar, Beherasahi, Odisha 756033",756087,21.8784205,87.2420853,ChIJ78RPmFchHToRMBZC6gifOUI,https://www.google.com/maps/place/?q=place_id:ChIJ78RPmFchHToRMBZC6gifOUI,part_343,2026-09-20 20:33:02
Chandaneswar Medical Store,Medical Store / Pharmacy,Pharmacy,Pharmacy,756087,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Lakhananath S.O, Gop B.O, Lakhananath Road B.O",N/A,N/A,5.0,,"Jaleswar, Odisha 756032",756087,21.807063,87.24159089999999,ChIJPypPh8DfHDoRqSRxJv_8ZA8,https://www.google.com/maps/place/?q=place_id:ChIJPypPh8DfHDoRqSRxJv_8ZA8,part_343,2026-09-20 20:33:02
Care Medicine Store,Medical Store / Pharmacy,Pharmacy,Pharmacy,756087,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Lakhananath S.O, Gop B.O, Lakhananath Road B.O",+91 81253 35634,N/A,4.5,,"Care Medicine Store, Jaleswar, Odisha 756032",756087,21.796341899999998,87.216593,ChIJXVkBnCXhHDoRCltyJAkXStU,https://www.google.com/maps/place/?q=place_id:ChIJXVkBnCXhHDoRCltyJAkXStU,part_343,2026-09-20 20:33:02
MAA AMBIKA MEDICAL STORE,Medical Store / Pharmacy,Pharmacy,Pharmacy,756087,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Lakhananath S.O, Gop B.O, Lakhananath Road B.O",+91 92385 34386,N/A,3.8,,"Dihabelbaria, Odisha 756086",756087,21.7971295,87.1971468,ChIJtywMqlzgHDoRpWjf1N6REnM,https://www.google.com/maps/place/?q=place_id:ChIJtywMqlzgHDoRpWjf1N6REnM,part_343,2026-09-20 20:33:02
Brajamohan Medicine Store,Medical Store / Pharmacy,Pharmacy,Pharmacy,756087,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Lakhananath S.O, Gop B.O, Lakhananath Road B.O",+91 95833 60993,N/A,,,"R6HW+6QC Brajamohan Medicine Store, Jaleswar, Parhiharpur, Odisha 756087",756087,21.8280511,87.2469062,ChIJF8fBHIjfHDoR3vDQcaKhf_U,https://www.google.com/maps/place/?q=place_id:ChIJF8fBHIjfHDoR3vDQcaKhf_U,part_343,2026-09-20 20:33:02
SRI RAM MEDICAL,Medical Store / Pharmacy,Pharmacy,Pharmacy,756087,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Lakhananath S.O, Gop B.O, Lakhananath Road B.O",N/A,N/A,4.0,,"V63X+FW5, Ln. Road, near Simanta Hospital, Gabarghata, Odisha 721457",756087,21.8536397,87.24987329999999,ChIJHRJX5mggHToRdKzOLqeejXQ,https://www.google.com/maps/place/?q=place_id:ChIJHRJX5mggHToRdKzOLqeejXQ,part_343,2026-09-20 20:33:02
MEDIHEALTH PHARMACY,Medical Store / Pharmacy,Pharmacy,Pharmacy,756087,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Lakhananath S.O, Gop B.O, Lakhananath Road B.O",+91 77371 91552,N/A,5.0,3.0,"Rainwal, Renwal, Rajasthan 303603",756087,27.1581172,75.3559531,ChIJaQmmAVv1bDkRpKSnz6zSFq8,https://www.google.com/maps/place/?q=place_id:ChIJaQmmAVv1bDkRpKSnz6zSFq8,part_343,2026-09-20 20:33:02
Mohanty Drug House,Medical Store / Pharmacy,Pharmacy,Pharmacy,756087,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Lakhananath S.O, Gop B.O, Lakhananath Road B.O",+91 94373 08083,N/A,4.9,22.0,"78, Ekamra Rd, Unit 6, Forest Park, Bhubaneswar, Odisha 751001","Unit 6, Forest Park",20.257879199999998,85.82177209999999,ChIJzXPTyWynGToRTwWVCRWMgR0,https://www.google.com/maps/place/?q=place_id:ChIJzXPTyWynGToRTwWVCRWMgR0,part_343,2026-09-20 20:33:02
THAKUR MEDICAL STORE AND SKIN CARE,Medical Store / Pharmacy,Pharmacy,Pharmacy,756087,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Lakhananath S.O, Gop B.O, Lakhananath Road B.O",+91 90977 11567,N/A,4.6,9.0,"549, Rajdanga Main Road, near Siemens, near ACROPOLIS MALL, Sector E, East Kolkata Twp, Kolkata, West Bengal 700107","Sector E, East Kolkata Township",22.5117109,88.3935054,ChIJC1IQix1xAjoRi5zlgJzLhJs,https://www.google.com/maps/place/?q=place_id:ChIJC1IQix1xAjoRi5zlgJzLhJs,part_343,2026-09-20 20:33:02
MEDI WORLD,Medical Store / Pharmacy,Pharmacy,Pharmacy,756087,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Lakhananath S.O, Gop B.O, Lakhananath Road B.O",N/A,N/A,5.0,1.0,"Kalar Nagar, Nakodar, Punjab 144040",Kalar Nagar,31.126677299999997,75.4824759,ChIJjR7zIVNoGjkRx2afA93No_4,https://www.google.com/maps/place/?q=place_id:ChIJjR7zIVNoGjkRx2afA93No_4,part_343,2026-09-20 20:33:02
KARTIK MEDICOS,Medical Store / Pharmacy,Pharmacy,Pharmacy,756087,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Lakhananath S.O, Gop B.O, Lakhananath Road B.O",+91 99144 79960,N/A,4.7,3.0,"Tehang, Punjab 144410",756087,31.0594522,75.8120239,ChIJHXi4GyyPGjkRtsllDDqCPlA,https://www.google.com/maps/place/?q=place_id:ChIJHXi4GyyPGjkRtsllDDqCPlA,part_343,2026-09-20 20:33:02
TULASI MEDICAL STORE,Medical Store / Pharmacy,Pharmacy,Pharmacy,756087,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Lakhananath S.O, Gop B.O, Lakhananath Road B.O",+91 98611 47994,N/A,4.4,9.0,"N5/32, Block N5, IRC Village, Nayapalli, Bhubaneswar, Odisha 751015","Block N5, IRC Village, Nayapalli",20.2951731,85.81260069999999,ChIJVVVVVSwIGToRBMm2YeonpZ4,https://www.google.com/maps/place/?q=place_id:ChIJVVVVVSwIGToRBMm2YeonpZ4,part_343,2026-09-20 20:33:02
Shri Rathore Medical Store,Medical Store / Pharmacy,Pharmacy,Pharmacy,756087,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Lakhananath S.O, Gop B.O, Lakhananath Road B.O",+91 98272 93960,N/A,4.0,4.0,"Shop No 01 Reetha Phatak Road Lavkush Marg, in front of Balaji Vila, Kachi Mohalla, Vidisha, Madhya Pradesh 464001",Kachi Mohalla,23.5291934,77.8109291,ChIJh1qWM-oFfDkR0Jwhwq_cXas,https://www.google.com/maps/place/?q=place_id:ChIJh1qWM-oFfDkR0Jwhwq_cXas,part_343,2026-09-20 20:33:02
Binapani Medicine Store,Medical Store / Pharmacy,Pharmacy,"Pharmacy, Drug store",756087,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Lakhananath S.O, Gop B.O, Lakhananath Road B.O",+91 94377 73987,N/A,4.7,22.0,"Arunodaya Market, Link Rd, near Bazaar India, OSEB Colony, Kataka, Odisha 753012",OSEB Colony,20.4535128,85.8888441,ChIJl_hTNmQNGToRkkvStRXjqGM,https://www.google.com/maps/place/?q=place_id:ChIJl_hTNmQNGToRkkvStRXjqGM,part_343,2026-09-20 20:33:02
Neelam Drug Store Pankital,Medical Store / Pharmacy,Pharmacy,Pharmacy,756087,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Lakhananath S.O, Gop B.O, Lakhananath Road B.O",+91 94374 18226,N/A,4.2,,"pankital, Rampur, Odisha 767045",756087,21.092062,83.6577338,ChIJJ3yb5upTIToRJKc58QEfGuw,https://www.google.com/maps/place/?q=place_id:ChIJJ3yb5upTIToRJKc58QEfGuw,part_343,2026-09-20 20:33:03
Radha Medical Store,Medical Store / Pharmacy,Pharmacy,Pharmacy,756087,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Lakhananath S.O, Gop B.O, Lakhananath Road B.O",+91 94371 56135,N/A,3.7,,"Radha Medical Store, Station Bazar, Jaleswar, Odisha 756032",756087,21.7991696,87.221216,ChIJy_Ku6XfgHDoR218QqA_IaEM,https://www.google.com/maps/place/?q=place_id:ChIJy_Ku6XfgHDoR218QqA_IaEM,part_343,2026-09-20 20:33:03
Nilamadhab Medicine Store,Medical Store / Pharmacy,Pharmacy,Pharmacy,756087,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Lakhananath S.O, Gop B.O, Lakhananath Road B.O",+91 70084 58202,N/A,5.0,,"Station Bazar, Jaleswar, Odisha 756032",756087,21.7995871,87.2219661,ChIJzZXk2XfgHDoRYfINXaBOhj0,https://www.google.com/maps/place/?q=place_id:ChIJzZXk2XfgHDoRYfINXaBOhj0,part_343,2026-09-20 20:33:03
SAMTA MEDICAL STORES,Medical Store / Pharmacy,Pharmacy,Pharmacy,756087,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Lakhananath S.O, Gop B.O, Lakhananath Road B.O",N/A,N/A,5.0,,"Sector A, Bapu Nagar, Bhilwara, Rajasthan 311001","Sector A, Bapu Nagar",25.3304215,74.59833739999999,ChIJyW4H2gjCaDkR5us0PR_gXsw,https://www.google.com/maps/place/?q=place_id:ChIJyW4H2gjCaDkR5us0PR_gXsw,part_343,2026-09-20 20:33:03
HAPPY MEDICAL HALL,Medical Store / Pharmacy,Pharmacy,Pharmacy,756087,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Lakhananath S.O, Gop B.O, Lakhananath Road B.O",+91 98720 02747,N/A,4.0,,"Kot Kalan, Punjab 144024",756087,31.2764778,75.669409,ChIJwXLYD9VYGjkRmfnHFfAHIpQ,https://www.google.com/maps/place/?q=place_id:ChIJwXLYD9VYGjkRmfnHFfAHIpQ,part_343,2026-09-20 20:33:03
S.K MEDICAL STORE,Medical Store / Pharmacy,Pharmacy,Pharmacy,756087,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Lakhananath S.O, Gop B.O, Lakhananath Road B.O",N/A,N/A,3.8,,"Gadaipur, Focal Point, Jalandhar, Punjab 144008","Gadaipur, Focal Point",31.3748549,75.57830589999999,ChIJ4YewPotQGjkR3eYG9rYHrlA,https://www.google.com/maps/place/?q=place_id:ChIJ4YewPotQGjkR3eYG9rYHrlA,part_343,2026-09-20 20:33:03
Buddharam Medical Store,Medical Store / Pharmacy,Pharmacy,Pharmacy,756087,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Lakhananath S.O, Gop B.O, Lakhananath Road B.O",+91 99370 74343,N/A,4.7,,"R8QF+J6G, near Gandhi chhowk, Baudhgarh, Odisha 762014",756087,20.839056799999998,84.32306299999999,ChIJl8AnprwtIjoRqWzpmE2LheU,https://www.google.com/maps/place/?q=place_id:ChIJl8AnprwtIjoRqWzpmE2LheU,part_343,2026-09-20 20:33:03
