business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Vinayaka Family Restaurant,Family Restaurant,Fast food restaurant,Fast food restaurant,756088,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,Chormara S.O,+91 90402 10043,N/A,,,"Vinayaka Family Restaurant, Kamarda, Kasaba Kamarda, Odisha 756035",756088,21.753118,87.3601383,ChIJ84K2K4jZHDoR2tmKNAF7spo,https://www.google.com/maps/place/?q=place_id:ChIJ84K2K4jZHDoR2tmKNAF7spo,part_343,2026-09-20 20:33:43
NEW TANDOORI HUT & RESTAURANT,Family Restaurant,Family restaurant,"Family restaurant, Restaurant",756088,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,Chormara S.O,+91 93394 86229,https://newtandoorihut.restodx.com/resto/?key=223b95c876615464c338b482fab73b70828,4.1,25.0,"Egra - Solpatta Rd, Gomunda, West Bengal 721457",756088,21.825237899999998,87.350567,ChIJjXpkvXrYHDoR9gnqsRQtyuY,https://www.google.com/maps/place/?q=place_id:ChIJjXpkvXrYHDoR9gnqsRQtyuY,part_343,2026-09-20 20:33:43
The Plant Story Restaurant,Family Restaurant,Restaurant,"Restaurant, Cafe, Vegetarian restaurant",756088,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,Chormara S.O,+91 89899 20000,https://theplantstory.co.in/,4.5,3536.0,"5th, The Raj, Upper, Chopasani Rd, above ICICI Bank, near 5th B Road, Agarwal Ki Bagechi, Pratap Nagar, Jodhpur, Rajasthan 342003","Agarwal Ki Bagechi, Pratap Nagar",26.2819051,73.0048006,ChIJCe__TiSNQTkRa3AkFYLfptc,https://www.google.com/maps/place/?q=place_id:ChIJCe__TiSNQTkRa3AkFYLfptc,part_343,2026-09-20 20:33:44
Jiya family restaurant and dhaba,Family Restaurant,Family restaurant,Family restaurant,756088,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,Chormara S.O,+91 90016 35735,N/A,4.8,6.0,"RV2J+MJ2, NH 148D, Nainwa, Rajlawata, Rajasthan 323801",756088,25.801625299999998,75.8815015,ChIJ5S-P2NpTbjkRnM-k_51D0As,https://www.google.com/maps/place/?q=place_id:ChIJ5S-P2NpTbjkRnM-k_51D0As,part_343,2026-09-20 20:33:44
New Haryana Punjab Hotel & Family Restaurant,Family Restaurant,American restaurant,American restaurant,756088,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,Chormara S.O,+91 74260 83186,N/A,4.3,9.0,"C4HV+R79, Churu Rural, Sirsala, Rajasthan 331029",756088,28.4295455,75.1432456,ChIJ582VQkN7EzkRsRuWsc3sZDo,https://www.google.com/maps/place/?q=place_id:ChIJ582VQkN7EzkRsRuWsc3sZDo,part_343,2026-09-20 20:33:44
VEER hotel & family restaurant,Family Restaurant,Family restaurant,Family restaurant,756088,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,Chormara S.O,N/A,N/A,5.0,15.0,"CQC7+RM4, Loharu - Pilani Rd, Peepli, Rajasthan 333031",756088,28.422015599999998,75.7641915,ChIJq6fEe7rjEjkRjPHjNv_CBEY,https://www.google.com/maps/place/?q=place_id:ChIJq6fEe7rjEjkRjPHjNv_CBEY,part_343,2026-09-20 20:33:44
Shahi Resturant,Family Restaurant,Family restaurant,Family restaurant,756088,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,Chormara S.O,N/A,N/A,3.4,15.0,"Derajsar, Rajasthan 331022",756088,28.0527727,74.6435367,ChIJtTN87ce5FDkRESznnOio0l8,https://www.google.com/maps/place/?q=place_id:ChIJtTN87ce5FDkRESznnOio0l8,part_343,2026-09-20 20:33:44
Yanki Sizzlerr,Family Restaurant,Vegetarian restaurant,"Vegetarian restaurant, Fine dining restaurant",756088,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,Chormara S.O,+91 88664 48288,https://www.yankisizzlerr.com/,4.6,2826.0,"Shop No. 6-7, Shilp The Address, Shilaj Rd, Thaltej, Ahmedabad, Gujarat 380059",Thaltej,23.0525034,72.4806609,ChIJ64L6UhCdXjkRrLFan7SL8r4,https://www.google.com/maps/place/?q=place_id:ChIJ64L6UhCdXjkRrLFan7SL8r4,part_343,2026-09-20 20:33:44
Vinayak hotel and family restaurant,Family Restaurant,Family restaurant,Family restaurant,756088,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,Chormara S.O,+91 96802 02423,N/A,4.0,61.0,"37MP+8H, Chatarpura, Rajasthan 333041",756088,28.0833183,75.28648,ChIJ1clbEwBHEzkR0Ecmy_oGtyg,https://www.google.com/maps/place/?q=place_id:ChIJ1clbEwBHEzkR0Ecmy_oGtyg,part_343,2026-09-20 20:33:44
Divine Dining Hall ll,Family Restaurant,Gujarati restaurant,"Gujarati restaurant, Fine dining restaurant, Vegetarian restaurant",756088,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,Chormara S.O,+91 2692 249 002,N/A,4.3,4241.0,"Prathana Vihar, Anand - Vallabh Vidhyanagar Road, Vivekanand Nagar, Anand, Gujarat 388120",Vivekanand Wadi,22.553681299999997,72.9464289,ChIJcbVlgIBOXjkR9fdbgrXR-k4,https://www.google.com/maps/place/?q=place_id:ChIJcbVlgIBOXjkR9fdbgrXR-k4,part_343,2026-09-20 20:33:44
Jungle Bhookh Restaurant,Family Restaurant,Vegetarian restaurant,Vegetarian restaurant,756088,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,Chormara S.O,+91 79 2640 8200,http://junglebhookh.com/,4.1,7350.0,"Gujrat College, 103/B, Shahid Veer Kinariwala Marg, opp. Orient Club, Ellisbridge, Ahmedabad, Gujarat 380006",Ellisbridge,23.024029499999997,72.5677963,ChIJvwN2N_mEXjkRmeDkLpmIh_E,https://www.google.com/maps/place/?q=place_id:ChIJvwN2N_mEXjkRmeDkLpmIh_E,part_343,2026-09-20 20:33:44
Maheshwari Restaurant,Family Restaurant,Family restaurant,"Family restaurant, Delivery service, Fast food restaurant, Restaurant, Restaurant supply store, Vegetarian restaurant",756088,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,Chormara S.O,+91 74423 91794,N/A,4.0,886.0,"Bharat Hotel Building, Shopping Center, 17-D, Gumanpura Rd, Gumanpura, Kota, Kota Municipal Area, Rajasthan 324007",Gumanpura,25.1731585,75.8506065,ChIJGWsBkOeEbzkRT91_qUUldKw,https://www.google.com/maps/place/?q=place_id:ChIJGWsBkOeEbzkRT91_qUUldKw,part_343,2026-09-20 20:33:44
Haryana Restaurant,Family Restaurant,Restaurant,Restaurant,756088,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,Chormara S.O,N/A,N/A,4.0,79.0,"Taswariya, Roopaheli, Rajasthan 311021",756088,25.8232474,74.613975,ChIJXzpLnIw9aTkRO-vh9FfWf6s,https://www.google.com/maps/place/?q=place_id:ChIJXzpLnIw9aTkRO-vh9FfWf6s,part_343,2026-09-20 20:33:44
RIVER VIEW RESTAURANT AND CAFE,Family Restaurant,Indian restaurant,Indian restaurant,756088,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,Chormara S.O,+91 99285 65831,N/A,4.0,6.0,"Near, chambal river bridge, Bhainsrorgarh, Deopuriya, Rajasthan 323304",756088,24.9618842,75.5595761,ChIJb7UpMQB9bzkR46wbcRnwINc,https://www.google.com/maps/place/?q=place_id:ChIJb7UpMQB9bzkR46wbcRnwINc,part_343,2026-09-20 20:33:44
Hotel Gangoor& Family Restaurant,Family Restaurant,Family restaurant,Family restaurant,756088,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,Chormara S.O,+91 88240 69283,N/A,4.1,25.0,"NH 27, Ghosundi, Rajasthan 312022",756088,25.003280699999998,74.7491593,ChIJM9CUmaalaDkRSE952SMzxUc,https://www.google.com/maps/place/?q=place_id:ChIJM9CUmaalaDkRSE952SMzxUc,part_343,2026-09-20 20:33:44
Manas Family Resto & Lounge,Family Restaurant,Maharashtrian Restaurant,"Maharashtrian Restaurant, Indian restaurant",756088,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,Chormara S.O,+91 96374 22571,N/A,4.6,15907.0,"Pune-Banglore, NH4, opposite YSPM Technical Campus, Wadhe, Maharashtra 415011",756088,17.7213356,74.0258953,ChIJg0iJXyk4wjsRROFVypGHFf0,https://www.google.com/maps/place/?q=place_id:ChIJg0iJXyk4wjsRROFVypGHFf0,part_343,2026-09-20 20:33:44
On The Rocks,Family Restaurant,Restaurant,"Restaurant, Indian restaurant, Italian restaurant, Pan-Asian restaurant",756088,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,Chormara S.O,+91 91193 64555,https://www.khaashospitality.com/,4.2,6427.0,"Circuit House Rd, near Ajit Bhawan, Ajit Colony, Jodhpur, Rajasthan 342006",Ajit Colony,26.281742299999998,73.03763909999999,ChIJnRa5X1aMQTkRrHhYGR-32QQ,https://www.google.com/maps/place/?q=place_id:ChIJnRa5X1aMQTkRrHhYGR-32QQ,part_343,2026-09-20 20:33:44
Tirupati Family Restaurant,Family Restaurant,Family restaurant,Family restaurant,756088,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,Chormara S.O,N/A,N/A,5.0,3.0,"X73G+F8V, Neemuch - Singoli Road, Balechhan, Rajasthan 323304",756088,24.953730699999998,75.2758273,ChIJ90KTaABfbzkR2V-RHS1ZtwI,https://www.google.com/maps/place/?q=place_id:ChIJ90KTaABfbzkR2V-RHS1ZtwI,part_343,2026-09-20 20:33:44
My Village Restaurant,Family Restaurant,North Indian restaurant,"North Indian restaurant, Indian restaurant, Vegetarian restaurant",756088,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,Chormara S.O,+91 99823 52222,N/A,4.3,1420.0,"J-Block, Plot No. 15-16, Iskcon Rd, Mansarovar, Jaipur, Rajasthan 302020","Sumer Nagar, Mansarovar",26.84451,75.763759,ChIJ1w3ZDp-1bTkR1vdDjG-euks,https://www.google.com/maps/place/?q=place_id:ChIJ1w3ZDp-1bTkR1vdDjG-euks,part_343,2026-09-20 20:33:44
