business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Beauty dream unisex salon,Salon,Beauty Parlour,Beauty Parlour,756088,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,Chormara S.O,+91 99725 09268,https://beauty-dream-unisex.grexa.site/,4.8,19.0,"21, 1st block, HMT Layout, Nagasandra, Bengaluru, Karnataka 560073","1st block, HMT Layout, Nagasandra",13.0405725,77.5028861,ChIJmbEnYgA9rjsRBNG7WSPUPuo,https://www.google.com/maps/place/?q=place_id:ChIJmbEnYgA9rjsRBNG7WSPUPuo,part_343,2026-09-20 20:34:00
Beloz The Unisex Salon,Salon,Beauty Parlour,"Beauty Parlour, Beautician, Facial spa, Tanning salon, Hairdresser, Waxing hair removal service",756088,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,Chormara S.O,+91 76007 02761,https://linktr.ee/beloz_salon,4.6,1534.0,"GF-11, Setu Square, Sona Cross Road, New CG Rd, Chandkheda, Ahmedabad, Gujarat 382424","Nigam Nagar, Chandkheda",23.109386699999998,72.5901682,ChIJpR-RWA6DXjkR1Gk5a4eyRTs,https://www.google.com/maps/place/?q=place_id:ChIJpR-RWA6DXjkR1Gk5a4eyRTs,part_343,2026-09-20 20:34:00
AURA UNISEX SALON,Salon,Beauty Parlour,Beauty Parlour,756088,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,Chormara S.O,+91 70603 17990,N/A,4.9,237.0,"Ravindrapuri, Hathibarkala, Dehradun, Uttarakhand 248001","Ravindrapuri, Hathibarkala",30.3393768,78.0516463,ChIJ04XuEvopCTkRZGFczJHaGDk,https://www.google.com/maps/place/?q=place_id:ChIJ04XuEvopCTkRZGFczJHaGDk,part_343,2026-09-20 20:34:00
Sybarite Salon And Academy,Salon,Beauty Parlour,"Beauty Parlour, Barber shop, Eyebrow bar, Eyelash salon, Make-up artist, Skin care clinic, Tanning salon, Hairdresser",756088,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,Chormara S.O,+91 77740 28899,http://www.sybaritesalon.com/,4.8,1453.0,"Shop No 12, Ground Floor, Westend Shopping Building, opposite Dmart, Ward No. 8, Aundh Gaon, Aundh, Pune, Maharashtra 411067","Ward No. 8, Aundh Gaon, Aundh",18.5668218,73.80767329999999,ChIJb8HXEDK_wjsRSzwGt8Ff-rA,https://www.google.com/maps/place/?q=place_id:ChIJb8HXEDK_wjsRSzwGt8Ff-rA,part_343,2026-09-20 20:34:00
People 2 Unisex Salon,Salon,Beauty Parlour,Beauty Parlour,756088,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,Chormara S.O,+91 98459 46258,http://www.people2unisexsalon.in/,4.3,468.0,"10, opposite Akruti Homes, Maheswari Nagar, B.Chikkanna Layout, Mahadevapura, Bengaluru, Karnataka 560048","Maheswari Nagar, B.Chikkanna Layout, Mahadevapura",12.9915863,77.69129459999999,ChIJsRDWqHMRrjsRcJbDCEa97YU,https://www.google.com/maps/place/?q=place_id:ChIJsRDWqHMRrjsRcJbDCEa97YU,part_343,2026-09-20 20:34:00
BELLISSIMO UNISEX SALON,Salon,Beauty Parlour,Beauty Parlour,756088,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,Chormara S.O,+91 97612 21750,N/A,5.0,235.0,"I-143, ring road, near Fountain Chowk, Nehru Colony, Dharampur, Dehradun, Uttarakhand 248001","Nehru Colony, Dharampur",30.301954,78.0578568,ChIJJ15PHM4pCTkR52nmlnsl2A0,https://www.google.com/maps/place/?q=place_id:ChIJJ15PHM4pCTkR52nmlnsl2A0,part_343,2026-09-20 20:34:00
Ruch Unisex Salon,Salon,Beauty Parlour,Beauty Parlour,756088,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,Chormara S.O,+91 62681 95567,https://ruchsalon.com/,4.9,138.0,"Main Road, opposite Grande Exotica Township, Behind Agarwal Public School, Sampat Farms, Bicholi Mardana, Indore, Madhya Pradesh 452016","Behind Agarwal Public School, Sampat Farms, Bicholi Mardana",22.702622899999998,75.9220248,ChIJn-sNf0rjYjkRJ1HoPBmQRC0,https://www.google.com/maps/place/?q=place_id:ChIJn-sNf0rjYjkRJ1HoPBmQRC0,part_343,2026-09-20 20:34:00
LA DAMA Salon,Salon,Nail salon,"Nail salon, Beauty Parlour, Eyelash salon, Hair extension technician, Skin care clinic",756088,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,Chormara S.O,+91 82888 13838,http://ladamasalon.in/,5.0,453.0,"State Bank of India, 480, Saili Rd, near Baglamukhi Mandir, Green Avenue, Pathankot, Punjab 145001",Green Avenue,32.2619948,75.66004439999999,ChIJxaIzWfF_HDkRqr0hr6obEbs,https://www.google.com/maps/place/?q=place_id:ChIJxaIzWfF_HDkRqr0hr6obEbs,part_343,2026-09-20 20:34:00
SS Habeeb hair and beauty studio,Salon,Beauty Parlour,Beauty Parlour,756088,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,Chormara S.O,+91 99494 24229,N/A,4.0,135.0,"Psr ssv complex . Pai international building, Sharada Bus Stop, beside Secundrabad, Lakshmipuram Colony, Rukminipuri Colony, AS Rao Nagar, Secunderabad, Telangana 500062","Lakshmipuram Colony, Rukminipuri Colony, AS Rao Nagar",17.481537,78.555195,ChIJ8xMx03mbyzsRIljC_-9XzkA,https://www.google.com/maps/place/?q=place_id:ChIJ8xMx03mbyzsRIljC_-9XzkA,part_343,2026-09-20 20:34:00
Purple Beauty salon,Salon,Beauty Parlour,Beauty Parlour,756088,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,Chormara S.O,+91 78922 74100,https://www.instagram.com/purplebeauty.salon/,4.7,182.0,"188, Seetharampalya - Hoodi Rd, opp. gopalan international school, Shivaji Nagar, Basavanna Nagar, Basavanagar, Bengaluru, Karnataka 560048","Shivaji Nagar, Basavanna Nagar, Basavanagar",12.9849432,77.7185288,ChIJbQMxh6ARrjsRaOH8BwCIQvE,https://www.google.com/maps/place/?q=place_id:ChIJbQMxh6ARrjsRaOH8BwCIQvE,part_343,2026-09-20 20:34:00
