business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
URMILA STEEL INDUSTRIES,Building Material Supplier,Building materials store,"Building materials store, Cement Supplier",756100,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Bhadrak H.O, Bhadrak Banka Bazar S.O, Bhadrak College S.O",+91 80180 66399,N/A,4.3,,"Acharya Nagar, Samaraipur, Bhadrak, Odisha 756100","Acharya Nagar, Samaraipur",21.0594799,86.4898242,ChIJgWnKMf0JHDoRDeratR_nIrw,https://www.google.com/maps/place/?q=place_id:ChIJgWnKMf0JHDoRDeratR_nIrw,part_343,2026-09-20 20:35:27
Shree Lakshmi Trading (super shakti TMT),Building Material Supplier,Building materials store,Building materials store,756100,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Bhadrak H.O, Bhadrak Banka Bazar S.O, Bhadrak College S.O",N/A,N/A,,,"Eram Basudevpur block, Samaraipur, Bhadrak, Odisha 756162",Samaraipur,21.057422199999998,86.49579489999999,ChIJh-CPfBL3GzoRN72lHgW5EBc,https://www.google.com/maps/place/?q=place_id:ChIJh-CPfBL3GzoRN72lHgW5EBc,part_343,2026-09-20 20:35:27
M/S J B Syndicate,Building Material Supplier,Building materials supplier,Building materials supplier,756100,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Bhadrak H.O, Bhadrak Banka Bazar S.O, Bhadrak College S.O",+91 81180 36012,N/A,,,"Mathasahi, New Bus stand, Gabasahi, Bhadrak, Odisha 756100",Gabasahi,21.0715845,86.50304489999999,ChIJZ4cCW8v1GzoRVlc3GGHGNS4,https://www.google.com/maps/place/?q=place_id:ChIJZ4cCW8v1GzoRVlc3GGHGNS4,part_343,2026-09-20 20:35:27
M/S Jalaram Enterprises - ACC,Building Material Supplier,Cement Manufacturer,"Cement Manufacturer, Building materials store, Cement Supplier, Concrete product supplier, Ready mix concrete supplier",756100,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Bhadrak H.O, Bhadrak Banka Bazar S.O, Bhadrak College S.O",+91 96194 49205,https://dealers-nearme.acclimited.com/m-s-jalaram-enterprises-acc-cement-manufacturer-padambeda-bhadrak-256913/Home?utm_source=locator&utm_medium=googleplaces,5.0,,"Ground Floor, Kuansh Rd, Padambeda, Bhadrak, Odisha 756100",Padambeda,21.0631325,86.5081874,ChIJrb_YAYILHDoRvkarYW78tjo,https://www.google.com/maps/place/?q=place_id:ChIJrb_YAYILHDoRvkarYW78tjo,part_343,2026-09-20 20:35:27
"Jindal Panther Cement - Nilalohita Enterprises | PCC, Composite & Tuffy Cement Supplier",Building Material Supplier,Cement Supplier,"Cement Supplier, Aggregate supplier, Building materials market, Cement Manufacturer, Iron works, Steel distributor",756100,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Bhadrak H.O, Bhadrak Banka Bazar S.O, Bhadrak College S.O",+91 94372 81813,https://jindalpanthercement.com/,5.0,,"Tahasil Road, Samaraipur, Bhadrak, Odisha 756100",Samaraipur,21.0563377,86.4948738,ChIJmVi99AH2GzoRzv1diuA4JC4,https://www.google.com/maps/place/?q=place_id:ChIJmVi99AH2GzoRzv1diuA4JC4,part_343,2026-09-20 20:35:27
C.P.Steelex,Building Material Supplier,Roofing supply store,"Roofing supply store, Pipe supplier",756100,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Bhadrak H.O, Bhadrak Banka Bazar S.O, Bhadrak College S.O",+91 99374 98648,N/A,3.5,,"near IndianOil, Samaraipur, Bhadrak, Odisha 756100",Samaraipur,21.056447799999997,86.49397929999999,ChIJQc8MGwL2GzoR20R6v6TB-Pk,https://www.google.com/maps/place/?q=place_id:ChIJQc8MGwL2GzoR20R6v6TB-Pk,part_343,2026-09-20 20:35:27
Sathya Sai Enterprises (super shakti TMT),Building Material Supplier,Building materials store,Building materials store,756100,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Bhadrak H.O, Bhadrak Banka Bazar S.O, Bhadrak College S.O",+91 94379 80600,N/A,,,"Kuans, Samaraipur, Bhadrak, Odisha 756100","Kuans, Samaraipur",21.057422199999998,86.49579489999999,ChIJOaUUo5L3GzoRT8A8pIRtvsA,https://www.google.com/maps/place/?q=place_id:ChIJOaUUo5L3GzoRT8A8pIRtvsA,part_343,2026-09-20 20:35:27
MB SUPPLIERS,Building Material Supplier,Building materials store,Building materials store,756100,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Bhadrak H.O, Bhadrak Banka Bazar S.O, Bhadrak College S.O",N/A,N/A,,,"2FQV+4CX, SH 35, Samaraipur, Bhadrak, Odisha 756116",Samaraipur,21.03785,86.493361,ChIJ56yHCgD3GzoReKGnX3A8pzM,https://www.google.com/maps/place/?q=place_id:ChIJ56yHCgD3GzoReKGnX3A8pzM,part_343,2026-09-20 20:35:27
M/s Sahoo Enterprises,Building Material Supplier,Cement Supplier,"Cement Supplier, Building materials store",756100,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Bhadrak H.O, Bhadrak Banka Bazar S.O, Bhadrak College S.O",+91 82801 45496,N/A,4.0,,"3G27+VWG, Besides Bhadrak Police Station, Bypass, Road, Bhadrak, Odisha 756100",Puruna Bazar,21.052188299999997,86.5148133,ChIJfyqL0A0KHDoRqBYj3WT77Ks,https://www.google.com/maps/place/?q=place_id:ChIJfyqL0A0KHDoRqBYj3WT77Ks,part_343,2026-09-20 20:35:27
"Jindal Panther Cement - Nilalohita Enterprises | PCC, Composite & Tuffy Cement Supplier",Building Material Supplier,Building materials supplier,"Building materials supplier, Aggregate supplier, Cement Supplier, Cement Manufacturer",756100,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Bhadrak H.O, Bhadrak Banka Bazar S.O, Bhadrak College S.O",+91 94372 81813,https://jindalpanthercement.com/,,,"3F4V+GWQ, Tahasil Road, Samaraipur, Bhadrak, Odisha 756100",Samaraipur,21.0563593,86.4948606,ChIJK28fgLH1GzoRGriMfu2P12E,https://www.google.com/maps/place/?q=place_id:ChIJK28fgLH1GzoRGriMfu2P12E,part_343,2026-09-20 20:35:27
