business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Charampa Bhadrak,Commercial Real Estate Brokerages,Housing society,Housing society,756100,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Bhadrak H.O, Bhadrak Banka Bazar S.O, Bhadrak College S.O",N/A,N/A,4.0,2.0,"4G38+87Q, Charampa, Odisha 756101",756100,21.1033483,86.5157321,ChIJ71BeUQALHDoRxBbeybtTGQA,https://www.google.com/maps/place/?q=place_id:ChIJ71BeUQALHDoRxBbeybtTGQA,part_343,2026-09-20 20:35:43
Bhuumi Properties,Commercial Real Estate Brokerages,Real estate agency,Real estate agency,756100,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Bhadrak H.O, Bhadrak Banka Bazar S.O, Bhadrak College S.O",N/A,https://bhuumiproperties.com/,5.0,2.0,"Link Rd, Shankarpur Colony, Kataka, Odisha 753012",Shankarpur Colony,20.4539097,85.8890524,ChIJD5n354JNHSsRsoHxTr8xJCc,https://www.google.com/maps/place/?q=place_id:ChIJD5n354JNHSsRsoHxTr8xJCc,part_343,2026-09-20 20:35:43
M/S Idea Properties,Commercial Real Estate Brokerages,Real estate agency,Real estate agency,756100,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Bhadrak H.O, Bhadrak Banka Bazar S.O, Bhadrak College S.O",N/A,http://www.ideaproperties.co.in/,4.9,18.0,"4th Floor, 405, Ashok Nagar, Bhubaneswar, Odisha 751009",Ashok Nagar,20.2659128,85.8402265,ChIJR1Pmcy6oskERqVLzDLu0VFA,https://www.google.com/maps/place/?q=place_id:ChIJR1Pmcy6oskERqVLzDLu0VFA,part_343,2026-09-20 20:35:43
Aditya Birla Capital Limited,Commercial Real Estate Brokerages,Loan agency,"Loan agency, Finance broker, Financial advisor, Financial institution, Mortgage lender",756100,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Bhadrak H.O, Bhadrak Banka Bazar S.O, Bhadrak College S.O",+91 1800 270 7000,https://branches.adityabirlacapital.com/aditya-birla-finance-ltd-bhadrak-loan-agency-naripur-bhadrak-166499/Home,,,"2nd Floor, Akshaya Complex, SH 9, near Balgopal Temple, Naripur, Bhadrak, Odisha 756100",Naripur,21.058516299999997,86.495075,ChIJe7aMxtsJHDoRlQlG_hv__iw,https://www.google.com/maps/place/?q=place_id:ChIJe7aMxtsJHDoRlQlG_hv__iw,part_343,2026-09-20 20:35:43
Land For sale,Commercial Real Estate Brokerages,Housing complex,Housing complex,756100,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Bhadrak H.O, Bhadrak Banka Bazar S.O, Bhadrak College S.O",N/A,N/A,,,"3GPF+H44, Charampa, Odisha 756101",756100,21.0863344,86.5226946,ChIJzS9hFQALHDoREj0YqQL9iEA,https://www.google.com/maps/place/?q=place_id:ChIJzS9hFQALHDoREj0YqQL9iEA,part_343,2026-09-20 20:35:43
Niladri Infra & Developers,Commercial Real Estate Brokerages,Real estate developer,Real estate developer,756100,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Bhadrak H.O, Bhadrak Banka Bazar S.O, Bhadrak College S.O",+91 70084 62702,N/A,,,"3F6V+66R, Bagurai, Bhadrak, Odisha 756100",Bagurai,21.060620399999998,86.4930006,ChIJF6HsVQAJHDoR1XaLHkCwRyM,https://www.google.com/maps/place/?q=place_id:ChIJF6HsVQAJHDoR1XaLHkCwRyM,part_343,2026-09-20 20:35:43
Pattnaik Properties,Commercial Real Estate Brokerages,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,756100,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Bhadrak H.O, Bhadrak Banka Bazar S.O, Bhadrak College S.O",+91 96683 47633,https://www.pattnaikproperties.com/,5.0,8.0,"Kalinganagar, Bhubaneswar, Shankarpur, Odisha 751029",Kalinganagar,20.2687922,85.75958639999999,ChIJwywy3bEp54cRyH6GoSDvmcc,https://www.google.com/maps/place/?q=place_id:ChIJwywy3bEp54cRyH6GoSDvmcc,part_343,2026-09-20 20:35:44
KALAHANDI PROPERTIES - Real Estate Agency,Commercial Real Estate Brokerages,Real estate consultant,Real estate consultant,756100,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Bhadrak H.O, Bhadrak Banka Bazar S.O, Bhadrak College S.O",N/A,N/A,,,"Jenakhal Road, Naktiguda, Bhawanipatna, Odisha 766001",Naktiguda,19.9072143,83.1576383,ChIJM1klb5DpJDoRSVJo2PrrgX4,https://www.google.com/maps/place/?q=place_id:ChIJM1klb5DpJDoRSVJo2PrrgX4,part_343,2026-09-20 20:35:44
Charampa,Commercial Real Estate Brokerages,Commercial Real Estate Brokerages,Commercial Real Estate Brokerages,756100,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Bhadrak H.O, Bhadrak Banka Bazar S.O, Bhadrak College S.O",N/A,N/A,,,Odisha,756100,21.088908999999997,86.5207916,ChIJjV3Xr0EKHDoRtKSgQ5eFvr0,https://www.google.com/maps/place/?q=place_id:ChIJjV3Xr0EKHDoRtKSgQ5eFvr0,part_343,2026-09-20 20:35:44
Samaraipur,Commercial Real Estate Brokerages,Commercial Real Estate Brokerages,Commercial Real Estate Brokerages,756100,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Bhadrak H.O, Bhadrak Banka Bazar S.O, Bhadrak College S.O",N/A,N/A,,,"Bhadrak, Odisha",Samaraipur,21.054699,86.4920736,ChIJfalDNAH2GzoRKvQT4RCJSvo,https://www.google.com/maps/place/?q=place_id:ChIJfalDNAH2GzoRKvQT4RCJSvo,part_343,2026-09-20 20:35:44
