business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Think Positive Advertising Agncy,Digital Marketing Agencies,Advertising agency,Advertising agency,756100,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Bhadrak H.O, Bhadrak Banka Bazar S.O, Bhadrak College S.O",+91 94370 87381,N/A,3.7,,"Mohan Plaza, Rajghat, Chhak, Bhadrak, Odisha 756100",Gabasahi,21.068259599999998,86.50329459999999,ChIJgWJCagMKHDoRPTDRzjoWt8M,https://www.google.com/maps/place/?q=place_id:ChIJgWJCagMKHDoRPTDRzjoWt8M,part_343,2026-09-20 20:35:47
Webtrix Informatics LLP,Digital Marketing Agencies,Marketing agency,"Marketing agency, BPO Company, E-commerce service",756100,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Bhadrak H.O, Bhadrak Banka Bazar S.O, Bhadrak College S.O",+91 81440 28312,http://webrixinformatics.com/,5.0,,"Plot Number- 2124, At, 4959, Dagarasahi Canal Rd, near Railway Track Area, Charampa, Odisha 756101",756100,21.0965299,86.5230266,ChIJs8n2d1gLHDoRZdB1meH60sM,https://www.google.com/maps/place/?q=place_id:ChIJs8n2d1gLHDoRZdB1meH60sM,part_343,2026-09-20 20:35:47
ODISHA DIGITAL ZONE,Digital Marketing Agencies,Advertising agency,Advertising agency,756100,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Bhadrak H.O, Bhadrak Banka Bazar S.O, Bhadrak College S.O",+91 75041 15338,http://www.odishadigitalzone.xyz/,5.0,,"Nangha Mohalla, Odisha 756100",Buddha Vihar,21.0537282,86.5098034,ChIJdX0kYPf1GzoR76vlqNHw0XU,https://www.google.com/maps/place/?q=place_id:ChIJdX0kYPf1GzoR76vlqNHw0XU,part_343,2026-09-20 20:35:47
"Sachin Rout | Digital Marketing, AI & Website Design Agency",Digital Marketing Agencies,Website designer,"Website designer, Service establishment",756100,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Bhadrak H.O, Bhadrak Banka Bazar S.O, Bhadrak College S.O",+91 78470 91099,https://sachinrout.com/,4.7,,"Sachin Rout | Digital Marketing, AI & Website Design Agency, 756100, India",756100,9.374110199999999,-79.9070694,ChIJV3fzpQWnqG0R-A4H8Oua1i4,https://www.google.com/maps/place/?q=place_id:ChIJV3fzpQWnqG0R-A4H8Oua1i4,part_343,2026-09-20 20:35:47
ADFLIX MARKETING AGENCY,Digital Marketing Agencies,Marketing agency,Marketing agency,756100,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Bhadrak H.O, Bhadrak Banka Bazar S.O, Bhadrak College S.O",N/A,N/A,5.0,,"Motel Chack, Mathasahi, Gabasahi, Bhadrak, Odisha 756108","Mathasahi, Gabasahi",21.0700701,86.4965485,ChIJ9X9xCEn3GzoR7qoPBjqAPgU,https://www.google.com/maps/place/?q=place_id:ChIJ9X9xCEn3GzoR7qoPBjqAPgU,part_343,2026-09-20 20:35:47
#Best Website Development Services in Bhadrak | UI/UX Developer & Designer,Digital Marketing Agencies,Website designer,"Website designer, Graphic designer, Web hosting company",756100,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Bhadrak H.O, Bhadrak Banka Bazar S.O, Bhadrak College S.O",+91 85270 77383,N/A,3.8,,"S & S Jewellers, Nayabazar, Odisha 756100",Naripur,21.0660685,86.5021087,ChIJOw4nrQMKHDoRQuvZFAaIZAI,https://www.google.com/maps/place/?q=place_id:ChIJOw4nrQMKHDoRQuvZFAaIZAI,part_343,2026-09-20 20:35:47
RM Doot Web Services,Digital Marketing Agencies,Website designer,Website designer,756100,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Bhadrak H.O, Bhadrak Banka Bazar S.O, Bhadrak College S.O",N/A,https://rmdootweb.in/,5.0,,"Samaraipur, Bhadrak, Odisha 756101",Samaraipur,21.0573616,86.4962996,ChIJ8UBmZ_f3GzoRgncDWu-du00,https://www.google.com/maps/place/?q=place_id:ChIJ8UBmZ_f3GzoRgncDWu-du00,part_343,2026-09-20 20:35:47
Next Generation Digital Marketing,Digital Marketing Agencies,Social worker,Social worker,756100,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Bhadrak H.O, Bhadrak Banka Bazar S.O, Bhadrak College S.O",N/A,N/A,,,"3F5M+FMJ, Besides Circuit House, Charigharia Chhak Bhadrak Keonjhar, Road, Bhadrak, Odisha 756181",Bagurai,21.0587038,86.4841471,ChIJPxw7UNoJHDoRG0CR1YyyRBY,https://www.google.com/maps/place/?q=place_id:ChIJPxw7UNoJHDoRG0CR1YyyRBY,part_343,2026-09-20 20:35:47
Website developer,Digital Marketing Agencies,Website designer,Website designer,756100,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Bhadrak H.O, Bhadrak Banka Bazar S.O, Bhadrak College S.O",+91 63723 98285,N/A,,,"mulla sahi road, Chandan Bazar, Bankashi, Bhadrak, Odisha 756100","Chandan Bazar, Bankashi",21.060854799999998,86.5106914,ChIJ89-16ioLHDoR-BmvJE-JG4M,https://www.google.com/maps/place/?q=place_id:ChIJ89-16ioLHDoR-BmvJE-JG4M,part_343,2026-09-20 20:35:47
Mahabahu Digital,Digital Marketing Agencies,Print shop,Print shop,756100,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Bhadrak H.O, Bhadrak Banka Bazar S.O, Bhadrak College S.O",+91 89816 65969,N/A,,,"Kacheri Rd, Buddha Vihar, Bhadrak, Odisha 756100",Buddha Vihar,21.057877299999998,86.4988491,ChIJ8ak2gfwJHDoR8vSfaK7YqDA,https://www.google.com/maps/place/?q=place_id:ChIJ8ak2gfwJHDoR8vSfaK7YqDA,part_343,2026-09-20 20:35:47
Automatic Funnel Clients,Digital Marketing Agencies,Marketing agency,"Marketing agency, Service establishment",756100,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Bhadrak H.O, Bhadrak Banka Bazar S.O, Bhadrak College S.O",+91 77352 58494,https://www.automaticfunnelclients.com/work-with-us,5.0,,"Automatic Funnel Clients, 756100, India",756100,21.0680074,82.7525294,ChIJO5FwBpM4O0URU1AgQaU7A0Y,https://www.google.com/maps/place/?q=place_id:ChIJO5FwBpM4O0URU1AgQaU7A0Y,part_343,2026-09-20 20:35:47
Adishiv Global Services,Digital Marketing Agencies,Print shop,"Print shop, Book publisher, Bookbinder, Books Wholesaler, Office Accessories Wholesaler",756100,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Bhadrak H.O, Bhadrak Banka Bazar S.O, Bhadrak College S.O",N/A,N/A,5.0,2.0,"Basudevpur, Baghurai-College Rd, Baudpur, Bhadrak, Odisha 756125",Baudpur,21.0632847,86.48245279999999,ChIJdV--qiYJHDoRTE6rpb-PfWc,https://www.google.com/maps/place/?q=place_id:ChIJdV--qiYJHDoRTE6rpb-PfWc,part_343,2026-09-20 20:35:48
Lyfsoft Technologies,Digital Marketing Agencies,Website designer,"Website designer, E - Commerce Agency, E-commerce service, Internet marketing service, Web hosting company",756100,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Bhadrak H.O, Bhadrak Banka Bazar S.O, Bhadrak College S.O",N/A,https://lyfsoft.com/,5.0,8.0,"Plot number-410, Saheed Nagar Rd, Saheed Nagar, Bhubaneswar, Odisha 751007",Saheed Nagar,20.2898906,85.8530121,ChIJeab1PA6nGToR-YZBBpDm4Oc,https://www.google.com/maps/place/?q=place_id:ChIJeab1PA6nGToR-YZBBpDm4Oc,part_343,2026-09-20 20:35:49
