business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
LICKEES BHADRAK,Ice Cream Parlour,Ice cream shop,Ice cream shop,756100,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Bhadrak H.O, Bhadrak Banka Bazar S.O, Bhadrak College S.O",N/A,N/A,5.0,,"3F7Q+7H9, Baghurai-College Rd, Bagurai, Bhadrak, Odisha 756100",Bagurai,21.063125,86.488852,ChIJO6e7PQAJHDoRu_K5nuZADvo,https://www.google.com/maps/place/?q=place_id:ChIJO6e7PQAJHDoRu_K5nuZADvo,part_343,2026-09-20 20:35:12
Arun Ice Cream Parlour,Ice Cream Parlour,Ice cream shop,Ice cream shop,756100,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Bhadrak H.O, Bhadrak Banka Bazar S.O, Bhadrak College S.O",+91 73278 68988,N/A,4.9,,"near Bhadrak Autonomous College Road, Jagannathpur, Bagurai, Bhadrak, Odisha 756100","Jagannathpur, Bagurai",21.06398,86.4893656,ChIJQxug288JHDoRWF9GhCMC0b4,https://www.google.com/maps/place/?q=place_id:ChIJQxug288JHDoRWF9GhCMC0b4,part_343,2026-09-20 20:35:12
Top'N City Icecream Factory,Ice Cream Parlour,Ice cream shop,Ice cream shop,756100,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Bhadrak H.O, Bhadrak Banka Bazar S.O, Bhadrak College S.O",N/A,N/A,4.5,,"3G67+4F2, Chandan Bazar Rd, Chandan Bazar, Bankashi, Bhadrak, Odisha 756100","Chandan Bazar, Bankashi",21.060264099999998,86.51362999999999,ChIJkWf7em8LHDoRGEx1_0EAxOo,https://www.google.com/maps/place/?q=place_id:ChIJkWf7em8LHDoRGEx1_0EAxOo,part_343,2026-09-20 20:35:12
softy ice cream bhadrak,Ice Cream Parlour,Ice cream shop,Ice cream shop,756100,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Bhadrak H.O, Bhadrak Banka Bazar S.O, Bhadrak College S.O",N/A,N/A,5.0,,"Ice cream, Bhadrak kusgadia, Odisha 756100",756100,21.0766949,86.485648,ChIJEVgdiXf1GzoRu4bmcQZtQfg,https://www.google.com/maps/place/?q=place_id:ChIJEVgdiXf1GzoRu4bmcQZtQfg,part_343,2026-09-20 20:35:12
SHIVA ICECREAM FACTORY,Ice Cream Parlour,Ice cream shop,Ice cream shop,756100,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Bhadrak H.O, Bhadrak Banka Bazar S.O, Bhadrak College S.O",+91 94383 68006,N/A,4.1,,"3F6W+XQP, TOWN HALL CHAKA, near HEAD POST OFFICE, Naripur, Bhadrak, Odisha 756100",Naripur,21.062468499999998,86.49696,ChIJbepb3v4JHDoRxgR3g2zCQeM,https://www.google.com/maps/place/?q=place_id:ChIJbepb3v4JHDoRxgR3g2zCQeM,part_343,2026-09-20 20:35:12
Bluebird Ice cream,Ice Cream Parlour,Ice cream equipment supplier,Ice cream equipment supplier,756100,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Bhadrak H.O, Bhadrak Banka Bazar S.O, Bhadrak College S.O",+91 98616 48504,N/A,4.2,,"At-Balipatana ,po, via, madhab nagar, Mouda Village, Bhadrak, Odisha 756181","madhab nagar, Mouda Village",21.030822099999998,86.5328062,ChIJ-5LA0Cn1GzoRbY7PnhVYpb4,https://www.google.com/maps/place/?q=place_id:ChIJ-5LA0Cn1GzoRbY7PnhVYpb4,part_343,2026-09-20 20:35:12
Sibtain,Ice Cream Parlour,Ice cream shop,Ice cream shop,756100,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Bhadrak H.O, Bhadrak Banka Bazar S.O, Bhadrak College S.O",N/A,N/A,,,"451, Puruna Bazar, Bhadrak, Odisha 756100",Puruna Bazar,21.049637999999998,86.51665799999999,ChIJwxrzAQD1GzoRHkMPz7MPpSA,https://www.google.com/maps/place/?q=place_id:ChIJwxrzAQD1GzoRHkMPz7MPpSA,part_343,2026-09-20 20:35:12
Snowbell Ice Cream,Ice Cream Parlour,Manufacturer,Manufacturer,756100,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Bhadrak H.O, Bhadrak Banka Bazar S.O, Bhadrak College S.O",+91 72054 28487,N/A,3.0,,"Bypass Road, Puruna Bazar, Bhadrak, Odisha 756100",Puruna Bazar,21.0641575,86.5188909,ChIJB49A_oMLHDoRZ5tW3N9uLrg,https://www.google.com/maps/place/?q=place_id:ChIJB49A_oMLHDoRZ5tW3N9uLrg,part_343,2026-09-20 20:35:12
Manoj omfed parlar,Ice Cream Parlour,Ice cream shop,Ice cream shop,756100,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Bhadrak H.O, Bhadrak Banka Bazar S.O, Bhadrak College S.O",N/A,N/A,,,"3G52+4PQ, College Rd, Buddha Vihar, Bhadrak, Odisha 756100",Buddha Vihar,21.057959399999998,86.5017986,ChIJT-R_ewALHDoRkrFh4qIJe4s,https://www.google.com/maps/place/?q=place_id:ChIJT-R_ewALHDoRkrFh4qIJe4s,part_343,2026-09-20 20:35:12
The Coffee House,Ice Cream Parlour,Coffee shop,Coffee shop,756100,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Bhadrak H.O, Bhadrak Banka Bazar S.O, Bhadrak College S.O",N/A,N/A,4.4,,"3GH6+JF5, Bhadrak, Odisha 756101",756100,21.0790114,86.51123799999999,ChIJlWKLFAALHDoRxo7PCS4TOPg,https://www.google.com/maps/place/?q=place_id:ChIJlWKLFAALHDoRxo7PCS4TOPg,part_343,2026-09-20 20:35:12
Papu cafe,Ice Cream Parlour,Cafe,Cafe,756100,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Bhadrak H.O, Bhadrak Banka Bazar S.O, Bhadrak College S.O",+91 90902 23454,N/A,4.5,,"near state high 9, Puruna Bazar, Bhadrak, Odisha 756100",Puruna Bazar,21.0529835,86.5298621,ChIJ4x-aQ8D1GzoRy_2LwJKM3x4,https://www.google.com/maps/place/?q=place_id:ChIJ4x-aQ8D1GzoRy_2LwJKM3x4,part_343,2026-09-20 20:35:12
Bluebird ice-cream Depot,Ice Cream Parlour,Ice cream shop,Ice cream shop,756100,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Bhadrak H.O, Bhadrak Banka Bazar S.O, Bhadrak College S.O",+91 77953 43370,N/A,4.0,,"Rahul trading(Color House, bazaar, near Infront 0f, Asurali, Odisha 756137",756100,20.942355799999998,86.5236865,ChIJr8SRfU7zGzoRYiD6TOUeODw,https://www.google.com/maps/place/?q=place_id:ChIJr8SRfU7zGzoRYiD6TOUeODw,part_343,2026-09-20 20:35:14
