business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
RO SERVICE CENTER/PUREFLOW SOLUTIONS,RO Water Purifier Sales and Service,Water purification company,"Water purification company, Water Filter Supplier, Water treatment plant, Water treatment supplier, Water utility company",756111,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Ranital S.O (Bhadrak), Balanta B.O, Champulipada B.O",+91 94378 15027,https://www.solutionspureflow.com/,5.0,,"FXJ8+F76, Sambalpur Junction Rd, Modipada, Sambalpur, Odisha 768003",Modipada,21.4811875,83.9656875,ChIJz_c_FwAXIToRd-loW6hquF0,https://www.google.com/maps/place/?q=place_id:ChIJz_c_FwAXIToRd-loW6hquF0,part_343,2026-09-20 20:36:55
"SWAIN WATER LINE ( kent, Aquaguard)",RO Water Purifier Sales and Service,Water Filter Supplier,Water Filter Supplier,756111,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Ranital S.O (Bhadrak), Balanta B.O, Champulipada B.O",+91 63716 68656,N/A,5.0,,"Nuanga Godisahi, Tarava, Nuagan, Odisha 759013",Nuanga Godisahi,20.731114299999998,85.6244534,ChIJ15R-LUohGToRMaBh292mAww,https://www.google.com/maps/place/?q=place_id:ChIJ15R-LUohGToRMaBh292mAww,part_343,2026-09-20 20:36:55
THE WATER WORLD,RO Water Purifier Sales and Service,Water Filter Supplier,Water Filter Supplier,756111,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Ranital S.O (Bhadrak), Balanta B.O, Champulipada B.O",+91 99381 95796,https://the-water-world.business.site/?utm_source=gmb&utm_medium=referral,4.1,,"CHORDA CHHAK, Keonjhar - Ghatgaon - Panikoili Rd, near sbi atm, Mahaveer Colony, Byasanagar, Odisha 755019",Mahaveer Colony,20.954815399999998,86.1275598,ChIJTwPGay9SGToRIB2j4ZKVS1s,https://www.google.com/maps/place/?q=place_id:ChIJTwPGay9SGToRIB2j4ZKVS1s,part_343,2026-09-20 20:36:55
MAA JANJALI DEVI ENTERPRISES,RO Water Purifier Sales and Service,Water Filter Supplier,"Water Filter Supplier, Air filter supplier, Repair service, Vacuum cleaner repair shop, Vacuum cleaner store, Water purification company, Water softening equipment supplier, Water treatment plant",756111,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Ranital S.O (Bhadrak), Balanta B.O, Champulipada B.O",+91 70083 67714,https://www.eurekaforbes.com/,5.0,148.0,"Labanya Squre, Town Plannig Office Market Complex, Mining Rd, near Life Labo Dignostic Centre, Keonjhar, Odisha 758001",756111,21.634397699999997,85.6109125,ChIJBXYUqs39HjoRX6jAFBKSGQ0,https://www.google.com/maps/place/?q=place_id:ChIJBXYUqs39HjoRX6jAFBKSGQ0,part_343,2026-09-20 20:36:56
BK Purifiers,RO Water Purifier Sales and Service,Water Filter Supplier,Water Filter Supplier,756111,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Ranital S.O (Bhadrak), Balanta B.O, Champulipada B.O",+91 80188 80101,N/A,5.0,54.0,"Infront of Ganesh Temple, Kamakhya-Jiral Rd, Kangeilo, Odisha 759018",756111,20.887447899999998,85.61288789999999,ChIJR1LupEcpGToRlmwAEqNT2Tk,https://www.google.com/maps/place/?q=place_id:ChIJR1LupEcpGToRlmwAEqNT2Tk,part_343,2026-09-20 20:36:56
MANAS,RO Water Purifier Sales and Service,Water Filter Supplier,Water Filter Supplier,756111,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Ranital S.O (Bhadrak), Balanta B.O, Champulipada B.O",+91 77900 00697,http://www.orixaqua.com/,5.0,6.0,"Main Road, in front of utkala garmena bank, near Canara Bank now shipted, Digapahandi, Odisha 761012",756111,19.374895499999997,84.5745092,ChIJof_vd2M2PToRcXwpc5bMNdo,https://www.google.com/maps/place/?q=place_id:ChIJof_vd2M2PToRcXwpc5bMNdo,part_343,2026-09-20 20:36:56
Water World,RO Water Purifier Sales and Service,Water Filter Supplier,Water Filter Supplier,756111,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Ranital S.O (Bhadrak), Balanta B.O, Champulipada B.O",+91 73811 16355,https://www.facebook.com/Waterworldbrahmagiri/,5.0,90.0,"Block Square, Brahmagiri, Odisha 752011",756111,19.799562299999998,85.6655554,ChIJiZj1Gt3NGToRHAaxq5hx1jI,https://www.google.com/maps/place/?q=place_id:ChIJiZj1Gt3NGToRHAaxq5hx1jI,part_343,2026-09-20 20:36:56
Sahu Aqua Care RO WATER PURIFIER,RO Water Purifier Sales and Service,Water purification company,"Water purification company, Repair service, Water works",756111,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Ranital S.O (Bhadrak), Balanta B.O, Champulipada B.O",+91 98613 29831,N/A,4.9,15.0,"Shiv Shakti Market Complex, NH 55, near Binod Hyundai, Kandsa, Angul, Odisha 759145",Kandsa,20.8416314,85.1398037,ChIJG00NCB-xGDoRyiAiQMVNOW4,https://www.google.com/maps/place/?q=place_id:ChIJG00NCB-xGDoRyiAiQMVNOW4,part_343,2026-09-20 20:36:56
Chinmaya RO water purifier sales & service,RO Water Purifier Sales and Service,Water purification company,Water purification company,756111,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Ranital S.O (Bhadrak), Balanta B.O, Champulipada B.O",N/A,N/A,4.9,16.0,"Near Hinjilibahali NH-26, Bhawanipatna Road, Junagarh, Odisha 766014",756111,19.8667153,82.9516823,ChIJOZMV_hjhJDoRyFSV4zUHPMo,https://www.google.com/maps/place/?q=place_id:ChIJOZMV_hjhJDoRyFSV4zUHPMo,part_343,2026-09-20 20:36:56
PURE WATER SOLUTIONS,RO Water Purifier Sales and Service,Water purification company,"Water purification company, Store",756111,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Ranital S.O (Bhadrak), Balanta B.O, Champulipada B.O",+91 99373 42958,http://www.kent.co.in/,4.5,27.0,"Gopal Sagar Sai Temple chaka Main Road, Odisha 754103",756111,20.2627301,86.1636674,ChIJOVG-GD2CGToRXPmMeBFcJxQ,https://www.google.com/maps/place/?q=place_id:ChIJOVG-GD2CGToRXPmMeBFcJxQ,part_343,2026-09-20 20:36:56
