business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Chinu tuition class Amrutapur,Tuition Center,Education center,Education center,756121,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Manjuri Road S.O, Babalpur B.O, Bandalo B.O",N/A,N/A,,,"Amrutpur, P.O, Via, Jajpur Rd, Dimiria, Balipokhari, Odisha 756121",756121,21.007601599999997,86.3088418,ChIJXQL1Jiv_GzoRhR_3hcn9jNo,https://www.google.com/maps/place/?q=place_id:ChIJXQL1Jiv_GzoRhR_3hcn9jNo,part_343,2026-09-20 20:43:59
Student Coaching center ( BB SIR Tuition),Tuition Center,Coaching Center,Coaching Center,756121,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Manjuri Road S.O, Babalpur B.O, Bandalo B.O",N/A,N/A,,,"26RC+PH7, Gopalpur, Sanla, Odisha 755025",Gopalpur,21.0417971,86.2214357,ChIJf2L5VQBVGToRbKZd6tSrq-o,https://www.google.com/maps/place/?q=place_id:ChIJf2L5VQBVGToRbKZd6tSrq-o,part_343,2026-09-20 20:43:59
Smart coaching center,Tuition Center,Coaching Center,Coaching Center,756121,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Manjuri Road S.O, Babalpur B.O, Bandalo B.O",N/A,N/A,,,"26RC+PHG, Gopalpur, Sanla, Odisha 755025",Gopalpur,21.0418058,86.2214525,ChIJk6xFEgBVGToR8Ef8JiwOm6Q,https://www.google.com/maps/place/?q=place_id:ChIJk6xFEgBVGToR8Ef8JiwOm6Q,part_343,2026-09-20 20:43:59
Nayak coaching center,Tuition Center,Middle school,Middle school,756121,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Manjuri Road S.O, Babalpur B.O, Bandalo B.O",N/A,N/A,,,"488C+HVP, Bonth, Odisha 756114",756121,21.1164708,86.3221959,ChIJh17xOQABHDoRwunaeLUyRnI,https://www.google.com/maps/place/?q=place_id:ChIJh17xOQABHDoRwunaeLUyRnI,part_343,2026-09-20 20:43:59
Gyanabindu coaching center,Tuition Center,Education center,Education center,756121,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Manjuri Road S.O, Babalpur B.O, Bandalo B.O",N/A,N/A,,,"489H+8FJ, Bant, Chandipur, Odisha 756114",756121,21.1183281,86.3286473,ChIJqdAPR0IBHDoRZKL26sNNJkk,https://www.google.com/maps/place/?q=place_id:ChIJqdAPR0IBHDoRZKL26sNNJkk,part_343,2026-09-20 20:43:59
CARE Classes (by Chinmaya Kumar Biswal),Tuition Center,Coaching Center,Coaching Center,756121,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Manjuri Road S.O, Babalpur B.O, Bandalo B.O",N/A,N/A,4.7,7.0,"Pwt sendhatira palasha, roads, Bhadrak, Odisha 756112",roads,21.0592717,86.356285,ChIJy1RcL2kHHDoRSJ7f2N6wsFM,https://www.google.com/maps/place/?q=place_id:ChIJy1RcL2kHHDoRSJ7f2N6wsFM,part_343,2026-09-20 20:44:00
SWAMY VIVEKANANDA IDEAL COACHING CENTRE,Tuition Center,Coaching Center,Coaching Center,756121,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Manjuri Road S.O, Babalpur B.O, Bandalo B.O",N/A,N/A,5.0,1.0,"36MV+C2R, Adheidwara, Matabaj, Odisha 756121",Adheidwara,21.0836112,86.24252419999999,ChIJo8cF342rHjoRRwC64vkvE6o,https://www.google.com/maps/place/?q=place_id:ChIJo8cF342rHjoRRwC64vkvE6o,part_343,2026-09-20 20:44:00
ASHOK TUTORIALS,Tuition Center,Private Tutor,Private Tutor,756121,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Manjuri Road S.O, Babalpur B.O, Bandalo B.O",+91 97765 69616,N/A,4.2,6.0,"Sathipur - Barundei Rd, Sathipur Chhak, Balipasi, Odisha 755025",Sathipur Chhak,20.934946,86.255258,ChIJlf-xlIr9GzoRd0nkvJYhRhk,https://www.google.com/maps/place/?q=place_id:ChIJlf-xlIr9GzoRd0nkvJYhRhk,part_343,2026-09-20 20:44:00
SSPrusty,Tuition Center,Education center,Education center,756121,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Manjuri Road S.O, Babalpur B.O, Bandalo B.O",N/A,N/A,5.0,8.0,"SH53, Bant, Tillo, Odisha 756114",756121,21.114419899999998,86.3437879,ChIJARhsocYHHDoRsSQh9fT1Cng,https://www.google.com/maps/place/?q=place_id:ChIJARhsocYHHDoRsSQh9fT1Cng,part_343,2026-09-20 20:44:01
Tulasi coaching centre chapundia,Tuition Center,Education center,Education center,756121,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Manjuri Road S.O, Babalpur B.O, Bandalo B.O",N/A,N/A,5.0,1.0,"46M4+W7V, Ambo, Odisha 758022",756121,21.134873799999998,86.2056843,ChIJZ__VVcKrHjoRlF-VrZporvE,https://www.google.com/maps/place/?q=place_id:ChIJZ__VVcKrHjoRlF-VrZporvE,part_343,2026-09-20 20:44:01
Bajarangi tutorial & coaching Biridi,Tuition Center,Education center,Education center,756121,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Manjuri Road S.O, Babalpur B.O, Bandalo B.O",N/A,N/A,5.0,1.0,"46P8+M25, Biridi, Antira, Odisha 758022",Biridi,21.1366347,86.2151129,ChIJX02GkRqrHjoRLi2oJPjA4M0,https://www.google.com/maps/place/?q=place_id:ChIJX02GkRqrHjoRLi2oJPjA4M0,part_343,2026-09-20 20:44:01
