business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Oritech System,Computer Sales and Laptop Repair,Computer repair service,"Computer repair service, Computer consultant, Computer Hardware Company, Computer store, Computer security service, Computer service, Printer repair service",756122,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Akhuapada S.O, Kumbharia B.O, Manjuri B.O",+91 94370 72818,N/A,4.3,,"Biraja Shopping Complex Medical Road, Grand Bajaar Pakh, SH 56, Jajpur, Odisha 755001",756122,20.8498549,86.3296986,ChIJwWbd8FrjGzoRbG9DtP3rbnA,https://www.google.com/maps/place/?q=place_id:ChIJwWbd8FrjGzoRbG9DtP3rbnA,part_343,2026-09-20 20:44:43
SAANVI COMPUTER,Computer Sales and Laptop Repair,Electronics store,Electronics store,756122,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Akhuapada S.O, Kumbharia B.O, Manjuri B.O",+91 73777 82427,N/A,4.4,,"SITALESWAR CHAK, near AXIS BANK, Jajpur, Odisha 755001",Sitaleswar,20.8481728,86.3373142,ChIJhbeRL_fjGzoRIwZplfynueE,https://www.google.com/maps/place/?q=place_id:ChIJhbeRL_fjGzoRIwZplfynueE,part_343,2026-09-20 20:44:43
SCOM COMPUTER,Computer Sales and Laptop Repair,Computer store,Computer store,756122,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Akhuapada S.O, Kumbharia B.O, Manjuri B.O",+91 76820 88811,N/A,3.9,,"JODIKUA WAY TO RAKSHYA KALI TEMPLE, Jajpur, Odisha 755007",Kalyanpur,20.8436581,86.3366478,ChIJ31KTfljjGzoRxr4dEhvXkBk,https://www.google.com/maps/place/?q=place_id:ChIJ31KTfljjGzoRxr4dEhvXkBk,part_343,2026-09-20 20:44:43
Biraja Computer Sales & Service,Computer Sales and Laptop Repair,Computer store,Computer store,756122,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Akhuapada S.O, Kumbharia B.O, Manjuri B.O",+91 98539 01052,N/A,1.0,,"R8WP+XW7, Jajpur - Singhpur Rd, Sitaleswar, Jajpur, Odisha 755001",Sitaleswar,20.8474006,86.33728579999999,ChIJNfB_oVjjGzoR--gp18ytUEo,https://www.google.com/maps/place/?q=place_id:ChIJNfB_oVjjGzoR--gp18ytUEo,part_343,2026-09-20 20:44:43
IT Solution,Computer Sales and Laptop Repair,Computer repair service,Computer repair service,756122,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Akhuapada S.O, Kumbharia B.O, Manjuri B.O",N/A,N/A,4.8,,"Jajpur, Odisha 755001",756122,20.8512202,86.3372622,ChIJ_U4GONTjGzoRXOQK5dBOSjg,https://www.google.com/maps/place/?q=place_id:ChIJ_U4GONTjGzoRXOQK5dBOSjg,part_343,2026-09-20 20:44:43
SANJUKTA COMPUTER,Computer Sales and Laptop Repair,Computer store,Computer store,756122,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Akhuapada S.O, Kumbharia B.O, Manjuri B.O",N/A,N/A,5.0,,"N.C COLLEGE ROAD, LALITESHWAR NAGAR, Jajpur, Odisha 755001",756122,20.8413182,86.3159202,ChIJrd_pL4DjGzoRakXfLJTzTRQ,https://www.google.com/maps/place/?q=place_id:ChIJrd_pL4DjGzoRakXfLJTzTRQ,part_343,2026-09-20 20:44:43
"Ambikai Chhak, Biraja Road",Computer Sales and Laptop Repair,Computer store,Computer store,756122,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Akhuapada S.O, Kumbharia B.O, Manjuri B.O",N/A,N/A,4.7,,"R8WP+CWH, Jajpur, Odisha 755001",756122,20.846035699999998,86.3373457,ChIJZzi_BIrjGzoRwf8GxnppHEA,https://www.google.com/maps/place/?q=place_id:ChIJZzi_BIrjGzoRwf8GxnppHEA,part_343,2026-09-20 20:44:43
computer world,Computer Sales and Laptop Repair,Computer accessories store,Computer accessories store,756122,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Akhuapada S.O, Kumbharia B.O, Manjuri B.O",+91 90404 45691,N/A,3.8,,"laliteswarnagar, College Rd, Odisha 755001",756122,20.8431358,86.3181424,ChIJpwcvSxbjGzoRGLDReo-Ztt8,https://www.google.com/maps/place/?q=place_id:ChIJpwcvSxbjGzoRGLDReo-Ztt8,part_343,2026-09-20 20:44:43
Suraj Computers,Computer Sales and Laptop Repair,Computer repair service,"Computer repair service, Computer accessories store, Computer service, Computer software store, Computer Wholesaler, Printer ink refill store, Printer repair service",756122,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Akhuapada S.O, Kumbharia B.O, Manjuri B.O",+91 80 6507 0125,https://surajcomputers.com/,4.8,119.0,"Pankaj Plaza, G-34, near Metro Piller No-1029, Pocket 7, Sector 12 Dwarka, Dwarka, New Delhi, Delhi, 110075","Pocket 7, Sector 12 Dwarka, Dwarka",28.590836399999997,77.04339,ChIJG75HQAAbDTkRK3E6oIFN23Y,https://www.google.com/maps/place/?q=place_id:ChIJG75HQAAbDTkRK3E6oIFN23Y,part_343,2026-09-20 20:44:44
RR COMPUTERS - Laptop & PC Repair Service Nashik,Computer Sales and Laptop Repair,Computer repair service,"Computer repair service, Computer accessories store, Computer desk store, Computer Hardware Company, Computer networking service, Computer service, Computer store, Computer support and services",756122,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Akhuapada S.O, Kumbharia B.O, Manjuri B.O",+91 95799 93142,https://www.laptopservicecenternashik.com/,4.9,1146.0,"Sarda Sankul, C WING, F-50, Mahatma Gandhi Rd, beside OM SAI SPORTS, near NILESH SUPER MARKET, Vakil Wadi, Raviwar Karanja, Panchavati, Nashik, Maharashtra 422001","Vakil Wadi, Raviwar Karanja, Panchavati",20.0049094,73.7858151,ChIJWV5udVTr3TsRXGhA0pTmI2w,https://www.google.com/maps/place/?q=place_id:ChIJWV5udVTr3TsRXGhA0pTmI2w,part_343,2026-09-20 20:44:44
