business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
JAGANNATH LASHI HOUSE,Departmental Store,Grocery store,"Grocery store, Soft drinks shop",756060,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Sergarh S.O, Bahala B.O, Barun Singh B.O",+91 85968 66756,N/A,5.0,2.0,"34, Nilgiri - Mitrapur Rd, Nilagiri, Balasore, Odisha 756040",756060,21.462225999999998,86.7697592,ChIJdcICiGNdHDoRbfgEjQ2KyOU,https://www.google.com/maps/place/?q=place_id:ChIJdcICiGNdHDoRbfgEjQ2KyOU,part_343,2026-09-20 20:27:05,28269
Nayak Variety Store,Departmental Store,Grocery store,Grocery store,756060,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Sergarh S.O, Bahala B.O, Barun Singh B.O",+91 78539 60019,N/A,,,"Armala ,Remuna Armala , Remuna, Odisha 756040",756060,21.4909058,86.8307447,ChIJ6TQOvzBfHDoRAV3EHWueQmM,https://www.google.com/maps/place/?q=place_id:ChIJ6TQOvzBfHDoRAV3EHWueQmM,part_343,2026-09-20 20:27:05,28270
PINTU VARIETY STORE,Departmental Store,Grocery store,Grocery store,756060,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Sergarh S.O, Bahala B.O, Barun Singh B.O",+91 76828 73527,N/A,,,"Ambudia, Balasore, Odisha 756060",Ambudia,21.4530334,86.80963779999999,ChIJr_zkHRVdHDoRbU1GNKOcNdo,https://www.google.com/maps/place/?q=place_id:ChIJr_zkHRVdHDoRbU1GNKOcNdo,part_343,2026-09-20 20:27:05,28271
maa tarini grocery and variety store,Departmental Store,Indian grocery store,Indian grocery store,756060,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Sergarh S.O, Bahala B.O, Barun Singh B.O",+91 77354 56067,N/A,4.4,,"shiva temple, padmabati water park, 756002, new DRDO road, harshapura, Balasore, Odisha 756002",756060,21.4645358,86.9271907,ChIJwY2LtR_1HDoR-c_hy1gmfBU,https://www.google.com/maps/place/?q=place_id:ChIJwY2LtR_1HDoR-c_hy1gmfBU,part_343,2026-09-20 20:27:06,28272
SASHI GROCERY STORE,Departmental Store,Grocery store,Grocery store,756060,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Sergarh S.O, Bahala B.O, Barun Singh B.O",+91 96924 47028,N/A,3.3,,"Genguti,Saun, Near, Genguti School Road, Balasore, Odisha 756021",756060,21.4311425,86.8966483,ChIJxS7QBqdhHDoRv-SLfthxCaM,https://www.google.com/maps/place/?q=place_id:ChIJxS7QBqdhHDoRv-SLfthxCaM,part_343,2026-09-20 20:27:06,28273
ROUT GROCERY,Departmental Store,Indian grocery store,Indian grocery store,756060,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Sergarh S.O, Bahala B.O, Barun Singh B.O",N/A,N/A,4.8,,"Padhuan Pada, Balasore, Gopalgoan, Odisha 756001",Padhuan Pada,21.493669699999998,86.9256056,ChIJL5ow69r1HDoRDT9DhNn-WgY,https://www.google.com/maps/place/?q=place_id:ChIJL5ow69r1HDoRDT9DhNn-WgY,part_343,2026-09-20 20:27:06,28274
SUPER 99,Departmental Store,Department store,"Department store, Countertop store, Home goods store, Toy store",756060,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Sergarh S.O, Bahala B.O, Barun Singh B.O",+91 11 4949 5656,https://www.super99.in/,4.4,,"FWVG+3V6 LANDMARK-JAGANNATH PETROL PUMP, FM College Rd, near Super 99 Store, Azimabad, Manikhamb, Balasore, Gopalgoan, Odisha 756001","Azimabad, Manikhamb",21.492654899999998,86.9271562,ChIJm_2Chb31HDoRYZKBLh7RHIo,https://www.google.com/maps/place/?q=place_id:ChIJm_2Chb31HDoRYZKBLh7RHIo,part_343,2026-09-20 20:27:07,28275
Kuli Grocery Shop,Kirana Store,Indian grocery store,Indian grocery store,756060,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Sergarh S.O, Bahala B.O, Barun Singh B.O",N/A,N/A,4.8,5.0,"FQ7W+MRG, Balasore, Odisha 756040",756060,21.4641915,86.79708819999999,ChIJA7RoIJRdHDoRxkMOAbtW7sw,https://www.google.com/maps/place/?q=place_id:ChIJA7RoIJRdHDoRxkMOAbtW7sw,part_343,2026-09-20 20:27:05,28276
RAJASHREE GROCERY AND VARIETY STORE,Kirana Store,Grocery store,Grocery store,756060,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Sergarh S.O, Bahala B.O, Barun Singh B.O",+91 88954 01193,N/A,,,"High School, ZHO0201277, Armala, Baruan, Odisha 756040",ZHO0201277,21.493149,86.8278448,ChIJpTuLmgBfHDoRPXpSfyi5tcE,https://www.google.com/maps/place/?q=place_id:ChIJpTuLmgBfHDoRPXpSfyi5tcE,part_343,2026-09-20 20:27:05,28277
Baidyanath panda Home 🏠 And Grocery store,Kirana Store,Indian grocery store,Indian grocery store,756060,Odisha Circle,Bhubaneswar HQ Region,Balasore Division,"Sergarh S.O, Bahala B.O, Barun Singh B.O",N/A,N/A,,,"FRG8+QG, Naraharipur, Odisha 756060",756060,21.476924,86.81633599999999,ChIJpbOnOgBdHDoR0J4bn5COE7Y,https://www.google.com/maps/place/?q=place_id:ChIJpbOnOgBdHDoR0J4bn5COE7Y,part_343,2026-09-20 20:27:05,28278
