business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Bake My Day,Bakery and Cake Shop,Bakery and Cake Shop,Bakery and Cake Shop,756133,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Sukleswar B.O, Chandbali S.O, Tentulidihi B.O",+91 76090 81007,N/A,5.0,14.0,"Narayana Super Complex, Chandbali Main Road, Market, near Indian Oil, Chandbali, Odisha 756133",756133,20.776384099999998,86.7427347,ChIJ7VFSq_-ZGzoRt3ONZW7KtDg,https://www.google.com/maps/place/?q=place_id:ChIJ7VFSq_-ZGzoRt3ONZW7KtDg,part_344,2026-09-20 20:17:46,452
Bapu bakery,Bakery and Cake Shop,Cake shop,Cake shop,756133,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Sukleswar B.O, Chandbali S.O, Tentulidihi B.O",+91 90407 20280,N/A,4.1,9.0,"Main road, Chandbali, Simulia, Odisha 756133",756133,20.771437,86.73568999999999,ChIJhXTc1ueZGzoRjiEo6kLSN4M,https://www.google.com/maps/place/?q=place_id:ChIJhXTc1ueZGzoRjiEo6kLSN4M,part_344,2026-09-20 20:17:46,453
Mamali Bakery,Bakery and Cake Shop,Bakery and Cake Shop,Bakery and Cake Shop,756133,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Sukleswar B.O, Chandbali S.O, Tentulidihi B.O",N/A,N/A,4.3,6.0,"SH 9, Binataro, Chandbali, Odisha 756133",756133,20.7710004,86.7335274,ChIJgxBJq5KXGzoRo2kaq-2SpmQ,https://www.google.com/maps/place/?q=place_id:ChIJgxBJq5KXGzoRo2kaq-2SpmQ,part_344,2026-09-20 20:17:46,454
"Mio Amore ,The Cake Shop",Bakery and Cake Shop,Bakery and Cake Shop,Bakery and Cake Shop,756133,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Sukleswar B.O, Chandbali S.O, Tentulidihi B.O",+91 90905 53011,N/A,4.2,548.0,"Bypass Chacck, Bankashi, Bhadrak, Odisha 756100",Bankashi,21.072029399999998,86.5067689,ChIJ3ft-QyUJHDoRZavfX29GPIM,https://www.google.com/maps/place/?q=place_id:ChIJ3ft-QyUJHDoRZavfX29GPIM,part_344,2026-09-20 20:17:46,455
The Cake Gallery ( Home Made Fresh Cake),Bakery and Cake Shop,Cake shop,"Cake shop, Bakery and Cake Shop",756133,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Sukleswar B.O, Chandbali S.O, Tentulidihi B.O",+91 80105 60354,N/A,4.9,41.0,"Shalindi colony, Karuna Marg, opposite Behera clinic, near Sangam conventions, Bankashi, Bhadrak, Odisha 756100",Bankashi,21.0695615,86.5142436,ChIJ73tkqqwLHDoRWUn43KHrb10,https://www.google.com/maps/place/?q=place_id:ChIJ73tkqqwLHDoRWUn43KHrb10,part_344,2026-09-20 20:17:46,456
Odisha Bakery House,Bakery and Cake Shop,Bakery and Cake Shop,Bakery and Cake Shop,756133,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Sukleswar B.O, Chandbali S.O, Tentulidihi B.O",+91 89175 84326,https://odishabakeryhouse.com/,4.6,13.0,"XJJV+XXR College, chhak, near College Chak, Tihidi Bazar, Tihidi, Odisha 756130",Tihidi Bazar,20.982492,86.644921,ChIJISHpEv2LGzoR9-ETa3llbvk,https://www.google.com/maps/place/?q=place_id:ChIJISHpEv2LGzoR9-ETa3llbvk,part_344,2026-09-20 20:17:46,457
JAGANNATH CHAI SHOP,Bakery and Cake Shop,Bakery and Cake Shop,Bakery and Cake Shop,756133,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Sukleswar B.O, Chandbali S.O, Tentulidihi B.O",N/A,N/A,5.0,1.0,"QPMF+FQ8, Baligaon, Odisha 756133",756133,20.7836578,86.7244625,ChIJ9SJrUgCRGzoRahO2bVcDupc,https://www.google.com/maps/place/?q=place_id:ChIJ9SJrUgCRGzoRahO2bVcDupc,part_344,2026-09-20 20:17:46,458
Chandan Bakery,Bakery and Cake Shop,Cake shop,Cake shop,756133,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Sukleswar B.O, Chandbali S.O, Tentulidihi B.O",+91 95564 55852,N/A,5.0,5.0,"Chandan Bakery, Main Road, near Sebasahi Chaka, Rajkanika, Gangadharpur, Odisha 754220",756133,20.740073199999998,86.7063338,ChIJoztvMVCXGzoRfCpY1mnUzCk,https://www.google.com/maps/place/?q=place_id:ChIJoztvMVCXGzoRfCpY1mnUzCk,part_344,2026-09-20 20:17:46,459
AYUSH BAKERY AND SWEETS,Bakery and Cake Shop,Bakery and Cake Shop,"Bakery and Cake Shop, Cake shop, Sweet shop",756133,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Sukleswar B.O, Chandbali S.O, Tentulidihi B.O",+91 94373 11286,N/A,3.9,235.0,"Goshala Market complex, New Bus stand road, behind Sani Tample, Bhadrak, Odisha 756100",Gabasahi,21.0686964,86.4955366,ChIJSSx6_RoKHDoRKd6l5OCmPcs,https://www.google.com/maps/place/?q=place_id:ChIJSSx6_RoKHDoRKd6l5OCmPcs,part_344,2026-09-20 20:17:46,460
Odisha bakery house,Bakery and Cake Shop,Bakery and Cake Shop,Bakery and Cake Shop,756133,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Sukleswar B.O, Chandbali S.O, Tentulidihi B.O",N/A,N/A,5.0,2.0,"3G2C+778 Hari Chhak, Bus Stop, ALAL PUR CHHAK, Puruna Bazar, Bhadrak, Odisha 756100",Puruna Bazar,21.0505459,86.5206733,ChIJJdbiWwD1GzoR9sh-9REBI2I,https://www.google.com/maps/place/?q=place_id:ChIJJdbiWwD1GzoR9sh-9REBI2I,part_344,2026-09-20 20:17:46,461
