business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Heaven Beauty Salon & Makeup Studio,Salon,Beauty Parlour,Beauty Parlour,756133,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Sukleswar B.O, Chandbali S.O, Tentulidihi B.O",+91 93378 29077,N/A,4.9,16.0,"near Bus Stop, Chandbali, Odisha 756133",756133,20.774016,86.743693,ChIJQdrqbW6ZGzoRneJ_I5rUwu8,https://www.google.com/maps/place/?q=place_id:ChIJQdrqbW6ZGzoRneJ_I5rUwu8,part_344,2026-09-20 20:18:05,2262
Jayanti Beauty parlour,Salon,Beauty Parlour,Beauty Parlour,756133,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Sukleswar B.O, Chandbali S.O, Tentulidihi B.O",+91 98271 12885,http://www.jayantibeautisalon.com/,4.8,10.0,"near jagannath Bhandar, panchapada, Chandbali, Odisha 756133",panchapada,20.781110599999998,86.7470048,ChIJk5GVQjyZGzoRGUnsAfP8rAc,https://www.google.com/maps/place/?q=place_id:ChIJk5GVQjyZGzoRGUnsAfP8rAc,part_344,2026-09-20 20:18:05,2263
Hallo Hair Care gents parlour,Salon,Barber shop,Barber shop,756133,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Sukleswar B.O, Chandbali S.O, Tentulidihi B.O",+91 91782 93762,N/A,4.7,112.0,"Indian oil franta, Chandbali, Odisha 756133",756133,20.7759921,86.74218979999999,ChIJ-f9Q5v-ZGzoRtFcWoPzx--Q,https://www.google.com/maps/place/?q=place_id:ChIJ-f9Q5v-ZGzoRtFcWoPzx--Q,part_344,2026-09-20 20:18:05,2264
Smile beauty parlour chandbali hussain market complex,Salon,Beauty Parlour,Beauty Parlour,756133,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Sukleswar B.O, Chandbali S.O, Tentulidihi B.O",+91 70086 99692,N/A,3.0,4.0,"hussain market complex, Chandbali, Odisha 756133",756133,20.774016,86.743693,ChIJ191MT1mZGzoRCeH9_DhYcs4,https://www.google.com/maps/place/?q=place_id:ChIJ191MT1mZGzoRCeH9_DhYcs4,part_344,2026-09-20 20:18:05,2265
Royal Style gents Parlour,Salon,Barber shop,Barber shop,756133,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Sukleswar B.O, Chandbali S.O, Tentulidihi B.O",+91 84560 11050,N/A,5.0,11.0,"Chandbali, Odisha 756133",756133,20.7785136,86.7427424,ChIJ2QzffQmbGzoRn84m48i9wOM,https://www.google.com/maps/place/?q=place_id:ChIJ2QzffQmbGzoRn84m48i9wOM,part_344,2026-09-20 20:18:05,2266
DEVRAJ SALON,Salon,Barber shop,Barber shop,756133,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Sukleswar B.O, Chandbali S.O, Tentulidihi B.O",+91 76099 74809,N/A,,,"auto stand, Motto oil india, chandballi rood, chaka, Bhadrak, Motto, Odisha 756132",chaka,20.8536051,86.76733999999999,ChIJSw_-YyqbGzoRPRSas-drt0o,https://www.google.com/maps/place/?q=place_id:ChIJSw_-YyqbGzoRPRSas-drt0o,part_344,2026-09-20 20:18:05,2267
BAJARANGI JENTS PARLOUR,Salon,Beauty Parlour,Beauty Parlour,756133,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Sukleswar B.O, Chandbali S.O, Tentulidihi B.O",+91 82495 27484,N/A,,,"QQJH+PCQ, Chandbali-Dhamara Rd, Ambiligan, Odisha 756133",756133,20.7818443,86.7786051,ChIJXbgevSuaGzoR_H8ypiu2dNI,https://www.google.com/maps/place/?q=place_id:ChIJXbgevSuaGzoR_H8ypiu2dNI,part_344,2026-09-20 20:18:05,2268
STYLE POINTE,Salon,Beauty Parlour,Beauty Parlour,756133,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Sukleswar B.O, Chandbali S.O, Tentulidihi B.O",N/A,N/A,,,"QPFR+Q9F, Hatapati, Chandbali, Odisha 756133",Hatapati,20.7744258,86.740916,ChIJh1hZcFWXGzoREuwe_BQ2jqg,https://www.google.com/maps/place/?q=place_id:ChIJh1hZcFWXGzoREuwe_BQ2jqg,part_344,2026-09-20 20:18:05,2269
Vivid Hair Salon & Spa,Salon,Barber shop,"Barber shop, Massage spa, Massage therapist, Hairdresser",756133,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Sukleswar B.O, Chandbali S.O, Tentulidihi B.O",+91 99385 84858,http://www.vividsalonindia.com/,4.5,139.0,"1st Floor, Nayabazar, Odisha 756100",Naripur,21.0660925,86.50211809999999,ChIJFxz0_-0LHDoRZCZdCvJUaM8,https://www.google.com/maps/place/?q=place_id:ChIJFxz0_-0LHDoRZCZdCvJUaM8,part_344,2026-09-20 20:18:06,2270
Lavanya Beauty Parlour,Salon,Beauty Parlour,Beauty Parlour,756133,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Sukleswar B.O, Chandbali S.O, Tentulidihi B.O",+91 87637 82010,http://m.facebook.com/sangeeta.mohanty.71404?_rdr,3.9,64.0,"3F6X+W56, Naripur, Bhadrak, Odisha 756100",Naripur,21.0622866,86.4978953,ChIJZ-V7Pf8JHDoRTEyrvILpXXE,https://www.google.com/maps/place/?q=place_id:ChIJZ-V7Pf8JHDoRTEyrvILpXXE,part_344,2026-09-20 20:18:06,2271
