business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Radhagobind Enterprises,Shopping Mall Operators,Shopping mall,Shopping mall,756133,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Sukleswar B.O, Chandbali S.O, Tentulidihi B.O",N/A,N/A,3.7,,"3J5Q+J57, Andrai, Haripur, Odisha 756123",756133,21.059049899999998,86.6379212,ChIJde3EwgKLGzoRDw4ovdcXTQI,https://www.google.com/maps/place/?q=place_id:ChIJde3EwgKLGzoRDw4ovdcXTQI,part_344,2026-09-20 20:18:26,4778
Mill Square;garadpur,Shopping Mall Operators,Shopping mall,Shopping mall,756133,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Sukleswar B.O, Chandbali S.O, Tentulidihi B.O",N/A,N/A,4.9,,"2GP9+V67, Unnamed Road, Majhi Sahi, Garadpur, Bhadrak, Odisha 756181","Majhi Sahi, Garadpur",21.0371717,86.5180317,ChIJ2S4h4-r1GzoRYE4mBln-gJQ,https://www.google.com/maps/place/?q=place_id:ChIJ2S4h4-r1GzoRYE4mBln-gJQ,part_344,2026-09-20 20:18:26,4779
Sanjay super market,Shopping Mall Operators,Shopping mall,Shopping mall,756133,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Sukleswar B.O, Chandbali S.O, Tentulidihi B.O",N/A,N/A,5.0,,"4FCG+C2C, Jalanga, Odisha 756101",756133,21.1210679,86.47500939999999,ChIJ6Vs8EAAJHDoRuy2aSd4h7g4,https://www.google.com/maps/place/?q=place_id:ChIJ6Vs8EAAJHDoRuy2aSd4h7g4,part_344,2026-09-20 20:18:26,4780
Esplanade Mall Bhubaneswar,Shopping Mall Operators,Shopping mall,Shopping mall,756133,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Sukleswar B.O, Chandbali S.O, Tentulidihi B.O",N/A,N/A,4.6,2162.0,"1st Floor, 721, Triumph International Pvt Ltd, The Nexus Explanade Mall Unit no, F-02, Rasulgarh, Bhubaneswar, Odisha 751010","Rasulgarh Industrial Estate, Industrial Area Estate, Rasulgarh",20.2913826,85.85625,ChIJ5dqpCC8LGToRaWTnl3QOZkE,https://www.google.com/maps/place/?q=place_id:ChIJ5dqpCC8LGToRaWTnl3QOZkE,part_344,2026-09-20 20:18:27,4781
Symphony Mall,Shopping Mall Operators,Shopping mall,Shopping mall,756133,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Sukleswar B.O, Chandbali S.O, Tentulidihi B.O",+91 63707 03390,http://www.symphonymall.com/,4.2,5246.0,"8VFJ+3QR, Plot No 149, Hansapal, Rudrapur, Bhubaneswar, Odisha 751035",Hansapal,20.322820699999998,85.881911,ChIJ41mlc6ILGToR3RFaAoql8To,https://www.google.com/maps/place/?q=place_id:ChIJ41mlc6ILGToR3RFaAoql8To,part_344,2026-09-20 20:18:27,4782
SAi GROCERY SHOP,Shopping Mall Operators,Shopping mall,Shopping mall,756133,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Sukleswar B.O, Chandbali S.O, Tentulidihi B.O",N/A,N/A,4.0,1.0,"3GV5+4V2, Bhadrak, Charampa, Odisha 756101",756133,21.0927711,86.5096301,ChIJw1rFUwALHDoRjbKFuc5nN6k,https://www.google.com/maps/place/?q=place_id:ChIJw1rFUwALHDoRjbKFuc5nN6k,part_344,2026-09-20 20:18:27,4783
Suru Complex,Shopping Mall Operators,Shopping mall,Shopping mall,756133,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Sukleswar B.O, Chandbali S.O, Tentulidihi B.O",N/A,N/A,3.4,21.0,"C5X2+HXV, Padiabahal, Odisha 768112",756133,21.4489786,84.1524122,ChIJ5elVETcMIToRRWcgTIKDSwI,https://www.google.com/maps/place/?q=place_id:ChIJ5elVETcMIToRRWcgTIKDSwI,part_344,2026-09-20 20:18:27,4784
CROSSROAD Mall,Shopping Mall Operators,Shopping mall,Shopping mall,756133,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Sukleswar B.O, Chandbali S.O, Tentulidihi B.O",N/A,N/A,4.0,1249.0,"Railway Station, Junction, Madhusudan Marg, Daily Market, Udit Nagar, Rourkela, Odisha 769001","Daily Market, Udit Nagar",22.226635599999998,84.86417829999999,ChIJlZFgfcYfIDoRJAlZ1OnvJ58,https://www.google.com/maps/place/?q=place_id:ChIJlZFgfcYfIDoRJAlZ1OnvJ58,part_344,2026-09-20 20:18:27,4785
Baazar Kolkata - Sambalpur,Shopping Mall Operators,Shopping mall,"Shopping mall, Children's clothing store, Clothing store, Clothing Accessories Store, Men's clothing store, Outlet mall, Women's clothing store",756133,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Sukleswar B.O, Chandbali S.O, Tentulidihi B.O",+91 93382 58326,https://www.baazarkolkata.com/,4.0,3007.0,"Nua Pada, |GOLE BAZAR, |SAMBALPUR, Dhenkanal, Sambalpur, Odisha 768001","|GOLE BAZAR, |SAMBALPUR",21.4636389,83.9738452,ChIJyaOCxX8WIToRbpYiYJilhag,https://www.google.com/maps/place/?q=place_id:ChIJyaOCxX8WIToRbpYiYJilhag,part_344,2026-09-20 20:18:27,4786
Avani Riverside Mall,Shopping Mall Operators,Shopping mall,Shopping mall,756133,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Sukleswar B.O, Chandbali S.O, Tentulidihi B.O",+91 90739 79799,http://avaniriversidemall.com/,4.4,47696.0,"32, Jagat Banerjee Ghat Rd, Choura Bustee, Shibpur, Howrah, West Bengal 711102","Choura Bustee, Shibpur",22.5632174,88.3237031,ChIJayOFSyt4AjoRQ_43-wtnMPk,https://www.google.com/maps/place/?q=place_id:ChIJayOFSyt4AjoRQ_43-wtnMPk,part_344,2026-09-20 20:18:27,4787
Yogamaya Variety Store,Shopping Mall Operators,Sanitary inspection,Sanitary inspection,756133,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Sukleswar B.O, Chandbali S.O, Tentulidihi B.O",+91 98530 04645,N/A,4.3,3.0,"QPGR+6M2, Chandbali, Odisha 756133",756133,20.7755248,86.7416396,ChIJqd4X4P-ZGzoRBJ1hZMjHJmQ,https://www.google.com/maps/place/?q=place_id:ChIJqd4X4P-ZGzoRBJ1hZMjHJmQ,part_344,2026-09-20 20:18:28,4788
New market complex,Shopping Mall Operators,Shopping mall,Shopping mall,756134,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Antara B.O, Ada S.O, Barada B.O",N/A,N/A,4.1,41.0,"New market complex, Fakir Mohan Golei, Balasore, Odisha 756001",Manikhamb,21.5028625,86.924521,ChIJDwH13K_1HDoRs7n1oiD6QdA,https://www.google.com/maps/place/?q=place_id:ChIJDwH13K_1HDoRs7n1oiD6QdA,part_344,2026-09-20 20:19:14,9713
Pradhan Market Complex,Shopping Mall Operators,Shopping mall,Shopping mall,756134,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Antara B.O, Ada S.O, Barada B.O",+91 90909 37494,N/A,3.6,37.0,"GW22+7PF, Artung, Balia, Baleshwar, Odisha 756056","Artung, Balia",21.5006862,86.9017885,ChIJ92CG_H1fHDoRM4W-chVkhiY,https://www.google.com/maps/place/?q=place_id:ChIJ92CG_H1fHDoRM4W-chVkhiY,part_344,2026-09-20 20:19:14,9714
WELLSHOWN MART,Shopping Mall Operators,Shopping mall,Shopping mall,756134,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Antara B.O, Ada S.O, Barada B.O",N/A,N/A,3.7,33.0,"GW47+2W8, Sahadevkhuntha, Balia, Balasore, Odisha 756001","Sahadevkhuntha, Balia",21.5050271,86.91483769999999,ChIJjc3YMMH1HDoRpxbbX43Gs8M,https://www.google.com/maps/place/?q=place_id:ChIJjc3YMMH1HDoRpxbbX43Gs8M,part_344,2026-09-20 20:19:14,9715
COSMO BAZAAR BASUDEVPUR,Shopping Mall Operators,Shopping mall,Shopping mall,756134,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Antara B.O, Ada S.O, Barada B.O",+91 90077 49820,N/A,3.4,16.0,"Basudebpur, Odisha 756125",756134,21.1260296,86.73794869999999,ChIJCXMnlzJ3HDoR3i_O81MgsTE,https://www.google.com/maps/place/?q=place_id:ChIJCXMnlzJ3HDoR3i_O81MgsTE,part_344,2026-09-20 20:19:15,9716
Chhakabazar kamarda,Shopping Mall Operators,Shopping mall,Shopping mall,756134,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Antara B.O, Ada S.O, Barada B.O",+91 99373 73588,N/A,4.2,43.0,"Q935+5WJ, Kamarda, Kasaba Kamarda, Odisha 756035",756134,21.754138599999997,87.36258869999999,ChIJUYsGFe3ZHDoRb9vJHHf2HM0,https://www.google.com/maps/place/?q=place_id:ChIJUYsGFe3ZHDoRb9vJHHf2HM0,part_344,2026-09-20 20:19:15,9717
Raman Shoes Repair Shop,Shopping Mall Operators,Shopping mall,Shopping mall,756134,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Antara B.O, Ada S.O, Barada B.O",N/A,N/A,5.0,1.0,"FWP8+822, Mallikashpur, Karanjia, Balasore, Odisha 756001",Mallikashpur,21.4857643,86.91502679999999,ChIJSZvrACb1HDoRrKfdd4ZLdes,https://www.google.com/maps/place/?q=place_id:ChIJSZvrACb1HDoRrKfdd4ZLdes,part_344,2026-09-20 20:19:15,9718
Kalia Pana Shop,Shopping Mall Operators,Shopping mall,Shopping mall,756137,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Asurali S.O, Fatepur B.O, Gadiali B.O",N/A,N/A,3.6,15.0,"XF7C+6QV, Chudakuti, Palasa, Odisha 756117",Chudakuti,20.9631072,86.4719301,ChIJ3SmpkFz3GzoRXRdAdfwWNyk,https://www.google.com/maps/place/?q=place_id:ChIJ3SmpkFz3GzoRXRdAdfwWNyk,part_344,2026-09-20 20:20:42,13842
Maa Durga Verity Stor (Manoj Kundu),Shopping Mall Operators,Shopping mall,Shopping mall,756137,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Asurali S.O, Fatepur B.O, Gadiali B.O",N/A,N/A,3.2,13.0,"XGRH+WQ7, Unnamed Road, Ganjamal, Odisha 756116",756137,20.992287899999997,86.5294354,ChIJVQMjUEP0GzoR0OUHKx1hHZw,https://www.google.com/maps/place/?q=place_id:ChIJVQMjUEP0GzoR0OUHKx1hHZw,part_344,2026-09-20 20:20:42,13843
Aruha Market Bhadrakh,Shopping Mall Operators,Shopping mall,Shopping mall,756137,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Asurali S.O, Fatepur B.O, Gadiali B.O",N/A,N/A,3.9,16.0,"XM8M+WJM, CHOWK, BUS STOP Aruha, Odisha 756130",756137,20.967341299999998,86.6840509,ChIJy7OL636JGzoRzFYJTxYxYaM,https://www.google.com/maps/place/?q=place_id:ChIJy7OL636JGzoRzFYJTxYxYaM,part_344,2026-09-20 20:20:42,13844
Ranihat Market Complex,Shopping Mall Operators,Shopping mall,"Shopping mall, Market",756137,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Asurali S.O, Fatepur B.O, Gadiali B.O",N/A,N/A,4.0,799.0,"FV9Q+FCG, Bajrakabati Rd, Mangalabag, Kataka, Odisha 753001",Mangalabag,20.46869,85.8885899,ChIJH-r4wYENGToRzKvl6YkZ5S8,https://www.google.com/maps/place/?q=place_id:ChIJH-r4wYENGToRzKvl6YkZ5S8,part_344,2026-09-20 20:20:43,13845
Kalyani Market Complex,Shopping Mall Operators,Shopping mall,Shopping mall,756137,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Asurali S.O, Fatepur B.O, Gadiali B.O",N/A,N/A,3.8,84.0,"FV6J+6R4, Kathajodi Rd, Badambadi Colony, Kataka, Odisha 753009",Badambadi Colony,20.460505599999998,85.88207659999999,ChIJZw1dKZsNGToRdviAFFDp00I,https://www.google.com/maps/place/?q=place_id:ChIJZw1dKZsNGToRdviAFFDp00I,part_344,2026-09-20 20:20:43,13846
V2 retail limited,Shopping Mall Operators,Clothing store,Clothing store,756137,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Asurali S.O, Fatepur B.O, Gadiali B.O",+91 11 4177 1850,https://www.v2retail.com/store_locator/bhadrak-store/,3.7,13.0,"3GC2+WVP, Banka sahi Bypass, Gabasahi, Bhadrak, Odisha 756100",Gabasahi,21.072345199999997,86.5022035,ChIJGdMO6cYLHDoR5MSMnQ3Z9gY,https://www.google.com/maps/place/?q=place_id:ChIJGdMO6cYLHDoR5MSMnQ3Z9gY,part_344,2026-09-20 20:20:44,13847
Netaji Subash Chandra Bose Arcade,Shopping Mall Operators,Shopping mall,Shopping mall,756137,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Asurali S.O, Fatepur B.O, Gadiali B.O",N/A,N/A,4.3,16.0,"FV99+5JJ, Jail Rd, Oriya Bazar, Kataka, Odisha 753001",Oriya Bazar,20.4679503,85.8690307,ChIJ9f8K3sMNGToRO_YtoaeKVnA,https://www.google.com/maps/place/?q=place_id:ChIJ9f8K3sMNGToRO_YtoaeKVnA,part_344,2026-09-20 20:20:44,13848
Maa Shopping Mall,Shopping Mall Operators,Clothing store,Clothing store,756138,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Aradi S.O, Batula B.O, Bhuinpur B.O",N/A,N/A,4.6,142.0,"Maa Shopping Mall, Satya Vihar Marg, near Bazar Kolkata, Satya Vihar, Rasulgarh, Bhubaneswar, Odisha 751010","Satya Vihar, Rasulgarh",20.3083523,85.8708755,ChIJI3Cil20LGToRWkBf6vKPh58,https://www.google.com/maps/place/?q=place_id:ChIJI3Cil20LGToRWkBf6vKPh58,part_344,2026-09-20 20:21:26,14813
Chandralok Market Complex,Shopping Mall Operators,Shopping mall,Shopping mall,756139,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Arsa S.O, Bidyadharpur B.O, Talapada B.O",N/A,N/A,3.8,199.0,"SCR-19, CHANDRALOK MARKET ATM CHHAK, HIG Colony, Niladri Vihar, Chandrasekharpur, Bhubaneswar, Odisha 751021","HIG Colony, Niladri Vihar, Chandrasekharpur",20.3275693,85.81225359999999,ChIJN7EmGqoJGToRpt_Y-Z-lxa0,https://www.google.com/maps/place/?q=place_id:ChIJN7EmGqoJGToRpt_Y-Z-lxa0,part_344,2026-09-20 20:22:10,15646
Panda Marketing Complex,Shopping Mall Operators,Shopping mall,"Shopping mall, Book store, Boutique, Fast food restaurant, Snack bar, Tea store",756165,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Brahmanigaon S.O, Bachhipur B.O, Kiapada B.O",N/A,N/A,4.1,,"7QFH+7WF, Haldiapadar, Ralaba, Odisha 760003",Haldiapadar,19.2731787,84.77978569999999,ChIJIeiQuM5aPToRnUONOVTcyvM,https://www.google.com/maps/place/?q=place_id:ChIJIeiQuM5aPToRnUONOVTcyvM,part_344,2026-09-20 20:25:45,20097
Rasulgarh Mall,Shopping Mall Operators,Shopping mall,Shopping mall,756166,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Balikhanda S.O, Kalaspur B.O, Kanchpada B.O",N/A,N/A,4.4,,"7VR4+9G5, Cuttack - Puri Rd, Rasulgarh Industrial Estate, Industrial Area Estate, Rasulgarh, Bhubaneswar, Odisha 751010","Rasulgarh Industrial Estate, Industrial Area Estate, Rasulgarh",20.2914754,85.85588179999999,ChIJB3dBTp8LGToRetptZ2zTNFM,https://www.google.com/maps/place/?q=place_id:ChIJB3dBTp8LGToRetptZ2zTNFM,part_344,2026-09-20 20:26:29,21929
Forum Mart,Shopping Mall Operators,Shopping mall,Shopping mall,756166,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Balikhanda S.O, Kalaspur B.O, Kanchpada B.O",+91 1800 11 1363,N/A,4.2,,"7RHW+84X, Industrial Area, Kharvela Nagar, Bhubaneswar, Odisha 751001","Industrial Area, Kharvela Nagar",20.2783747,85.8453445,ChIJ62guZsWnGToR8bxHJMQa_tY,https://www.google.com/maps/place/?q=place_id:ChIJ62guZsWnGToR8bxHJMQa_tY,part_344,2026-09-20 20:26:29,21930
Unitech Ltd's Mall Bhubaneswar 1,Shopping Mall Operators,Shopping mall,Shopping mall,756166,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Balikhanda S.O, Kalaspur B.O, Kanchpada B.O",+91 99370 13219,http://www.unitechgroup.com/retail-projects/bhubaneswar/bbsr1.asp,4.3,,"Press Chhak, Samanta Vihar, Gajapati Nagar, Bhubaneswar, Odisha 751017","Samanta Vihar, Gajapati Nagar",20.3152079,85.82781039999999,ChIJc0E9d70JGToRPvtJJADQdQc,https://www.google.com/maps/place/?q=place_id:ChIJc0E9d70JGToRPvtJJADQdQc,part_344,2026-09-20 20:26:29,21931
Suruchi Bazar Bhubaneswar,Shopping Mall Operators,Shopping mall,Shopping mall,756166,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Balikhanda S.O, Kalaspur B.O, Kanchpada B.O",+91 70777 00593,https://suruchibazar.com/,4.0,,"322, near Amway India, District Center, Chandrasekharpur, Bhubaneswar, Odisha 751016","District Center, Chandrasekharpur",20.3263003,85.8180165,ChIJa_JSZVgJGToR2yQCr9KCA2Q,https://www.google.com/maps/place/?q=place_id:ChIJa_JSZVgJGToR2yQCr9KCA2Q,part_344,2026-09-20 20:26:29,21932
Market Building (Unit 2),Shopping Mall Operators,Shopping mall,Shopping mall,756166,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Balikhanda S.O, Kalaspur B.O, Kanchpada B.O",+91 74392 14242,N/A,4.4,,"Unit-2, Ashok Nagar, Bhubaneswar, Odisha 751009","Unit-2, Ashok Nagar",20.263646299999998,85.83506779999999,ChIJ8xX_DVinGToRESpE9xz_Op4,https://www.google.com/maps/place/?q=place_id:ChIJ8xX_DVinGToRESpE9xz_Op4,part_344,2026-09-20 20:26:29,21933
