business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Sanjukta's kitchen,South Indian Restaurant,Restaurant,Restaurant,756133,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Sukleswar B.O, Chandbali S.O, Tentulidihi B.O",+91 79785 55613,N/A,4.4,10.0,"1, Bhadrak, Odisha 756100",Naripur,21.0637193,86.4983924,ChIJoVq_TFEJHDoRpLt9TpoTi_4,https://www.google.com/maps/place/?q=place_id:ChIJoVq_TFEJHDoRpLt9TpoTi_4,part_344,2026-09-20 20:17:46,370
HOTEL AMBIKA,South Indian Restaurant,Hotel,Hotel,756133,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Sukleswar B.O, Chandbali S.O, Tentulidihi B.O",+91 73817 48045,N/A,4.0,519.0,"Badabazar, Chandbali, Simulia, Odisha 756133",Badabazar,20.7709428,86.7331217,ChIJCVHY1mGZGzoRbGIpZLpqyJE,https://www.google.com/maps/place/?q=place_id:ChIJCVHY1mGZGzoRbGIpZLpqyJE,part_344,2026-09-20 20:17:46,371
AAMAR KOSHALI GHAR (Restaurant),South Indian Restaurant,Restaurant,"Restaurant, Cafe, Dhaba, Hotel",756133,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Sukleswar B.O, Chandbali S.O, Tentulidihi B.O",+91 90407 07871,http://akg.inmyarea.in/,4.9,,"2ND STALL, JAIN HEIGHTS, Railway, Station Rd, in front of RAILWAY STATION, Titilagarh, Odisha 767033",756133,20.285386499999998,83.1547775,ChIJbaJPVL5ZJDoR7aY3CzbILZA,https://www.google.com/maps/place/?q=place_id:ChIJbaJPVL5ZJDoR7aY3CzbILZA,part_344,2026-09-20 20:17:47,372
Hussain Guest House,South Indian Restaurant,Hotel,Hotel,756133,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Sukleswar B.O, Chandbali S.O, Tentulidihi B.O",+91 99385 35380,N/A,4.1,,"QPFQ+HXF, Chandbali, Odisha 756133",756133,20.7739437,86.73991149999999,ChIJB4OuBTSXGzoRlN725QKzdBI,https://www.google.com/maps/place/?q=place_id:ChIJB4OuBTSXGzoRlN725QKzdBI,part_344,2026-09-20 20:17:47,373
South India Stall & Tiffin,South Indian Restaurant,Fast food restaurant,Fast food restaurant,756133,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Sukleswar B.O, Chandbali S.O, Tentulidihi B.O",N/A,N/A,5.0,,"PMJX+C7G, Cherantapada, Odisha 754220",756133,20.7310566,86.6982087,ChIJM3DrhY6XGzoRv3zWNdUuy_o,https://www.google.com/maps/place/?q=place_id:ChIJM3DrhY6XGzoRv3zWNdUuy_o,part_344,2026-09-20 20:17:47,374
USV's South Indian Restaurant,South Indian Restaurant,South Indian restaurant,South Indian restaurant,756133,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Sukleswar B.O, Chandbali S.O, Tentulidihi B.O",+91 94372 73377,N/A,4.1,,"Chandini Chowk, Kataka, Odisha 753002",Chandini Chowk,20.4672598,85.8571971,ChIJ6cLOMf8NGToR_LNk-qMoFM4,https://www.google.com/maps/place/?q=place_id:ChIJ6cLOMf8NGToR_LNk-qMoFM4,part_344,2026-09-20 20:17:48,375
Anna Idli,South Indian Restaurant,South Indian restaurant,South Indian restaurant,756133,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Sukleswar B.O, Chandbali S.O, Tentulidihi B.O",+91 87999 04089,N/A,4.6,,"3/5, Lodhipara Chowk, Plot No. 3/4, Pandri Rd, near Damro Furniture, Raipur, Chhattisgarh 492004",Govind Nagar,21.2603677,81.657094,ChIJibE9YgDdKDoRNbGRRDZN_Kw,https://www.google.com/maps/place/?q=place_id:ChIJibE9YgDdKDoRNbGRRDZN_Kw,part_344,2026-09-20 20:17:48,376
ରେଲିସ - ଭଦ୍ରକ,South Indian Restaurant,South Indian restaurant,"South Indian restaurant, Indian sweets shop, Odia restaurant",756134,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Antara B.O, Ada S.O, Barada B.O",+91 89081 53111,https://www.instagram.com/reel/DQ9WLL5D_QN/,4.4,236.0,"11, Naripur, Bhadrak, Odisha 756100",Naripur,21.064679299999998,86.50072709999999,ChIJv-_V2MQLHDoRcVdFYLUTP-g,https://www.google.com/maps/place/?q=place_id:ChIJv-_V2MQLHDoRcVdFYLUTP-g,part_344,2026-09-20 20:18:32,5487
Swayamprava Restaurant,South Indian Restaurant,Vegetarian restaurant,Vegetarian restaurant,756134,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Antara B.O, Ada S.O, Barada B.O",+91 94381 22094,https://menu.myrasoi.in/?restaurantId=cWJA_Ql9G&serviceMode=homeDelivery,4.0,496.0,"FM College Rd, near SBI ATM, Mallikashpur, Balasore, Odisha 756001",Mallikashpur,21.490909199999997,86.93306969999999,ChIJ2S_0XxH1HDoRDL-6xr67LiM,https://www.google.com/maps/place/?q=place_id:ChIJ2S_0XxH1HDoRDL-6xr67LiM,part_344,2026-09-20 20:18:32,5488
Julian Restaurant,South Indian Restaurant,Indian restaurant,Indian restaurant,756134,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Antara B.O, Ada S.O, Barada B.O",+91 82495 56536,https://julianrestaurant.in/,4.1,993.0,"Infront of reliance petrol pump, Ganeswerpur, Balasore, Odisha 756019","Kalidaspur, Balia",21.5127934,86.89998419999999,ChIJ-3uJSitZHDoRPHumINgkqmo,https://www.google.com/maps/place/?q=place_id:ChIJ-3uJSitZHDoRPHumINgkqmo,part_344,2026-09-20 20:18:32,5489
Hotel Aroma,South Indian Restaurant,Odia restaurant,Odia restaurant,756134,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Antara B.O, Ada S.O, Barada B.O",N/A,N/A,3.8,603.0,"Bankashi, Bhadrak, Odisha 756100",Bankashi,21.0701944,86.50478489999999,ChIJrS1KVBsKHDoRYlkaNj8OC3E,https://www.google.com/maps/place/?q=place_id:ChIJrS1KVBsKHDoRYlkaNj8OC3E,part_344,2026-09-20 20:18:32,5490
