business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Chanda Motor Workshop (Er sk farhan ),Car Repair Workshop and Garage,Auto repair shop,"Auto repair shop, Used car dealer",756134,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Antara B.O, Ada S.O, Barada B.O",+91 99380 69811,N/A,4.6,,"Bhadrak, Charampa, Odisha 756101",756134,21.0812949,86.5147278,ChIJt3mgEhYKHDoR1T3ITgfIrSQ,https://www.google.com/maps/place/?q=place_id:ChIJt3mgEhYKHDoR1T3ITgfIrSQ,part_344,2026-09-20 20:18:43
Sankarsan Lenka's Dokan And Garage,Car Repair Workshop and Garage,Garage,Garage,756134,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Antara B.O, Ada S.O, Barada B.O",+91 95563 73921,N/A,4.2,,"7JFM+V66, Bainchabanka, Odisha 756045",756134,21.2746535,86.6330224,ChIJN1iJ1pdtHDoRSHbttQnRoe8,https://www.google.com/maps/place/?q=place_id:ChIJN1iJ1pdtHDoRSHbttQnRoe8,part_344,2026-09-20 20:18:43
Maa Santoshi Auto Parts,Car Repair Workshop and Garage,Auto repair shop,Auto repair shop,756134,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Antara B.O, Ada S.O, Barada B.O",N/A,N/A,5.0,,"7FH4+4GQ, Kupari - Soro Rd, Churnati, Nahanga, Odisha 756048",756134,21.2778459,86.45637339999999,ChIJuXN8ZAARHDoR5O-luRtC7Cg,https://www.google.com/maps/place/?q=place_id:ChIJuXN8ZAARHDoR5O-luRtC7Cg,part_344,2026-09-20 20:18:43
Munna Garage,Car Repair Workshop and Garage,Auto repair shop,Auto repair shop,756134,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Antara B.O, Ada S.O, Barada B.O",+91 97760 65656,N/A,5.0,,"3G7C+F83, Puruna Bazar, Bhadrak, Odisha 756100",Puruna Bazar,21.0633896,86.52125459999999,ChIJlcTFmMgLHDoRIaHNxdVkWWQ,https://www.google.com/maps/place/?q=place_id:ChIJlcTFmMgLHDoRIaHNxdVkWWQ,part_344,2026-09-20 20:18:43
Sarkar battery house,Car Repair Workshop and Garage,Car battery store,Car battery store,756134,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Antara B.O, Ada S.O, Barada B.O",+91 63717 14260,N/A,5.0,,"RMC MARKET, Bankashi, Bhadrak, Odisha 756100",Bankashi,21.0667045,86.5142264,ChIJCarya-ULHDoRP0DpaEVEeY8,https://www.google.com/maps/place/?q=place_id:ChIJCarya-ULHDoRP0DpaEVEeY8,part_344,2026-09-20 20:18:43
QUADRI TVS AUTO PARTS AND GARAGE,Car Repair Workshop and Garage,Garage,Garage,756134,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Antara B.O, Ada S.O, Barada B.O",N/A,N/A,,,"NEW, BUS STAND ROAD, Gabasahi, Bhadrak, Odisha 756100",Gabasahi,21.072246999999997,86.50176979999999,ChIJUVeiPLMLHDoRA_GWdRcKlPI,https://www.google.com/maps/place/?q=place_id:ChIJUVeiPLMLHDoRA_GWdRcKlPI,part_344,2026-09-20 20:18:43
MAK Body BUILDER WORK SHOP,Car Repair Workshop and Garage,Auto bodywork mechanic,Auto bodywork mechanic,756134,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Antara B.O, Ada S.O, Barada B.O",N/A,N/A,1.0,,"Dahani gadhia, Bhadrak, Odisha 756101",756134,21.0792823,86.51192379999999,ChIJ8QCYKuj1GzoR5zlqj-JuL2c,https://www.google.com/maps/place/?q=place_id:ChIJ8QCYKuj1GzoR5zlqj-JuL2c,part_344,2026-09-20 20:18:43
Siba auto workshop,Car Repair Workshop and Garage,Car repair and maintenance service,Car repair and maintenance service,756134,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Antara B.O, Ada S.O, Barada B.O",N/A,N/A,4.8,,"Daising, Odisha 756113",756134,21.1246793,86.4302074,ChIJs-rY0dYJHDoRyuKbJqAq_yg,https://www.google.com/maps/place/?q=place_id:ChIJs-rY0dYJHDoRyuKbJqAq_yg,part_344,2026-09-20 20:18:43
Bhaga Bike Garage,Car Repair Workshop and Garage,Two Wheeler Repair Shop,Two Wheeler Repair Shop,756134,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Antara B.O, Ada S.O, Barada B.O",N/A,N/A,5.0,,"6HP4+VWV, Raikula Rd, Ajipur, Odisha 756047",756134,21.2372288,86.5572971,ChIJCRbHpJMNHDoRmHHR7obcHls,https://www.google.com/maps/place/?q=place_id:ChIJCRbHpJMNHDoRmHHR7obcHls,part_344,2026-09-20 20:18:43
Bapi Garage,Car Repair Workshop and Garage,Auto repair shop,Auto repair shop,756134,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Antara B.O, Ada S.O, Barada B.O",+91 76829 87334,N/A,,,"Shop No -38 At, Po, near Shiva Temple, Khaira, Alada, Odisha 756048",Khaira,21.2791545,86.4592102,ChIJYSzHMK0RHDoRpjGtV_LAcgs,https://www.google.com/maps/place/?q=place_id:ChIJYSzHMK0RHDoRpjGtV_LAcgs,part_344,2026-09-20 20:18:43
