business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Lifeline Patholab,Diagnostic Center,Diagnostic center,Diagnostic center,756134,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Antara B.O, Ada S.O, Barada B.O",+91 73772 44954,N/A,5.0,,"8PXC+F7M, Road, Iswarpur, Andara, Odisha 756042",756134,21.3487158,86.7206645,ChIJMUUpMgBpHDoRm3LRMBlHnGo,https://www.google.com/maps/place/?q=place_id:ChIJMUUpMgBpHDoRm3LRMBlHnGo,part_344,2026-09-20 20:18:40
ANUPAMA DIAGNOSTICS CENTRE,Diagnostic Center,Diagnostic center,Diagnostic center,756134,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Antara B.O, Ada S.O, Barada B.O",N/A,N/A,5.0,,"Girl's High School, Station Rd, near to Markona, Ria, Markona, Odisha 756126",Ria,21.1888534,86.6038875,ChIJeVET2XJzHDoRqafnTQELmrs,https://www.google.com/maps/place/?q=place_id:ChIJeVET2XJzHDoRqafnTQELmrs,part_344,2026-09-20 20:18:40
MS SANJIBANI DIAGNOSTIC,Diagnostic Center,Diagnostic center,Diagnostic center,756134,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Antara B.O, Ada S.O, Barada B.O",+91 90909 29539,http://www.sanjibanidiagnostic.com/,,,"FCI RANITAL, Ranital Road, Odisha 756111",756134,21.145827099999998,86.55462469999999,ChIJIySQtxILHDoROsJEyRvZVZk,https://www.google.com/maps/place/?q=place_id:ChIJIySQtxILHDoROsJEyRvZVZk,part_344,2026-09-20 20:18:40
Maa Medical Store Gandibed bus Stand,Diagnostic Center,Medical diagnostic imaging center,Medical diagnostic imaging center,756134,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Antara B.O, Ada S.O, Barada B.O",+91 80182 52821,N/A,5.0,,"7GJM+HWC, Gandibed Road, Gandibed, Nandor, Odisha 756050",756134,21.2814312,86.53477939999999,ChIJLwiwY_ETHDoRubTe3bAndRE,https://www.google.com/maps/place/?q=place_id:ChIJLwiwY_ETHDoRubTe3bAndRE,part_344,2026-09-20 20:18:40
Krsnaa Diagnostics | Blood Test & Diagnostic Centre In Mathasahi,Diagnostic Center,Diagnostic center,"Diagnostic center, Blood testing service, HIV testing center, Medical diagnostic imaging center, Pathologist, STD testing service",756134,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Antara B.O, Ada S.O, Barada B.O",+91 20 6814 6814,https://krsnaadiagnostics.com/,,,"Motel Chhack, near Hotel Dixit Resort, Mathasahi, Gabasahi, Bhadrak, Mathasahi, Odisha 756100","Mathasahi, Gabasahi",21.0689714,86.49728859999999,ChIJKeQ2zboJHDoRvAnoic7z9pQ,https://www.google.com/maps/place/?q=place_id:ChIJKeQ2zboJHDoRvAnoic7z9pQ,part_344,2026-09-20 20:18:40
"Thyrocare Diagnostic Lab | Blood Test Centre - Astal Chhaka, Bhadrak",Diagnostic Center,Diagnostic center,Diagnostic center,756134,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Antara B.O, Ada S.O, Barada B.O",+91 88478 54803,https://www.thyrocare.com/,5.0,,"Shop No. 11, Astal Chhaka, near Rudra Health Care, Naripur, Bhadrak, Odisha 756100",Naripur,21.0648682,86.50067179999999,ChIJpxxBvKX1GzoRcvT26NOrEug,https://www.google.com/maps/place/?q=place_id:ChIJpxxBvKX1GzoRcvT26NOrEug,part_344,2026-09-20 20:18:40
Highway diagnostic medicine Markona,Diagnostic Center,Diagnostic center,Diagnostic center,756134,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Antara B.O, Ada S.O, Barada B.O",+91 90909 13479,N/A,,,"5JP4+7GC, NH 16, Markona, Odisha 756126",756134,21.1856843,86.6062608,ChIJv1gWr0hzHDoRvqwFVjooo8E,https://www.google.com/maps/place/?q=place_id:ChIJv1gWr0hzHDoRvqwFVjooo8E,part_344,2026-09-20 20:18:40
LabSure Diagnostics,Diagnostic Center,Diagnostic center,Diagnostic center,756134,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Antara B.O, Ada S.O, Barada B.O",N/A,N/A,,,"Chandbali By-pass Road, near Unani Hospital, Bankashi, Bhadrak, Odisha 756100",Bankashi,21.0659299,86.51683179999999,ChIJH_02_BoLHDoRrhoUNdH3ZL8,https://www.google.com/maps/place/?q=place_id:ChIJH_02_BoLHDoRrhoUNdH3ZL8,part_344,2026-09-20 20:18:40
"New Ommshanti Diagnostic Centre. ""Best Ultrasound Centre in Bhadrak""",Diagnostic Center,Diagnostic center,"Diagnostic center, Doctor",756134,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Antara B.O, Ada S.O, Barada B.O",+91 90400 66636,N/A,2.6,,"Bypass, Bankashi, Bhadrak, Odisha 756100",Bankashi,21.072080099999997,86.5076253,ChIJ21RmWr4LHDoRU8R0x6bbeWk,https://www.google.com/maps/place/?q=place_id:ChIJ21RmWr4LHDoRU8R0x6bbeWk,part_344,2026-09-20 20:18:40
"Thyrocare khaira,Odisha",Diagnostic Center,Diagnostic center,Diagnostic center,756134,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Antara B.O, Ada S.O, Barada B.O",+91 93379 91164,N/A,5.0,,"near Khaira Durga Mandap, Khaira, Talamahuri, Odisha 756048",756134,21.282036599999998,86.46526469999999,ChIJ-YK8QO4RHDoRlH43QJllpvg,https://www.google.com/maps/place/?q=place_id:ChIJ-YK8QO4RHDoRlH43QJllpvg,part_344,2026-09-20 20:18:40
