business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Hazi Makbul New Traders,Paint and Putty Dealer,Paint store,Paint store,756134,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Antara B.O, Ada S.O, Barada B.O",+91 88955 90811,https://sites.google.com/view/hazimakbulnewtraders,4.2,,"Chandan Bazar, Bankashi, Bhadrak, Odisha 756100","Chandan Bazar, Bankashi",21.059420199999998,86.5114291,ChIJKeHnOAgKHDoRG2DQjs42obg,https://www.google.com/maps/place/?q=place_id:ChIJKeHnOAgKHDoRG2DQjs42obg,part_344,2026-09-20 20:18:47
Nerolac Dealer - Piyush Paints And Hardware,Paint and Putty Dealer,Paint store,Paint store,756134,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Antara B.O, Ada S.O, Barada B.O",+91 97763 10640,https://www.nerolac.com/store-locator/orissa/bhadrak/piyush-paints-and-hardware?utm_source=google_maps&utm_medium=organic,5.0,,"3F9V+8Wf Motel Chhak, At, Gabasahi, Bhadrak, Odisha 756100",Gabasahi,21.0683146,86.4948434,ChIJz0isIIAJHDoRQQTR6L9irp8,https://www.google.com/maps/place/?q=place_id:ChIJz0isIIAJHDoRQQTR6L9irp8,part_344,2026-09-20 20:18:47
Shree Colour Mart,Paint and Putty Dealer,Paint store,Paint store,756134,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Antara B.O, Ada S.O, Barada B.O",+91 91246 70102,N/A,3.0,,"Master Babu Market Complex, Chha pula By-pass, Road, Bhadrak, Odisha 756100",Bankashi,21.074028,86.5087454,ChIJ8-tgaRoKHDoRAQ1G7YHPv7M,https://www.google.com/maps/place/?q=place_id:ChIJ8-tgaRoKHDoRAQ1G7YHPv7M,part_344,2026-09-20 20:18:47
BIKRAM SALES Asianpaints Colour,Paint and Putty Dealer,Paint store,Paint store,756134,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Antara B.O, Ada S.O, Barada B.O",+91 94372 00406,N/A,4.7,,"SH 9, Samaraipur, Bhadrak, Odisha 756100",Samaraipur,21.0588198,86.4945181,ChIJ33elphoJHDoRXGldAUAAJsU,https://www.google.com/maps/place/?q=place_id:ChIJ33elphoJHDoRXGldAUAAJsU,part_344,2026-09-20 20:18:47
FRIENDS Colour Mart,Paint and Putty Dealer,Paint store,"Paint store, Shopping mall",756134,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Antara B.O, Ada S.O, Barada B.O",+91 98619 87188,N/A,5.0,,"FCI Road, Ranital Road, Ranital, Ranj, Odisha 756111",756134,21.1331235,86.55697769999999,ChIJjdg_PGsLHDoRf0aPAGHbCDY,https://www.google.com/maps/place/?q=place_id:ChIJjdg_PGsLHDoRf0aPAGHbCDY,part_344,2026-09-20 20:18:47
Nerolac Dealer - MAA LAXMI PAINTS,Paint and Putty Dealer,Paint store,Paint store,756134,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Antara B.O, Ada S.O, Barada B.O",+91 79789 44657,https://www.nerolac.com/store-locator/orissa/bhadrak/maa-laxmi-paints?utm_source=google_maps&utm_medium=organic,5.0,,"3F7F+2Jp Maa Laxmi Paints, P.No-305/3061, Bagurai, Bhadrak, Odisha 756181",Bagurai,21.062527499999998,86.47413039999999,ChIJ5dGTUa8JHDoRfH34_FmLuYk,https://www.google.com/maps/place/?q=place_id:ChIJ5dGTUa8JHDoRfH34_FmLuYk,part_344,2026-09-20 20:18:47
Nerolac Dealer - Tarini H/W & Colour Mart,Paint and Putty Dealer,Paint store,Paint store,756134,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Antara B.O, Ada S.O, Barada B.O",+91 94372 46766,https://www.nerolac.com/store-locator/orissa/bhadrak/tarini-h-w-and-colour-mart?utm_source=google_maps&utm_medium=organic,4.3,,"Private Bus Stand, NH 16, Chhak, Naripur, Bonth, Bhadrak, Odisha 756100","Chhak, Naripur",21.0589415,86.4943526,ChIJE1tw4f0JHDoR1hpvGDDmYO4,https://www.google.com/maps/place/?q=place_id:ChIJE1tw4f0JHDoR1hpvGDDmYO4,part_344,2026-09-20 20:18:47
Maa Durga Paints,Paint and Putty Dealer,Paint store,Paint store,756134,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Antara B.O, Ada S.O, Barada B.O",+91 94371 69236,N/A,4.5,21.0,"OT Rd B.R.I.T Market Complex Room No 11, Police Line Square, Odisha 756001",Mallikashpur,21.492420799999998,86.9199668,ChIJtVwHB3X1HDoR84iaGcVdDpw,https://www.google.com/maps/place/?q=place_id:ChIJtVwHB3X1HDoR84iaGcVdDpw,part_344,2026-09-20 20:18:49
Jasoria Traders,Paint and Putty Dealer,Paint store,Paint store,756134,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Antara B.O, Ada S.O, Barada B.O",N/A,N/A,5.0,11.0,"Vivekananda Marg, Manikhamb, Balasore, Gopalgoan, Odisha 756001",Manikhamb,21.5014422,86.9286312,ChIJBeqEIqT1HDoRFWLvrAnY70Q,https://www.google.com/maps/place/?q=place_id:ChIJBeqEIqT1HDoRFWLvrAnY70Q,part_344,2026-09-20 20:18:49
Dulux Decorator Center,Paint and Putty Dealer,Paint store,Paint store,756134,Odisha circle,Bhubaneswar HQ Region,Bhadrak Division,"Antara B.O, Ada S.O, Barada B.O",+91 94370 65290,https://www.duluxdecoratorcentre.co.uk/,3.7,26.0,"Naya bazar, Manikhamb, Balasore, Gopalgoan, Odisha 756001","Naya bazar, Manikhamb",21.504365699999997,86.92482369999999,ChIJAfZ2-6L1HDoRAvl2l57wY8Q,https://www.google.com/maps/place/?q=place_id:ChIJAfZ2-6L1HDoRAvl2l57wY8Q,part_344,2026-09-20 20:18:49
