business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"DR LOPITA NAYAK (Skin, Hair, Venereology, Dermatology Specialist)",Skin Clinic and Dermatologist,Skin care clinic,Skin care clinic,756182,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Dungura S.O, Aliha B.O, Arakhpur B.O",+91 77870 00021,https://www.clino.in/dermatology,4.7,7.0,"BHASKARGANJ-B, GW38+CG6 Infront Of Uma Bhawan, LANE, near ST PETERS SCHOOL, Sahadevkhuntha, Railway Colony, Balasore, Odisha 756001","Sahadevkhuntha, Railway Colony",21.5035717,86.9162953,ChIJyePGfV_1HDoRJb0l_AiXjEE,https://www.google.com/maps/place/?q=place_id:ChIJyePGfV_1HDoRJb0l_AiXjEE,part_344,2026-09-20 20:29:34
"NIKI SKIN CARE @Ranihat, Cuttack",Skin Clinic and Dermatologist,Skin care clinic,Skin care clinic,756182,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Dungura S.O, Aliha B.O, Arakhpur B.O",+91 74400 11801,http://www.nikiskincare.com/,3.5,90.0,"1st floor, Anadi Bhaban, Ranihat, Ranihat Colony, Kataka, Odisha 753001","Ranihat, Ranihat Colony",20.4683171,85.89012559999999,ChIJB85IW38NGToRBuCbvG5U9Iw,https://www.google.com/maps/place/?q=place_id:ChIJB85IW38NGToRBuCbvG5U9Iw,part_344,2026-09-20 20:29:34
Dr. Jeebanjyoti skin care,Skin Clinic and Dermatologist,Dermatologist,Dermatologist,756182,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Dungura S.O, Aliha B.O, Arakhpur B.O",N/A,N/A,5.0,32.0,"Plot no-13, near Jagannath Temple Road, Kolathia, Khandagiri, Bhubaneswar, Odisha 751030","Kolathia, Khandagiri",20.255974,85.784195,ChIJ4dTn3b6nGToRMuodTktT7tw,https://www.google.com/maps/place/?q=place_id:ChIJ4dTn3b6nGToRMuodTktT7tw,part_344,2026-09-20 20:29:34
Dr Mamata Sahoo,Skin Clinic and Dermatologist,Dermatologist,"Dermatologist, Doctor",756182,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Dungura S.O, Aliha B.O, Arakhpur B.O",+91 94377 09600,N/A,3.8,29.0,"FVFP+QQP Sai Lodge, Kathagola Rd, Professors Colony, Kataka, Odisha 753001",Professors Colony,20.4744664,85.8869402,ChIJubDHn38SGToR7UJUXZHusTQ,https://www.google.com/maps/place/?q=place_id:ChIJubDHn38SGToR7UJUXZHusTQ,part_344,2026-09-20 20:29:34
SHREE JAGANNATH SKIN CARE,Skin Clinic and Dermatologist,Dermatologist,Dermatologist,756182,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Dungura S.O, Aliha B.O, Arakhpur B.O",+91 90402 45896,N/A,4.7,,"GUNDICHA MANDIR, Out Gate, BUS STAND, Sarbodaya Nagar, Puri, Odisha 752002",Sarbodaya Nagar,19.8155617,85.8421724,ChIJs-xCDo_HGToR5BUcbqOMN1I,https://www.google.com/maps/place/?q=place_id:ChIJs-xCDo_HGToR5BUcbqOMN1I,part_344,2026-09-20 20:29:35
Dr. Prasanjit Mohanty,Skin Clinic and Dermatologist,Dermatologist,Dermatologist,756182,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Dungura S.O, Aliha B.O, Arakhpur B.O",N/A,N/A,2.8,,"CDA Sec - 10, Kataka, Odisha 753014",CDA Sec - 10,20.4821874,85.8168299,ChIJWc1cQAcRGToRIcC7tnLJOfI,https://www.google.com/maps/place/?q=place_id:ChIJWc1cQAcRGToRIcC7tnLJOfI,part_344,2026-09-20 20:29:35
Dr. Surajit Nayak Skin Specialist,Skin Clinic and Dermatologist,Dermatologist,Dermatologist,756182,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Dungura S.O, Aliha B.O, Arakhpur B.O",+91 93375 08854,N/A,4.0,,"8R58+X8H, Gajapati Nagar, Brahmapur, Odisha 760004",Gajapati Nagar,19.3099429,84.8158734,ChIJGw4Su4BQPToRMiz-Kd0COp4,https://www.google.com/maps/place/?q=place_id:ChIJGw4Su4BQPToRMiz-Kd0COp4,part_344,2026-09-20 20:29:35
Suraksha Skin Care Clinic,Skin Clinic and Dermatologist,Dermatologist,Dermatologist,756182,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Dungura S.O, Aliha B.O, Arakhpur B.O",+91 86609 24162,N/A,4.9,,"K C Rani Rd, above Prakash Book Depot, opp. to Kamat Kirani General Store, Betageri, Vidya Nagar, Gadag-Betageri, Karnataka 582101","Betageri, Vidya Nagar",15.431456299999999,75.6360385,ChIJjYg5SUQVuDsRIfvXOejWuIg,https://www.google.com/maps/place/?q=place_id:ChIJjYg5SUQVuDsRIfvXOejWuIg,part_344,2026-09-20 20:29:36
Dyuthi Skin & Child Care | Best Dermatologist in Gangavathi,Skin Clinic and Dermatologist,Medical clinic,Medical clinic,756182,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Dungura S.O, Aliha B.O, Arakhpur B.O",+91 84949 40999,http://dyuthiskincare.in/,4.8,,"Hosalli Rd, near Neelakanteshwara temple, Gundamma Camp, Gangavathi, Karnataka 583227",Gundamma Camp,15.425791499999999,76.5328669,ChIJUS0oUcSBtzsRdmo1mEe3aHk,https://www.google.com/maps/place/?q=place_id:ChIJUS0oUcSBtzsRdmo1mEe3aHk,part_344,2026-09-20 20:29:36
Skin care Clinic Dr Rakesh Ranjan,Skin Clinic and Dermatologist,Medical clinic,Medical clinic,756182,Odisha Circle,Bhubaneswar HQ Region,Bhadrak Division,"Dungura S.O, Aliha B.O, Arakhpur B.O",+91 70809 99985,N/A,5.0,,"front Petrol pump, Deewanganj, Bibiya Karanpur, Maulani, Uttar Pradesh 230142",Deewanganj,25.916914,82.0977733,ChIJ2UpgJPSZmjkRiEAEdX-O71A,https://www.google.com/maps/place/?q=place_id:ChIJ2UpgJPSZmjkRiEAEdX-O71A,part_344,2026-09-20 20:29:36
