business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
MAA LAXMI OLD TRACTOR,Commercial Vehicle and Tractor Dealer,Tractor dealer,Tractor dealer,757001,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Baripada H.O, Ambikasahi S.O, Baripada Bazar S.O",+91 70081 97901,N/A,3.4,,"Gangraj Rd, Baripada, Damdarpur, Odisha 757003",757001,21.969272399999998,86.7196841,ChIJ30_-2P-vHToRfw9ACXYS-8U,https://www.google.com/maps/place/?q=place_id:ChIJ30_-2P-vHToRfw9ACXYS-8U,part_344,2026-09-20 20:30:22
Jagdamba Automobiles,Commercial Vehicle and Tractor Dealer,Tractor dealer,Tractor dealer,757001,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Baripada H.O, Ambikasahi S.O, Baripada Bazar S.O",+91 77518 93303,N/A,4.9,,"Main Road, Asanbani, Bharandia, Odisha 757043",757001,22.248618399999998,86.19464839999999,ChIJX2dDzw0LHjoRlo5c17mF-4Y,https://www.google.com/maps/place/?q=place_id:ChIJX2dDzw0LHjoRlo5c17mF-4Y,part_344,2026-09-20 20:30:22
VST TRACTOR,Commercial Vehicle and Tractor Dealer,Tractor dealer,"Tractor dealer, Agricultural service",757001,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Baripada H.O, Ambikasahi S.O, Baripada Bazar S.O",N/A,N/A,5.0,,"sales tax Office, Road, beside Odisha GRAMYA bank, Meher Colony, Baripada, Odisha 757001",Meher Colony,21.9421833,86.72780589999999,ChIJ7zF9VgCxHToREh_jSTAeVIs,https://www.google.com/maps/place/?q=place_id:ChIJ7zF9VgCxHToREh_jSTAeVIs,part_344,2026-09-20 20:30:22
Sonalika - Surendranath Motors,Commercial Vehicle and Tractor Dealer,Tractor dealer,"Tractor dealer, Farm equipment supplier",757001,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Baripada H.O, Ambikasahi S.O, Baripada Bazar S.O",+91 94372 70290,https://dealers.sonalika.com/sonalika-surendranath-motors-tractor-dealer-palabani-baripada-274297/Home?utm_source=locator&utm_medium=googleplaces,3.4,,"Ground Floor, Block Chak, Palabani, Mayurbhanj, Baripada, Odisha 757001",Mayurbhanj,21.921439,86.7467862,ChIJ4QQO2gCuHToRx67TwehLP1Q,https://www.google.com/maps/place/?q=place_id:ChIJ4QQO2gCuHToRx67TwehLP1Q,part_344,2026-09-20 20:30:22
"Swaraj Tractor Showroom, Sai Agro Machinery",Commercial Vehicle and Tractor Dealer,Tractor dealer,Tractor dealer,757001,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Baripada H.O, Ambikasahi S.O, Baripada Bazar S.O",N/A,https://www.swarajtractors.com/,4.6,,"Kaptipada-Sergarh Road, Udala, Odisha 757041",757001,21.5705721,86.56043989999999,ChIJhbbC2Uk5HDoRz978zJDOj4Y,https://www.google.com/maps/place/?q=place_id:ChIJhbbC2Uk5HDoRz978zJDOj4Y,part_344,2026-09-20 20:30:23
John Deere Tractor,Commercial Vehicle and Tractor Dealer,Tractor dealer,Tractor dealer,757001,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Baripada H.O, Ambikasahi S.O, Baripada Bazar S.O",+91 89847 40944,N/A,4.2,,"FVHP+5H, Kuruda, Balasore, Odisha 756056",757001,21.477947699999998,86.8864626,ChIJM1VafsVfHDoRQJAnecvsYiE,https://www.google.com/maps/place/?q=place_id:ChIJM1VafsVfHDoRQJAnecvsYiE,part_344,2026-09-20 20:30:23
Maa Laxmi Old Tractor,Commercial Vehicle and Tractor Dealer,Showroom,Showroom,757001,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Baripada H.O, Ambikasahi S.O, Baripada Bazar S.O",N/A,N/A,,,"WPW9+JC3, Gangraj Rd, Baripada, Odisha 757002",757001,21.9465032,86.7185451,ChIJlchtTgCxHToRFLlF39ujYbQ,https://www.google.com/maps/place/?q=place_id:ChIJlchtTgCxHToRFLlF39ujYbQ,part_344,2026-09-20 20:30:23
Sonalika - Jagannath Enterprise,Commercial Vehicle and Tractor Dealer,Tractor dealer,"Tractor dealer, Farm equipment supplier",757001,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Baripada H.O, Ambikasahi S.O, Baripada Bazar S.O",+91 99375 34430,https://dealers.sonalika.com/sonalika-jagannath-enterprise-tractor-dealer-murmuchak-mayurbhanj-294034/Home?utm_source=locator&utm_medium=googleplaces,5.0,,"Murmuchak, Jamshedpur Road, Khanta, Odisha 757043",757001,22.2702101,86.170782,ChIJc32uaPcNHjoRERZfrRF-Wes,https://www.google.com/maps/place/?q=place_id:ChIJc32uaPcNHjoRERZfrRF-Wes,part_344,2026-09-20 20:30:23
Cholamandalam Investment and Finance Company Limited,Commercial Vehicle and Tractor Dealer,Loan agency,"Loan agency, Car finance and loan company, Finance broker, Financial advisor, Financial institution, Mortgage lender",757001,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Baripada H.O, Ambikasahi S.O, Baripada Bazar S.O",+91 80 4446 6011,https://www.cholamandalam.com/branch/prafulla-nagar,5.0,,"1st Floor, near Indian Bank, Station Bazar, Prafulla Nagar, Baripada, Odisha 757001","Station Bazar, Prafulla Nagar",21.926238899999998,86.73291859999999,ChIJ1_dfudaxHToRpe04ug5IMUs,https://www.google.com/maps/place/?q=place_id:ChIJ1_dfudaxHToRpe04ug5IMUs,part_344,2026-09-20 20:30:23
MotorFloor,Commercial Vehicle and Tractor Dealer,Motor vehicle dealer,Motor vehicle dealer,757001,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Baripada H.O, Ambikasahi S.O, Baripada Bazar S.O",+91 91240 01992,https://motorfloor.com/,4.8,,"1st & 2nd Floor, Awfis, SRB Towers, E-12, Infocity Ave, Infocity, Patia, Bhubaneswar, Odisha 751021","Infocity, Patia",20.3419098,85.80579709999999,ChIJoTfbroIJGToREW-bdvFiUCo,https://www.google.com/maps/place/?q=place_id:ChIJoTfbroIJGToREW-bdvFiUCo,part_344,2026-09-20 20:30:23
