business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Navrang ( Men's Wear ),Mens Wear Showroom,Dress store,Dress store,757001,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Baripada H.O, Ambikasahi S.O, Baripada Bazar S.O",+91 93480 48307,N/A,4.1,,"KMBM Road, near S.B.I Main Branch, Belgodia, Deulasahi, Bhanjpur, Baripada, Odisha 757001","Belgodia, Deulasahi, Bhanjpur",21.933995799999998,86.7232914,ChIJaTb8C-2xHToRsFomZmqFLII,https://www.google.com/maps/place/?q=place_id:ChIJaTb8C-2xHToRsFomZmqFLII,part_344,2026-09-20 20:30:13
OTTO men's clothing store in Baripada,Mens Wear Showroom,Men's clothing store,"Men's clothing store, Clothing store, Formal Clothing Store",757001,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Baripada H.O, Ambikasahi S.O, Baripada Bazar S.O",+91 6792 256 985,https://www.ottostore.com/?utm_source=Google_Maps&utm_medium=Organic&utm_campaign=baripada,4.4,,"Ward No 5, Gandhi market, Plot No 280/470, Khata No, 142/144, Lalbazar, Baripada, Odisha 757001","Belgodia, Deulasahi, Lalbazar",21.9351625,86.7261616,ChIJ0ZeNOcqxHToRgCg-1xoHF68,https://www.google.com/maps/place/?q=place_id:ChIJ0ZeNOcqxHToRgCg-1xoHF68,part_344,2026-09-20 20:30:13
Louis Philippe - Baripada,Mens Wear Showroom,Men's clothing store,Men's clothing store,757001,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Baripada H.O, Ambikasahi S.O, Baripada Bazar S.O",+91 6792 291 058,https://louisphilippe.abfrl.in/storelocator/details?id=19880&pin=757001,4.5,,"Ananda Bazar, Hospital Rd, Deulasahi, Bhanjpur, Baripada, Odisha 757001","Deulasahi, Bhanjpur",21.9311671,86.7259259,ChIJVVVVVRmuHToRhng75Ma1Cn8,https://www.google.com/maps/place/?q=place_id:ChIJVVVVVRmuHToRhng75Ma1Cn8,part_344,2026-09-20 20:30:13
Vishnu Garments,Mens Wear Showroom,Clothing store,Clothing store,757001,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Baripada H.O, Ambikasahi S.O, Baripada Bazar S.O",+91 63715 72060,https://vishnu-garments.grexa.site/,5.0,,"Pchs Market Complex, Baghra Kushtha Road, Raghunathpur, Rajabasa, Baripada, Odisha 757107",Raghunathpur,21.9462701,86.7586175,ChIJzSi5hJWvHToRjc2lFHajfko,https://www.google.com/maps/place/?q=place_id:ChIJzSi5hJWvHToRjc2lFHajfko,part_344,2026-09-20 20:30:13
Unique point,Mens Wear Showroom,Men's clothing store,Men's clothing store,757001,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Baripada H.O, Ambikasahi S.O, Baripada Bazar S.O",N/A,https://www.instagram.com/unique_point_bpd?igsh=bmhvZHpzOTV6OXgx,4.2,,"Mkc road, Lalbazar, Deulasahi, Bhanjpur, Baripada, Odisha 757001","Lalbazar, Deulasahi, Bhanjpur",21.9364064,86.7290156,ChIJ380S5ROxHToRJ_LAbViF0fA,https://www.google.com/maps/place/?q=place_id:ChIJ380S5ROxHToRJ_LAbViF0fA,part_344,2026-09-20 20:30:13
MEN'S TOWN,Mens Wear Showroom,Men's clothing store,Men's clothing store,757001,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Baripada H.O, Ambikasahi S.O, Baripada Bazar S.O",+91 94372 18191,N/A,,,"Asha complex, Traffic square, Hospital Rd, Deulasahi, Bhanjpur, Baripada, Odisha 757001","Deulasahi, Bhanjpur",21.932107199999997,86.72590989999999,ChIJ61QAjFqxHToRSwo-7qZaegM,https://www.google.com/maps/place/?q=place_id:ChIJ61QAjFqxHToRSwo-7qZaegM,part_344,2026-09-20 20:30:13
WEAR HOUSE,Mens Wear Showroom,Men's clothing store,Men's clothing store,757001,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Baripada H.O, Ambikasahi S.O, Baripada Bazar S.O",+91 70084 54442,N/A,4.0,,"Ganesh market, Main road, Deulasahi, Bhanjpur, Baripada, Odisha 757001","Deulasahi, Bhanjpur",21.931644799999997,86.7258391,ChIJX-qIdaOxHToRKxFLT3iZdwU,https://www.google.com/maps/place/?q=place_id:ChIJX-qIdaOxHToRKxFLT3iZdwU,part_344,2026-09-20 20:30:13
Flex wear,Mens Wear Showroom,Clothing store,Clothing store,757001,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Baripada H.O, Ambikasahi S.O, Baripada Bazar S.O",+91 96926 06950,N/A,5.0,,"WPJX+VF3, Takatpur, Baripada, Odisha 757003",Takatpur,21.932149799999998,86.7486861,ChIJPxZABgCvHToRAbecTGRHJWg,https://www.google.com/maps/place/?q=place_id:ChIJPxZABgCvHToRAbecTGRHJWg,part_344,2026-09-20 20:30:13
AYUSH OUTFIT,Mens Wear Showroom,Clothing store,Clothing store,757001,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Baripada H.O, Ambikasahi S.O, Baripada Bazar S.O",+91 70085 72702,N/A,4.9,,"Gandhi Market Rd, Belgodia, Deulasahi, Bhanjpur, Baripada, Odisha 757001","Belgodia, Deulasahi, Bhanjpur",21.935195699999998,86.7255033,ChIJF1mYDJixHToRffMbDmziBZI,https://www.google.com/maps/place/?q=place_id:ChIJF1mYDJixHToRffMbDmziBZI,part_344,2026-09-20 20:30:13
Srijan Style - Baripada,Mens Wear Showroom,Shopping mall,Shopping mall,757001,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Baripada H.O, Ambikasahi S.O, Baripada Bazar S.O",+91 92303 46072,N/A,4.8,232.0,"At Maa Tarini City Center, Traffic square, Main Market, near Haryana Handloom Purunahatasahi, Deulasahi, Bhanjpur, Baripada, Odisha 757001","Deulasahi, Bhanjpur",21.9324251,86.7258859,ChIJUeJFG5GxHToRTGP6WyVYEbw,https://www.google.com/maps/place/?q=place_id:ChIJUeJFG5GxHToRTGP6WyVYEbw,part_344,2026-09-20 20:30:14
BARIPADA FASHIONS,Mens Wear Showroom,Clothing store,"Clothing store, Dress store, Lingerie store, Underwear store",757001,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Baripada H.O, Ambikasahi S.O, Baripada Bazar S.O",+91 98538 20219,N/A,4.1,14.0,"North Odisha, N Orissa University Rd, Takatpur, Baripada, Odisha 757003",Takatpur,21.9294793,86.7577115,ChIJTUS9meKvHToRo_U2rhUHmls,https://www.google.com/maps/place/?q=place_id:ChIJTUS9meKvHToRo_U2rhUHmls,part_344,2026-09-20 20:30:16
