business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Singda Tantrk,Wellness Center,Wellness center,Wellness center,757022,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Suliapada S.O, Baghra B.O, Bari B.O",N/A,N/A,,,"22J3+MMV, Singda, Dhabani, Odisha 757022",757022,22.0317346,87.00417329999999,ChIJZUuOpdEPHToRdcFwv9JvrTc,https://www.google.com/maps/place/?q=place_id:ChIJZUuOpdEPHToRdcFwv9JvrTc,part_344,2026-09-20 20:37:52
Pranah Wellness Spa,Wellness Center,Spa,Spa,757022,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Suliapada S.O, Baghra B.O, Bari B.O",N/A,N/A,4.7,66.0,"First Floor, Bini Heritage, Round North, Thrissur, Keralam 680001",Round North,10.5276313,76.21404989999999,ChIJdT1ha1_vpzsRKEYxFyUB0ds,https://www.google.com/maps/place/?q=place_id:ChIJdT1ha1_vpzsRKEYxFyUB0ds,part_344,2026-09-20 20:37:53
Sathwa Spa & Wellness - Mangalore,Wellness Center,Wellness center,"Wellness center, Massage spa, Spa",757022,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Suliapada S.O, Baghra B.O, Bari B.O",+91 70221 34888,https://sathwaspa.com/,4.5,280.0,"1st Floor, Hotel Avatar, Shanker Vittal HQ, Nandigudda Rd, Vaidyanatha Nagar, Attavar, Mangaluru, Karnataka 575001","Vaidyanatha Nagar, Attavar",12.8628596,74.8467893,ChIJO8f5rx9bozsRBjQn85huqcA,https://www.google.com/maps/place/?q=place_id:ChIJO8f5rx9bozsRBjQn85huqcA,part_344,2026-09-20 20:37:53
Meghavi Wellness Spa | Fern Ecotel -Tonk Road Jaipur,Wellness Center,Spa,Spa,757022,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Suliapada S.O, Baghra B.O, Bari B.O",+91 74168 98444,https://spabooking.in/meghavi-wellness-spa-the-fern-an-ecotel-hotel-jaipur/,4.9,1928.0,"6th Floor, Airport Plaza, Tonk Rd, next to Gym, Chandrakala Colony, Mata colony, Jaipur, Rajasthan 302018","Chandrakala Colony, Mata colony",26.843625499999998,75.7941353,ChIJjUpNLBe1bTkRsK6bfrk7pw0,https://www.google.com/maps/place/?q=place_id:ChIJjUpNLBe1bTkRsK6bfrk7pw0,part_344,2026-09-20 20:37:53
Namaste Ayurvedic Wellness Centre,Wellness Center,Wellness center,"Wellness center, Hospital, Yoga Retreat Center",757022,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Suliapada S.O, Baghra B.O, Bari B.O",+91 95445 09944,http://www.ayurvedatreatments.net/,4.6,53.0,"Athirapilly Road, near Dream World Park, Chalakudy, Pariyaram, Keralam 680721",757022,10.3086693,76.3982745,ChIJb1wRecgBCDsRg_JOaJakDSQ,https://www.google.com/maps/place/?q=place_id:ChIJb1wRecgBCDsRg_JOaJakDSQ,part_344,2026-09-20 20:37:53
Belvedere CGHS Wellness Centre KO1,Wellness Center,Wellness center,"Wellness center, Hospital",757022,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Suliapada S.O, Baghra B.O, Bari B.O",+91 33 2479 1153,https://visualize.data.gov.in/?inst=8eede3a2-1652-49eb-bd7f-48ae3ea7a11e,4.2,21.0,"68, Zoo/Command Hospital, Belvedere Estate, near Alipore, Block A, Alipore, Kolkata, West Bengal 700027","Block A, Alipore",22.5301619,88.3328623,ChIJa-JhzFp3AjoRHASs_Qs5ki0,https://www.google.com/maps/place/?q=place_id:ChIJa-JhzFp3AjoRHASs_Qs5ki0,part_344,2026-09-20 20:37:53
Johnmarians Wellness Clinic Thrissur,Wellness Center,Wellness center,Wellness center,757022,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Suliapada S.O, Baghra B.O, Bari B.O",N/A,N/A,4.0,16.0,"Oppo, Anchery Muthappan Temple, Ollur, Thrissur, Keralam 680014",Ollur,10.497739,76.249523,ChIJl2dhwEPxpzsR2OZbesZu1eg,https://www.google.com/maps/place/?q=place_id:ChIJl2dhwEPxpzsR2OZbesZu1eg,part_344,2026-09-20 20:37:53
Body n Mind Wellness,Wellness Center,Spa and health club,Spa and health club,757022,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Suliapada S.O, Baghra B.O, Bari B.O",+91 81389 66638,https://wa.me/918891880655,4.3,4.0,"20/897, Paravattani, Ollukkara (P. O.)., Pin: 680655, Thrissur, Keralam 680005","Vinpy Nagar, Paravattani",10.521258399999999,76.2443504,ChIJCxKV6QHvpzsRtdcQzgeS20A,https://www.google.com/maps/place/?q=place_id:ChIJCxKV6QHvpzsRtdcQzgeS20A,part_344,2026-09-20 20:37:53
VIP International Spa,Wellness Center,Spa,Spa,757022,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Suliapada S.O, Baghra B.O, Bari B.O",+91 94597 75656,https://vipinternationalspa.co/,4.9,364.0," 1st Floor, 8QXM+93F Hotel Central Park, Manipal, Udupi, Karnataka 576104",Manipal,13.3484473,74.7826766,ChIJ6f1QVFelvDsR3yvkNnGVxRY,https://www.google.com/maps/place/?q=place_id:ChIJ6f1QVFelvDsR3yvkNnGVxRY,part_344,2026-09-20 20:37:53
Oranz Body Spa,Wellness Center,Massage spa,"Massage spa, Spa, Spa and health club",757022,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Suliapada S.O, Baghra B.O, Bari B.O",+91 88900 08376,http://oranzbodyspa.com/,4.9,205.0,"scheme no.16, Royal reduman, First floor, Plot no.193, Gandhi Path Rd, Girnar Colony, Vaishali Nagar, Jaipur, Rajasthan 302021","Girnar Colony, Girnar Colony South, Vaishali Nagar",26.9055434,75.741884,ChIJC1fuSQC1bTkRPXRNgSgzeuU,https://www.google.com/maps/place/?q=place_id:ChIJC1fuSQC1bTkRPXRNgSgzeuU,part_344,2026-09-20 20:37:53
