business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
GOLDEN BAKERY,Bakery and Cake Shop,Bakery and Cake Shop,Bakery and Cake Shop,757027,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Kuamara S.O, Sikidia B.O, Talakadada B.O",N/A,N/A,5.0,,"Lakshmi Peta, Yemmiganur, Andhra Pradesh 518360",Lakshmi Peta,15.7720218,77.48011149999999,ChIJf57ZvbdAtjsRapt0jrfDA7s,https://www.google.com/maps/place/?q=place_id:ChIJf57ZvbdAtjsRapt0jrfDA7s,part_344,2026-09-20 20:41:07
"MS Cake Shop, Ichalkaranji",Bakery and Cake Shop,Bakery and Cake Shop,Bakery and Cake Shop,757027,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Kuamara S.O, Sikidia B.O, Talakadada B.O",+91 91752 65943,N/A,4.8,,"maratha chowk, Jawaharnagar, Maharashtra 416115",Jawaharnagar,16.7023896,74.4483612,ChIJvziSDowdwTsREq_Upcr6IvY,https://www.google.com/maps/place/?q=place_id:ChIJvziSDowdwTsREq_Upcr6IvY,part_344,2026-09-20 20:41:08
Cake Corner N' Cafe,Bakery and Cake Shop,Bakery and Cake Shop,Bakery and Cake Shop,757027,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Kuamara S.O, Sikidia B.O, Talakadada B.O",+91 99230 03315,N/A,4.7,,"11/250, Vakhar Bhag Rd, Vakhar bhag, Ichalkaranji, Maharashtra 416115",Vakhar bhag,16.6913897,74.4611079,ChIJlRSVnnniwDsRCshtiZS2d5s,https://www.google.com/maps/place/?q=place_id:ChIJlRSVnnniwDsRCshtiZS2d5s,part_344,2026-09-20 20:41:08
Ash Cold Cake,Bakery and Cake Shop,Cake shop,Cake shop,757027,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Kuamara S.O, Sikidia B.O, Talakadada B.O",+91 82088 10579,N/A,4.9,,"maruti mandir, Galli Number 4, Vikram Nagar, Ganesh Nagar, Vikash Nagar, Ichalkaranji, Maharashtra 416115","Vikram Nagar, Ganesh Nagar, Vikash Nagar",16.7007886,74.4647056,ChIJc4R_e50dwTsRGrsQ5Vs4eag,https://www.google.com/maps/place/?q=place_id:ChIJc4R_e50dwTsRGrsQ5Vs4eag,part_344,2026-09-20 20:41:08
Cocoa Bakery,Bakery and Cake Shop,Bakery and Cake Shop,"Bakery and Cake Shop, Coffee shop, Wedding bakery",757027,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Kuamara S.O, Sikidia B.O, Talakadada B.O",+91 83348 17373,N/A,4.3,,"22N/1, Block A, Uttar Raypur, New Alipore, Kolkata, West Bengal 700053","Block A, Uttar Raypur, New Alipore",22.5157065,88.32494,ChIJdV-w4G-e-DkRdPWK9oMIFtI,https://www.google.com/maps/place/?q=place_id:ChIJdV-w4G-e-DkRdPWK9oMIFtI,part_344,2026-09-20 20:41:08
7th Heaven,Bakery and Cake Shop,Cake shop,"Cake shop, Bakery and Cake Shop, Cafe, Coffee shop, Dessert shop, Fast food restaurant, Pizza restaurant, Restaurant, Vegetarian restaurant, Wedding bakery",757027,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Kuamara S.O, Sikidia B.O, Talakadada B.O",+91 93229 41144,https://www.7thheaven.in/store-locator,4.7,,"Tendulkar Building, 2/561 A, DP Rd, beside of ss mobiles, Kankavli, Maharashtra 416602",Kankavli,16.2648896,73.7103669,ChIJO3XvmewXwDsRfUSUazuePeM,https://www.google.com/maps/place/?q=place_id:ChIJO3XvmewXwDsRfUSUazuePeM,part_344,2026-09-20 20:41:08
Bharat Bakery,Bakery and Cake Shop,Bakery and Cake Shop,Bakery and Cake Shop,757027,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Kuamara S.O, Sikidia B.O, Talakadada B.O",+91 98270 14060,N/A,4.1,,"Parkota Tower, Kila Road, Jawahar Ganj, Katra Bazaar, Sagar, Madhya Pradesh 470002","Jawahar Ganj, Katra Bazaar",23.8380433,78.7417662,ChIJ30gT9bHWeDkRaAJiT2_ftF4,https://www.google.com/maps/place/?q=place_id:ChIJ30gT9bHWeDkRaAJiT2_ftF4,part_344,2026-09-20 20:41:08
The Baker's Choice,Bakery and Cake Shop,Baking supply store,"Baking supply store, Bakery equipment, Cake decorating equipment shop",757027,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Kuamara S.O, Sikidia B.O, Talakadada B.O",+91 88306 07981,N/A,4.7,,"Shop no, B S8, Mapusa, Goa 403507",757027,15.5901777,73.8087551,ChIJTyoQKZnrvzsRLve2q4zTics,https://www.google.com/maps/place/?q=place_id:ChIJTyoQKZnrvzsRLve2q4zTics,part_344,2026-09-20 20:41:09
Forennte Patisserie,Bakery and Cake Shop,Cake shop,"Cake shop, Cafe",757027,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Kuamara S.O, Sikidia B.O, Talakadada B.O",+91 88018 15555,https://forennte-patisserie.godirekt.in/spark/app/#/mainpage,4.5,,"Shop 1, 2, Lane No. 8, Ashok Chakra Society, Meera Nagar, Koregaon Park, Pune, Maharashtra 411001","Ashok Chakra Society, Meera Nagar, Koregaon Park",18.536369099999998,73.8993588,ChIJ2x8WywfBwjsRn15D3TpBKsk,https://www.google.com/maps/place/?q=place_id:ChIJ2x8WywfBwjsRn15D3TpBKsk,part_344,2026-09-20 20:41:09
Chef's Cake World,Bakery and Cake Shop,Bakery and Cake Shop,"Bakery and Cake Shop, Chocolate factory, Chocolate shop, Dry Fruit Store, Fondue restaurant, Pastry shop, Rice cake shop, Snack bar, Wedding bakery",757027,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Kuamara S.O, Sikidia B.O, Talakadada B.O",+91 80866 66207,http://www.chefscakeworld.com/,4.7,,"Sree Narayana Building, Ulloor - Akkulam Rd, Ulloor, Thiruvananthapuram, Keralam 695011",Ulloor,8.5288744,76.92796229999999,ChIJnQojkPK5BTsRD1uW6vRgAS4,https://www.google.com/maps/place/?q=place_id:ChIJnQojkPK5BTsRD1uW6vRgAS4,part_344,2026-09-20 20:41:09
United Cafe & Bakers,Bakery and Cake Shop,Bakery and Cake Shop,Bakery and Cake Shop,757027,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Kuamara S.O, Sikidia B.O, Talakadada B.O",+91 93737 18235,N/A,4.8,,"HNO 311 Tambudki, Calangute - Arpora Rd, Arpora, Goa 403516",757027,15.564044399999998,73.7645424,ChIJUS53dfPrvzsRVnIcpa7Zcmo,https://www.google.com/maps/place/?q=place_id:ChIJUS53dfPrvzsRVnIcpa7Zcmo,part_344,2026-09-20 20:41:09
German Bakery,Bakery and Cake Shop,Bakery and Cake Shop,"Bakery and Cake Shop, Health food restaurant",757027,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Kuamara S.O, Sikidia B.O, Talakadada B.O",+91 70579 01002,http://www.german-bakery.in/,4.4,,"Market Road,Grand Peddem, Monteiro Vaddo, Anjuna, Goa 403509",Monteiro Vaddo,15.573955699999999,73.74768,ChIJ6ae_aS_pvzsRZp-XDK8aG_w,https://www.google.com/maps/place/?q=place_id:ChIJ6ae_aS_pvzsRZp-XDK8aG_w,part_344,2026-09-20 20:41:09
Winni Cakes & More,Bakery and Cake Shop,Bakery and Cake Shop,Bakery and Cake Shop,757027,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Kuamara S.O, Sikidia B.O, Talakadada B.O",+91 91127 85574,N/A,4.5,,"Shop No.2, Radha Appartment, Shanti Nagar, Ponda, Goa 403401",Shanti Nagar,15.398085799999999,74.0069871,ChIJ2SvcgGO7vzsRdq3L80gH65o,https://www.google.com/maps/place/?q=place_id:ChIJ2SvcgGO7vzsRdq3L80gH65o,part_344,2026-09-20 20:41:09
Confeitaria 31 De Janeiro,Bakery and Cake Shop,Bakery and Cake Shop,Bakery and Cake Shop,757027,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Kuamara S.O, Sikidia B.O, Talakadada B.O",+91 832 222 5791,https://confeitaria31dejan.wixsite.com/bakery,4.2,,"Corte De Oiterio, Rua 31 de Janeiro, behind Mary Immaculate Girls School, Panaji, Goa 403001","Fontainhas (quarter), Altinho",15.497427799999999,73.83118069999999,ChIJ5TRcZI7AvzsRfB1mN_BOa-w,https://www.google.com/maps/place/?q=place_id:ChIJ5TRcZI7AvzsRfB1mN_BOa-w,part_344,2026-09-20 20:41:09
