business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
SINGH COMMUNICATION,IT and Telecom Services,Mobile phone repair shop,Mobile phone repair shop,757027,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Kuamara S.O, Sikidia B.O, Talakadada B.O",+91 96684 31027,N/A,4.0,,"College road, Puruna Baripada, Gadadharakumaripur Sasan, Odisha 757102",757027,21.6318441,86.7080826,ChIJSW6_NPVFHDoRXwUbBziAWv4,https://www.google.com/maps/place/?q=place_id:ChIJSW6_NPVFHDoRXwUbBziAWv4,part_344,2026-09-20 20:41:38
BSNL Store,IT and Telecom Services,Telecommunications service provider,Telecommunications service provider,757027,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Kuamara S.O, Sikidia B.O, Talakadada B.O",+91 88952 72195,https://bsnl.co.in/,,,"NA, Puruna Baripada, BARIPADA, Odisha 757102",757027,21.6314368,86.70797809999999,ChIJyRJzlNFFHDoRth-FI46i2Wg,https://www.google.com/maps/place/?q=place_id:ChIJyRJzlNFFHDoRth-FI46i2Wg,part_344,2026-09-20 20:41:38
infotel wireless communication,IT and Telecom Services,Telecommunications service provider,"Telecommunications service provider, Service establishment",757027,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Kuamara S.O, Sikidia B.O, Talakadada B.O",+91 91998 78567,http://www.bhadoghat.weebly.com/,4.7,,"infotel wireless communication, 757027, India",757027,26.322351299999998,85.8070058,ChIJIzCGfCuV7TkRKH3W8kh9kxg,https://www.google.com/maps/place/?q=place_id:ChIJIzCGfCuV7TkRKH3W8kh9kxg,part_344,2026-09-20 20:41:38
Bhulopakhari,IT and Telecom Services,Mobile phone repair shop,Mobile phone repair shop,757027,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Kuamara S.O, Sikidia B.O, Talakadada B.O",N/A,N/A,,,"12, Bhola Pokhari, Talakharda, Khunta, Bhubaneswar, Odisha 757027",Khunta,21.6318804,86.740898,ChIJvWAiOwBFHDoRRy9psDJP7i8,https://www.google.com/maps/place/?q=place_id:ChIJvWAiOwBFHDoRRy9psDJP7i8,part_344,2026-09-20 20:41:38
P.M. Communication,IT and Telecom Services,Mobile phone repair shop,Mobile phone repair shop,757027,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Kuamara S.O, Sikidia B.O, Talakadada B.O",+91 72057 25042,N/A,4.8,,"Jaypur, road, Damasahi, Puruna Baripada, Odisha 757102",757027,21.631446399999998,86.7079461,ChIJPwBIWUFFHDoR3JXHDTTexd4,https://www.google.com/maps/place/?q=place_id:ChIJPwBIWUFFHDoR3JXHDTTexd4,part_344,2026-09-20 20:41:38
World Phone Internet Services Pvt. Ltd.,IT and Telecom Services,Telecommunications service provider,"Telecommunications service provider, Call center, Mobile network operator, Telecommunications equipment supplier, Internet service provider, Telephone company",757027,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Kuamara S.O, Sikidia B.O, Talakadada B.O",+91 11 4379 2000,https://worldphone.in/,4.0,,"Ground Floor, Uppal’s Genesis Building, A-32, Block B, Mohan Cooperative Industrial Estate, Badarpur, New Delhi, Delhi 110044","Block B, Mohan Cooperative Industrial Estate, Badarpur",28.522962999999997,77.2907987,ChIJVVVVFU7hDDkRQlqAE8QfYMI,https://www.google.com/maps/place/?q=place_id:ChIJVVVVFU7hDDkRQlqAE8QfYMI,part_344,2026-09-20 20:41:38
Royal Connect Solutions Pvt Ltd,IT and Telecom Services,Computer support and services,"Computer support and services, Internet service provider",757027,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Kuamara S.O, Sikidia B.O, Talakadada B.O",+91 98299 22244,http://www.royalconnect.net/,3.8,,"5th floor, Sunny Mart, Gangaram Nagar, New Aatish Market, Shanthi Nagar, Mansarovar, Jaipur, Jaipur Nagar Nigam Area, Rajasthan 302020","Gangaram Nagar, New Aatish Market, Shanthi Nagar, Mansarovar",26.8794699,75.7587994,ChIJlz2lZaK1bTkRbs69PUE6usg,https://www.google.com/maps/place/?q=place_id:ChIJlz2lZaK1bTkRbs69PUE6usg,part_344,2026-09-20 20:41:38
Telecom Sector Skill Council,IT and Telecom Services,Non-profit organization,"Non-profit organization, Association / Organization",757027,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Kuamara S.O, Sikidia B.O, Talakadada B.O",+91 124 414 8029,http://www.tsscindia.com/,4.4,,"Estel House, 3rd Floor, Plot No:- 126, Sector 44, Gurugram, Haryana 122003",Sector 44,28.4513513,77.0728348,ChIJYQENYewYDTkR14g2RoiiuOE,https://www.google.com/maps/place/?q=place_id:ChIJYQENYewYDTkR14g2RoiiuOE,part_344,2026-09-20 20:41:38
Tele IT Solutions,IT and Telecom Services,Telecommunications service provider,"Telecommunications service provider, Computer networking service, Computer support and services",757027,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Kuamara S.O, Sikidia B.O, Talakadada B.O",+91 88150 14156,https://www.teleitsolutions.com/,5.0,,"401, 4th floor, Mangal city, AB Rd, Vijay Nagar, Scheme 54 PU4, Indore, Madhya Pradesh 452010","Vijay Nagar, Scheme 54 PU4",22.7525351,75.8965096,ChIJLaRniMIdYzkR3vhfiCxH5VQ,https://www.google.com/maps/place/?q=place_id:ChIJLaRniMIdYzkR3vhfiCxH5VQ,part_344,2026-09-20 20:41:38
Telephone Electronic Corporation,IT and Telecom Services,Telecommunications contractor,Telecommunications contractor,757027,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Kuamara S.O, Sikidia B.O, Talakadada B.O",+91 98336 84529,http://www.tec-india.com/,3.0,,"1176, Miranda Apartments, Swatantryaveer Savarkar Rd, Sector V, Chandrakant Dhuru Wadi, Dadar, Mumbai, Maharashtra 400028","Sector V, Chandrakant Dhuru Wadi, Dadar",19.0203936,72.8325327,ChIJfTZI9cbO5zsRxQ1mKLZ2_ME,https://www.google.com/maps/place/?q=place_id:ChIJfTZI9cbO5zsRxQ1mKLZ2_ME,part_344,2026-09-20 20:41:38
