business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
IDCO Exhibition Ground,Exhibitions,Exhibition and trade center,"Exhibition and trade center, Fairground",757043,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Rairangpur H.O, Anladuva S.O, Mahuldiha S.O",N/A,N/A,4.5,6357.0,"3, Madhusudan Marg, UNIT- 9, Bhubaneswar, Odisha 751001",UNIT- 9,20.2777359,85.83758069999999,ChIJa7wSc1enGToRJMUgVHzCHsM,https://www.google.com/maps/place/?q=place_id:ChIJa7wSc1enGToRJMUgVHzCHsM,part_345,2026-09-20 20:18:23,4921
"ABVP District Office, Rairangpur",Exhibitions,Community center,Community center,757043,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Rairangpur H.O, Anladuva S.O, Mahuldiha S.O",N/A,N/A,,,"65V7+CRJ, SH 49, Naghban, Mahisaneda, Odisha 757050",757043,22.2443319,86.163969,ChIJwUc2JQANHjoR10YGVuUS4rI,https://www.google.com/maps/place/?q=place_id:ChIJwUc2JQANHjoR10YGVuUS4rI,part_345,2026-09-20 20:18:23,4922
ASANBANI JAHER GAR,Exhibitions,Community center,Community center,757043,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Rairangpur H.O, Anladuva S.O, Mahuldiha S.O",N/A,N/A,3.0,3.0,"7643+5M3, Asanbani Rairangpur, Pithakutni, Odisha 757042",757043,22.255380799999998,86.20417499999999,ChIJteJlBBILHjoRbY6AOKlO75w,https://www.google.com/maps/place/?q=place_id:ChIJteJlBBILHjoRbY6AOKlO75w,part_345,2026-09-20 20:18:23,4923
Rairangpur New Kalyani Mandap,Exhibitions,Event venue,Event venue,757043,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Rairangpur H.O, Anladuva S.O, Mahuldiha S.O",N/A,N/A,,,"75GF+22H, Ps, Defence Colony, Sakiladi, Rairangpur, Odisha 757043","Defence Colony, Sakiladi",22.274628999999997,86.17283499999999,ChIJgzj_CgANHjoRipqsZDoKwTI,https://www.google.com/maps/place/?q=place_id:ChIJgzj_CgANHjoRipqsZDoKwTI,part_345,2026-09-20 20:18:23,4924
Karnataka Chitrakala Parishath,Exhibitions,Museum,"Museum, Art museum, Art gallery, Tourist attraction",757043,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Rairangpur H.O, Anladuva S.O, Mahuldiha S.O",+91 80 2226 1816,https://chitrakalaparishath.org/,4.5,,"Art Complex, 1, Kumarakrupa Rd, near The Lalit Hotel, Kumara Park East, Seshadripuram, Bengaluru, Karnataka 560001","Kumara Park East, Seshadripuram",12.9893213,77.5807437,ChIJzRxhID4WrjsRMW9WwS2aSzo,https://www.google.com/maps/place/?q=place_id:ChIJzRxhID4WrjsRMW9WwS2aSzo,part_345,2026-09-20 20:18:24,4925
Kolkata Centre for Creativity (KCC),Exhibitions,Tourist attraction,"Tourist attraction, Art center",757043,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Rairangpur H.O, Anladuva S.O, Mahuldiha S.O",+91 33 6623 2300,https://www.kolkatacentreforcreativity.org/,4.7,,"Dipak Road, Eastern Metropolitan Bypass, Anandapur, Adarsha Nagar, Kolkata, West Bengal 700107","Anandapur, Adarsha Nagar",22.5219503,88.4008831,ChIJ3UXjGap2AjoRfBzJsSv_JZU,https://www.google.com/maps/place/?q=place_id:ChIJ3UXjGap2AjoRfBzJsSv_JZU,part_345,2026-09-20 20:18:24,4926
Monalisa Kalagram,Exhibitions,Art gallery,Art gallery,757043,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Rairangpur H.O, Anladuva S.O, Mahuldiha S.O",+91 89750 03034,https://monalisakalagram.com/,4.3,,"Pingale Farms End of, Lane 7, S Main Rd, Ashok Chakra Society, Iricen Railway Colony, Koregaon Park, Pune, Maharashtra 411001","Ashok Chakra Society, Iricen Railway Colony, Koregaon Park",18.5307633,73.90019029999999,ChIJBwjRg6jBwjsR6P0yXbIeQQc,https://www.google.com/maps/place/?q=place_id:ChIJBwjRg6jBwjsR6P0yXbIeQQc,part_345,2026-09-20 20:18:24,4927
ART LIFE GALLERY Noida,Exhibitions,Art gallery,Art gallery,757043,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Rairangpur H.O, Anladuva S.O, Mahuldiha S.O",+91 120 489 2000,https://www.theartlifegallery.com/,4.4,,"C-97, C Block, Sector 44, Noida, Uttar Pradesh 201301","C Block, Sector 44",28.5542539,77.33535049999999,ChIJG7OlgNLlDDkR5Z3KFx4KkBc,https://www.google.com/maps/place/?q=place_id:ChIJG7OlgNLlDDkR5Z3KFx4KkBc,part_345,2026-09-20 20:18:24,4928
MKF Museum of Art,Exhibitions,Art museum,"Art museum, Art center, Art gallery",757043,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Rairangpur H.O, Anladuva S.O, Mahuldiha S.O",+91 90192 76294,http://www.manjushreekhaitanfoundation.org/,4.3,,"Isha Villa, 55/1, Lavelle Road, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560001","Shanthala Nagar, Ashok Nagar",12.9707254,77.5978267,ChIJO1o3Mq4XrjsR7_RKJQ0Uu6A,https://www.google.com/maps/place/?q=place_id:ChIJO1o3Mq4XrjsR7_RKJQ0Uu6A,part_345,2026-09-20 20:18:24,4929
Zapurza Museum of Art & Culture,Exhibitions,Art museum,Art museum,757043,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Rairangpur H.O, Anladuva S.O, Mahuldiha S.O",+91 70284 86070,http://zapurza.org/,4.7,,"ahead of peacock bay, survey number 65 Kudje village, Pune, Maharashtra 411023",757043,18.4174594,73.7372068,ChIJ_RgzORiXwjsRTGSPr5hDn7k,https://www.google.com/maps/place/?q=place_id:ChIJ_RgzORiXwjsRTGSPr5hDn7k,part_345,2026-09-20 20:18:24,4930
"Exhibition Ground, Pradhikaran",Exhibitions,Exhibition and trade center,Exhibition and trade center,757043,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Rairangpur H.O, Anladuva S.O, Mahuldiha S.O",N/A,N/A,4.1,,"143, Sector 27A, Pradhikaran, Nigdi, Pimpri-Chinchwad, Maharashtra 411044","Sector 27A, Pradhikaran, Nigdi",18.6530876,73.7714843,ChIJH3MCBNK5wjsRv9JqAmzN2Zo,https://www.google.com/maps/place/?q=place_id:ChIJH3MCBNK5wjsRv9JqAmzN2Zo,part_345,2026-09-20 20:18:24,4931
Murgaghutu football sports field,Exhibitions,Playground,Playground,757043,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Rairangpur H.O, Anladuva S.O, Mahuldiha S.O",N/A,N/A,4.4,,"842P+PWV, Aerodrom Rd, Anandpur, Dandbose, Odisha 757046",757043,22.3018617,86.1372983,ChIJLz5WZnAPHjoRWKyaNFfrG0U,https://www.google.com/maps/place/?q=place_id:ChIJLz5WZnAPHjoRWKyaNFfrG0U,part_345,2026-09-20 20:18:24,4932
