business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Kostha CHC,Healthcare Clinic Chains,Family practice physician,Family practice physician,757045,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Jamda S.O (Mayurbhanj), Badkuleibira B.O, Halda B.O",N/A,N/A,4.2,31.0,"XWF4+MJ9, Kostha, Mahuliasamilpaninagar, Odisha 757084",757045,21.9741611,86.9066114,ChIJZ8ncnYEHHToRs5iYyVNzAPo,https://www.google.com/maps/place/?q=place_id:ChIJZ8ncnYEHHToRs5iYyVNzAPo,part_345,2026-09-20 20:18:40,6353
Sabitri Health Care And Medicine,Healthcare Clinic Chains,Medical clinic,Medical clinic,757045,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Jamda S.O (Mayurbhanj), Badkuleibira B.O, Halda B.O",N/A,N/A,3.5,,"Balasore golei, Near idfc bank. Madhuban road, Udala - Baripada Rd, Ward No 9, Ward No.7, Madhuvan Sahi, Baripada, Odisha 757001","Ward No 9, Ward No.7, Madhuvan Sahi",21.9273435,86.72758209999999,ChIJSYuwGgCxHToRrKZ9m38tlKc,https://www.google.com/maps/place/?q=place_id:ChIJSYuwGgCxHToRrKZ9m38tlKc,part_345,2026-09-20 20:18:41,6354
SAPTA DIAGNOSTIC & POLYCLINIC,Healthcare Clinic Chains,Medical clinic,"Medical clinic, Medical Center",757047,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Badampahar S.O, Basilapir B.O, Dova B.O",+91 98312 00715,N/A,4.9,,"SAIBAN ROAD, HARIR PUKUR MORE, Kalyan Nagar, Rahara, Kolkata, Khardaha, West Bengal 700118","HARIR PUKUR MORE, Kalyan Nagar, Rahara",22.7247201,88.38753059999999,ChIJQ5VxLACb-DkRXNvlxcJ01BE,https://www.google.com/maps/place/?q=place_id:ChIJQ5VxLACb-DkRXNvlxcJ01BE,part_345,2026-09-20 20:20:08,11215
Health Point,Healthcare Clinic Chains,Medical clinic,Medical clinic,757047,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Badampahar S.O, Basilapir B.O, Dova B.O",+91 88950 06400,https://myhealthpoint.in/,4.9,,"Vardhaman lane, behind DCB bank, Municipal Colony, Kataka, Odisha 753003",Municipal Colony,20.4669498,85.8968411,ChIJwWe26DENGToR5R__mStBQAo,https://www.google.com/maps/place/?q=place_id:ChIJwWe26DENGToR5R__mStBQAo,part_345,2026-09-20 20:20:08,11216
Izhaan Medical & General Store,Healthcare Clinic Chains,Medical Center,"Medical Center, General store, Pharmacy, Medical supply store",757047,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Badampahar S.O, Basilapir B.O, Dova B.O",+91 96869 12222,N/A,4.8,57.0,"Shop 45/48, Ring RoadNagar, Ring Rd, Maheboob Nagar, Khaja Colony, Kalaburagi, Karnataka 585104","Maheboob Nagar, Khaja Colony",17.345492699999998,76.8592743,ChIJPQRYyzHHyDsR2_CUIJXEZKw,https://www.google.com/maps/place/?q=place_id:ChIJPQRYyzHHyDsR2_CUIJXEZKw,part_345,2026-09-20 20:20:09,11217
Surgi World,Healthcare Clinic Chains,Surgical supply store,Surgical supply store,757048,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Bijatala S.O, Ambadiha B.O, Badamtalia B.O",+91 99868 53258,http://www.surgiworld.in/,4.1,,"1st FLOOR, VNR GEETANA ORCHID, BUS STOP, Varthur Main Rd, near SPICE GARDEN, opp. SHIKHARAM APPTS, Spice Garden Layout, Lakshminarayana Pura, Gandhi Nagar, Marathahalli, Bengaluru, Karnataka 560037","Spice Garden Layout, Lakshminarayana Pura, Gandhi Nagar, Marathahalli",12.9564345,77.70968719999999,ChIJa-gItzASrjsRMeEIqPsUJZY,https://www.google.com/maps/place/?q=place_id:ChIJa-gItzASrjsRMeEIqPsUJZY,part_345,2026-09-20 20:20:53,13833
Garg Agency Pharma (Generic Wholesale Medicine Distributor & Supplier),Healthcare Clinic Chains,Pharmaceutical Products Wholesaler,Pharmaceutical Products Wholesaler,757048,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Bijatala S.O, Ambadiha B.O, Badamtalia B.O",+91 70089 36232,https://www.gargagencypharma.com/,4.9,,"Krishna Nagar, near Kendriya Vidyalaya No.2, Balangir, Odisha 767002",757048,20.694744,83.45867659999999,ChIJ8SEo0hUPJDoRkZehn9FhmWE,https://www.google.com/maps/place/?q=place_id:ChIJ8SEo0hUPJDoRkZehn9FhmWE,part_345,2026-09-20 20:20:53,13834
Healthcare Agencies,Healthcare Clinic Chains,Pharmaceutical Products Wholesaler,Pharmaceutical Products Wholesaler,757048,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Bijatala S.O, Ambadiha B.O, Badamtalia B.O",+91 94483 87068,https://healthcare-agencies.grexa.site/,5.0,,"1st floor 384, Old Taluk Cutchery Road, circle, near balepet, Chickpet, Bengaluru, Karnataka 560053","Upparpete, Chickpet",12.971844899999999,77.5729865,ChIJi6XsWBUXrjsRuSQGgNyTDmg,https://www.google.com/maps/place/?q=place_id:ChIJi6XsWBUXrjsRuSQGgNyTDmg,part_345,2026-09-20 20:20:53,13835
"Bash Heal Home Healthcare Services Pvt Ltd - Ortho Rehabilitation, Neuro Rehabilitation",Healthcare Clinic Chains,Hospital,"Hospital, Ambulance service, Diagnostic center, Home health care service, Oxygen equipment supplier, Psychoneurological specialized clinic, Rehabilitation center, Old Age Home, Surgical Products Wholesaler, Surgical supply store",757048,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Bijatala S.O, Ambadiha B.O, Badamtalia B.O",+91 97422 26577,http://www.bashsurgicals.com/,4.7,,"1st cross, Telecom layout, Srighandakavalu, Sunkadakatte, Bengaluru, Karnataka 560091","Telecom layout, Srighandakavalu, Sunkadakatte",12.9895711,77.5114123,ChIJgaQRpj48rjsRNGYF6FQw6hk,https://www.google.com/maps/place/?q=place_id:ChIJgaQRpj48rjsRNGYF6FQw6hk,part_345,2026-09-20 20:20:53,13836
Healthcare Odisha,Healthcare Clinic Chains,Health consultant,"Health consultant, Home health care service, Patients support association, Physician referral service",757050,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Hatbadra S.O, Aharbandh B.O, Bhalubasa B.O",+91 99374 44466,https://healthcareodisha.in/,5.0,7.0,"360, Flat, Plot No, Sishu Vihar, Patia, Bhubaneswar, Odisha 751024","Sishu Vihar, Patia",20.3440662,85.819681,ChIJnS1kcD9asSARf8P0pThyTVM,https://www.google.com/maps/place/?q=place_id:ChIJnS1kcD9asSARf8P0pThyTVM,part_345,2026-09-20 20:22:18,16980
