business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Fashion Factory,Mens Wear Showroom,Clothing store,Clothing store,757043,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Rairangpur H.O, Anladuva S.O, Mahuldiha S.O",N/A,N/A,5.0,9.0,"Rairangpur, Odisha 757043",757043,22.2699528,86.1776939,ChIJf9A383kLHjoRbAp6ag8jrr4,https://www.google.com/maps/place/?q=place_id:ChIJf9A383kLHjoRbAp6ag8jrr4,part_345,2026-09-20 20:17:50,698
Satyam Garments,Mens Wear Showroom,Men's clothing store,"Men's clothing store, Clothing store",757043,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Rairangpur H.O, Anladuva S.O, Mahuldiha S.O",+91 90409 40006,N/A,5.0,2.0,"Ward No 6, 755F, H36, Main Road, Rairangpur, Odisha 757043",757043,22.2589352,86.1725434,ChIJBRpGfnYMHjoR3WTCQlbOj4I,https://www.google.com/maps/place/?q=place_id:ChIJBRpGfnYMHjoR3WTCQlbOj4I,part_345,2026-09-20 20:17:50,699
Tailoring Store,Mens Wear Showroom,Men's clothing store,"Men's clothing store, Sewing machine store",757043,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Rairangpur H.O, Anladuva S.O, Mahuldiha S.O",+91 70086 33875,https://www.facebook.com/share/16njKULoCu/,4.5,11.0,"Jagannath Market, 02A/-15, Khanta, Rairangpur, Odisha 757043",757043,22.2576966,86.1709803,ChIJF9zjuHYMHjoRwGa5WwGAnto,https://www.google.com/maps/place/?q=place_id:ChIJF9zjuHYMHjoRwGa5WwGAnto,part_345,2026-09-20 20:17:50,700
BRAND HOUSE,Mens Wear Showroom,Clothing store,Clothing store,757043,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Rairangpur H.O, Anladuva S.O, Mahuldiha S.O",+91 97766 33363,N/A,4.4,61.0,"MAIN ROAD,WARD NO. 15, Rairangpur, Odisha 757043",757043,22.2619988,86.173182,ChIJob0_qHUMHjoR8nhLuA4t-1c,https://www.google.com/maps/place/?q=place_id:ChIJob0_qHUMHjoR8nhLuA4t-1c,part_345,2026-09-20 20:17:50,701
MEN'S COMMON BRAND,Mens Wear Showroom,Garment Exporter,Garment Exporter,757043,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Rairangpur H.O, Anladuva S.O, Mahuldiha S.O",+91 89175 35460,N/A,4.9,15.0,"near golei ground of golu mobile infront of modak hotel, Rairangpur, Odisha 757043",757043,22.259665899999998,86.1719574,ChIJX90cpL8NHjoRjzzQodVr5YE,https://www.google.com/maps/place/?q=place_id:ChIJX90cpL8NHjoRjzzQodVr5YE,part_345,2026-09-20 20:17:50,702
Gopal textiles,Mens Wear Showroom,Clothing store,Clothing store,757043,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Rairangpur H.O, Anladuva S.O, Mahuldiha S.O",N/A,N/A,4.1,20.0,"Rairangpur Rd, Golai chalk, Rairangpur, Odisha 757043",Golai chalk,22.258801,86.1728914,ChIJs_O9fnYMHjoRMq6ELGLxp_8,https://www.google.com/maps/place/?q=place_id:ChIJs_O9fnYMHjoRMq6ELGLxp_8,part_345,2026-09-20 20:17:50,703
Killer,Mens Wear Showroom,Clothing store,Clothing store,757043,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Rairangpur H.O, Anladuva S.O, Mahuldiha S.O",+91 87575 21342,https://www.killerjeans.com/pages/store-locator,5.0,1.0,"Baripada Road, Rairangpur, Odisha 757043",757043,22.256613299999998,86.17506829999999,ChIJ5SjNtiQNHjoRHsUr-dPf0N4,https://www.google.com/maps/place/?q=place_id:ChIJ5SjNtiQNHjoRHsUr-dPf0N4,part_345,2026-09-20 20:17:50,704
Friends Garments,Mens Wear Showroom,Store,Store,757043,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Rairangpur H.O, Anladuva S.O, Mahuldiha S.O",+91 94373 21106,N/A,4.4,14.0,"Friends Garments, At, Po, Rairangpur, Odisha 757043",757043,22.258983699999998,86.171942,ChIJSzPagnYMHjoRUrkb774P9RE,https://www.google.com/maps/place/?q=place_id:ChIJSzPagnYMHjoRUrkb774P9RE,part_345,2026-09-20 20:17:50,705
Poshak Dresses,Mens Wear Showroom,Clothing store,Clothing store,757043,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Rairangpur H.O, Anladuva S.O, Mahuldiha S.O",+91 94373 20870,N/A,5.0,11.0,"near Shanti Palace, Rairangpur, Odisha 757043",757043,22.2584934,86.1729792,ChIJ0444PT8NHjoRjMRa_y0TX04,https://www.google.com/maps/place/?q=place_id:ChIJ0444PT8NHjoRjMRa_y0TX04,part_345,2026-09-20 20:17:50,706
Saree Sansar,Mens Wear Showroom,Clothing store,Clothing store,757043,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Rairangpur H.O, Anladuva S.O, Mahuldiha S.O",+91 86589 03852,N/A,4.1,33.0,"755C+RH3, SH 50, Rairangpur, Odisha 757043",757043,22.2595214,86.1714286,ChIJV9USIXQMHjoRguia2fUXSzI,https://www.google.com/maps/place/?q=place_id:ChIJV9USIXQMHjoRguia2fUXSzI,part_345,2026-09-20 20:17:50,707
